metacell	cell_type	color	broad_cell_type	cluster	cluster_mc	cluster_color
31	lipophil	khaki2	lipophil	1_darkmagenta	38	#8B008B
32	lipophil	khaki2	lipophil	1_darkmagenta	4	#8B008B
33	lipophil	khaki2	lipophil	1_darkmagenta	5	#8B008B
34	lipophil	khaki2	lipophil	1_darkmagenta	7	#8B008B
35	lipophil	khaki2	lipophil	1_darkmagenta	8	#8B008B
36	trans_lipophil_1_gland	gray75	trans	6_violet	222	#EE82EE
37	trans_lipophil_1_epithelia	gray80	trans	6_violet	220	#EE82EE
38	unknown_1	darkolivegreen2	unknown_1	6_violet	207	#EE82EE
39	unknown_1	darkolivegreen2	unknown_1	6_violet	208	#EE82EE
40	unknown_1	darkolivegreen2	unknown_1	6_violet	209	#EE82EE
41	unknown_1	darkolivegreen2	unknown_1	6_violet	210	#EE82EE
42	unknown_2.1	darkolivegreen3	unknown_2	6_violet	215	#EE82EE
43	unknown_2.2	darkolivegreen3	unknown_2	6_violet	216	#EE82EE
44	unknown_2.2	darkolivegreen3	unknown_2	6_violet	217	#EE82EE
45	unknown_2.2	darkolivegreen3	unknown_2	6_violet	218	#EE82EE
46	unknown_2.4	darkolivegreen3	unknown_2	6_violet	212	#EE82EE
47	unknown_2.4	darkolivegreen3	unknown_2	6_violet	213	#EE82EE
48	unknown_2.4	darkolivegreen3	unknown_2	6_violet	214	#EE82EE
49	fibre	chartreuse3	fibre	3_springgreen2	100	#00EE76
50	fibre	chartreuse3	fibre	3_springgreen2	101	#00EE76
51	fibre	chartreuse3	fibre	3_springgreen2	104	#00EE76
52	fibre	chartreuse3	fibre	4_deepskyblue	148	#00BFFF
53	fibre	chartreuse3	fibre	3_springgreen2	81	#00EE76
54	fibre	chartreuse3	fibre	3_springgreen2	82	#00EE76
55	fibre	chartreuse3	fibre	3_springgreen2	83	#00EE76
56	fibre	chartreuse3	fibre	3_springgreen2	84	#00EE76
57	fibre	chartreuse3	fibre	3_springgreen2	85	#00EE76
58	fibre	chartreuse3	fibre	3_springgreen2	86	#00EE76
59	fibre	chartreuse3	fibre	3_springgreen2	87	#00EE76
60	fibre	chartreuse3	fibre	3_springgreen2	88	#00EE76
61	fibre	chartreuse3	fibre	3_springgreen2	89	#00EE76
62	fibre	chartreuse3	fibre	3_springgreen2	90	#00EE76
63	fibre	chartreuse3	fibre	3_springgreen2	91	#00EE76
64	fibre	chartreuse3	fibre	3_springgreen2	92	#00EE76
65	fibre	chartreuse3	fibre	3_springgreen2	93	#00EE76
66	fibre	chartreuse3	fibre	3_springgreen2	94	#00EE76
67	fibre	chartreuse3	fibre	3_springgreen2	95	#00EE76
68	fibre	chartreuse3	fibre	3_springgreen2	96	#00EE76
69	fibre	chartreuse3	fibre	3_springgreen2	97	#00EE76
70	fibre	chartreuse3	fibre	3_springgreen2	98	#00EE76
71	fibre	chartreuse3	fibre	3_springgreen2	99	#00EE76
72	trans_fibre_gland	gray55	trans	3_springgreen2	102	#00EE76
73	gland_1	darkorange3	gland	2_orange	39	#FFA500
74	gland_1	darkorange3	gland	2_orange	40	#FFA500
75	gland_1	darkorange3	gland	2_orange	41	#FFA500
76	gland_1	darkorange3	gland	2_orange	42	#FFA500
77	gland_1	darkorange3	gland	2_orange	43	#FFA500
78	gland_1	darkorange3	gland	2_orange	44	#FFA500
79	gland_1	darkorange3	gland	2_orange	45	#FFA500
80	gland_1	darkorange3	gland	2_orange	46	#FFA500
81	gland_1	darkorange3	gland	2_orange	47	#FFA500
82	gland_1	darkorange3	gland	2_orange	48	#FFA500
83	gland_1	darkorange3	gland	2_orange	49	#FFA500
84	gland_1	darkorange3	gland	2_orange	50	#FFA500
85	gland_1	darkorange3	gland	2_orange	51	#FFA500
86	gland_1	darkorange3	gland	2_orange	52	#FFA500
87	gland_1	darkorange3	gland	2_orange	53	#FFA500
88	gland_1	darkorange3	gland	2_orange	54	#FFA500
89	gland_1	darkorange3	gland	2_orange	55	#FFA500
90	gland_1	darkorange3	gland	2_orange	56	#FFA500
91	gland_1	darkorange3	gland	2_orange	57	#FFA500
92	gland_1	darkorange3	gland	2_orange	58	#FFA500
93	gland_1	darkorange3	gland	2_orange	59	#FFA500
94	gland_1	darkorange3	gland	2_orange	60	#FFA500
95	gland_1	darkorange3	gland	2_orange	62	#FFA500
96	gland_1	darkorange3	gland	2_orange	63	#FFA500
97	gland_1	darkorange3	gland	2_orange	64	#FFA500
98	gland_1	darkorange3	gland	2_orange	65	#FFA500
99	gland_1	darkorange3	gland	2_orange	66	#FFA500
100	gland_1	darkorange3	gland	2_orange	67	#FFA500
101	gland_1	darkorange3	gland	2_orange	68	#FFA500
102	gland_1	darkorange3	gland	2_orange	69	#FFA500
103	gland_1	darkorange3	gland	2_orange	70	#FFA500
104	gland_1	darkorange3	gland	2_orange	71	#FFA500
105	gland_1	darkorange3	gland	2_orange	72	#FFA500
106	gland_1	darkorange3	gland	2_orange	73	#FFA500
107	gland_1	darkorange3	gland	2_orange	74	#FFA500
108	gland_1	darkorange3	gland	2_orange	75	#FFA500
109	gland_1	darkorange3	gland	2_orange	76	#FFA500
110	gland_1	darkorange3	gland	2_orange	77	#FFA500
111	gland_1	darkorange3	gland	2_orange	78	#FFA500
112	gland_1	darkorange3	gland	2_orange	79	#FFA500
113	gland_1	darkorange3	gland	2_orange	80	#FFA500
114	epithelia_gland_like	orange	epithelia_gland_like	4_deepskyblue	132	#00BFFF
115	epithelia_gland_like	orange	epithelia_gland_like	4_deepskyblue	134	#00BFFF
116	epithelia_gland_like	orange	epithelia_gland_like	4_deepskyblue	145	#00BFFF
117	epithelia_gland_like	orange	epithelia_gland_like	6_violet	197	#EE82EE
118	epithelia_gland_like	orange	epithelia_gland_like	6_violet	199	#EE82EE
119	epithelia_gland_like	orange	epithelia_gland_like	6_violet	200	#EE82EE
120	epithelia_gland_like	orange	epithelia_gland_like	6_violet	201	#EE82EE
121	epithelia_gland_like	orange	epithelia_gland_like	6_violet	202	#EE82EE
122	epithelia_gland_like	orange	epithelia_gland_like	6_violet	203	#EE82EE
123	epithelia_gland_like	orange	epithelia_gland_like	6_violet	204	#EE82EE
124	epithelia_gland_like	orange	epithelia_gland_like	6_violet	205	#EE82EE
125	epithelia_gland_like	orange	epithelia_gland_like	6_violet	206	#EE82EE
126	epithelia_unknown_1	plum3	epithelia	4_deepskyblue	153	#00BFFF
127	epithelia_ventral	orchid1	epithelia	4_deepskyblue	105	#00BFFF
128	epithelia_ventral	orchid1	epithelia	4_deepskyblue	106	#00BFFF
129	epithelia_ventral	orchid1	epithelia	4_deepskyblue	111	#00BFFF
130	epithelia_ventral	orchid1	epithelia	4_deepskyblue	112	#00BFFF
131	epithelia_ventral	orchid1	epithelia	4_deepskyblue	113	#00BFFF
132	epithelia_ventral	orchid1	epithelia	4_deepskyblue	114	#00BFFF
133	epithelia_ventral	orchid1	epithelia	4_deepskyblue	115	#00BFFF
134	epithelia_ventral	orchid1	epithelia	4_deepskyblue	116	#00BFFF
135	epithelia_ventral	orchid1	epithelia	4_deepskyblue	117	#00BFFF
136	epithelia_ventral	orchid1	epithelia	4_deepskyblue	119	#00BFFF
137	epithelia_ventral	orchid1	epithelia	4_deepskyblue	120	#00BFFF
138	epithelia_ventral	orchid1	epithelia	4_deepskyblue	121	#00BFFF
139	epithelia_ventral	orchid1	epithelia	4_deepskyblue	122	#00BFFF
140	epithelia_ventral	orchid1	epithelia	4_deepskyblue	123	#00BFFF
141	epithelia_ventral	orchid1	epithelia	4_deepskyblue	124	#00BFFF
142	epithelia_ventral	orchid1	epithelia	4_deepskyblue	125	#00BFFF
143	epithelia_ventral	orchid1	epithelia	4_deepskyblue	127	#00BFFF
144	epithelia_ventral	orchid1	epithelia	4_deepskyblue	129	#00BFFF
145	epithelia_ventral	orchid1	epithelia	4_deepskyblue	130	#00BFFF
146	epithelia_ventral	orchid1	epithelia	4_deepskyblue	131	#00BFFF
147	epithelia_ventral	orchid1	epithelia	4_deepskyblue	133	#00BFFF
148	epithelia_ventral	orchid1	epithelia	4_deepskyblue	135	#00BFFF
149	epithelia_ventral	orchid1	epithelia	4_deepskyblue	136	#00BFFF
150	epithelia_ventral	orchid1	epithelia	4_deepskyblue	137	#00BFFF
151	epithelia_ventral	orchid1	epithelia	4_deepskyblue	138	#00BFFF
152	epithelia_ventral	orchid1	epithelia	4_deepskyblue	139	#00BFFF
153	epithelia_ventral	orchid1	epithelia	4_deepskyblue	140	#00BFFF
154	epithelia_ventral	orchid1	epithelia	4_deepskyblue	141	#00BFFF
155	epithelia_ventral	orchid1	epithelia	4_deepskyblue	142	#00BFFF
156	epithelia_ventral	orchid1	epithelia	4_deepskyblue	143	#00BFFF
157	epithelia_ventral	orchid1	epithelia	4_deepskyblue	144	#00BFFF
158	epithelia_ventral	orchid1	epithelia	4_deepskyblue	146	#00BFFF
159	epithelia_ventral	orchid1	epithelia	4_deepskyblue	147	#00BFFF
160	epithelia_ventral	orchid1	epithelia	4_deepskyblue	149	#00BFFF
161	epithelia_ventral	orchid1	epithelia	4_deepskyblue	150	#00BFFF
162	epithelia_ventral	orchid1	epithelia	4_deepskyblue	151	#00BFFF
163	epithelia_ventral	orchid1	epithelia	4_deepskyblue	152	#00BFFF
164	epithelia_ventral	orchid1	epithelia	6_violet	198	#EE82EE
165	trans_epithelia_dorsal_ventral	gray95	trans	4_deepskyblue	109	#00BFFF
166	trans_epithelia_dorsal_ventral	gray95	trans	4_deepskyblue	110	#00BFFF
167	trans_epithelia_dorsal_ventral	gray95	trans	4_deepskyblue	118	#00BFFF
168	trans_epithelia_dorsal_ventral	gray95	trans	4_deepskyblue	126	#00BFFF
169	trans_epithelia_dorsal_ventral	gray95	trans	4_deepskyblue	128	#00BFFF
170	trans_epithelia_dorsal_ventral	gray95	trans	6_violet	236	#EE82EE
171	trans_epithelia_dorsal_ventral	gray95	trans	6_violet	237	#EE82EE
172	trans_epithelia_dorsal_ventral	gray95	trans	6_violet	238	#EE82EE
173	epithelia_dorsal_like	mediumorchid4	epithelia	6_violet	230	#EE82EE
174	epithelia_dorsal_like	mediumorchid4	epithelia	6_violet	231	#EE82EE
175	epithelia_dorsal_like	mediumorchid4	epithelia	6_violet	232	#EE82EE
176	epithelia_dorsal_like	mediumorchid4	epithelia	6_violet	233	#EE82EE
177	epithelia_dorsal_like	mediumorchid4	epithelia	6_violet	234	#EE82EE
178	epithelia_dorsal_like	mediumorchid4	epithelia	6_violet	235	#EE82EE
179	epithelia_dorsal_like	mediumorchid4	epithelia	6_violet	239	#EE82EE
180	epithelia_dorsal	mediumorchid3	epithelia	4_deepskyblue	107	#00BFFF
181	epithelia_dorsal	mediumorchid3	epithelia	4_deepskyblue	108	#00BFFF
182	epithelia_dorsal	mediumorchid3	epithelia	6_violet	240	#EE82EE
183	epithelia_dorsal	mediumorchid3	epithelia	6_violet	241	#EE82EE
184	epithelia_dorsal	mediumorchid3	epithelia	6_violet	242	#EE82EE
185	epithelia_dorsal	mediumorchid3	epithelia	6_violet	243	#EE82EE
186	epithelia_dorsal	mediumorchid3	epithelia	6_violet	244	#EE82EE
187	epithelia_dorsal	mediumorchid3	epithelia	6_violet	245	#EE82EE
188	epithelia_dorsal	mediumorchid3	epithelia	6_violet	246	#EE82EE
189	epithelia_dorsal	mediumorchid3	epithelia	6_violet	247	#EE82EE
190	epithelia_dorsal	mediumorchid3	epithelia	6_violet	248	#EE82EE
191	epithelia_dorsal	mediumorchid3	epithelia	6_violet	249	#EE82EE
192	epithelia_dorsal	mediumorchid3	epithelia	6_violet	250	#EE82EE
193	peptidergic_progenitors	blueviolet	peptidergic	5_blue3	191	#0000CD
194	peptidergic_progenitors	blueviolet	peptidergic	5_blue3	192	#0000CD
195	peptidergic_progenitors	blueviolet	peptidergic	5_blue3	193	#0000CD
196	peptidergic_alpha	dodgerblue1	peptidergic	5_blue3	194	#0000CD
197	peptidergic_beta	dodgerblue3	peptidergic	5_blue3	180	#0000CD
198	peptidergic_beta	dodgerblue3	peptidergic	5_blue3	181	#0000CD
199	peptidergic_beta	dodgerblue3	peptidergic	5_blue3	195	#0000CD
200	peptidergic_gamma	skyblue1	peptidergic	5_blue3	182	#0000CD
201	peptidergic_gamma_like	skyblue1	peptidergic	5_blue3	173	#0000CD
202	peptidergic_delta	skyblue3	peptidergic	5_blue3	184	#0000CD
203	peptidergic_delta	skyblue3	peptidergic	5_blue3	185	#0000CD
204	peptidergic_epsilon	steelblue1	peptidergic	5_blue3	189	#0000CD
205	peptidergic_epsilon	steelblue1	peptidergic	5_blue3	190	#0000CD
206	peptidergic_zeta	steelblue3	peptidergic	5_blue3	179	#0000CD
207	peptidergic_eta	royalblue1	peptidergic	5_blue3	165	#0000CD
208	peptidergic_eta	royalblue1	peptidergic	5_blue3	166	#0000CD
209	peptidergic_eta	royalblue1	peptidergic	5_blue3	167	#0000CD
210	peptidergic_eta	royalblue1	peptidergic	5_blue3	168	#0000CD
211	peptidergic_eta	royalblue1	peptidergic	5_blue3	169	#0000CD
212	peptidergic_eta	royalblue1	peptidergic	5_blue3	196	#0000CD
213	peptidergic_theta	royalblue3	peptidergic	5_blue3	164	#0000CD
214	peptidergic_theta	royalblue3	peptidergic	5_blue3	170	#0000CD
215	peptidergic_theta	royalblue3	peptidergic	5_blue3	171	#0000CD
216	peptidergic_theta	royalblue3	peptidergic	5_blue3	172	#0000CD
217	peptidergic_iota	deepskyblue1	peptidergic	5_blue3	154	#0000CD
218	peptidergic_iota	deepskyblue1	peptidergic	5_blue3	155	#0000CD
219	peptidergic_iota	deepskyblue1	peptidergic	5_blue3	156	#0000CD
220	peptidergic_iota	deepskyblue1	peptidergic	5_blue3	157	#0000CD
221	peptidergic_iota	deepskyblue1	peptidergic	5_blue3	158	#0000CD
222	peptidergic_iota	deepskyblue1	peptidergic	5_blue3	159	#0000CD
223	peptidergic_iota	deepskyblue1	peptidergic	5_blue3	160	#0000CD
224	peptidergic_iota	deepskyblue1	peptidergic	5_blue3	161	#0000CD
225	peptidergic_iota	deepskyblue1	peptidergic	5_blue3	162	#0000CD
226	peptidergic_iota	deepskyblue1	peptidergic	5_blue3	163	#0000CD
227	peptidergic_iota_like	deepskyblue1	peptidergic	5_blue3	187	#0000CD
228	peptidergic_iota_like	deepskyblue1	peptidergic	6_violet	226	#EE82EE
229	peptidergic_kappa	deepskyblue3	peptidergic	5_blue3	174	#0000CD
230	peptidergic_kappa	deepskyblue3	peptidergic	5_blue3	175	#0000CD
231	peptidergic_lambda	cyan2	peptidergic	5_blue3	176	#0000CD
232	peptidergic_lambda	cyan2	peptidergic	5_blue3	177	#0000CD
233	peptidergic_mu	cyan3	peptidergic	5_blue3	186	#0000CD
234	peptidergic_mu_like	cyan3	peptidergic	6_violet	227	#EE82EE
235	peptidergic_mu_like	cyan3	peptidergic	6_violet	228	#EE82EE
236	peptidergic_mu_like	cyan3	peptidergic	6_violet	229	#EE82EE
237	peptidergic_nu	cyan4	peptidergic	5_blue3	188	#0000CD
238	peptidergic_omicron	lightskyblue	peptidergic	5_blue3	178	#0000CD
