Tadh_TriadT587	DSL.HG1.4:DLL1/DLL4/JAG1/JAG2
Tadh_TriadT51773	GPCRglut.HG1.37:like:GABBR1/GABBR2
Tadh_TriadT51325	GPCRglut.HG1.38:like:GABBR1/GABBR2
Tadh_TriadT51330	GPCRglut.HG1.39:like:GABBR1/GABBR2
Tadh_TriadT52582	GPCRglut.HG1.4:like:GABBR1/GABBR2/GPR156
Tadh_TriadT56611	GPCRglut.HG1.40:like:GABBR1/GABBR2
Tadh_TriadT60056	GPCRglut.HG1.41:like:GABBR1/GABBR2
Tadh_TriadT30267	GPCRglut.HG1.42:like:GABBR1/GABBR2
Tadh_TriadT55385	GPCRglut.HG1.44:like:GABBR1/GABBR2
Tadh_TriadT55386	GPCRglut.HG1.45:like:GABBR1/GABBR2
Tadh_TriadT60050	GPCRglut.HG1.47:like:GABBR1/GABBR2
Tadh_wf_g11896.t1	GPCRglut.HG1.48:like:GABBR1/GABBR2/GPR156
Tadh_TriadT52578	GPCRglut.HG1.5:like:GABBR1/GABBR2/GPR156
Tadh_TriadT52579	GPCRglut.HG1.5:like:GABBR1/GABBR2/GPR156
Tadh_TriadT52983	GPCRglut.HG1.6:GABBR1/GABBR2
Tadh_TriadT52581	GPCRglut.HG1.7:like:GABBR1/GABBR2/GPR156
Tadh_TriadT55500	GPCRglut.HG1.8:like:GABBR1/GABBR2/GPR156
Tadh_TriadT52577	GPCRglut.HG1.9:like:GABBR1/GABBR2/GPR156
Tadh_TriadT11098	GPCRglut.HG2.4:like:GRM1/GRM2/GRM3/GRM4/GRM5/GRM6/GRM7/GRM8
Tadh_TriadT25549	GPCRglut.HG2.4:like:GRM1/GRM2/GRM3/GRM4/GRM5/GRM6/GRM7/GRM8
Tadh_wf_g7079.t1	GPCRglut.HG2.6:like:GRM1/GRM2/GRM3/GRM4/GRM5/GRM6/GRM7/GRM8
Tadh_wf_g10200.t1	GPCRglut.HG3.4:like:CASR/GPRC6A/TAS1R1/TAS1R2/TAS1R3
Tadh_TriadT11108	GPCRglut.HG3.7:like:CASR/GPRC6A/TAS1R1/TAS1R2/TAS1R3
Tadh_TriadT11427	GPCRglut.HG4.0:NA
Tadh_TriadT13382	GPCRglut.HG4.0:NA
Tadh_TriadT14966	GPCRglut.HG4.0:NA
Tadh_TriadT29561	GPCRglut.HG4.0:NA
Tadh_TriadT29583	GPCRglut.HG4.0:NA
Tadh_TriadT29604	GPCRglut.HG4.0:NA
Tadh_TriadT29631	GPCRglut.HG4.0:NA
Tadh_TriadT59554	GPCRglut.HG4.0:NA
Tadh_TriadT59557	GPCRglut.HG4.0:NA
Tadh_TriadT59558	GPCRglut.HG4.0:NA
Tadh_TriadT59560	GPCRglut.HG4.0:NA
Tadh_TriadT59563	GPCRglut.HG4.0:NA
Tadh_TriadT59566	GPCRglut.HG4.0:NA
Tadh_wf_g964.t1	GPCRglut.HG4.1:NA
Tadh_TriadT58048	GPCRglut.HG4.10:NA
Tadh_TriadT54290	GPCRglut.HG4.11:NA
Tadh_TriadT25328	GPCRglut.HG4.12:NA
Tadh_TriadT11614	GPCRglut.HG4.13:NA
Tadh_wf_g3864.t1	GPCRglut.HG4.14:NA
Tadh_TriadT10902	GPCRglut.HG4.2:NA
Tadh_TriadT2811	GPCRglut.HG4.2:NA
Tadh_TriadT55249	GPCRglut.HG4.2:NA
Tadh_wf_g4030.t1	GPCRglut.HG4.2:NA
Tadh_wf_g4033.t1	GPCRglut.HG4.2:NA
Tadh_TriadT59571	GPCRglut.HG4.3:NA
Tadh_wf_g965.t1	GPCRglut.HG4.4:NA
Tadh_TriadT15193	GPCRglut.HG4.5:NA
Tadh_TriadT11320	GPCRglut.HG4.6:NA
Tadh_TriadT29555	GPCRglut.HG4.7:NA
Tadh_TriadT29589	GPCRglut.HG4.7:NA
Tadh_TriadT56856	GPCRglut.HG4.8:NA
Tadh_TriadT816	GPCRglut.HG4.9:NA
Tadh_TriadT19440	GPCRrhod.HG1.18:like:GPR45/GPR63
Tadh_TriadT14615	GPCRrhod.HG1.2:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR21/GPR26/GPR45/GPR52/GPR63/GPR78/GPR101/GPR119/GPR135/GPR161/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
Tadh_TriadT3759	GPCRrhod.HG1.20:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR21/GPR26/GPR45/GPR52/GPR63/GPR78/GPR101/GPR119/GPR135/GPR161/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
Tadh_TriadT4188	GPCRrhod.HG1.20:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR21/GPR26/GPR45/GPR52/GPR63/GPR78/GPR101/GPR119/GPR135/GPR161/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
Tadh_TriadT8190	GPCRrhod.HG1.26:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR21/GPR26/GPR45/GPR52/GPR63/GPR78/GPR101/GPR119/GPR135/GPR161/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
Tadh_TriadT32924	GPCRrhod.HG1.28:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR21/GPR26/GPR45/GPR52/GPR63/GPR78/GPR101/GPR119/GPR135/GPR161/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
Tadh_TriadT26009	GPCRrhod.HG1.33:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR21/GPR26/GPR45/GPR52/GPR63/GPR78/GPR101/GPR119/GPR135/GPR161/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
Tadh_TriadT33970	GPCRrhod.HG1.41:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR119/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
Tadh_TriadT29696	GPCRrhod.HG1.42:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR119/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
Tadh_TriadT4322	GPCRrhod.HG1.42:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR119/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
Tadh_TriadT52633	GPCRrhod.HG1.42:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR119/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
Tadh_TriadT59551	GPCRrhod.HG1.42:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR119/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
Tadh_TriadT60482	GPCRrhod.HG1.42:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR119/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
Tadh_wf_g1249.t1	GPCRrhod.HG1.42:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR119/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
Tadh_wf_g7600.t1	GPCRrhod.HG1.42:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR119/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
Tadh_TriadT58713	GPCRrhod.HG1.46:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR119/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
Tadh_TriadT26040	GPCRrhod.HG1.51:like:AC144573.1/ADORA1/ADORA2A/ADORA2B/ADORA3/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ADRA2B/ADRA2C/ADRB1/ADRB2/ADRB3/CHRM1/CHRM2/CHRM3/CHRM4/CHRM5/DRD1/DRD2/DRD3/DRD4/DRD5/GPR21/GPR26/GPR45/GPR52/GPR63/GPR78/GPR101/GPR119/GPR135/GPR161/HRH1/HRH2/HRH3/HRH4/HTR1A/HTR1B/HTR1D/HTR1E/HTR1F/HTR2A/HTR2B/HTR2C/HTR4/HTR5A/HTR6/HTR7/TMIGD3
Tadh_wf_g9310.t1	GPCRrhod.HG10.0:NA
Tadh_TriadT61508	GPCRrhod.HG10.1:NA
Tadh_TriadT61501	GPCRrhod.HG10.10:NA
Tadh_wf_g8461.t1	GPCRrhod.HG10.101:NA
Tadh_wf_g8466.t1	GPCRrhod.HG10.102:NA
Tadh_wf_g255.t1	GPCRrhod.HG10.104:NA
Tadh_TriadT51878	GPCRrhod.HG10.105:NA
Tadh_TriadT55856	GPCRrhod.HG10.107:NA
Tadh_wf_g4886.t1	GPCRrhod.HG10.108:NA
Tadh_TriadT55852	GPCRrhod.HG10.109:NA
Tadh_wf_g117.t1	GPCRrhod.HG10.11:NA
Tadh_TriadT55851	GPCRrhod.HG10.110:NA
Tadh_wf_g11454.t1	GPCRrhod.HG10.13:NA
Tadh_wf_g10310.t1	GPCRrhod.HG10.14:NA
Tadh_wf_g5184.t1	GPCRrhod.HG10.15:NA
Tadh_wf_g5650.t1	GPCRrhod.HG10.16:NA
Tadh_TriadT56772	GPCRrhod.HG10.17:NA
Tadh_TriadT56770	GPCRrhod.HG10.18:NA
Tadh_TriadT57577	GPCRrhod.HG10.19:NA
Tadh_TriadT51384	GPCRrhod.HG10.2:NA
Tadh_wf_g6450.t1	GPCRrhod.HG10.20:NA
Tadh_wf_g6516.t1	GPCRrhod.HG10.21:NA
Tadh_wf_g6542.t1	GPCRrhod.HG10.22:NA
Tadh_TriadT59533	GPCRrhod.HG10.23:NA
Tadh_TriadT53973	GPCRrhod.HG10.24:NA
Tadh_wf_g5232.t1	GPCRrhod.HG10.25:NA
Tadh_TriadT57072	GPCRrhod.HG10.26:NA
Tadh_TriadT57081	GPCRrhod.HG10.26:NA
Tadh_wf_g6517.t1	GPCRrhod.HG10.27:NA
Tadh_wf_g6518.t1	GPCRrhod.HG10.28:NA
Tadh_TriadT61025	GPCRrhod.HG10.29:NA
Tadh_wf_g3397.t1	GPCRrhod.HG10.3:NA
Tadh_TriadT56106	GPCRrhod.HG10.30:NA
Tadh_wf_g1796.t1	GPCRrhod.HG10.31:NA
Tadh_TriadT61507	GPCRrhod.HG10.32:NA
Tadh_wf_g10057.t1	GPCRrhod.HG10.33:NA
Tadh_wf_g547.t1	GPCRrhod.HG10.34:NA
Tadh_TriadT52625	GPCRrhod.HG10.35:NA
Tadh_wf_g9548.t1	GPCRrhod.HG10.37:NA
Tadh_TriadT60580	GPCRrhod.HG10.38:NA
Tadh_TriadT58689	GPCRrhod.HG10.39:NA
Tadh_TriadT57535	GPCRrhod.HG10.4:NA
Tadh_TriadT57728	GPCRrhod.HG10.40:NA
Tadh_wf_g6609.t1	GPCRrhod.HG10.41:NA
Tadh_TriadT57727	GPCRrhod.HG10.42:NA
Tadh_TriadT31690	GPCRrhod.HG10.43:NA
Tadh_TriadT56422	GPCRrhod.HG10.44:NA
Tadh_TriadT59538	GPCRrhod.HG10.45:NA
Tadh_TriadT59535	GPCRrhod.HG10.46:NA
Tadh_wf_g10492.t1	GPCRrhod.HG10.47:NA
Tadh_wf_g10490.t1	GPCRrhod.HG10.48:NA
Tadh_wf_g10501.t1	GPCRrhod.HG10.49:NA
Tadh_TriadT53775	GPCRrhod.HG10.5:NA
Tadh_TriadT60579	GPCRrhod.HG10.50:NA
Tadh_wf_g9561.t1	GPCRrhod.HG10.51:NA
Tadh_wf_g9552.t1	GPCRrhod.HG10.53:NA
Tadh_wf_g9550.t1	GPCRrhod.HG10.54:NA
Tadh_wf_g9558.t1	GPCRrhod.HG10.55:NA
Tadh_TriadT31670	GPCRrhod.HG10.56:NA
Tadh_TriadT30368	GPCRrhod.HG10.57:NA
Tadh_wf_g8472.t1	GPCRrhod.HG10.58:NA
Tadh_TriadT51801	GPCRrhod.HG10.59:NA
Tadh_TriadT53612	GPCRrhod.HG10.6:NA
Tadh_TriadT59539	GPCRrhod.HG10.60:NA
Tadh_wf_g8465.t1	GPCRrhod.HG10.61:NA
Tadh_wf_g8464.t1	GPCRrhod.HG10.62:NA
Tadh_TriadT51877	GPCRrhod.HG10.63:NA
Tadh_wf_g622.t1	GPCRrhod.HG10.64:NA
Tadh_TriadT54536	GPCRrhod.HG10.65:NA
Tadh_TriadT54003	GPCRrhod.HG10.66:NA
Tadh_TriadT54537	GPCRrhod.HG10.67:NA
Tadh_TriadT34582	GPCRrhod.HG10.68:NA
Tadh_TriadT54538	GPCRrhod.HG10.68:NA
Tadh_TriadT54041	GPCRrhod.HG10.69:NA
Tadh_TriadT56368	GPCRrhod.HG10.7:NA
Tadh_TriadT55912	GPCRrhod.HG10.70:NA
Tadh_TriadT61436	GPCRrhod.HG10.71:NA
Tadh_wf_g10489.t1	GPCRrhod.HG10.72:NA
Tadh_TriadT60563	GPCRrhod.HG10.73:NA
Tadh_TriadT52932	GPCRrhod.HG10.74:NA
Tadh_TriadT60063	GPCRrhod.HG10.75:NA
Tadh_TriadT56568	GPCRrhod.HG10.76:NA
Tadh_TriadT60138	GPCRrhod.HG10.8:NA
Tadh_TriadT59536	GPCRrhod.HG10.80:NA
Tadh_TriadT59537	GPCRrhod.HG10.81:NA
Tadh_TriadT59534	GPCRrhod.HG10.82:NA
Tadh_wf_g8462.t1	GPCRrhod.HG10.83:NA
Tadh_wf_g10786.t1	GPCRrhod.HG10.84:NA
Tadh_TriadT61720	GPCRrhod.HG10.85:NA
Tadh_TriadT55850	GPCRrhod.HG10.86:NA
Tadh_TriadT55849	GPCRrhod.HG10.87:NA
Tadh_TriadT55699	GPCRrhod.HG10.88:NA
Tadh_wf_g5651.t1	GPCRrhod.HG10.9:NA
Tadh_wf_g1683.t1	GPCRrhod.HG10.90:NA
Tadh_wf_g1682.t1	GPCRrhod.HG10.91:NA
Tadh_TriadT51509	GPCRrhod.HG10.94:NA
Tadh_wf_g5646.t1	GPCRrhod.HG10.95:NA
Tadh_wf_g9828.t1	GPCRrhod.HG10.96:NA
Tadh_wf_g9834.t1	GPCRrhod.HG10.97:NA
Tadh_TriadT51879	GPCRrhod.HG10.98:NA
Tadh_wf_g9560.t1	GPCRrhod.HG10.99:NA
Tadh_TriadT60874	GPCRrhod.HG101.0:NA
Tadh_wf_g9895.t1	GPCRrhod.HG101.1:NA
Tadh_TriadT60876	GPCRrhod.HG101.2:NA
Tadh_TriadT60875	GPCRrhod.HG101.3:NA
Tadh_wf_g11344.t1	GPCRrhod.HG102.0:NA
Tadh_TriadT62238	GPCRrhod.HG102.1:NA
Tadh_TriadT62236	GPCRrhod.HG102.2:NA
Tadh_wf_g11342.t1	GPCRrhod.HG102.3:NA
Tadh_TriadT62237	GPCRrhod.HG102.4:NA
Tadh_wf_g976.t1	GPCRrhod.HG104.0:NA
Tadh_TriadT29209	GPCRrhod.HG104.1:NA
Tadh_TriadT60811	GPCRrhod.HG104.1:NA
Tadh_TriadT53885	GPCRrhod.HG107.2:NA
Tadh_TriadT53369	GPCRrhod.HG108.0:NA
Tadh_TriadT4509	GPCRrhod.HG108.1:NA
Tadh_TriadT53370	GPCRrhod.HG108.2:NA
Tadh_wf_g2126.t1	GPCRrhod.HG108.2:NA
Tadh_wf_g8533.t1	GPCRrhod.HG12.10:NA
Tadh_wf_g5486.t1	GPCRrhod.HG12.11:NA
Tadh_TriadT24356	GPCRrhod.HG12.12:NA
Tadh_TriadT56057	GPCRrhod.HG12.13:NA
Tadh_TriadT56059	GPCRrhod.HG12.14:NA
Tadh_TriadT56058	GPCRrhod.HG12.15:NA
Tadh_wf_g8530.t1	GPCRrhod.HG12.16:NA
Tadh_wf_g8531.t1	GPCRrhod.HG12.17:NA
Tadh_wf_g5488.t1	GPCRrhod.HG12.19:NA
Tadh_wf_g2790.t1	GPCRrhod.HG12.2:NA
Tadh_wf_g8528.t1	GPCRrhod.HG12.21:NA
Tadh_TriadT56623	GPCRrhod.HG12.22:NA
Tadh_wf_g8328.t1	GPCRrhod.HG12.23:NA
Tadh_TriadT56624	GPCRrhod.HG12.24:NA
Tadh_TriadT62627	GPCRrhod.HG12.24:NA
Tadh_TriadT56625	GPCRrhod.HG12.25:NA
Tadh_TriadT56628	GPCRrhod.HG12.26:NA
Tadh_wf_g10330.t1	GPCRrhod.HG12.27:NA
Tadh_wf_g10333.t1	GPCRrhod.HG12.27:NA
Tadh_TriadT56622	GPCRrhod.HG12.28:NA
Tadh_wf_g2667.t1	GPCRrhod.HG12.29:NA
Tadh_TriadT57588	GPCRrhod.HG12.3:NA
Tadh_TriadT52809	GPCRrhod.HG12.31:NA
Tadh_TriadT62523	GPCRrhod.HG12.31:NA
Tadh_TriadT62649	GPCRrhod.HG12.31:NA
Tadh_wf_g11158.t1	GPCRrhod.HG12.31:NA
Tadh_wf_g11159.t1	GPCRrhod.HG12.31:NA
Tadh_wf_g1551.t1	GPCRrhod.HG12.31:NA
Tadh_wf_g1554.t1	GPCRrhod.HG12.31:NA
Tadh_wf_g1555.t1	GPCRrhod.HG12.31:NA
Tadh_wf_g1556.t1	GPCRrhod.HG12.31:NA
Tadh_TriadT62091	GPCRrhod.HG12.32:NA
Tadh_wf_g9045.t1	GPCRrhod.HG12.33:NA
Tadh_wf_g10331.t1	GPCRrhod.HG12.34:NA
Tadh_wf_g10332.t1	GPCRrhod.HG12.35:NA
Tadh_TriadT56663	GPCRrhod.HG12.36:NA
Tadh_wf_g11643.t1	GPCRrhod.HG12.37:NA
Tadh_wf_g9944.t1	GPCRrhod.HG12.37:NA
Tadh_wf_g9945.t1	GPCRrhod.HG12.37:NA
Tadh_wf_g9946.t1	GPCRrhod.HG12.37:NA
Tadh_wf_g9047.t1	GPCRrhod.HG12.38:NA
Tadh_TriadT60081	GPCRrhod.HG12.39:NA
Tadh_wf_g5452.t1	GPCRrhod.HG12.4:NA
Tadh_TriadT56557	GPCRrhod.HG12.40:NA
Tadh_TriadT56556	GPCRrhod.HG12.41:NA
Tadh_wf_g11642.t1	GPCRrhod.HG12.42:NA
Tadh_wf_g4930.t1	GPCRrhod.HG12.42:NA
Tadh_wf_g4931.t1	GPCRrhod.HG12.43:NA
Tadh_wf_g11197.t1	GPCRrhod.HG12.44:NA
Tadh_wf_g11715.t1	GPCRrhod.HG12.44:NA
Tadh_wf_g9049.t1	GPCRrhod.HG12.45:NA
Tadh_wf_g9039.t1	GPCRrhod.HG12.46:NA
Tadh_TriadT34297	GPCRrhod.HG12.47:NA
Tadh_wf_g5532.t1	GPCRrhod.HG12.48:NA
Tadh_wf_g5531.t1	GPCRrhod.HG12.49:NA
Tadh_wf_g8534.t1	GPCRrhod.HG12.5:NA
Tadh_wf_g9040.t1	GPCRrhod.HG12.53:NA
Tadh_wf_g9031.t1	GPCRrhod.HG12.54:NA
Tadh_TriadT60078	GPCRrhod.HG12.55:NA
Tadh_wf_g11840.t1	GPCRrhod.HG12.56:NA
Tadh_wf_g1485.t1	GPCRrhod.HG12.56:NA
Tadh_wf_g9042.t1	GPCRrhod.HG12.60:NA
Tadh_wf_g9041.t1	GPCRrhod.HG12.61:NA
Tadh_TriadT60080	GPCRrhod.HG12.65:NA
Tadh_wf_g11773.t1	GPCRrhod.HG12.66:NA
Tadh_wf_g9043.t1	GPCRrhod.HG12.66:NA
