Tadh_TriadT50756	Post_CamKII	Post_CamKII	Post_CamKII	Post_CamKII
Tadh_TriadT60185	Neuropeptide_IFG_amide	Neuropeptide_IFG_amide	Neuropeptide_IFG_amide	Neuropeptide_IFG_amide
Tadh_TriadT61843	Neuropeptide_ITF_amide	Neuropeptide_ITF_amide	Neuropeptide_ITF_amide	Neuropeptide_ITF_amide
Tadh_TriadT63754	Peptidyl-glycine alpha-amidating monooxygenase	 Peptidyl-alpha-hydroxyglycine-alpha-amidating lyase 1	-	Cu2_monooxygen/Cu2_monoox_C/NHL/NHL/
Tadh_TriadT21756	Dopa decarboxylase (Aromatic L-amino acid decarboxylase)	 MIP05841p	-	Pyridoxal_deC/
Tadh_TriadT55458	DBH-like monooxygenase protein 1	 CG5235	-	DOMON/Cu2_monooxygen/Cu2_monoox_C/DOMON/
Tadh_TriadT55459	DBH-like monooxygenase protein 1	 CG5235	-	DOMON/Cu2_monooxygen/Cu2_monoox_C/
Tadh_TriadT55460	DBH-like monooxygenase protein 1	 CG5235	-	DOMON/Cu2_monooxygen/Cu2_monoox_C/
Tadh_TriadT55461	DBH-like monooxygenase protein 1	 CG5235	-	DOMON/Cu2_monooxygen/Cu2_monoox_C/
Tadh_TriadT55464	DBH-like monooxygenase protein 1	 CG5235	-	DOMON/Cu2_monooxygen/Cu2_monoox_C/
Tadh_TriadT37522	DBH-like monooxygenase protein 1	 CG5235	-	DOMON/Cu2_monooxygen/Cu2_monoox_C/
Tadh_TriadT63840	DBH-like monooxygenase protein 1	 CG5235	-	DOMON/Cu2_monooxygen/Cu2_monoox_C/
Tadh_TriadT28401	Dihydropteridine reductase	 Dihydropteridine reductase	-	-
Tadh_TriadT31153	Glutamate decarboxylase 1	 Black	-	Pyridoxal_deC/
Tadh_TriadT35024	Sphingosine-1-phosphate lyase 1	 Sphingosine-1-phosphate lyase	Glutamate decarboxylase	Pyridoxal_deC/
Tadh_TriadT50906	Glutamate decarboxylase 1	 Black	-	Pyridoxal_deC/
Tadh_TriadT60611	Glutamate decarboxylase 2 (Pancreatic islets and brain, 65kDa)	 Black	-	Pyridoxal_deC/
Tadh_TriadT61194	Glutaminase kidney isoform, mitochondrial	 CG42708	-	Glutaminase/Ank_2/
Tadh_TriadT32107	Glutaminase 2 short variant	 CG42708	Protein HOS4	Glutaminase/Ank_2/
Tadh_TriadT27813	Sodium- and chloride-dependent GABA transporter 2	 Transporter	-	SNF/
Tadh_TriadT29105	Sodium- and chloride-dependent GABA transporter 2	 Transporter	-	SNF/
Tadh_TriadT29421	Sodium- and chloride-dependent GABA transporter 2	 Transporter	-	SNF/
Tadh_TriadT31455	Sodium- and chloride-dependent GABA transporter 2	 Transporter	-	SNF/
Tadh_TriadT33157	Sodium- and chloride-dependent GABA transporter 2	 Transporter	-	SNF/
Tadh_TriadT34298	Sodium- and chloride-dependent GABA transporter 2	 Transporter	-	SNF/
Tadh_TriadT34381	Sodium- and chloride-dependent GABA transporter 2	 Transporter	-	SNF/
Tadh_TriadT59280	Sodium- and chloride-dependent GABA transporter 2	 Transporter	-	SNF/
Tadh_TriadT61885	Sodium- and chloride-dependent GABA transporter 2	 Transporter	-	SNF/
Tadh_TriadT31498	Choline acetyltransferase	 CG1041	Carnitine O-acetyltransferase, mitochondrial	Carn_acyltransf/
Tadh_TriadT13189	Acetylcholinesterase	 Carboxylic ester hydrolase	-	COesterase/
Tadh_TriadT1914	Carboxylic ester hydrolase	 Acetylcholinesterase	-	Prefoldin_2/COesterase/
Tadh_TriadT2392	Acetylcholinesterase	 Carboxylic ester hydrolase	-	eIF-5_eIF-2B/Prenyltrans/Prenyltrans/Prenyltrans/COesterase/
Tadh_TriadT32085	Carboxylic ester hydrolase	 Acetylcholinesterase	-	COesterase/
Tadh_TriadT34819	Acetylcholinesterase	 Carboxylic ester hydrolase	-	COesterase/
Tadh_TriadT52793	Acetylcholinesterase	 Carboxylic ester hydrolase	-	COesterase/
Tadh_TriadT36875	Sialin	 CG4288	-	MFS_1/
Tadh_TriadT61197	Sialin	 LD01958p	-	MFS_1/
Tadh_TriadT59976	Neurexin-1-beta	 CG14764	-	Laminin_G_1/DUF1647/
Tadh_TriadT52048	Contactin-associated protein-like 5	 Neurexin-4	-	Laminin_G_2/Laminin_G_2/
Tadh_TriadT26287	Netrin receptor UNC5B	 Semaphorin-5c	-	TSP_1/TSP_1/
Tadh_TriadT51581	Netrin-1	 GH10173p	-	Laminin_EGF/Laminin_EGF/NTR/
Tadh_TriadT52845	Netrin-G1 ligand splice variant 3	 Tartan protein	-	LRR_1/LRR_8/
Tadh_TriadT53080	Netrin-1	 GH10173p	-	Laminin_EGF/Laminin_EGF/NTR/
Tadh_TriadT53875	Semaphorin 5A isoform A	 RE68041p	-	Sema/TSP_1/TSP_1/TSP_1/TSP_1/
Tadh_TriadT53879	Semaphorin 5A isoform A	 Semaphorin-5c	-	Sema/PSI/
Tadh_TriadT51797	Slit homolog 2 protein	 RT09975p	-	Ldl_recept_a/
Tadh_TriadT53795	Slit homolog 3 protein	 Tartan protein	-	LRR_8/LRR_7/LRR_8/
Tadh_TriadT55451	SLIT-ROBO Rho GTPase-activating protein 3	 FI06314p	RHO GTPase-activating protein RGD1	FCH/RhoGAP/SH3_2/
Tadh_TriadT56134	Leucine-rich repeat-containing G-protein-coupled receptor 6	 Slit	-	LRR_8/LRR_1/LRR_8/
Tadh_TriadT58750	Slit homolog 2 protein	 RT09975p	Protein phosphatase 1 regulatory subunit SDS22	LRR_8/LRRNT/LRR_8/LRR_8/LRRNT/LRR_8/LRRNT/LRR_8/EGF/EGF/hEGF/Laminin_G_2/
Tadh_TriadT61837	Spondin-1	 Fat-spondin	-	Spond_N/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/
Tadh_TriadT52699	Spondin-1	 CG17739	-	Spond_N/
Tadh_TriadT52700	Spondin-1	 CG17739	-	Spond_N/Spond_N/
Tadh_TriadT55088	Neural cell adhesion molecule L1-like protein	 SD09407p	-	fn3/fn3/Bravo_FIGEY/
Tadh_TriadT59528	Neural cell adhesion molecule 2	 IP15231p	-	Ig_2/I-set/I-set/Ig_3/Ig_3/fn3/fn3/
Tadh_TriadT18200	Carboxypeptidase D	 CG4678	Putative metallocarboxypeptidase ECM14	Peptidase_M14/CarboxypepD_reg/
Tadh_TriadT28479	Carboxypeptidase D	 LP15968p	Putative metallocarboxypeptidase ECM14	Peptidase_M14/CarboxypepD_reg/
Tadh_TriadT32385	Carboxypeptidase D	 CG4678	-	Peptidase_M14/CarboxypepD_reg/
Tadh_TriadT33120	Carboxypeptidase D	 CG4678	-	Peptidase_M14/CarboxypepD_reg/
Tadh_TriadT35864	Carboxypeptidase D	 CG4678	-	Peptidase_M14/CarboxypepD_reg/
Tadh_TriadT36680	Carboxypeptidase D	 CG4678	Putative metallocarboxypeptidase ECM14	Peptidase_M14/CarboxypepD_reg/
Tadh_TriadT55803	Carboxypeptidase D	 CG4678	Putative metallocarboxypeptidase ECM14	Peptidase_M14/CarboxypepD_reg/
Tadh_TriadT19704	Membrane-bound transcription factor site 1 protease	 S1P	Subtilase-type proteinase RRT12	Peptidase_S8/
Tadh_TriadT22925	Proprotein convertase subtilisin/kexin type 1	 Furin 1	Kexin	Peptidase_S8/P_proprotein/
Tadh_TriadT54612	Proprotein convertase subtilisin/kexin type 5	 Furin 2	Kexin	Peptidase_S8/P_proprotein/
Tadh_TriadT60295	Proprotein convertase subtilisin/kexin type 7	 Furin 1	Kexin	Peptidase_S8/P_proprotein/
Tadh_TriadT61672	Tripeptidyl-peptidase 2	 Tripeptidyl-peptidase II	-	Peptidase_S8/TPPII/
Tadh_TriadT63022	Tripeptidyl-peptidase 1	-	-	Peptidase_S8/
Tadh_TriadT50710	Amino acid transporter	 Amino acid transporter	-	SDF/
Tadh_TriadT11741	Amino acid transporter	 Amino acid transporter	-	SDF/
Tadh_TriadT35072	Amino acid transporter	 Amino acid transporter	-	SDF/
