Tadh_TriadT56732	AF-4.HG1.0:AFF1/AFF2/AFF3/AFF4
Tadh_TriadT31334	Homeodomains.HG1.35:NKX6-1/NKX6-2/NKX6-3
Tadh_TriadT9507	Homeodomains.HG1.39:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8
Tadh_TriadT9531	Homeodomains.HG1.39:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8
Tadh_TriadT9561	Homeodomains.HG1.39:NKX2-1/NKX2-2/NKX2-3/NKX2-4/NKX2-5/NKX2-6/NKX2-8
Tadh_TriadT18102	Homeodomains.HG1.4:DBX1/DBX2/HLX
Tadh_TriadT50911	Homeodomains.HG1.45:MNX1
Tadh_TriadT9560	Homeodomains.HG1.5:HHEX
Tadh_TriadT60748	Homeodomains.HG1.59:like:GSX1/GSX2
Tadh_TriadT33728	Homeodomains.HG1.60:GSX1/GSX2
Tadh_TriadT9493	Homeodomains.HG2.25:like:SHOX/SHOX2
Tadh_TriadT9391	Homeodomains.HG2.26:GSC/GSC2
Tadh_TriadT17913	Homeodomains.HG2.34:OTP/PITX1/PITX2/PITX3/RAX/RAX2
Tadh_TriadT9570	Homeodomains.HG2.34:OTP/PITX1/PITX2/PITX3/RAX/RAX2
Tadh_TriadT9432	Homeodomains.HG2.62:like:ARX
Tadh_TriadT9389	Homeodomains.HG2.63:ARX
Tadh_TriadT9590	Homeodomains.HG2.67:like:ALX1/ALX3/ALX4/ARX
Tadh_TriadT3502	Homeodomains.HG2.8:like:PAX2/PAX4/PAX5/PAX6/PAX8
Tadh_TriadT29410	Homeodomains.HG2.9:PAX2/PAX4/PAX5/PAX6/PAX8
Tadh_TriadT24265	Homeodomains.HG4.1:IRX1/IRX2/IRX3/IRX4/IRX5/IRX6/MKX
Tadh_TriadT9468	Homeodomains.HG4.18:PKNOX1/PKNOX2
Tadh_TriadT59844	Homeodomains.HG4.19:like:MEIS1/MEIS2/MEIS3
Tadh_TriadT21171	Homeodomains.HG4.6:PBX1/PBX2/PBX3/PBX4
Tadh_TriadT5673	Homeodomains.HG5.5:like:SIX1/SIX2/SIX3/SIX4/SIX5/SIX6
Tadh_TriadT32356	Homeodomains.HG5.7:SIX3/SIX6
Tadh_TriadT16489	Homeodomains.HG6.11:POU3F1/POU3F2/POU3F3/POU3F4
Tadh_TriadT25765	Homeodomains.HG6.7:POU4F1/POU4F2/POU4F3
Tadh_TriadT28952	Homeodomains.HG7.2:HNF1A/HNF1B
Tadh_TriadT14836	Homeodomains.Unclassified
Tadh_TriadT20649	Homeodomains.Unclassified
Tadh_TriadT30033	Homeodomains.Unclassified
Tadh_TriadT30944	Homeodomains.Unclassified
Tadh_TriadT54813	HSF.HG1.0:HSF5/HSFX1/HSFX2/HSFX3/HSFX4/HSFY1/HSFY2
Tadh_TriadT23376	HSF.HG1.1:HSF1/HSF2/HSF4
Tadh_TriadT51740	IRF.HG1.7:IRF1/IRF2
Tadh_TriadT63874	IRF.HG1.7:IRF1/IRF2
Tadh_TriadT49676	LAG1_CSL.HG1.0:RBPJ/RBPJL
Tadh_TriadT22691	MADS-box_SRF.HG1.1:BORCS8-MEF2B/MEF2A/MEF2B/MEF2C/MEF2D
Tadh_TriadT59812	MADS-box_SRF.HG1.2:SRF
Tadh_TriadT59813	MADS-box_SRF.HG1.2:SRF
Tadh_TriadT53787	MBD.HG1.5:BAZ2A/BAZ2B
Tadh_TriadT61872	mTERF.HG1.0:like:MTERF1/MTERF2/MTERF3/MTERF4
Tadh_TriadT51541	mTERF.HG1.1:MTERF1/MTERF2/MTERF3/MTERF4
Tadh_TriadT51882	mTERF.HG1.1:MTERF1/MTERF2/MTERF3/MTERF4
Tadh_TriadT59443	mTERF.HG1.1:MTERF1/MTERF2/MTERF3/MTERF4
Tadh_TriadT59444	mTERF.HG1.1:MTERF1/MTERF2/MTERF3/MTERF4
Tadh_TriadT53135	Myb.HG1.0:ZZZ3
Tadh_TriadT12520	Myb.HG1.1:DNAJC1/DNAJC2
Tadh_TriadT55043	Myb.HG1.1:DNAJC1/DNAJC2
Tadh_TriadT61318	Myb.HG1.10:NCOR1/NCOR2
Tadh_TriadT37778	Myb.HG1.12:CDC5L
Tadh_TriadT53144	Myb.HG1.14:DMTF1/TTF1
Tadh_TriadT51793	Myb.HG1.16:RCOR1/RCOR2/RCOR3
Tadh_TriadT52276	Myb.HG1.19:SNAPC4
Tadh_TriadT28428	Myb.HG1.21:TERB1
Tadh_TriadT17350	Myb.HG1.24:MYB/MYBL1
Tadh_TriadT31063	Myb.HG1.3:SMARCC1/SMARCC2
Tadh_TriadT57213	Myb.HG1.6:TADA2B
Tadh_TriadT51555	Myb.HG2.15:NA
Tadh_TriadT51596	Myb.HG2.26:NA
Tadh_TriadT52893	Myb.HG2.27:NA
Tadh_TriadT60838	Myb.HG2.8:NA
Tadh_TriadT54580	Myb.HG4.5:MSANTD1
Tadh_TriadT59326	Myb.HG5.0:DMAP1
Tadh_TriadT59457	Myb.HG6.0:BDP1
Tadh_TriadT56129	Myb.HG7.0:TERF2IP
Tadh_TriadT64051	Myb.Unclassified
Tadh_wf_g6674.t1	Myb.Unclassified
Tadh_TriadT18287	Ndt80_PhoG.HG1.0:MYRF/MYRFL
Tadh_TriadT32641	NFX1_ZF.HG1.0:NFXL1
Tadh_TriadT55011	NFX1_ZF.HG1.1:NFX1
Tadh_TriadT58635	NFYA.HG1.2:like:NFYA
Tadh_TriadT27729	NFYB_NFYC.HG1.1:CU639417.1/H2BC1/H2BC3/H2BC4/H2BC5/H2BC6/H2BC7/H2BC8/H2BC9/H2BC10/H2BC11/H2BC12/H2BC13/H2BC14/H2BC15/H2BC17/H2BC18/H2BC21/H2BE1/H2BS1/H2BU1/H2BW2
Tadh_TriadT64252	NFYB_NFYC.HG2.3:H2AC1/H2AC4/H2AC6/H2AC7/H2AC8/H2AC11/H2AC12/H2AC13/H2AC14/H2AC15/H2AC16/H2AC17/H2AC18/H2AC19/H2AC20/H2AC21/H2AJ/H2AW/H2AX
Tadh_TriadT28000	NFYB_NFYC.HG3.1:NFYC
Tadh_TriadT56174	NFYB_NFYC.HG3.7:CHRAC1
Tadh_TriadT58930	NFYB_NFYC.HG3.7:CHRAC1
Tadh_TriadT54139	NFYB_NFYC.HG4.1:like:DR1/NFYB/POLE3
Tadh_TriadT28921	NFYB_NFYC.HG4.5:NFYB
Tadh_wf_g2149.t1	NFYB_NFYC.Unclassified
Tadh_TriadT55353	NRF1.HG1.0:like:NRF1
Tadh_TriadT2796	NRF1.HG1.1:NRF1
Tadh_TriadT64021	P53.HG1.3:TP53/TP63/TP73
Tadh_TriadT56026	Pipsqueak.HG1.14:NA
Tadh_TriadT51266	RFX.HG1.5:like:RFX4/RFX6
Tadh_TriadT51678	RFX.HG1.7:RFX4/RFX6
Tadh_TriadT51992	RFX.HG1.7:RFX4/RFX6
Tadh_TriadT25179	Runt_Runx.HG1.0:RUNX1/RUNX2/RUNX3
Tadh_TriadT52368	SMAD_MH1.HG1.0:SMAD6/SMAD7
Tadh_TriadT30731	SMAD_MH1.HG1.14:SMAD4
Tadh_TriadT50301	SMAD_MH1.HG1.6:like:SMAD1/SMAD2/SMAD3/SMAD4/SMAD5/SMAD9
Tadh_TriadT49742	SMAD_MH1.HG1.9:SMAD2/SMAD3
Tadh_TriadT52438	STAT.HG1.0:like:STAT1/STAT2/STAT3/STAT4/STAT5A/STAT5B/STAT6
Tadh_TriadT53918	STAT.HG1.0:like:STAT1/STAT2/STAT3/STAT4/STAT5A/STAT5B/STAT6
Tadh_TriadT53920	STAT.HG1.0:like:STAT1/STAT2/STAT3/STAT4/STAT5A/STAT5B/STAT6
Tadh_TriadT25521	T-box.HG1.1:TBX19/TBXT
Tadh_TriadT59753	T-box.HG1.14:TBX2/TBX3
Tadh_TriadT17171	T-box.HG1.3:like:EOMES/TBR1/TBX19/TBX21/TBXT
Tadh_TriadT53394	T-box.HG1.3:like:EOMES/TBR1/TBX19/TBX21/TBXT
Tadh_TriadT30221	T-box.HG1.9:TBX4/TBX5
Tadh_TriadT22173	TBP.HG1.3:like:TBP/TBPL2
Tadh_TriadT50358	TBP.HG1.4:TBP/TBPL2
Tadh_TriadT22423	TEA.HG1.1:TEAD1/TEAD2/TEAD3/TEAD4
Tadh_TriadT59682	Tesmin_TSO1-like.HG1.2:LIN54/TESMIN
Tadh_TriadT61892	TFIIA.HG1.0:GTF2A1/GTF2A1L/STON1-GTF2A1L
Tadh_TriadT62066	TFIIB.HG1.0:BRF1
Tadh_TriadT53474	TFIIB.HG1.2:GTF2B
Tadh_TriadT60440	THAP_finger.Unclassified
Tadh_TriadT33067	Tub.HG1.4:TUB/TULP3
Tadh_TriadT55931	YL1.HG1.0:VPS72
Tadh_TriadT56420	zf-C2H2.HG1.106:PRDM13;zf-met.HG1.62:like:GFI1/MAZ/PATZ1/SALL1/SALL2/SALL3/SALL4/ZBTB14/ZBTB49/ZNF236/ZNF384/ZNF426/ZNF524/ZNF559-ZNF177/ZNF628/ZNF883
Tadh_TriadT63664	zf-C2H2.HG1.107:GFI1/GFI1B;zf-met.HG1.75:like:GFI1/MAZ/PATZ1/SALL1/SALL2/SALL3/SALL4/ZBTB14/ZBTB49/ZNF236/ZNF384/ZNF426/ZNF524/ZNF559-ZNF177/ZNF628/ZNF883
Tadh_TriadT18720	zf-C2H2.HG1.125:like:AC002310.4/AC010422.6/AC138696.1/BCL11A/BCL11B/GFI1/GFI1B/MAZ/MYNN/PLAG1/PRDM5/PRDM9/PRDM13/PRDM15/VEZF1/ZBTB3/ZBTB11/ZBTB14/ZBTB20/ZBTB41/ZBTB43/ZBTB45/ZFP37/ZFP41/ZFP57/ZFP62/ZFP64/ZFP92/ZFX/ZFY/ZNF19/ZNF20/ZNF48/ZNF70/ZNF79/ZNF133/ZNF174/ZNF197/ZNF212/ZNF213/ZNF217/ZNF219/ZNF282/ZNF319/ZNF335/ZNF337/ZNF439/ZNF484/ZNF497/ZNF500/ZNF516/ZNF568/ZNF574/ZNF579/ZNF584/ZNF672/ZNF697/ZNF707/ZNF711/ZNF717/ZNF747/ZNF764/ZNF768/ZNF778/ZNF835/ZNF837/ZNF878/ZSCAN5A/ZSCAN9/ZSCAN10/ZSCAN26;zf-met.HG33.0:NA
Tadh_TriadT26536	zf-C2H2.HG10.0:YY1/YY2/ZFP42
Tadh_TriadT9064	zf-C2H2.HG10.4:ZNF148/ZNF740
Tadh_TriadT58398	zf-C2H2.HG110.0:ZNF512;zf-met.HG25.0:NA
Tadh_TriadT20314	zf-C2H2.HG12.1:SCRT1/SCRT2/SNAI1/SNAI2/SNAI3/ZNF526;zf-met.HG1.40:PRDM5/SNAI1/SNAI2/SNAI3
Tadh_TriadT7674	zf-C2H2.HG12.1:SCRT1/SCRT2/SNAI1/SNAI2/SNAI3/ZNF526;zf-met.HG1.40:PRDM5/SNAI1/SNAI2/SNAI3
Tadh_TriadT17956	zf-C2H2.HG13.4:EGR1/EGR2/EGR3/EGR4
Tadh_TriadT11944	zf-C2H2.HG14.2:like:ZNF784;zf-met.HG1.55:like:GFI1/MAZ/PATZ1/SALL1/SALL2/SALL3/SALL4/ZBTB14/ZBTB49/ZNF236/ZNF384/ZNF426/ZNF524/ZNF559-ZNF177/ZNF628/ZNF883
Tadh_TriadT24169	zf-C2H2.HG161.0:NA;zf-met.HG25.0:NA
Tadh_wf_g4131.t1	zf-C2H2.HG166.0:NA;zf-met.HG46.0:NA
Tadh_TriadT7660	zf-C2H2.HG173.0:NA
Tadh_TriadT61203	zf-C2H2.HG19.0:INSM1/INSM2
Tadh_TriadT7089	zf-C2H2.HG22.2:FEZF1/FEZF2;zf-met.HG1.53:like:PRDM12
Tadh_TriadT24667	zf-C2H2.HG23.0:OVOL1/OVOL2/OVOL3
Tadh_TriadT18203	zf-C2H2.HG24.0:ZNF622;zf-met.HG5.1:ZNF622
Tadh_TriadT60016	zf-C2H2.HG27.0:ZNF277
Tadh_TriadT31747	zf-C2H2.HG3.0:like:MTF1/ZNF76/ZNF143
Tadh_TriadT27838	zf-C2H2.HG3.11:KLF10/KLF11
Tadh_TriadT17953	zf-C2H2.HG3.16:KLF1/KLF2/KLF3/KLF4/KLF5/KLF6/KLF7/KLF8/KLF12
Tadh_TriadT18001	zf-C2H2.HG3.16:KLF1/KLF2/KLF3/KLF4/KLF5/KLF6/KLF7/KLF8/KLF12
Tadh_TriadT32907	zf-C2H2.HG3.16:KLF1/KLF2/KLF3/KLF4/KLF5/KLF6/KLF7/KLF8/KLF12
Tadh_TriadT14248	zf-C2H2.HG3.3:like:MTF1/ZNF76/ZNF143
Tadh_TriadT57313	zf-C2H2.HG32.1:TRERF1/ZNF541
Tadh_TriadT23582	zf-C2H2.HG38.2:like:HINFP;zf-met.HG42.0:NA
Tadh_TriadT14905	zf-C2H2.HG4.19:like:SALL1/SALL2/SALL3/SALL4/ZBTB24
Tadh_TriadT15889	zf-C2H2.HG4.2:PLAGL1/ZNF367;zf-met.HG1.87:like:GFI1/MAZ/PATZ1/SALL1/SALL2/SALL3/SALL4/ZBTB14/ZBTB49/ZNF236/ZNF384/ZNF426/ZNF524/ZNF559-ZNF177/ZNF628/ZNF883
Tadh_TriadT7285	zf-C2H2.HG5.4:ZBTB8A;zf-met.HG1.74:like:GFI1/MAZ/MYNN/PATZ1/PRDM5/SALL1/SALL2/SALL3/SALL4/SNAI1/SNAI2/SNAI3/ZBTB14/ZBTB32/ZBTB34/ZBTB47/ZBTB49/ZNF131/ZNF236/ZNF384/ZNF408/ZNF426/ZNF524/ZNF559-ZNF177/ZNF628/ZNF883
Tadh_TriadT14897	zf-C2H2.HG55.0:like:PRDM12
Tadh_TriadT8204	zf-C2H2.HG6.2:like:ZBTB32
Tadh_TriadT26468	zf-C2H2.HG6.8:AC008770.2/ZNF260/ZNF320/ZNF551/ZNF555/ZNF658/ZNF732/ZNF763
Tadh_TriadT21225	zf-C2H2.HG60.1:NA;zf-met.HG1.55:like:GFI1/MAZ/PATZ1/SALL1/SALL2/SALL3/SALL4/ZBTB14/ZBTB49/ZNF236/ZNF384/ZNF426/ZNF524/ZNF559-ZNF177/ZNF628/ZNF883
Tadh_TriadT13838	zf-C2H2.HG74.0:NA
Tadh_TriadT16340	zf-C2H2.HG8.3:ZIC1/ZIC2/ZIC3/ZIC4/ZIC5
Tadh_TriadT8990	zf-C2H2.HG9.1:KLF13;zf-met.HG1.76:like:GFI1/MAZ/PATZ1/SALL1/SALL2/SALL3/SALL4/ZBTB14/ZBTB49/ZNF236/ZNF384/ZNF426/ZNF524/ZNF559-ZNF177/ZNF628/ZNF883
Tadh_TriadT17488	zf-C2H2.HG9.10:SP6/SP7/SP8/SP9;zf-met.HG1.76:like:GFI1/MAZ/PATZ1/SALL1/SALL2/SALL3/SALL4/ZBTB14/ZBTB49/ZNF236/ZNF384/ZNF426/ZNF524/ZNF559-ZNF177/ZNF628/ZNF883
Tadh_TriadT7637	zf-C2H2.HG9.12:SP2
Tadh_TriadT9010	zf-C4_Nuclear_receptors.HG1.0:AR/ESR1/ESR2/NR3C1/NR3C2/PGR
Tadh_TriadT21656	zf-C4_Nuclear_receptors.HG1.15:like:NR2E1/NR2E3/NR2F1/NR2F2/NR2F6
Tadh_TriadT50786	zf-C4_Nuclear_receptors.HG1.24:HNF4A/HNF4G
Tadh_TriadT49897	zf-C4_Nuclear_receptors.HG1.9:RXRA/RXRB/RXRG
Tadh_TriadT52488	zf-CXXC.HG1.0:CXXC4/CXXC5/TET1/TET3
Tadh_TriadT27303	zf-CXXC.HG1.12:CXXC1/MBD1
Tadh_TriadT60496	zf-met.HG10.0:SCAPER
Tadh_TriadT62010	zf-met.HG13.0:NA
Tadh_TriadT54458	zf-met.HG15.0:AP002990.1/TUT1
Tadh_TriadT54522	zf-met.HG3.5:like:ZFR/ZFR2
