gene	orthogroup	orthogroup_support	orthologous_to	orthologous_to_support
Coemet_Cmet_scaffold7287_01	Activin_recp.HG1.1:ACVR2A/ACVR2B/BMPR2	79.0	ACVR2A/ACVR2B/BMPR2	79.0/79.0/79.0
Hsap_ENST00000257863	Activin_recp.HG1.2:AMHR2	1.0	AMHR2	100.0
Drer_ENSDART00000077732	Activin_recp.HG2.0:NA	1.0	NA	NA
Skow_NM_001164893.1	Activin_recp.HG2.0:NA	1.0	NA	NA
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA220461	Activin_recp.HG2.0:NA	1.0	NA	NA
Bralan_BLAG10000991_1	Activin_recp.HG2.0:NA	1.0	NA	NA
Drer_ENSDART00000159525	Activin_recp.HG2.0:NA	1.0	NA	NA
Cgig_XM_011451367.3	Activin_recp.HG2.0:NA	1.0	NA	NA
Vmul_Simscaffold6987_01	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	1.0/1.0/1.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA183104	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	59.0/59.0/59.0
Cint_ENSCINT00000019640	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	93.0/93.0/93.0
Drer_ENSDART00000012450	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL2	100.0
Mmus_ENSMUST00000171572	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL3	100.0
Dgig_XM_028538053.1	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	44.0/44.0/44.0
Spis_XP_022793500_1	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	44.0/44.0/44.0
Skow_NM_001165021.1-2	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	52.0/52.0/52.0
Hsap_ENST00000005340	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL2	100.0
Mmus_ENSMUST00000019362	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL2	100.0
Nvec_v1g50431	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	44.0/44.0/44.0
Nemnom_g4083.t1	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	NA	NA
Cgig_XM_011424260.3	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	59.0/59.0/59.0
Tcas_TC014903_001	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	59.0/59.0/59.0
Drer_ENSDART00000158246	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	NA	NA
Drer_ENSDART00000143583	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	NA	NA
Drer_ENSDART00000103752	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	NA	NA
Drer_ENSDART00000150174	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1	43.0
Hvul_g29784_1	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	NA	NA
Plajan_Pjan_C567442_01	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	55.0/55.0/55.0
Drer_ENSDART00000097732	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	NA	NA
Morvir_scaffold382.g10.t1	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	NA	NA
Spur_XM_030986902.1	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	52.0/52.0/52.0
Mmus_ENSMUST00000030948	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1	100.0
Hsap_ENST00000313143	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL3	100.0
Exapal_XM_021047664.2	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	44.0/44.0/44.0
Dmel_FBtr0073454	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	59.0/59.0/59.0
Skow_NM_001165021.1	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	NA	NA
Bralan_BLAG11000652_1	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	36.0/36.0/36.0
Hsap_ENST00000378888	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1	100.0
Exapal_XM_021054224.2	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	44.0/44.0/44.0
Spis_XP_022783872_1	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	44.0/44.0/44.0
Adig_XM_015903741.1	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	44.0/44.0/44.0
Coemet_Cmet_scaffold14030_01	Dishevelled.HG1.0:DVL1/DVL2/DVL3	1.0	DVL1/DVL2/DVL3	1.0/1.0/1.0
Ocar_g870	DSL.HG1.0:like:DLL1/DLL4/JAG1/JAG2	34.0	NA	NA
Mlei_ML0857.g16.i1	DSL.HG1.0:like:DLL1/DLL4/JAG1/JAG2	34.0	NA	NA
Lampan_Lpan_C409227_01	DSL.HG1.0:like:DLL1/DLL4/JAG1/JAG2	34.0	NA	NA
Vmul_sbMO396544	DSL.HG1.0:like:DLL1/DLL4/JAG1/JAG2	34.0	NA	NA
Horcal_Hcv1.av93.c3.g422.i1	DSL.HG1.0:like:DLL1/DLL4/JAG1/JAG2	34.0	NA	NA
Bolinf_Binf_sb1273724	DSL.HG1.0:like:DLL1/DLL4/JAG1/JAG2	34.0	NA	NA
Bolinf_Binf_sb1273717	DSL.HG1.0:like:DLL1/DLL4/JAG1/JAG2	34.0	NA	NA
Bolinf_Binf_sb1273721	DSL.HG1.0:like:DLL1/DLL4/JAG1/JAG2	34.0	NA	NA
Bolinf_Binf_sb1273726	DSL.HG1.0:like:DLL1/DLL4/JAG1/JAG2	34.0	NA	NA
Ocar_g5844	DSL.HG1.0:like:DLL1/DLL4/JAG1/JAG2	34.0	NA	NA
Spis_XP_022789435_1	DSL.HG1.1:like:DLL1/DLL4/JAG1/JAG2	69.0	NA	NA
Bolinf_Binf_sb1254734	DSL.HG1.1:like:DLL1/DLL4/JAG1/JAG2	69.0	NA	NA
Bolinf_Binf_sb1254735	DSL.HG1.1:like:DLL1/DLL4/JAG1/JAG2	69.0	NA	NA
Skow_NM_001164987.1	DSL.HG1.1:like:DLL1/DLL4/JAG1/JAG2	69.0	NA	NA
Morvir_scaffold194.g47.t1	DSL.HG1.1:like:DLL1/DLL4/JAG1/JAG2	69.0	NA	NA
Hvul_g25412_1	DSL.HG1.1:like:DLL1/DLL4/JAG1/JAG2	69.0	NA	NA
Nemnom_g8814.t1	DSL.HG1.1:like:DLL1/DLL4/JAG1/JAG2	69.0	NA	NA
Exapal_XM_028662741.1	DSL.HG1.1:like:DLL1/DLL4/JAG1/JAG2	69.0	NA	NA
Nvec_v1g122285	DSL.HG1.1:like:DLL1/DLL4/JAG1/JAG2	69.0	NA	NA
Emue_Em0019g985a.t1	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Tetwil_g23173.t2	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Tetwil_g26154.t1	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Tetwil_g22151.t2	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Tetwil_g22152.t2	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Tetwil_g22923.t2	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Vmul_sbMO400630	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Tetwil_g9352.t1	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Tetwil_g9354.t2	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Horcal_Hcv1.av93.c7.g817.i1	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Tetwil_g17203.t2	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Mlei_ML0649.g29.i1	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Tetwil_g23188.t2	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Nemnom_g14836.t1	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Tetwil_g3956.t2	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Horcal_Hcv1.av93.c7.g817.i2	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Tetwil_g26251.t1	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Tetwil_g26884.t2	DSL.HG1.2:like:DLL1/DLL4/JAG1/JAG2	51.0	NA	NA
Aque_Aqu2.1.38360_001	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g23179.t1	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g7970.t2	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g21104.t2	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g23178.t2	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g19599.t1	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g23187.t1	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g14860.t1	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g14206.t2	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g7782.t1	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g13786.t2	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g7969.t1	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g6839.t1	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g11015.t2	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g19594.t2	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g7783.t2	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g23180.t2	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g17887.t1	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g11016.t2	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g26887.t2	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g19598.t1	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g19600.t2	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g23189.t1	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g24801.t1	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g4523.t2	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g19597.t2	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g7786.t2	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g19593.t1	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g7781.t2	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g19595.t1	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g7785.t2	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g19601.t1	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Tetwil_g23181.t1	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Aque_Aqu2.1.44250_001	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Aque_Aqu2.1.32687_001	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Aque_Aqu2.1.32688_001	DSL.HG1.3:like:DLL1/DLL4/JAG1/JAG2	53.0	NA	NA
Lampan_Lpan_14326_01	DSL.HG1.4:DLL1/DLL4/JAG1/JAG2	72.0	DLL1/DLL4/JAG1/JAG2	72.0/72.0/72.0/72.0
Exapal_XM_021049978.2	DSL.HG1.4:DLL1/DLL4/JAG1/JAG2	72.0	JAG1/JAG2	98.0/98.0
Ctel_gnl_WGS_AMQN_CAPTEDRAFT_mRNA101809	DSL.HG1.4:DLL1/DLL4/JAG1/JAG2	72.0	JAG1/JAG2	91.0/91.0
Drer_ENSDART00000137172	DSL.HG1.4:DLL1/DLL4/JAG1/JAG2	72.0	JAG1	100.0
Nemnom_g15834.t1	DSL.HG1.4:DLL1/DLL4/JAG1/JAG2	72.0	NA	NA
Bralan_BLAG17000222_1	DSL.HG1.4:DLL1/DLL4/JAG1/JAG2	72.0	DLL1	70.0
Cgig_XM_034445515.1	DSL.HG1.4:DLL1/DLL4/JAG1/JAG2	72.0	NA	NA
Cint_ENSCINT00000008682	DSL.HG1.4:DLL1/DLL4/JAG1/JAG2	72.0	DLL1	70.0
HoiH23_PlH23_009714-RA	DSL.HG1.4:DLL1/DLL4/JAG1/JAG2	72.0	NA	NA
