Tadh_TriadT54579	ASC.HG1.18:SCNN1A/SCNN1B/SCNN1D/SCNN1G
Tadh_TriadT3835	IRK.HG1.0:KCNJ1/KCNJ2/KCNJ3/KCNJ4/KCNJ5/KCNJ6/KCNJ8/KCNJ9/KCNJ10/KCNJ11/KCNJ12/KCNJ13/KCNJ14/KCNJ15/KCNJ16/KCNJ18
Tadh_TriadT19383	Lig_chan.HG1.1:like:GRIA1/GRIA2/GRIA3/GRIA4/GRID1/GRID2/GRIK1/GRIK2/GRIK3/GRIK4/GRIK5/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Tadh_TriadT18262	Lig_chan.HG1.4:like:GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Tadh_TriadT18488	Lig_chan.HG1.4:like:GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Tadh_TriadT18823	Lig_chan.HG1.4:like:GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Tadh_TriadT18943	Lig_chan.HG1.4:like:GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Tadh_TriadT30609	Lig_chan.HG1.4:like:GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Tadh_TriadT30612	Lig_chan.HG1.4:like:GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Tadh_TriadT3218	Lig_chan.HG1.4:like:GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Tadh_TriadT32461	Lig_chan.HG1.4:like:GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Tadh_TriadT55165	Lig_chan.HG1.4:like:GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Tadh_TriadT61396	Lig_chan.HG1.4:like:GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Tadh_TriadT14565	Lig_chan.HG1.5:like:GRIA1/GRIA2/GRIA3/GRIA4/GRID1/GRID2/GRIK1/GRIK2/GRIK3/GRIK4/GRIK5/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Tadh_TriadT25025	Lig_chan.HG1.6:like:GRIA1/GRIA2/GRIA3/GRIA4/GRID1/GRID2/GRIK1/GRIK2/GRIK3/GRIK4/GRIK5/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Tadh_TriadT25027	Lig_chan.HG1.6:like:GRIA1/GRIA2/GRIA3/GRIA4/GRID1/GRID2/GRIK1/GRIK2/GRIK3/GRIK4/GRIK5/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN2D/GRIN3A/GRIN3B
Tadh_TriadT14805	Na_Ca_ex.HG1.0:like:SLC24A1/SLC24A2/SLC24A3/SLC24A4/SLC24A5
Tadh_TriadT57255	Na_Ca_ex.HG1.3:SLC8B1
Tadh_TriadT63252	Na_Ca_ex.HG1.4:SLC24A1/SLC24A2
Tadh_TriadT53673	Na_Ca_ex.HG1.5:like:SLC8B1
Tadh_TriadT33154	Na_Ca_ex.HG1.6:SLC24A3/SLC24A4
Tadh_TriadT54574	Na_Ca_ex.HG2.0:like:SLC8A1/SLC8A2/SLC8A3
Tadh_TriadT32198	Na_Ca_ex.HG2.1:SLC8A1/SLC8A2/SLC8A3
Tadh_TriadT53617	Na_Ca_ex.HG2.2:like:SLC8A1/SLC8A2/SLC8A3
Tadh_TriadT57950	Na_Ca_ex.HG3.0:NA
Tadh_TriadT57279	P2X_receptor.HG1.3:P2RX1/P2RX2/P2RX3/P2RX4/P2RX5/P2RX5-TAX1BP3/P2RX6/P2RX7
Tadh_TriadT59819	P2X_receptor.HG1.3:P2RX1/P2RX2/P2RX3/P2RX4/P2RX5/P2RX5-TAX1BP3/P2RX6/P2RX7
Tadh_TriadT56917	VGCC_alpha2.HG1.0:CACNA2D3/CACNA2D4
Tadh_TriadT56911	VGCC_alpha2.HG1.1:CACNA2D1/CACNA2D2
