homology_group	ancestral_linkage_group	chromosomes_in_ALG
HG004307	ALG003	Emue:scaffold_0003 Bralan:chr3 Rhoesc:SWAQ01000978.1
HG004521	ALG003	Emue:scaffold_0003 Bralan:chr3 Rhoesc:SWAQ01000978.1
HG005022	ALG003	Emue:scaffold_0003 Bralan:chr3 Rhoesc:SWAQ01000978.1
HG001301	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG001372	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG001539	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG001821	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG001903	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG001982	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG001984	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG001986	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG002127	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG002269	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG002494	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG002813	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG002814	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG002815	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG002817	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG002818	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG002820	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG002822	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG002823	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG002824	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG002825	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG002826	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG003344	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG003350	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG003351	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG003352	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG003355	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG003356	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG003358	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG003359	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG003944	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG003947	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG003948	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG003951	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG003954	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG004398	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG004696	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG004700	ALG004	Emue:scaffold_0004 Bralan:chr10 Rhoesc:SWAQ01001661.1
HG001772	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG002013	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG002307	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG002309	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG002467	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG002556	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG002558	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG002559	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG002560	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG002561	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG002908	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG002911	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG002914	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG002915	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG002917	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG002918	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG002921	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG002922	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG003468	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG003471	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG003475	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG003479	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG003480	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG003481	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG004044	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG004046	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG004048	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG004049	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG004305	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG004734	ALG005	Emue:scaffold_0005 Bralan:chr16 Rhoesc:SWAQ01000448.1
HG001381	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG001547	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG001907	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG001995	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG002137	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG002275	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG002278	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG002518	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG002519	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG002520	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG002524	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG002842	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG003384	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG003389	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG003390	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG003397	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG003843	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG003978	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG003982	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG004714	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG005357	ALG006	Emue:scaffold_0007 Bralan:chr12 Rhoesc:SWAQ01001661.1
HG001443	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG001543	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG001608	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG001905	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG002249	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG002273	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG002499	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG002500	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG002501	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG002506	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG002508	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG002511	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG002828	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG002829	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG002836	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG002838	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG002839	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG002840	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG003353	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG003365	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG003366	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG003376	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG003378	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG003379	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG003381	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG003964	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG003967	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG003969	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG004413	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG004415	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG004417	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG004419	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG004422	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG004972	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG005754	ALG007	Emue:scaffold_0008 Bralan:chr11 Rhoesc:SWAQ01000359.1
HG001331	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG001632	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG001846	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002028	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002031	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002034	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002164	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002165	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002327	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002584	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002600	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002603	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002605	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002933	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002954	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002962	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002966	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002971	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002975	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002978	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002979	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002981	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002983	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002988	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002989	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002990	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002992	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002997	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002998	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002999	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG003525	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG003526	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG003528	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG003537	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG003540	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG003546	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG003551	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG003552	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG003553	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG003556	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG003557	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG003559	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG003560	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG003561	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG003562	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG003564	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG003566	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004076	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004078	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004083	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004092	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004094	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004095	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004096	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004097	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004098	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004101	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004105	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004110	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004499	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004504	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004512	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004516	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004517	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG004758	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG005534	ALG008	Emue:scaffold_0009 Bralan:chr2 Rhoesc:SWAQ01000217.1
HG002161	ALG009	Emue:scaffold_0010 Bralan:chr19 Rhoesc:SWAQ01000045.1
HG002314	ALG009	Emue:scaffold_0010 Bralan:chr19 Rhoesc:SWAQ01000045.1
HG002316	ALG009	Emue:scaffold_0010 Bralan:chr19 Rhoesc:SWAQ01000045.1
HG002318	ALG009	Emue:scaffold_0010 Bralan:chr19 Rhoesc:SWAQ01000045.1
HG002576	ALG009	Emue:scaffold_0010 Bralan:chr19 Rhoesc:SWAQ01000045.1
HG002578	ALG009	Emue:scaffold_0010 Bralan:chr19 Rhoesc:SWAQ01000045.1
HG002581	ALG009	Emue:scaffold_0010 Bralan:chr19 Rhoesc:SWAQ01000045.1
HG002949	ALG009	Emue:scaffold_0010 Bralan:chr19 Rhoesc:SWAQ01000045.1
HG003511	ALG009	Emue:scaffold_0010 Bralan:chr19 Rhoesc:SWAQ01000045.1
HG003518	ALG009	Emue:scaffold_0010 Bralan:chr19 Rhoesc:SWAQ01000045.1
HG004069	ALG009	Emue:scaffold_0010 Bralan:chr19 Rhoesc:SWAQ01000045.1
HG004072	ALG009	Emue:scaffold_0010 Bralan:chr19 Rhoesc:SWAQ01000045.1
HG001282	ALG010	Emue:scaffold_0011 Bralan:chr13 Rhoesc:SWAQ01000092.1
HG001552	ALG010	Emue:scaffold_0011 Bralan:chr13 Rhoesc:SWAQ01000092.1
HG001553	ALG010	Emue:scaffold_0011 Bralan:chr13 Rhoesc:SWAQ01000092.1
HG002142	ALG010	Emue:scaffold_0011 Bralan:chr13 Rhoesc:SWAQ01000092.1
HG002282	ALG010	Emue:scaffold_0011 Bralan:chr13 Rhoesc:SWAQ01000092.1
HG002287	ALG010	Emue:scaffold_0011 Bralan:chr13 Rhoesc:SWAQ01000092.1
HG002526	ALG010	Emue:scaffold_0011 Bralan:chr13 Rhoesc:SWAQ01000092.1
HG002528	ALG010	Emue:scaffold_0011 Bralan:chr13 Rhoesc:SWAQ01000092.1
HG002530	ALG010	Emue:scaffold_0011 Bralan:chr13 Rhoesc:SWAQ01000092.1
