peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu	peptidergic_omicron
TrH2_TrispH2_000568	6	17	2	0	0	15	4	2	1	52	0	8	0	0	0
TrH2_TrispH2_000574	4	7	1	7	3	1	3	1	4	11	9	6	2	7	0
TrH2_TrispH2_000575	0	0	0	0	0	0	3	4	2	24	1	13	3	1	0
TrH2_TrispH2_000577	2	19	0	4	6	2	9	10	14	16	19	4	9	8	5
TrH2_TrispH2_000579	0	0	1	1	0	0	0	1	4	0	1	0	0	0	0
TrH2_TrispH2_000581	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
TrH2_TrispH2_000583	6	12	3	8	3	4	12	11	5	27	11	11	25	7	1
TrH2_TrispH2_000586	0	2	0	1	0	0	1	0	2	1	2	0	1	0	0
TrH2_TrispH2_000587	6	7	1	4	2	6	0	0	9	12	3	1	7	2	0
TrH2_TrispH2_000590	23	72	45	79	25	30	42	62	63	146	154	46	218	59	25
TrH2_TrispH2_000592	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
TrH2_TrispH2_000595	0	3	3	1	4	1	1	21	36	5	6	1	6	3	0
TrH2_orphan_9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TrH2_TrispH2_000598	1	3	2	2	1	2	2	1	2	7	4	0	2	1	0
TrH2_TrispH2_000601	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
TrH2_TrispH2_000603	0	1	1	0	0	0	1	1	0	0	0	1	2	0	0
TrH2_TrispH2_000604	0	0	2	0	0	1	0	2	1	2	6	0	1	0	2
TrH2_TrispH2_000606	0	0	0	0	0	0	0	1	0	3	0	1	1	0	0
TrH2_TrispH2_000608	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
TrH2_orphan_10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_000617	1	6	0	2	1	0	0	2	1	7	10	2	8	3	4
TrH2_orphan_11	0	0	2	2	0	0	0	0	1	0	2	0	0	1	0
TrH2_TrispH2_000618	0	1	1	7	3	5	1	1	2	24	1	1	5	0	0
TrH2_TrispH2_000620	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TrH2_TrispH2_000622	0	0	0	0	1	0	0	1	1	0	1	0	2	0	0
TrH2_TrispH2_000624	1	1	43	33	3	2	5	8	6	8	6	8	10	3	2
TrH2_TrispH2_000625	6	6	0	3	0	1	3	2	2	1	3	2	2	3	0
TrH2_TrispH2_000627	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1
TrH2_TrispH2_000630	0	1	2	1	1	1	4	2	2	1	3	0	4	1	0
TrH2_orphan_12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
TrH2_TrispH2_000631	0	1	0	0	0	0	19	0	0	1	2	0	1	1	1
TrH2_TrispH2_000632	5	7	0	10	8	4	6	5	11	14	9	3	5	7	5
TrH2_TrispH2_000633	2	6	0	0	4	3	5	0	2	5	1	0	1	4	0
TrH2_orphan_13	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TrH2_TrispH2_000636	1	1	0	1	0	0	0	1	0	1	1	0	2	2	1
TrH2_TrispH2_000638	12	23	12	22	9	9	26	22	31	48	40	17	67	19	5
TrH2_TrispH2_000640	0	3	0	0	0	2	0	4	2	4	2	1	2	3	0
TrH2_TrispH2_000642	1	4	3	5	3	0	4	5	6	7	17	3	8	1	2
TrH2_TrispH2_000643	28	51	0	3	2	1	1	3	12	25	12	3	3	1	1
TrH2_TrispH2_000645	2	1	4	2	4	0	0	1	0	4	1	0	1	0	1
TrH2_TrispH2_000646	1	1	0	3	0	0	4	1	1	11	5	0	3	3	0
TrH2_TrispH2_000647	0	0	1	0	0	0	0	2	2	1	4	1	1	0	1
TrH2_TrispH2_000650	2	7	11	19	3	2	4	7	17	16	12	5	24	4	3
TrH2_TrispH2_000655	0	2	1	6	3	1	2	2	2	5	9	0	5	0	2
TrH2_TrispH2_000657	1	2	4	25	1	1	1	2	5	10	2	2	9	7	1
TrH2_TrispH2_000658	0	0	0	0	0	0	2	2	0	1	0	0	0	5	0
TrH2_TrispH2_000660	1	1	0	0	0	0	0	1	5	1	1	1	0	1	0
TrH2_TrispH2_000664	1	1	0	0	2	0	2	0	2	10	4	0	1	0	1
TrH2_orphan_14	1	0	1	2	0	0	0	1	0	1	1	0	1	0	0
TrH2_TrispH2_000666	23	48	1	10	4	17	6	8	10	34	21	23	10	0	0
TrH2_TrispH2_000667	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0
TrH2_TrispH2_000668	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
TrH2_orphan_15	0	1	0	0	0	0	1	0	1	0	3	0	3	4	0
TrH2_TrispH2_000675	0	3	0	0	0	1	1	4	1	0	2	0	0	0	1
TrH2_TrispH2_000676	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_000677	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0
TrH2_TrispH2_000678	0	0	0	69	0	0	0	3	0	0	47	0	2	0	0
TrH2_TrispH2_000680	17	40	7	17	17	25	18	29	17	79	57	27	50	24	3
TrH2_TrispH2_000681	0	1	0	0	0	0	1	0	2	1	0	0	1	2	0
TrH2_TrispH2_000682	0	0	0	0	1	0	0	0	0	2	2	0	0	6	1
TrH2_TrispH2_000466	0	2	1	2	5	1	4	13	15	6	5	0	3	3	0
TrH2_TrispH2_000467	0	0	2	4	0	1	1	2	2	1	4	0	1	5	0
TrH2_TrispH2_000468	3	6	0	0	5	2	3	1	8	2	3	1	4	3	1
TrH2_TrispH2_000471	2	2	3	22	2	1	30	0	3	2	77	0	6	0	2
TrH2_TrispH2_000473	0	4	0	0	1	0	0	1	0	3	4	2	1	0	0
TrH2_TrispH2_000475	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TrH2_TrispH2_000476	1	1	0	0	0	1	2	3	3	4	4	1	8	2	1
TrH2_TrispH2_000478	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TrH2_TrispH2_000479	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0
TrH2_TrispH2_000481	0	1	0	1	0	0	0	0	1	0	0	0	1	1	0
TrH2_TrispH2_000482	1	4	0	1	0	2	1	6	3	3	3	1	7	0	1
TrH2_TrispH2_000485	2	0	0	0	4	1	2	0	1	8	2	1	4	1	1
TrH2_TrispH2_000486	0	0	0	1	0	0	0	0	2	2	2	3	0	0	0
TrH2_TrispH2_000489	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0
TrH2_TrispH2_000491	13	26	12	16	35	15	8	8	5	40	11	6	16	14	2
TrH2_TrispH2_000492	2	6	2	5	2	0	3	1	1	6	3	0	2	2	0
TrH2_TrispH2_000493	1	3	0	1	2	0	1	5	3	15	5	2	2	2	1
TrH2_TrispH2_000494	0	1	0	0	2	0	0	1	1	6	3	0	1	1	1
TrH2_TrispH2_000495	30	67	2	16	4	35	24	12	13	62	31	14	23	7	7
TrH2_TrispH2_000496	2	13	19	22	1	1	6	0	3	17	13	1	22	13	1
TrH2_orphan_16	0	2	6	9	0	0	1	0	0	4	7	0	12	2	0
TrH2_TrispH2_000497	0	2	0	0	2	0	0	2	1	3	0	0	0	6	0
TrH2_TrispH2_000500	0	0	1	1	1	1	0	1	1	5	2	2	2	0	0
TrH2_TrispH2_000502	0	3	0	1	3	0	4	0	0	3	0	2	0	2	1
TrH2_orphan_17	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
TrH2_TrispH2_000504	4	51	13	16	8	17	38	31	20	75	47	19	55	24	5
TrH2_TrispH2_000505	46	26	24	50	34	48	35	54	23	148	69	120	87	15	1
TrH2_TrispH2_000506	28	36	15	16	7	20	11	11	7	72	9	12	31	20	3
TrH2_TrispH2_000507	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0
TrH2_TrispH2_000511	3	12	3	3	6	5	2	6	6	14	13	2	6	6	0
TrH2_TrispH2_000512	3	9	3	6	1	1	7	6	10	13	7	6	7	3	1
TrH2_TrispH2_000515	2	5	1	0	6	5	2	7	5	6	4	2	1	5	0
TrH2_TrispH2_000516	9	15	3	1	11	13	6	9	16	30	7	3	6	7	0
TrH2_TrispH2_000517	0	1	0	0	0	3	0	2	1	2	0	0	0	0	0
TrH2_TrispH2_000518	0	3	0	0	3	3	1	4	3	5	1	0	0	3	2
TrH2_TrispH2_000520	2	3	0	0	0	2	2	2	2	7	1	1	0	0	0
TrH2_orphan_18	0	0	0	0	0	0	1	3	0	2	0	0	2	0	0
TrH2_TrispH2_000523	0	2	1	0	0	4	5	7	7	4	8	1	8	2	2
TrH2_TrispH2_000526	5	10	10	6	2	4	2	2	6	17	6	5	9	9	1
TrH2_TrispH2_000528	3	1	2	6	1	1	2	5	0	10	3	0	1	2	3
TrH2_TrispH2_000529	0	0	0	2	0	0	0	3	0	1	2	0	0	1	3
TrH2_TrispH2_000531	11	14	8	30	15	10	19	27	24	57	29	19	42	16	3
TrH2_TrispH2_000534	2	5	1	1	1	3	2	1	2	5	5	3	1	2	0
TrH2_TrispH2_000537	0	0	1	3	0	1	2	3	2	1	3	2	2	0	0
TrH2_TrispH2_000539	0	4	0	4	0	0	0	1	2	4	8	0	7	0	0
TrH2_TrispH2_000542	2	0	0	1	0	0	1	0	0	7	2	2	1	2	0
TrH2_TrispH2_000545	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TrH2_TrispH2_000546	0	1	1	0	0	2	1	0	1	2	0	0	0	1	0
TrH2_TrispH2_000550	12	35	25	29	10	19	24	22	17	64	53	21	73	14	5
TrH2_TrispH2_000553	0	0	1	3	0	2	0	2	0	3	4	5	1	1	1
TrH2_TrispH2_000555	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0
TrH2_TrispH2_000556	1	2	0	1	1	1	3	2	5	4	5	0	7	0	1
TrH2_TrispH2_000558	0	1	1	1	0	1	1	2	0	4	2	0	3	2	0
TrH2_TrispH2_000561	0	2	1	4	0	0	0	4	2	2	5	1	0	0	0
TrH2_TrispH2_000563	24	24	0	0	4	33	11	0	0	46	1	0	13	2	0
TrH2_orphan_19	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_000565	0	1	0	0	1	3	0	1	0	4	13	0	20	0	0
TrH2_orphan_20	0	0	0	0	2	0	0	0	0	3	20	0	3	0	0
TrH2_TrispH2_000567	3	11	0	2	2	2	4	8	4	16	12	0	16	3	0
TrH2_orphan_21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_000569	0	1	0	0	1	1	2	1	1	1	1	0	43	0	0
TrH2_TrispH2_000570	40	78	42	104	41	55	59	77	80	197	193	67	298	85	34
TrH2_TrispH2_000571	1	0	2	0	1	1	1	0	0	1	1	0	0	2	5
TrH2_TrispH2_000572	0	0	0	0	0	0	26	1	1	18	27	14	1	1	0
TrH2_TrispH2_000573	15	34	0	15	8	5	19	9	13	38	32	10	59	12	6
TrH2_TrispH2_000576	1	7	0	0	0	2	4	2	3	8	1	3	5	0	0
TrH2_TrispH2_000578	0	0	1	0	1	1	1	0	1	2	2	1	2	0	1
TrH2_TrispH2_000580	0	2	0	0	0	0	0	3	2	0	0	1	2	0	0
TrH2_TrispH2_000582	0	2	0	0	0	1	3	2	1	11	2	0	3	2	0
TrH2_orphan_22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TrH2_TrispH2_000584	0	2	0	0	0	11	0	15	6	1	1	13	0	2	1
TrH2_TrispH2_000585	0	4	1	2	6	7	1	11	7	14	4	2	8	1	1
TrH2_TrispH2_000588	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TrH2_TrispH2_000591	1	0	0	0	0	0	0	2	2	0	2	1	2	0	0
TrH2_TrispH2_000593	0	2	0	1	0	0	2	0	1	5	3	0	1	0	3
TrH2_TrispH2_000594	0	3	0	2	2	1	2	4	3	3	5	0	3	1	2
TrH2_orphan_23	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0
TrH2_TrispH2_000596	290	494	158	365	233	480	303	305	419	1005	284	303	541	258	9
TrH2_TrispH2_000597	3	7	4	3	4	6	6	10	6	8	9	0	5	4	2
TrH2_TrispH2_000599	3	5	0	3	7	4	2	8	3	6	7	3	5	3	1
TrH2_TrispH2_000600	1	2	0	1	1	1	0	1	1	7	1	0	2	2	0
TrH2_TrispH2_000602	1	0	0	1	0	2	0	0	0	1	1	2	2	0	0
TrH2_TrispH2_000607	4	15	8	11	7	6	14	9	20	27	24	6	25	13	2
TrH2_TrispH2_000610	0	0	1	0	0	0	0	0	1	0	5	0	0	0	0
TrH2_TrispH2_000611	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_000613	0	2	0	0	0	0	1	0	2	1	2	1	0	1	1
TrH2_TrispH2_000616	1	3	2	0	1	2	0	4	1	4	0	0	5	0	1
TrH2_TrispH2_000619	3	1	2	2	2	0	2	0	3	6	3	0	2	0	0
TrH2_TrispH2_000621	1	2	2	0	0	0	2	1	2	2	1	1	1	0	0
TrH2_TrispH2_000623	0	9	8	14	5	7	9	10	16	23	13	7	16	7	1
TrH2_TrispH2_000626	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
TrH2_TrispH2_000628	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
TrH2_TrispH2_000629	1	6	1	0	0	0	1	0	0	7	0	0	0	0	0
TrH2_orphan_25	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TrH2_TrispH2_000635	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0
TrH2_TrispH2_000637	2	1	0	2	0	0	0	0	0	1	2	0	2	1	0
TrH2_TrispH2_000639	0	0	0	0	0	2	0	0	0	1	1	0	1	0	0
TrH2_TrispH2_000641	0	1	0	0	0	0	0	0	1	3	2	0	3	0	0
TrH2_TrispH2_000644	4	1	0	3	2	1	0	1	0	4	0	0	2	0	0
TrH2_TrispH2_000648	1	3	0	2	0	0	0	1	0	2	2	1	4	3	1
TrH2_TrispH2_000649	3	13	0	0	6	6	7	12	14	8	12	2	12	6	2
TrH2_TrispH2_000651	0	9	14	27	1	6	5	2	2	11	10	5	8	5	0
TrH2_TrispH2_000652	0	1	2	1	1	1	1	0	2	2	1	0	1	0	0
TrH2_TrispH2_000653	4	5	1	3	2	2	1	8	7	5	3	4	9	3	0
TrH2_TrispH2_000654	0	4	6	9	1	4	2	0	0	10	8	0	16	3	0
TrH2_TrispH2_000656	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0
TrH2_TrispH2_000659	0	5	1	3	0	0	0	2	0	1	1	0	0	0	2
TrH2_TrispH2_000661	3	9	6	7	4	9	10	21	17	25	16	10	23	6	7
TrH2_TrispH2_000663	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0
TrH2_TrispH2_000665	0	8	1	7	3	6	3	7	9	10	5	9	9	3	0
TrH2_orphan_26	0	2	0	2	0	0	0	0	1	2	2	0	1	1	0
TrH2_TrispH2_000669	1	0	0	0	0	1	1	2	0	3	4	0	5	2	0
TrH2_TrispH2_000670	1	0	0	0	1	1	5	2	2	24	8	0	4	0	0
TrH2_TrispH2_000671	1	1	0	1	0	2	0	1	2	1	1	1	0	1	0
TrH2_TrispH2_000672	0	10	2	4	3	8	1	7	4	1	16	1	18	6	0
TrH2_TrispH2_000673	0	2	12	23	0	1	7	7	10	4	26	2	10	1	0
TrH2_TrispH2_000674	0	0	15	27	4	4	4	1	10	11	10	1	20	10	9
TrH2_TrispH2_000679	0	1	1	2	1	2	2	4	5	9	1	3	5	1	1
TrH2_orphan_27	0	0	0	0	0	0	1	1	0	6	0	0	0	2	0
TrH2_orphan_28	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TrH2_TrispH2_000689	0	1	3	2	0	1	1	1	4	5	3	0	4	1	0
TrH2_TrispH2_000691	4	3	7	8	2	1	5	6	2	12	6	1	7	6	2
TrH2_TrispH2_000692	12	13	8	9	10	5	11	8	13	32	16	5	22	11	3
TrH2_orphan_29	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_000694	2	2	3	3	3	23	4	13	35	17	7	6	6	5	1
TrH2_TrispH2_000698	1	1	0	0	0	3	3	3	1	5	0	1	2	1	0
TrH2_orphan_31	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
TrH2_TrispH2_000701	1	1	0	1	34	16	0	4	0	8	2	0	0	2	0
TrH2_TrispH2_000702	0	4	3	4	1	3	3	2	2	8	9	2	3	3	0
TrH2_TrispH2_000704	1	8	4	4	1	2	3	8	9	15	13	2	11	6	2
TrH2_TrispH2_000705	13	31	13	31	17	18	32	32	46	41	61	20	50	19	4
TrH2_TrispH2_000708	0	1	0	1	0	0	3	3	2	1	6	3	3	0	0
TrH2_TrispH2_000710	0	0	0	0	0	0	1	0	2	2	1	0	0	0	0
TrH2_TrispH2_000711	0	1	0	0	0	1	1	2	3	2	2	0	4	1	1
TrH2_TrispH2_000712	0	1	0	0	2	1	1	1	1	5	4	0	1	0	0
TrH2_TrispH2_000715	0	2	0	1	1	2	3	3	5	5	9	0	8	1	0
TrH2_TrispH2_000717	0	3	0	0	0	0	2	3	4	3	2	0	5	2	0
TrH2_TrispH2_000720	0	3	1	0	0	1	1	1	0	2	3	1	3	1	0
TrH2_TrispH2_000722	17	53	37	66	41	37	40	58	58	112	106	38	120	34	21
TrH2_TrispH2_000723	1	3	0	0	0	0	5	6	15	7	5	4	7	0	0
TrH2_TrispH2_000724	0	0	0	1	0	0	1	0	1	0	5	0	4	0	0
TrH2_TrispH2_000726	6	11	0	3	2	4	2	2	3	7	5	3	11	0	1
TrH2_TrispH2_000729	0	1	1	1	0	0	1	2	1	4	8	1	3	0	0
TrH2_TrispH2_000731	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
TrH2_TrispH2_000733	1	3	0	6	10	10	4	5	9	38	23	2	12	18	9
TrH2_TrispH2_000739	7	9	2	3	6	5	10	10	11	18	14	7	17	6	4
TrH2_TrispH2_000741	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0
TrH2_TrispH2_000742	0	0	0	1	0	1	0	0	1	1	1	0	1	0	1
TrH2_TrispH2_000744	0	0	0	0	1	0	0	1	0	18	4	1	0	1	1
TrH2_TrispH2_000747	5	7	3	3	1	2	5	5	5	7	19	8	14	2	1
TrH2_TrispH2_000750	0	6	0	3	3675	3784	1914	236	0	34	31	4	623	220	4
TrH2_TrispH2_000751	0	0	1	0	6	469	113	1195	3	59	227	18	76	34	10
TrH2_TrispH2_000753	2	0	1	0	0	0	2	1	0	4	16	1	2	0	0
TrH2_TrispH2_000755	0	2	0	1	0	0	0	1	1	0	2	0	4	1	0
TrH2_TrispH2_000756	2	4	1	1	0	0	2	3	4	5	4	0	0	0	0
TrH2_TrispH2_000758	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
TrH2_TrispH2_000763	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0
TrH2_TrispH2_000766	0	1	0	0	0	0	0	0	2	4	2	0	2	0	0
TrH2_TrispH2_000767	0	1	0	1	2	11	5	4	0	4	2	3	6	1	0
TrH2_TrispH2_000769	0	2	0	0	0	0	0	0	3	2	1	0	3	0	0
TrH2_TrispH2_000771	0	1	2	2	0	1	1	3	2	4	3	0	3	4	0
TrH2_TrispH2_000774	0	0	0	2	2	1	0	1	1	0	2	0	10	0	2
TrH2_TrispH2_000775	7	19	7	24	7	10	23	17	15	42	47	9	69	16	13
TrH2_TrispH2_000776	4	9	3	10	9	6	5	6	3	21	14	9	15	2	2
TrH2_TrispH2_000779	19	61	10	3	15	23	46	13	16	25	42	13	32	29	2
TrH2_TrispH2_000781	1	3	0	4	0	1	1	6	3	3	4	4	7	3	0
TrH2_TrispH2_000783	2	2	1	1	1	6	8	7	4	12	9	0	5	6	3
TrH2_TrispH2_000785	0	0	0	0	1	0	1	0	0	1	6	0	0	0	0
TrH2_TrispH2_000788	0	3	0	2	2	1	1	4	1	3	2	4	0	2	2
TrH2_TrispH2_000790	1	2	1	2	0	0	1	3	0	0	4	1	1	1	0
TrH2_TrispH2_000791	1	9	1	1	3	5	7	6	8	12	19	10	22	10	1
TrH2_TrispH2_000793	0	0	0	0	1	0	0	2	1	2	4	0	1	0	0
TrH2_TrispH2_000799	0	2	1	1	3	0	1	3	3	3	3	0	9	0	1
TrH2_TrispH2_000801	3	6	4	2	0	5	2	2	7	5	6	4	9	3	0
TrH2_TrispH2_000803	0	1	4	1	3	0	3	1	0	2	4	2	5	2	1
TrH2_TrispH2_000805	8	14	0	0	1	4	6	3	3	13	7	3	7	4	1
TrH2_TrispH2_000807	0	0	0	0	0	0	1	0	1	0	5	0	0	0	0
TrH2_TrispH2_000809	0	0	0	2	0	0	0	0	0	2	0	0	2	1	0
TrH2_TrispH2_000811	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
TrH2_TrispH2_000812	18	27	13	6	4	11	0	7	12	24	5	3	1	0	0
TrH2_TrispH2_000815	1	2	1	0	2	0	1	12	5	0	0	4	2	0	1
TrH2_TrispH2_000816	1	3	0	0	0	2	1	1	1	4	5	3	5	1	0
TrH2_TrispH2_000817	0	0	0	1	0	1	0	2	1	3	0	5	0	1	0
TrH2_TrispH2_000818	0	2	0	1	0	0	0	0	0	0	2	0	0	0	1
TrH2_TrispH2_000820	0	3	0	0	0	2	1	1	12	7	2	0	0	0	0
TrH2_TrispH2_000822	12	32	2	7	9	17	19	21	18	45	24	7	51	27	5
TrH2_TrispH2_000824	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_000825	3	18	1	14	7	4	13	12	15	21	40	5	12	11	7
TrH2_TrispH2_000829	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
TrH2_TrispH2_000830	2	4	2	1	2	4	3	1	2	5	11	7	12	9	1
TrH2_TrispH2_000832	0	10	14	52	6	8	5	9	10	31	19	9	33	5	3
TrH2_TrispH2_000833	0	0	3	2	0	2	0	0	0	3	0	0	1	2	0
TrH2_TrispH2_000835	1	1	0	0	0	0	1	2	2	1	0	2	3	1	0
TrH2_TrispH2_000837	0	0	0	0	0	0	2	0	0	3	1	0	1	0	0
TrH2_TrispH2_000839	1	4	5	2	0	3	1	3	3	3	8	1	3	0	1
TrH2_TrispH2_000840	0	1	2	5	1	2	1	4	2	6	4	9	9	1	3
TrH2_orphan_35	22	47	12	26	21	21	28	12	10	79	78	32	351	35	9
TrH2_TrispH2_000842	6	10	2	3	3	8	4	5	8	17	8	2	12	5	2
TrH2_TrispH2_000843	1	4	0	0	3	1	6	2	4	12	4	3	4	1	1
TrH2_TrispH2_000849	30	33	15	23	14	29	17	29	24	74	43	30	55	26	8
TrH2_TrispH2_000853	1	1	0	1	6	3	7	6	6	12	10	5	8	8	2
TrH2_TrispH2_000855	2	3	1	3	0	0	1	2	0	5	5	2	7	1	0
TrH2_TrispH2_000858	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0
TrH2_TrispH2_000861	0	1	0	0	0	2	0	0	0	2	1	0	0	0	1
