peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_nu	peptidergic_omicron
Tadh_TriadG52151	0	0	0	1	1	0	1	3	0	2	0	2	0	0	0
Tadh_orphan_14	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Tadh_TriadG20245	4	8	7	6	2	2	10	11	4	20	3	11	5	1	6
Tadh_TriadG19489	2	3	2	1	1	0	0	1	0	11	3	1	0	0	2
Tadh_orphan_16	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Tadh_TriadG52157	1	2	2	1	1	0	0	3	0	4	1	3	1	1	4
Tadh_TriadG20011	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Tadh_wf_g910	2	1	4	3	0	0	3	3	2	9	0	3	0	0	0
Tadh_TriadG52163	2	3	2	2	0	1	1	3	1	2	0	2	1	1	2
Tadh_TriadG52165	13	9	5	18	2	7	4	15	9	34	4	15	14	3	7
Tadh_TriadG49711	1	11	9	11	3	6	5	4	0	12	5	5	3	0	12
Tadh_TriadG52168	0	0	4	1	0	0	4	3	2	7	1	1	2	1	7
Tadh_hyp_clust4120	0	0	0	1	2	3	0	2	1	15	1	2	0	1	2
Tadh_TriadG49712	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG52172	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Tadh_TriadG52175	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Tadh_TriadG52177	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1
Tadh_hyp_clust1035	3	3	2	7	2	2	3	4	1	9	2	3	2	4	5
Tadh_TriadG19283	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
Tadh_TriadG52181	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Tadh_TriadG52183	1	10	2	9	3	7	1	7	2	17	3	10	4	2	1
Tadh_TriadG18263	6	19	10	10	1	2	3	11	1	12	5	7	3	1	6
Tadh_TriadG52187	2	4	3	2	0	5	0	5	3	6	0	5	1	2	2
Tadh_TriadG52188	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Tadh_TriadG18460	3	1	0	1	1	1	2	1	1	2	1	2	0	2	1
Tadh_TriadG52192	6	1	2	2	0	0	3	19	1	6	1	1	1	0	3
Tadh_TriadG52193	1	0	0	3	0	0	1	3	1	3	2	0	2	0	0
Tadh_TriadG19118	0	0	0	0	0	0	3	1	0	2	2	0	0	0	2
Tadh_TriadG52197	1	2	3	1	1	2	3	4	3	8	1	5	1	0	0
Tadh_TriadG52198	5	3	2	4	1	0	0	5	1	18	2	8	1	1	1
Tadh_TriadG19806	8	5	2	11	3	4	11	15	4	39	3	21	4	10	6
Tadh_orphan_18	1	2	0	0	1	5	1	3	0	1	0	4	1	4	8
Tadh_TriadG14805	0	0	0	1	2	5	1	4	0	0	0	3	0	5	5
Tadh_TriadG36990	116	185	103	202	50	50	75	172	38	287	40	220	57	57	106
Tadh_TriadG49721	3	7	2	5	0	1	8	12	2	15	1	6	3	5	2
Tadh_TriadG52211	2	2	6	6	0	0	3	5	0	6	1	4	1	2	5
Tadh_orphan_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Tadh_TriadG49722	1	7	0	0	3	0	4	1	1	10	0	10	1	3	1
Tadh_orphan_20	0	1	2	0	2	1	0	1	2	1	0	5	0	1	0
Tadh_TriadG52215	5	7	3	2	1	0	7	5	3	20	2	8	2	4	5
Tadh_TriadG52216	2	4	5	0	0	5	1	0	0	3	0	3	0	1	1
Tadh_TriadG63184	1	1	0	0	0	2	1	2	1	9	3	8	0	0	2
Tadh_wf_g964	37	14	0	5	2	8	10	6	2	4	5	22	0	0	0
Tadh_wf_g965	1	4	1	4	1	1	1	1	0	10	1	9	1	4	0
Tadh_TriadG19351	1	0	0	3	0	0	0	0	0	0	0	0	0	0	3
Tadh_TriadG15193	0	0	0	8	0	0	0	0	0	0	1	1	0	4	10
Tadh_wf_g968	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Tadh_TriadG19019	1	4	1	3	0	2	0	9	3	3	1	5	0	1	5
Tadh_TriadG18846	2	4	4	2	1	1	0	5	1	4	1	6	0	1	3
Tadh_wf_g972	1	0	0	1	0	1	1	3	0	7	0	1	0	0	0
Tadh_TriadG52230	6	0	0	6	2	1	2	4	3	20	1	5	2	3	3
Tadh_TriadG52232	6	1	2	8	2	1	6	9	0	8	1	3	4	1	3
Tadh_TriadG52234	2	2	6	6	4	1	5	3	2	17	5	3	3	1	4
Tadh_TriadG18942	0	0	0	1	0	0	0	2	0	1	0	1	0	1	0
Tadh_TriadG18222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Tadh_TriadG19158	2	3	0	2	1	1	0	3	1	4	1	1	0	1	1
Tadh_TriadG52238	0	1	3	0	0	0	0	0	0	1	0	2	0	0	1
Tadh_TriadG52240	0	1	2	0	0	0	0	0	0	4	0	5	1	1	2
Tadh_TriadG52243	1	0	0	0	0	0	0	0	0	0	0	32	5	0	0
Tadh_TriadG19167	0	0	0	0	2	0	3	1	0	2	0	0	0	0	0
Tadh_TriadG19282	3	1	4	3	0	2	1	1	0	3	1	1	0	2	4
Tadh_TriadG52248	41	15	2	8	0	0	6	9	1	8	0	22	4	4	6
Tadh_orphan_22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG52253	1	2	2	1	0	0	1	1	0	4	1	1	0	0	2
Tadh_TriadG19828	1	1	3	3	0	0	1	1	0	3	2	5	0	1	1
Tadh_TriadG52259	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Tadh_orphan_24	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Tadh_TriadG52260	3	2	4	0	0	0	1	2	0	6	2	1	0	2	2
Tadh_TriadG52263	4	3	0	13	1	0	2	2	2	26	4	15	6	1	10
Tadh_TriadG63529	15	13	5	17	4	7	9	34	6	47	4	27	11	2	18
Tadh_TriadG52267	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
Tadh_wf_g1014	1	3	0	0	2	3	0	0	1	2	0	1	0	0	0
Tadh_orphan_25	3	0	0	0	0	2	0	1	0	2	0	0	0	0	1
Tadh_TriadG18774	24	16	5	13	6	1	9	19	5	25	3	8	1	3	9
Tadh_TriadG52272	2	0	2	1	0	0	1	2	2	6	0	1	0	0	6
Tadh_TriadG52275	0	1	0	8	0	0	0	5	0	5	2	6	2	3	2
Tadh_TriadG52276	3	1	5	1	1	0	1	3	2	7	2	4	2	2	4
Tadh_TriadG20232	0	2	0	0	1	0	0	2	0	1	1	0	0	0	2
Tadh_orphan_26	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0
Tadh_orphan_27	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
Tadh_orphan_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Tadh_TriadG52284	1	3	0	1	3	3	3	3	4	9	1	3	3	0	0
Tadh_orphan_29	0	2	1	1	0	0	0	1	0	0	0	1	0	1	0
Tadh_TriadG8076	14	23	14	13	13	10	8	24	9	35	1	19	15	5	1
Tadh_TriadG52287	0	1	0	1	0	0	2	0	0	0	0	1	0	2	0
Tadh_TriadG52288	7	4	3	2	1	2	1	6	1	7	1	7	5	3	5
Tadh_orphan_30	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Tadh_TriadG18262	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1
Tadh_TriadG18943	0	1	0	1	0	0	0	4	0	2	0	6	1	2	1
Tadh_TriadG52294	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
Tadh_wf_g1039	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
Tadh_orphan_31	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Tadh_TriadG52295	0	0	1	1	0	0	2	13	0	3	0	1	0	18	0
Tadh_orphan_32	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
Tadh_TriadG52298	2	2	4	12	1	3	6	7	0	12	0	3	0	2	2
Tadh_TriadG52300	2	4	0	0	0	0	0	0	0	1	1	4	0	0	0
Tadh_TriadG52303	5	5	4	4	4	2	6	5	2	17	0	14	0	5	3
Tadh_TriadG52305	0	1	0	1	0	0	1	2	0	1	0	0	0	1	0
Tadh_TriadG63531	3	90	40	42	3	4	5	23	0	7	1	74	35	10	38
Tadh_TriadG18529	8	2	0	8	1	2	0	2	1	10	3	3	2	3	0
Tadh_TriadG20075	3	1	0	1	2	1	0	4	0	4	1	5	0	1	0
Tadh_TriadG63532	11	13	0	28	15	10	3	34	1	57	13	30	2	18	0
Tadh_TriadG37000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Tadh_TriadG52313	0	1	0	2	0	0	1	0	0	2	0	2	0	0	0
Tadh_TriadG52314	28	24	27	3	13	7	11	37	11	49	0	2	4	10	2
Tadh_orphan_34	3	1	1	2	0	0	5	5	0	19	2	3	1	1	2
Tadh_TriadG37002	0	0	1	1	0	0	2	6	0	6	1	5	1	2	1
Tadh_TriadG19795	4	6	3	4	1	4	3	10	3	22	3	9	2	2	5
Tadh_TriadG37004	0	4	0	4	0	0	1	5	2	9	2	0	0	2	4
Tadh_TriadG63536	1	0	4	2	0	0	1	4	1	7	0	0	0	1	4
Tadh_TriadG18418	20	15	10	9	6	6	8	16	8	37	2	21	3	5	5
Tadh_TriadG49735	8	13	22	21	4	14	3	20	5	42	8	18	24	8	8
Tadh_TriadG19973	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Tadh_TriadG52330	0	0	0	1	0	1	0	0	0	3	0	0	0	0	0
Tadh_TriadG52335	1	0	0	0	0	0	0	1	1	3	0	0	0	0	2
Tadh_TriadG19797	2	2	0	1	1	0	2	3	5	9	2	1	1	0	6
Tadh_TriadG52339	1	8	5	6	0	1	3	6	2	12	3	5	1	2	2
Tadh_TriadG49736	1	1	0	5	0	0	3	5	0	3	0	2	0	0	1
Tadh_TriadG52345	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Tadh_TriadG52346	2	0	0	0	0	0	1	1	0	5	2	1	0	0	2
Tadh_TriadG52348	5	4	2	2	1	0	4	5	3	2	0	7	6	1	2
Tadh_orphan_35	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1
Tadh_TriadG18956	6	6	8	3	2	2	1	3	3	8	1	12	0	2	10
Tadh_TriadG19984	1	0	1	2	0	0	1	3	0	1	2	1	0	0	2
Tadh_TriadG52356	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1
Tadh_TriadG52359	8	2	8	6	5	2	2	5	6	12	2	5	5	1	7
Tadh_TriadG52362	26	19	4	14	4	3	9	18	6	39	4	17	6	2	7
Tadh_TriadG63188	17	31	22	16	5	6	14	28	7	39	7	31	10	4	6
Tadh_TriadG52368	13	6	5	9	5	2	2	14	5	25	6	23	2	2	4
Tadh_TriadG63539	38	38	19	43	15	12	31	55	17	100	15	47	11	6	25
Tadh_wf_g1108	14	6	5	9	1	2	5	37	9	16	0	9	2	6	5
Tadh_TriadG19963	2	1	3	5	1	0	1	3	0	5	3	5	1	0	1
Tadh_TriadG52373	3	6	5	6	2	1	9	10	0	17	1	10	7	3	2
Tadh_TriadG52375	22	11	5	17	6	9	11	40	11	38	2	11	1	2	16
Tadh_TriadG52377	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG52378	0	2	2	0	0	0	0	3	1	1	0	1	0	0	0
Tadh_TriadG49741	0	3	2	3	0	0	0	0	0	3	1	0	3	0	5
Tadh_TriadG52382	3	1	7	2	2	6	1	6	1	13	1	7	1	2	4
Tadh_orphan_36	12	28	23	23	4	3	7	16	3	25	4	32	0	5	4
Tadh_TriadG52385	0	1	0	1	0	0	1	1	0	2	0	0	0	0	2
Tadh_TriadG52388	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0
Tadh_TriadG19413	0	0	0	3	0	1	0	0	0	0	0	1	0	1	0
Tadh_TriadG52391	12	1	3	7	4	1	4	16	5	15	1	7	0	0	2
Tadh_TriadG52393	4	3	0	1	0	1	0	1	0	3	0	6	1	2	0
Tadh_TriadG63189	34	44	24	30	14	12	22	37	9	53	10	44	11	9	21
Tadh_TriadG52395	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Tadh_TriadG18564	2	7	7	12	3	2	3	6	2	17	2	2	7	0	5
Tadh_TriadG52400	7	6	1	6	4	3	4	14	1	8	3	13	7	2	6
Tadh_orphan_38	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0
Tadh_TriadG52402	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Tadh_TriadG52403	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Tadh_orphan_40	1	2	0	1	1	1	1	2	0	3	1	2	1	1	1
Tadh_TriadG20204	5	0	2	3	1	1	1	4	1	11	3	6	0	0	1
Tadh_TriadG52407	27	11	4	6	4	9	10	17	5	27	3	8	4	8	10
Tadh_TriadG19675	13	18	16	13	3	8	14	28	8	44	6	24	13	7	14
Tadh_orphan_41	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0
Tadh_TriadG52410	6	10	3	2	4	3	2	22	5	21	7	18	5	3	4
Tadh_TriadG52413	1	0	0	0	2	0	0	1	1	1	1	2	0	1	0
Tadh_TriadG19492	8	3	2	4	2	2	3	9	2	9	2	5	1	0	5
Tadh_TriadG49753	6	7	6	5	3	3	3	11	0	7	0	4	5	1	2
Tadh_TriadG52419	0	1	0	1	1	0	0	4	0	1	0	0	0	0	1
Tadh_TriadG63545	15	11	7	5	3	1	4	7	4	17	4	8	0	4	10
Tadh_TriadG37030	1	7	1	3	1	1	1	6	5	17	1	12	0	3	7
Tadh_TriadG52425	5	4	2	8	2	1	7	7	2	13	1	9	3	5	3
Tadh_TriadG19682	2	0	3	2	0	1	0	2	0	7	1	5	0	1	0
Tadh_orphan_43	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0
Tadh_wf_g1167	13	15	8	19	9	5	12	19	6	26	6	38	6	6	17
Tadh_TriadG18503	12	14	11	9	12	8	8	24	9	22	4	12	6	8	6
Tadh_TriadG20272	5	8	5	7	3	4	0	9	5	17	3	7	2	4	4
Tadh_TriadG63549	13	12	11	7	1	3	2	10	6	39	3	11	3	6	11
Tadh_TriadG49758	8	6	8	9	5	4	15	11	2	27	1	17	0	4	7
Tadh_TriadG63551	35	62	52	25	12	10	20	47	11	57	6	56	32	6	19
Tadh_orphan_44	2	2	3	4	3	2	7	7	4	15	2	4	1	3	3
Tadh_TriadG20386	0	3	1	2	0	0	3	6	0	9	0	0	0	1	3
Tadh_TriadG52445	18	26	17	10	2	2	8	25	8	40	8	29	10	14	7
Tadh_TriadG52446	0	0	0	1	0	0	1	1	0	4	0	1	0	1	0
Tadh_TriadG52447	0	2	0	4	1	0	0	2	0	8	0	2	1	1	1
Tadh_TriadG20051	5	1	0	0	1	0	1	4	0	5	0	5	2	0	2
Tadh_TriadG19616	17	31	30	34	8	8	12	33	6	66	17	45	15	12	24
Tadh_TriadG19042	3	3	2	2	0	0	2	4	1	4	1	1	2	0	1
Tadh_TriadG63553	2	2	3	3	0	2	1	2	1	10	0	1	2	1	1
Tadh_wf_g1194	9	5	5	6	1	0	2	5	0	12	3	5	0	1	1
Tadh_TriadG20369	108	104	46	72	25	28	70	135	36	257	37	79	19	29	78
Tadh_TriadG18924	2	7	4	5	1	3	1	6	3	5	4	5	1	0	3
Tadh_TriadG52465	2	4	0	2	2	2	4	8	4	18	1	9	1	5	3
Tadh_TriadG52466	6	3	1	13	1	12	4	19	4	14	4	6	3	3	2
Tadh_TriadG52469	1	2	0	0	1	1	2	2	1	7	0	0	1	1	3
Tadh_TriadG18785	8	25	12	17	4	4	6	14	4	29	3	15	6	6	7
Tadh_TriadG52473	0	1	1	0	0	0	1	1	0	6	0	1	1	0	0
Tadh_orphan_46	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1
Tadh_TriadG17678	4	8	14	3	0	5	5	20	2	10	1	5	13	3	3
Tadh_TriadG37040	201	332	194	247	59	118	174	379	97	570	95	390	120	82	186
Tadh_wf_g1217	61	108	82	66	22	27	45	87	20	158	24	116	40	20	39
Tadh_TriadG63557	8	6	9	11	1	4	4	19	12	35	4	22	5	2	8
Tadh_TriadG18601	3	6	2	4	5	3	2	5	0	5	0	2	0	1	3
Tadh_wf_g1225	4	3	0	0	0	2	2	2	0	18	6	5	0	1	0
Tadh_TriadG52489	92	33	0	0	0	9	22	112	7	258	56	12	0	4	1
Tadh_TriadG37048	24	60	28	30	12	11	17	51	15	67	13	50	5	9	28
Tadh_TriadG49771	4	1	3	1	0	0	1	0	0	7	2	2	0	0	4
Tadh_TriadG18456	0	1	2	2	0	1	1	1	0	4	0	1	1	3	0
Tadh_TriadG52495	3	1	2	4	2	1	2	3	1	4	0	2	1	2	2
Tadh_TriadG63196	10	13	0	3	2	3	7	15	1	15	2	13	2	0	4
Tadh_TriadG52500	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Tadh_wf_g1236	3	6	4	11	2	2	0	7	2	15	2	8	1	3	5
Tadh_TriadG52501	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0
Tadh_TriadG52503	2	6	2	1	2	0	4	2	2	7	1	2	1	3	0
Tadh_TriadG63562	4	5	2	36	4	11	5	20	11	25	2	14	10	4	26
Tadh_TriadG52507	2	0	2	1	1	0	0	2	0	2	0	1	1	0	1
Tadh_TriadG52509	2	7	1	4	1	2	0	4	2	3	2	4	1	5	3
Tadh_TriadG49777	7	1	1	2	0	2	0	8	2	6	0	3	0	1	4
Tadh_TriadG52514	4	3	5	7	3	1	1	3	4	8	2	4	0	2	1
Tadh_TriadG52516	3	4	0	0	1	1	0	1	1	0	0	1	0	0	0
Tadh_TriadG63564	0	2	3	1	0	0	3	4	0	6	3	1	5	0	3
Tadh_TriadG52519	1	4	1	0	1	1	0	2	6	9	1	2	2	1	3
Tadh_orphan_47	3	1	0	5	3	2	2	2	0	3	1	3	0	2	2
Tadh_TriadG52522	20	7	0	7	2	1	3	15	3	27	5	14	0	4	6
Tadh_orphan_48	0	1	0	3	4	0	1	20	5	15	3	4	0	0	0
Tadh_wf_g1261	65	39	12	43	14	31	26	64	27	106	30	71	57	16	51
Tadh_TriadG52525	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Tadh_TriadG52526	5	5	4	4	2	1	1	2	4	8	1	3	1	0	3
Tadh_TriadG52531	0	0	0	4	1	2	1	4	3	5	0	4	5	0	1
Tadh_TriadG52533	5	8	3	3	2	3	5	8	2	7	3	9	3	1	3
Tadh_TriadG37059	4	8	2	4	2	1	5	6	2	10	0	9	1	3	3
Tadh_TriadG52537	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Tadh_TriadG18537	2	0	0	1	0	0	1	0	1	2	0	1	1	0	1
Tadh_TriadG52543	1	0	0	0	0	0	1	0	0	1	0	2	4	0	0
Tadh_TriadG52547	3	2	3	1	0	1	2	1	0	5	1	2	3	1	2
Tadh_TriadG63201	12	18	12	16	2	3	10	15	5	31	2	17	5	8	3
Tadh_orphan_49	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Tadh_TriadG7674	0	2	0	1	0	0	2	2	0	4	1	0	0	1	1
Tadh_orphan_50	3	4	0	0	0	0	0	0	1	3	2	2	2	0	2
Tadh_TriadG20314	9	5	2	4	6	5	2	9	4	22	1	12	18	2	7
Tadh_TriadG52553	1	0	0	0	3	12	0	1	0	1	0	2	2	0	22
Tadh_TriadG35366	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0
Tadh_TriadG20381	2	2	0	1	0	4	1	0	0	4	1	3	0	0	1
Tadh_TriadG52558	2	2	4	1	1	0	3	3	1	1	1	2	0	0	1
Tadh_TriadG52559	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1
Tadh_TriadG52561	0	0	0	3	2	0	4	1	0	5	3	3	0	0	3
Tadh_wf_g1298	28	14	7	9	0	8	6	21	0	107	2	13	5	6	6
Tadh_TriadG20213	2	0	2	3	3	3	0	1	1	6	1	4	3	0	2
Tadh_TriadG52566	0	19	0	0	0	618	0	29	0	1	0	1	2	0	56
Tadh_TriadG52567	1	102	1	5	8	3	2	4	2	31	0	3	1	9	18
Tadh_TriadG52568	7	3	1	4	2	1	0	2	0	16	0	1	0	1	4
Tadh_TriadG63570	6	0	0	2	0	0	0	1	0	7	1	1	0	0	0
Tadh_TriadG52570	9	4	0	6	4	4	1	4	6	10	2	8	1	1	5
Tadh_TriadG52571	0	1	0	2	0	0	1	4	0	2	0	3	1	0	2
Tadh_TriadG52573	2	0	0	0	0	0	3	2	1	4	0	3	0	0	0
Tadh_TriadG52576	1	0	0	2	0	0	0	0	0	0	0	1	0	0	9
Tadh_TriadG52577	0	0	0	0	0	2	0	6	0	0	0	2	0	0	24
Tadh_TriadG52578	0	0	0	3	0	1	0	19	0	19	1	13	0	0	19
Tadh_TriadG52579	1	0	0	0	0	10	0	3	0	7	1	30	0	0	9
Tadh_TriadG52580	0	0	0	1	0	1	0	0	0	0	0	6	0	0	0
Tadh_TriadG52581	0	1	0	0	0	3	0	0	0	0	0	11	0	0	0
Tadh_TriadG52582	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0
Tadh_orphan_51	0	1	0	0	1	0	0	1	1	2	1	3	0	1	2
Tadh_TriadG37071	8	9	2	6	7	1	3	11	4	13	2	4	3	3	6
Tadh_TriadG52586	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Tadh_TriadG18881	5	2	1	6	0	3	0	4	3	9	2	10	0	3	6
Tadh_TriadG63204	0	0	0	0	0	0	0	0	0	2	3	1	2	0	1
Tadh_TriadG37075	14	8	1	5	2	4	4	9	6	29	4	8	1	4	3
Tadh_TriadG63205	7	5	5	4	3	3	5	13	4	24	1	11	0	4	5
Tadh_TriadG18236	0	0	0	0	0	0	0	0	0	2	1	1	1	0	2
Tadh_TriadG52598	0	13	1	0	0	0	0	2	0	0	0	0	1	11	13
Tadh_orphan_52	0	3	1	1	1	1	0	1	2	0	0	0	2	0	1
Tadh_TriadG19479	1	4	4	3	4	1	3	8	6	12	2	5	0	0	2
Tadh_TriadG49802	0	1	2	7	0	4	4	0	1	2	3	3	6	0	3
Tadh_TriadG52603	5	2	2	4	1	1	5	4	0	8	2	8	2	1	2
Tadh_TriadG37084	26	25	16	20	8	13	11	28	3	37	8	25	16	7	15
Tadh_hyp_clust7915	48	29	7	38	22	31	25	93	12	195	9	93	3	12	30
Tadh_TriadG52620	1	0	0	0	0	0	4	1	0	1	0	0	0	0	0
Tadh_TriadG52625	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8
Tadh_TriadG18506	10	8	3	4	3	1	4	13	1	10	3	6	0	1	4
Tadh_wf_g1361	3	2	0	2	2	1	1	3	0	7	0	3	2	1	2
Tadh_orphan_53	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Tadh_TriadG52630	7	0	0	1	1	4	3	5	2	23	1	6	5	0	0
Tadh_TriadG52632	0	10	8	11	1	2	11	14	3	15	2	8	4	3	5
Tadh_TriadG52633	0	1	0	0	0	1	0	31	0	5	0	1	0	2	3
Tadh_TriadG52634	28	10	0	0	12	4	12	19	15	62	6	10	3	12	0
Tadh_orphan_54	1	0	2	0	0	0	0	0	0	5	0	0	0	0	0
Tadh_TriadG52637	3	0	1	1	2	3	1	2	1	4	0	5	1	1	2
Tadh_wf_g1371	1	0	1	4	1	0	8	14	2	2	2	2	5	0	1
Tadh_TriadG52639	0	1	0	2	2	0	0	2	0	5	0	1	2	1	0
Tadh_TriadG52641	0	0	1	0	0	0	0	4	0	0	0	1	1	0	1
Tadh_TriadG63579	1	1	2	0	0	1	1	1	0	3	2	4	0	0	2
Tadh_TriadG49806	4	2	3	4	1	0	0	5	4	11	0	3	2	1	5
Tadh_orphan_55	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0
