lipophil	trans_lipophil_1_fibre	trans_lipophil_1_gland	trans_lipophil_1_epithelia	unknown_1	unknown_2.1	unknown_2.2	unknown_2.3	unknown_2.4	fibre	trans_fibre_gland	trans_fibre_epithelia	gland_1	epithelia_gland_like	epithelia_unknown_1	epithelia_ventral	trans_epithelia_ventral_peptidergic	trans_epithelia_dorsal_ventral	epithelia_dorsal_like	epithelia_dorsal	peptidergic_progenitors	peptidergic_alpha	peptidergic_beta	peptidergic_gamma	peptidergic_gamma_like	peptidergic_delta	peptidergic_epsilon	peptidergic_zeta	peptidergic_eta	peptidergic_theta	peptidergic_iota	peptidergic_iota_like	peptidergic_kappa	peptidergic_lambda	peptidergic_mu	peptidergic_mu_like	peptidergic_nu	peptidergic_omicron
TrH2_TrispH2_000490	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_orphan_1	11	0	0	0	1	0	0	0	2	6	0	0	1	0	0	1	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
TrH2_TrispH2_000498	7	0	0	0	3	0	2	2	1	15	0	1	10	2	0	6	0	1	1	6	0	1	1	0	2	0	0	0	1	1	0	0	0	1	0	1	0	0
TrH2_TrispH2_000499	13	0	0	0	1	2	1	0	0	16	0	1	11	1	1	13	1	4	5	3	0	2	1	1	0	4	0	0	0	0	4	1	1	0	0	1	0	0
TrH2_TrispH2_000501	3424	75	159	83	593	165	434	142	571	2830	74	78	2580	924	44	2660	94	344	1101	1350	147	267	194	103	62	151	95	77	232	107	327	181	172	78	155	126	97	36
TrH2_TrispH2_000503	83	2	4	2	7	3	4	2	14	76	1	2	63	25	1	76	1	10	25	30	5	2	5	4	0	3	6	3	6	2	2	6	6	5	3	6	0	3
TrH2_TrispH2_000508	168	5	13	2	29	6	13	5	21	141	4	4	121	36	0	107	4	10	41	53	5	12	22	6	2	7	4	3	10	5	11	12	6	2	7	3	5	3
TrH2_TrispH2_000509	93	0	3	3	13	0	15	9	15	82	0	2	86	24	3	82	4	10	37	43	9	10	5	2	1	3	4	4	4	4	10	7	9	4	1	5	2	0
TrH2_TrispH2_000510	11	0	0	0	1	0	2	1	1	38	0	1	8	3	1	12	4	5	13	11	2	2	0	3	1	0	0	0	1	0	3	0	1	1	1	0	0	0
TrH2_TrispH2_000513	3059	85	179	50	495	143	413	142	464	2894	35	158	2305	851	69	2375	91	456	1190	1296	127	205	170	103	62	114	88	76	185	82	283	128	144	93	127	88	51	53
TrH2_TrispH2_000514	32	0	0	0	5	2	5	1	5	33	0	2	26	6	0	22	2	3	1	8	1	6	4	1	0	1	1	1	2	2	7	3	4	0	0	1	0	0
TrH2_orphan_2	6	0	0	0	0	0	0	0	6	4	0	0	2	0	0	12	0	0	3	6	0	1	3	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0
TrH2_TrispH2_000519	376	7	14	15	52	14	47	19	77	356	3	5	279	85	9	302	10	43	116	154	19	30	23	11	7	15	7	10	25	7	33	25	25	8	14	14	16	7
TrH2_TrispH2_000521	32	1	2	1	5	2	5	3	6	21	0	2	29	8	2	24	2	5	9	12	1	2	3	0	1	2	1	2	2	0	3	1	3	0	4	0	1	1
TrH2_TrispH2_000522	99	2	9	4	20	10	13	1	34	144	2	6	58	17	2	90	3	7	42	41	2	3	7	1	1	6	1	4	7	4	12	5	4	1	2	0	1	3
TrH2_TrispH2_000524	19	1	0	0	4	2	3	4	3	14	0	1	9	7	1	6	1	0	11	5	2	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0
TrH2_TrispH2_000525	102	2	5	0	13	1	17	1	18	95	2	5	62	22	0	80	1	9	29	42	6	7	2	1	1	3	6	6	7	2	12	1	3	2	3	4	1	1
TrH2_TrispH2_000527	250	16	7	3	42	17	33	12	49	237	5	5	212	69	2	172	9	31	72	116	16	28	18	4	3	17	5	10	16	4	31	8	16	4	6	4	5	3
TrH2_TrispH2_000530	401	10	15	3	53	27	55	16	80	412	4	21	281	121	12	296	11	56	130	179	14	25	25	8	10	12	14	18	18	7	33	16	18	9	8	17	10	3
TrH2_TrispH2_000532	50	3	1	1	5	1	3	2	8	84	2	5	36	12	0	35	1	8	23	25	2	5	5	1	0	0	0	3	3	0	4	3	1	0	0	3	1	0
TrH2_TrispH2_000533	183	4	14	0	21	10	14	3	23	200	3	10	118	40	2	131	8	35	67	81	2	11	14	1	4	7	6	6	15	6	14	10	13	5	5	6	2	1
TrH2_TrispH2_000535	35	0	1	1	7	2	5	2	4	31	1	1	38	14	0	24	1	2	15	21	4	2	6	1	0	0	0	0	3	1	4	1	0	2	3	1	1	3
TrH2_TrispH2_000536	126	0	4	3	15	9	15	5	12	134	1	4	94	27	3	86	8	6	38	39	8	9	14	1	3	0	4	3	7	1	13	3	6	2	1	4	3	3
TrH2_TrispH2_000538	370	11	18	4	56	18	38	14	63	367	5	16	260	97	7	271	13	57	138	154	16	23	29	13	8	15	11	12	19	7	24	19	20	11	12	9	11	8
TrH2_orphan_3	139	5	6	2	24	3	7	2	19	129	2	6	91	31	0	117	0	17	31	63	6	11	7	6	0	3	1	5	6	4	14	4	4	2	10	8	8	2
TrH2_TrispH2_000540	24	1	2	1	1	2	2	1	4	27	0	0	19	4	1	26	0	2	19	11	0	1	2	0	1	2	0	2	2	1	2	0	2	1	1	0	1	2
TrH2_TrispH2_000541	80	5	5	2	16	0	6	5	15	122	1	7	65	19	0	71	5	12	38	31	3	9	6	2	0	7	3	0	1	4	5	1	3	4	0	2	0	0
TrH2_TrispH2_000543	101	6	2	2	14	4	16	4	11	76	0	2	74	23	0	66	4	10	24	46	2	3	4	7	0	6	2	0	6	1	6	1	7	1	3	3	6	4
TrH2_orphan_4	62	2	3	0	5	0	3	0	7	56	1	1	35	4	3	23	2	4	11	24	1	4	5	0	0	2	0	1	4	1	2	1	1	2	0	3	3	1
TrH2_TrispH2_000544	134	7	18	4	17	10	14	5	31	225	4	9	106	36	4	119	4	24	85	60	3	11	4	4	3	4	5	5	3	1	10	4	12	5	2	2	3	4
TrH2_orphan_5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_orphan_6	7	0	0	0	1	0	0	0	2	7	0	0	4	2	0	13	0	0	1	1	1	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0
TrH2_TrispH2_000547	32	1	0	0	7	1	3	3	11	39	0	1	34	10	0	32	0	6	10	18	5	5	6	0	0	0	0	0	1	1	3	3	1	2	0	1	0	0
TrH2_TrispH2_000551	452	8	21	15	54	17	48	19	52	359	5	9	281	100	3	269	10	54	150	165	14	31	23	11	5	9	13	9	14	7	54	15	20	7	15	11	12	6
TrH2_TrispH2_000552	189	2	9	4	40	15	38	10	33	125	2	7	122	35	3	134	6	19	56	62	5	13	5	10	3	10	6	3	17	2	7	8	10	2	11	14	2	0
TrH2_TrispH2_000554	202	4	8	4	36	6	30	9	31	176	2	6	161	55	1	159	0	18	69	84	10	21	12	4	7	8	8	4	10	5	19	7	15	1	8	6	3	5
TrH2_TrispH2_000557	49	4	4	0	10	2	1	4	14	25	0	0	28	10	0	35	0	5	15	17	1	3	3	2	1	1	0	1	2	2	4	2	2	1	1	5	1	1
TrH2_TrispH2_000559	1371	35	50	3	131	37	152	36	165	1395	15	43	888	245	39	784	12	83	436	435	13	50	104	28	34	24	29	32	55	17	63	61	49	21	32	51	36	11
TrH2_TrispH2_000560	590	14	30	5	95	27	72	29	86	552	14	21	417	134	5	423	15	67	212	243	15	47	28	14	16	18	20	9	59	15	59	28	35	10	25	25	17	5
TrH2_TrispH2_000562	51	1	1	2	4	2	3	1	9	56	0	2	34	14	1	51	1	10	14	27	1	4	5	1	1	1	0	3	4	1	5	7	2	0	1	2	1	0
TrH2_TrispH2_000564	225	4	7	6	28	6	28	7	34	180	1	8	151	56	0	170	4	28	72	84	8	15	17	9	1	12	7	5	17	4	14	9	10	6	6	2	2	3
TrH2_orphan_7	2	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_000566	71	3	3	2	7	3	9	5	14	60	1	3	63	21	1	68	2	3	29	22	1	4	7	6	0	1	2	3	6	0	4	0	8	0	0	3	0	1
TrH2_orphan_8	3	0	1	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TrH2_TrispH2_000568	21	0	3	0	3	3	2	1	1	20	0	0	22	7	0	14	0	2	8	13	1	3	0	0	0	1	1	0	0	0	9	1	1	0	1	0	0	0
TrH2_TrispH2_000574	83	6	10	2	9	4	12	5	19	94	1	10	87	28	0	69	4	9	43	49	6	7	5	2	0	3	3	2	8	1	4	3	6	1	2	4	1	2
TrH2_TrispH2_000575	52	1	2	0	7	3	6	3	9	34	0	3	41	16	1	38	1	2	14	18	1	10	2	1	0	8	0	0	2	0	6	1	5	0	1	1	2	0
TrH2_TrispH2_000577	720	13	31	10	143	42	114	32	152	619	10	13	578	172	12	574	16	67	223	320	18	54	42	19	14	27	23	21	46	26	68	42	35	20	24	15	21	8
TrH2_TrispH2_000579	80	4	3	1	14	5	11	1	21	71	1	1	46	28	0	63	2	2	15	35	3	6	10	3	0	1	2	1	4	2	14	3	8	2	5	3	6	0
TrH2_TrispH2_000581	27	0	3	0	7	1	8	0	8	40	2	1	18	5	1	17	0	3	8	12	1	5	1	2	1	3	1	0	2	1	2	1	2	0	0	0	3	0
TrH2_TrispH2_000583	168	2	9	0	26	10	28	9	29	152	0	16	105	45	5	127	5	19	55	65	2	13	10	2	3	8	5	2	10	2	11	8	16	6	4	1	4	6
TrH2_TrispH2_000586	77	6	4	0	12	5	7	4	24	88	1	3	63	22	6	66	1	14	43	36	1	7	2	4	1	4	1	1	11	3	8	7	5	2	5	3	4	1
TrH2_TrispH2_000587	154	4	3	2	29	13	15	6	23	173	4	6	96	36	3	133	8	31	50	67	6	12	15	4	1	1	5	4	5	2	16	3	13	3	3	7	2	5
TrH2_TrispH2_000590	7928	206	330	102	1263	346	897	389	1244	7188	100	242	5722	2105	104	5805	216	865	2650	3126	304	611	541	219	91	260	216	222	501	155	752	310	410	181	271	327	253	95
TrH2_TrispH2_000592	25	0	0	0	1	0	3	1	4	12	0	1	13	9	0	17	0	4	8	11	1	1	4	0	0	0	0	0	0	0	3	1	1	2	0	1	1	0
TrH2_TrispH2_000595	339	5	19	4	55	17	36	20	64	236	6	4	215	91	9	253	6	32	103	130	9	18	15	2	8	11	12	5	19	9	37	18	18	9	17	12	7	10
TrH2_orphan_9	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_000598	84	6	3	2	9	5	13	3	9	107	0	3	68	18	1	62	3	14	39	29	2	9	6	2	0	5	2	1	6	1	7	3	4	0	1	4	0	2
TrH2_TrispH2_000601	31	0	5	2	8	2	6	2	1	31	0	1	29	13	0	28	3	4	11	13	3	1	2	1	1	1	0	0	1	0	4	1	3	0	2	0	1	0
TrH2_TrispH2_000603	22	0	0	0	4	2	3	1	6	17	0	0	22	8	1	15	1	2	5	12	0	2	1	1	0	0	2	0	2	0	3	2	3	0	1	0	0	0
TrH2_TrispH2_000604	61	0	0	1	13	4	15	4	15	60	0	0	54	16	2	59	2	7	24	39	5	5	3	1	1	3	2	1	5	0	6	1	2	2	1	5	0	0
TrH2_TrispH2_000606	23	3	1	1	3	0	5	1	5	22	1	1	30	4	0	25	2	5	3	9	2	1	1	0	0	1	1	1	1	2	5	1	1	0	3	2	0	0
TrH2_TrispH2_000608	30	0	2	0	4	0	2	1	6	31	0	0	13	4	0	21	0	8	4	10	3	0	3	1	0	0	0	0	1	1	2	1	3	1	2	1	2	0
TrH2_orphan_10	42	2	2	2	6	3	11	4	3	36	0	0	33	17	0	35	2	5	9	13	0	2	2	0	0	3	2	0	3	2	3	4	1	1	1	0	1	0
TrH2_TrispH2_000612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_000615	15	1	0	0	0	1	0	1	2	17	0	0	2	3	0	4	0	0	3	2	0	0	0	0	0	0	0	3	0	0	3	0	0	1	0	0	0	0
TrH2_TrispH2_000617	337	7	9	7	49	15	32	18	64	241	2	5	252	82	7	249	14	30	78	125	10	17	19	0	8	15	10	13	19	7	24	16	17	9	6	7	9	5
TrH2_orphan_11	12	0	0	1	3	1	1	0	3	7	0	0	6	4	0	12	0	2	1	4	1	0	3	1	0	0	1	0	0	0	0	0	0	0	3	0	0	0
TrH2_TrispH2_000618	74	1	3	0	7	2	7	8	7	73	3	1	51	27	0	47	2	7	42	34	2	9	4	3	0	3	5	3	4	2	6	3	0	3	0	0	4	1
TrH2_TrispH2_000620	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_000622	51	1	0	1	13	1	3	7	6	30	1	1	33	9	0	25	1	7	8	18	2	5	1	3	1	2	1	1	0	0	2	4	5	0	0	0	0	1
TrH2_TrispH2_000624	139	7	10	0	17	16	23	4	33	136	0	3	103	33	1	110	2	7	42	74	5	7	11	7	5	9	4	5	8	4	19	5	9	3	6	8	7	3
TrH2_TrispH2_000625	133	5	7	3	16	5	20	6	19	241	6	11	116	35	6	72	10	41	89	59	5	16	8	1	1	4	6	3	7	1	11	5	9	2	4	4	3	1
TrH2_TrispH2_000627	79	1	1	0	15	4	5	2	6	63	2	5	36	9	0	49	0	6	19	29	1	8	9	3	1	2	1	1	4	0	1	2	6	2	5	1	2	3
TrH2_TrispH2_000630	131	2	7	2	14	3	10	10	18	123	1	5	70	27	1	76	2	11	35	44	5	8	9	3	3	2	0	3	5	5	9	1	9	2	4	4	3	1
TrH2_orphan_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_000631	39	0	1	2	6	0	10	1	7	53	2	7	40	13	1	28	1	4	28	21	0	5	2	1	0	1	3	1	2	2	7	3	3	2	4	2	2	0
TrH2_TrispH2_000632	274	7	17	11	39	11	35	7	47	256	5	11	238	68	2	175	5	33	134	102	11	13	22	7	7	9	10	8	16	8	28	10	14	8	4	10	2	4
TrH2_TrispH2_000633	7	0	0	0	0	0	1	0	2	8	0	0	7	8	0	5	0	1	0	4	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1
TrH2_orphan_13	75	3	1	0	12	4	5	1	18	24	0	1	44	16	0	44	0	11	14	20	3	5	3	4	1	6	3	0	7	0	9	2	4	2	2	5	3	0
TrH2_TrispH2_000636	48	1	1	1	5	1	3	2	5	53	0	1	42	15	1	38	2	6	15	27	3	2	4	1	2	4	3	1	5	0	3	1	7	2	2	1	3	1
TrH2_TrispH2_000638	1399	55	65	24	224	60	176	63	234	1406	15	67	977	356	33	1085	48	174	579	606	40	112	80	38	24	54	57	30	84	25	121	58	98	25	48	53	23	18
TrH2_TrispH2_000640	66	1	6	2	5	3	11	5	10	49	1	0	54	19	0	52	1	10	15	21	4	3	2	5	0	2	3	2	6	0	7	3	2	2	2	1	0	0
TrH2_TrispH2_000642	892	31	32	13	112	28	83	33	129	920	12	51	583	230	16	625	32	123	389	338	35	53	51	17	19	16	20	26	37	22	66	39	34	18	16	42	26	6
TrH2_TrispH2_000643	236	13	13	3	20	14	29	3	28	315	0	14	131	47	5	158	10	39	133	93	8	11	10	4	2	10	10	9	10	6	13	9	15	7	7	7	2	2
TrH2_TrispH2_000645	52	0	3	0	7	2	4	1	11	74	2	4	37	13	1	36	0	8	30	29	3	3	4	3	0	1	3	2	3	4	4	1	1	0	1	2	2	2
TrH2_TrispH2_000646	69	4	13	1	9	5	9	2	14	122	0	5	77	17	2	54	2	8	39	24	1	6	0	3	1	4	1	0	1	1	5	5	1	6	1	1	1	0
TrH2_TrispH2_000647	32	2	3	0	6	2	3	1	4	20	0	0	23	4	1	24	1	4	11	12	1	3	1	1	0	0	0	2	1	2	2	2	4	1	0	1	1	0
TrH2_TrispH2_000650	629	23	28	11	77	34	63	23	81	620	5	23	414	141	8	471	16	86	231	229	15	58	28	11	8	11	14	17	25	13	59	28	24	19	14	27	17	6
TrH2_TrispH2_000655	333	5	7	2	60	12	34	9	60	307	3	10	267	70	3	255	11	48	119	143	19	25	21	9	3	11	8	9	23	13	32	13	20	8	11	14	8	4
TrH2_TrispH2_000657	175	5	7	5	22	14	22	10	25	225	0	10	135	49	6	117	10	32	76	58	6	12	11	5	1	5	10	2	6	9	19	6	3	5	5	8	3	2
TrH2_TrispH2_000658	8	0	0	0	2	1	3	0	0	4	0	0	6	6	0	3	0	0	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	2
TrH2_TrispH2_000660	111	2	4	1	23	2	18	6	15	100	0	6	87	26	1	80	7	7	27	46	5	1	8	1	1	6	3	4	8	4	7	6	6	6	2	0	1	3
TrH2_TrispH2_000662	2	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrH2_TrispH2_000664	52	1	3	1	5	0	9	3	9	35	0	2	25	9	0	18	0	4	8	18	1	0	4	1	2	2	0	2	2	0	6	0	1	1	1	0	0	1
TrH2_orphan_14	17	0	1	0	2	0	0	0	1	16	0	0	8	2	0	7	0	1	1	1	1	0	2	0	1	0	1	1	0	0	2	0	1	1	0	0	0	0
TrH2_TrispH2_000666	125	4	13	4	18	3	18	5	21	142	0	9	101	30	4	105	8	23	63	46	4	10	4	1	1	3	3	7	7	6	8	8	7	3	5	5	2	1
TrH2_TrispH2_000667	15	0	0	0	2	0	4	0	1	6	0	0	11	2	0	3	2	1	1	2	1	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0
TrH2_TrispH2_000668	18	0	1	0	3	1	3	1	3	25	0	3	21	4	0	13	0	3	6	5	1	3	1	0	0	2	1	2	3	0	1	0	2	1	0	1	0	0
TrH2_orphan_15	3	0	0	0	0	0	2	0	0	1	0	0	2	0	2	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
TrH2_TrispH2_000675	48	1	8	2	11	3	5	4	14	50	1	3	46	20	1	33	1	7	27	32	0	4	6	5	3	1	0	2	1	1	4	3	4	3	3	0	0	4
TrH2_TrispH2_000676	87	2	7	0	14	3	5	0	28	89	0	6	66	30	2	64	5	15	50	30	0	8	1	0	0	1	2	2	3	3	4	1	9	0	2	5	1	2
TrH2_TrispH2_000677	34	3	3	0	6	1	3	1	11	30	0	3	33	7	1	32	3	6	18	15	1	1	2	0	0	0	2	0	1	2	2	1	5	0	0	0	2	3
TrH2_TrispH2_000678	77	4	0	2	15	7	13	8	13	41	2	0	67	24	4	55	5	10	17	28	4	3	2	3	5	1	3	1	5	0	6	2	5	1	2	2	3	3
TrH2_TrispH2_000680	682	18	40	13	93	31	81	26	129	649	8	25	508	191	12	566	17	85	248	314	26	66	39	10	9	25	17	19	40	12	49	23	44	14	16	15	19	16
TrH2_TrispH2_000681	154	7	2	4	40	11	16	9	37	142	0	5	125	43	0	123	2	12	41	72	5	10	8	1	0	3	2	2	9	4	11	6	13	3	3	4	8	1
TrH2_TrispH2_000682	130	5	4	2	16	5	16	2	24	86	0	2	92	41	3	96	3	14	16	51	5	7	5	1	1	6	3	6	11	3	10	2	8	1	2	2	2	2
TrH2_TrispH2_000466	78	2	3	1	23	5	15	6	15	97	3	1	62	23	1	63	3	21	34	35	1	5	3	1	0	2	2	5	9	1	5	8	6	1	2	3	1	1
TrH2_TrispH2_000467	76	2	1	4	15	4	9	2	10	51	0	3	70	16	2	57	3	7	18	27	3	4	3	2	0	1	2	1	4	2	6	1	3	2	1	1	2	2
TrH2_TrispH2_000468	54	3	5	1	5	2	10	2	8	64	3	1	40	14	1	38	0	6	19	30	5	4	4	1	0	3	1	4	5	1	5	2	4	1	0	1	0	2
TrH2_TrispH2_000471	4930	27	98	348	516	232	737	48	1672	3506	1	21	3983	962	212	4517	50	115	530	1901	56	267	467	57	10	381	28	128	266	17	334	261	412	4	50	14	176	145
TrH2_TrispH2_000473	53	1	6	0	8	2	12	2	14	80	0	3	41	14	1	39	5	10	35	28	0	4	2	2	1	4	2	7	4	1	6	8	1	0	2	1	0	1
TrH2_TrispH2_000475	65	1	7	3	9	5	5	3	15	67	5	0	36	13	0	45	2	8	15	32	2	5	4	4	3	4	2	1	2	1	8	5	1	0	7	2	2	4
TrH2_TrispH2_000476	506	15	27	13	96	27	58	20	87	364	11	14	422	151	6	380	13	62	153	170	28	24	44	14	15	26	14	10	43	16	49	23	31	14	28	21	15	8
TrH2_TrispH2_000478	6	0	0	1	3	0	1	2	4	8	0	0	2	4	0	11	1	0	1	5	0	0	2	0	1	1	0	0	4	0	2	0	0	0	0	0	0	0
TrH2_TrispH2_000479	154	5	9	3	23	7	17	8	15	191	2	6	125	47	3	92	2	15	52	59	2	11	8	1	4	2	5	6	10	4	12	8	9	5	3	6	2	1
TrH2_TrispH2_000481	38	2	2	0	4	1	1	0	5	54	0	2	29	10	1	48	3	1	17	17	0	4	4	0	0	1	0	1	1	1	4	2	4	3	2	3	1	1
TrH2_TrispH2_000482	195	4	8	1	34	8	21	5	26	161	2	1	141	50	3	105	5	10	63	78	5	14	13	6	4	5	6	5	14	4	16	13	9	3	9	5	8	4
TrH2_TrispH2_000485	51	4	3	2	14	4	5	4	11	86	2	5	49	26	0	61	2	11	29	27	2	7	1	0	0	1	3	3	2	1	3	3	3	1	0	1	1	1
TrH2_TrispH2_000486	65	2	1	2	7	4	4	4	19	54	0	3	46	7	2	44	2	3	19	31	0	3	4	0	0	3	2	3	5	3	8	2	3	2	4	7	3	0
TrH2_TrispH2_000489	93	0	1	2	16	3	8	3	14	79	4	3	90	20	1	70	1	5	22	34	8	10	3	2	2	1	1	3	2	6	5	4	3	3	2	3	5	7
TrH2_TrispH2_000491	224	6	14	3	43	10	39	6	55	255	4	16	184	62	3	204	8	33	115	112	11	23	15	6	3	4	9	7	15	5	26	14	16	4	6	9	4	3
TrH2_TrispH2_000492	30	1	4	1	1	1	3	1	4	20	1	1	28	11	0	23	1	2	11	9	0	4	2	0	0	0	1	0	3	1	2	0	2	0	0	3	0	0
TrH2_TrispH2_000493	145	4	6	0	20	7	22	5	29	175	1	8	132	50	1	111	6	19	77	69	5	8	9	5	4	2	3	8	8	3	13	6	12	6	0	3	4	1
TrH2_TrispH2_000494	157	1	17	1	26	10	23	10	16	178	2	3	121	47	1	123	7	31	72	74	4	12	7	5	1	1	9	7	13	3	8	7	14	3	1	3	5	4
TrH2_TrispH2_000495	1137	39	43	22	132	40	114	47	187	1316	15	63	823	269	12	829	41	180	480	440	41	72	70	22	7	47	21	25	65	36	90	44	63	38	32	33	24	11
TrH2_TrispH2_000496	93	2	5	0	21	4	13	2	15	60	3	4	63	25	1	61	4	3	37	34	6	4	4	3	2	6	3	6	5	2	8	0	6	3	1	0	3	0
TrH2_orphan_16	17	0	0	0	1	2	3	0	5	11	0	0	19	4	0	19	1	1	4	6	1	2	0	0	0	0	0	0	1	0	3	0	1	0	1	0	0	1
TrH2_TrispH2_000497	58	4	2	0	13	1	7	5	13	48	4	0	50	19	2	60	2	5	14	22	4	6	3	2	0	2	4	4	5	1	10	2	6	3	0	2	3	0
TrH2_TrispH2_000500	66	2	2	0	4	3	6	6	7	79	0	6	30	13	2	64	2	1	26	19	3	4	5	1	1	2	1	4	3	3	8	3	0	0	5	3	0	1
TrH2_TrispH2_000502	90	3	7	0	12	7	9	2	23	85	1	8	65	31	5	80	5	11	31	35	3	9	2	1	3	1	1	0	2	2	10	6	4	2	3	8	6	2
TrH2_orphan_17	27	0	0	3	8	0	5	0	8	24	0	1	17	7	0	20	0	2	12	15	3	7	2	2	2	1	1	1	1	0	3	4	6	0	0	0	2	1
TrH2_TrispH2_000504	1978	21	59	37	376	66	201	73	328	1532	14	24	1372	484	37	1539	35	169	538	717	83	147	94	66	41	55	69	29	113	110	152	98	100	45	86	82	67	24
TrH2_TrispH2_000505	332	12	6	7	32	16	43	10	70	338	3	14	257	80	9	213	6	48	125	132	18	16	5	9	1	17	5	10	11	4	29	9	27	12	2	14	8	3
TrH2_TrispH2_000506	141	4	5	2	34	7	20	5	33	112	3	4	107	33	2	86	4	15	53	53	8	9	9	3	2	6	4	3	8	2	5	8	9	1	3	7	1	2
TrH2_TrispH2_000507	25	0	0	0	3	0	5	0	4	18	0	0	23	10	1	14	0	1	11	16	0	2	2	0	0	0	0	0	0	1	2	2	2	1	1	0	2	0
TrH2_TrispH2_000511	286	3	9	6	49	16	38	7	52	249	3	8	230	69	8	230	0	25	84	109	17	23	22	6	1	6	6	12	14	4	27	12	18	6	11	6	4	5
