lipophil	trans	unknown_1	unknown_2	fibre	gland	epithelia_gland_like	epithelia	peptidergic
TrH2_TrispH2_000583	168	51	26	76	152	105	45	252	113
TrH2_TrispH2_000586	77	29	12	40	88	63	22	151	70
TrH2_TrispH2_000587	154	58	29	57	173	96	36	253	107
TrH2_TrispH2_000590	7928	2061	1263	2876	7188	5722	2105	11685	5719
TrH2_TrispH2_000592	25	5	1	8	12	13	9	36	15
TrH2_TrispH2_000595	339	76	55	137	236	215	91	495	236
TrH2_orphan_9	2	1	0	0	0	1	1	2	0
TrH2_TrispH2_000598	84	31	9	30	107	68	18	131	55
TrH2_TrispH2_000601	31	15	8	11	31	29	13	52	21
TrH2_TrispH2_000603	22	3	4	12	17	22	8	33	17
TrH2_TrispH2_000604	61	10	13	38	60	54	16	124	43
TrH2_TrispH2_000606	23	14	3	11	22	30	4	37	22
TrH2_TrispH2_000608	30	10	4	9	31	13	4	35	21
TrH2_orphan_10	42	13	6	21	36	33	17	57	25
TrH2_TrispH2_000612	0	0	0	0	0	0	0	1	0
TrH2_TrispH2_000615	15	1	0	4	17	2	3	9	7
TrH2_TrispH2_000617	337	74	49	129	241	252	82	459	211
TrH2_orphan_11	12	3	3	5	7	6	4	17	9
TrH2_TrispH2_000618	74	17	7	24	73	51	27	123	52
TrH2_TrispH2_000620	1	0	0	0	0	0	0	1	0
TrH2_TrispH2_000622	51	12	13	17	30	33	9	51	28
TrH2_TrispH2_000624	139	29	17	76	136	103	33	227	125
TrH2_TrispH2_000625	133	83	16	50	241	116	35	226	91
TrH2_TrispH2_000627	79	15	15	17	63	36	9	97	52
TrH2_TrispH2_000630	131	30	14	41	123	70	27	156	76
TrH2_orphan_12	0	1	0	0	0	0	0	1	1
TrH2_TrispH2_000631	39	17	6	18	53	40	13	78	40
TrH2_TrispH2_000632	274	89	39	100	256	238	68	413	191
TrH2_TrispH2_000633	7	1	0	3	8	7	8	9	5
TrH2_orphan_13	75	16	12	28	24	44	16	78	59
TrH2_TrispH2_000636	48	12	5	11	53	42	15	81	45
TrH2_TrispH2_000638	1399	448	224	533	1406	977	356	2303	988
TrH2_TrispH2_000640	66	21	5	29	49	54	19	88	44
TrH2_TrispH2_000642	892	294	112	273	920	583	230	1368	543
TrH2_TrispH2_000643	236	92	20	74	315	131	47	389	142
TrH2_TrispH2_000645	52	17	7	18	74	37	13	96	39
TrH2_TrispH2_000646	69	33	9	30	122	77	17	119	38
TrH2_TrispH2_000647	32	10	6	10	20	23	4	48	22
TrH2_TrispH2_000650	629	192	77	201	620	414	141	939	394
TrH2_TrispH2_000655	333	86	60	115	307	267	70	520	251
TrH2_TrispH2_000657	175	69	22	71	225	135	49	257	118
TrH2_TrispH2_000658	8	0	2	4	4	6	6	11	6
TrH2_TrispH2_000660	111	27	23	41	100	87	26	154	72
TrH2_TrispH2_000662	2	0	0	0	3	2	0	1	0
TrH2_TrispH2_000664	52	11	5	21	35	25	9	44	24
TrH2_orphan_14	17	2	2	1	16	8	2	9	10
TrH2_TrispH2_000666	125	61	18	47	142	101	30	218	85
TrH2_TrispH2_000667	15	3	2	5	6	11	2	6	7
TrH2_TrispH2_000668	18	7	3	8	25	21	4	24	18
TrH2_orphan_15	3	0	0	2	1	2	0	5	2
TrH2_TrispH2_000675	48	23	11	26	50	46	20	93	44
TrH2_TrispH2_000676	87	35	14	36	89	66	30	146	44
TrH2_TrispH2_000677	34	18	6	16	30	33	7	66	22
TrH2_TrispH2_000678	77	23	15	41	41	67	24	104	51
TrH2_TrispH2_000680	682	206	93	267	649	508	191	1140	459
TrH2_TrispH2_000681	154	32	40	73	142	125	43	236	93
TrH2_TrispH2_000682	130	30	16	47	86	92	41	166	77
TrH2_TrispH2_000466	78	34	23	41	97	62	23	133	56
TrH2_TrispH2_000467	76	20	15	25	51	70	16	104	40
TrH2_TrispH2_000468	54	19	5	22	64	40	14	88	43
TrH2_TrispH2_000471	4930	660	516	2689	3506	3983	962	7160	3073
TrH2_TrispH2_000473	53	25	8	30	80	41	14	103	46
TrH2_TrispH2_000475	65	26	9	28	67	36	13	92	57
TrH2_TrispH2_000476	506	155	96	192	364	422	151	709	423
TrH2_TrispH2_000478	6	2	3	7	8	2	4	17	10
TrH2_TrispH2_000479	154	42	23	47	191	125	47	206	99
TrH2_TrispH2_000481	38	10	4	7	54	29	10	83	32
TrH2_TrispH2_000482	195	31	34	60	161	141	50	249	143
TrH2_TrispH2_000485	51	29	14	24	86	49	26	117	33
TrH2_TrispH2_000486	65	13	7	31	54	46	7	96	52
TrH2_TrispH2_000489	93	16	16	28	79	90	20	127	70
TrH2_TrispH2_000491	224	84	43	110	255	184	62	434	180
TrH2_TrispH2_000492	30	11	1	9	20	28	11	43	18
TrH2_TrispH2_000493	145	44	20	63	175	132	50	258	100
TrH2_TrispH2_000494	157	62	26	59	178	121	47	270	107
TrH2_TrispH2_000495	1137	403	132	388	1316	823	269	1761	741
TrH2_TrispH2_000496	93	21	21	34	60	63	25	133	62
TrH2_orphan_16	17	2	1	10	11	19	4	29	10
TrH2_TrispH2_000497	58	17	13	26	48	50	19	98	57
TrH2_TrispH2_000500	66	13	4	22	79	30	13	111	47
TrH2_TrispH2_000502	90	35	12	41	85	65	31	151	65
TrH2_orphan_17	27	6	8	13	24	17	7	47	36
TrH2_TrispH2_000504	1978	359	376	668	1532	1372	484	2831	1461
TrH2_TrispH2_000505	332	96	32	139	338	257	80	479	200
TrH2_TrispH2_000506	141	37	34	65	112	107	33	194	90
TrH2_TrispH2_000507	25	1	3	9	18	23	10	42	15
TrH2_TrispH2_000511	286	54	49	113	249	230	69	431	200
TrH2_TrispH2_000512	149	53	9	62	156	90	31	234	91
TrH2_TrispH2_000515	176	48	23	63	174	102	44	259	124
TrH2_TrispH2_000516	233	85	34	84	283	175	69	421	165
TrH2_TrispH2_000517	37	35	4	12	97	30	10	96	20
TrH2_TrispH2_000518	210	119	25	58	279	119	50	399	100
TrH2_TrispH2_000520	78	39	14	26	78	51	17	121	73
TrH2_orphan_18	26	6	1	12	25	13	7	36	20
TrH2_TrispH2_000523	92	34	11	29	78	79	37	139	70
TrH2_TrispH2_000526	294	94	56	140	260	226	91	505	262
TrH2_TrispH2_000528	285	67	51	98	249	223	81	421	194
TrH2_TrispH2_000529	160	53	23	67	135	130	41	232	133
TrH2_TrispH2_000531	2671	763	439	1031	1968	1991	709	3942	1903
TrH2_TrispH2_000534	97	51	11	45	140	57	21	178	82
TrH2_TrispH2_000537	68	31	15	22	80	62	21	143	61
TrH2_TrispH2_000539	121	46	16	46	118	99	30	182	98
TrH2_TrispH2_000542	54	10	14	22	71	38	17	85	54
TrH2_TrispH2_000545	67	39	7	17	105	49	11	145	36
TrH2_TrispH2_000546	160	66	32	60	134	137	32	271	125
TrH2_TrispH2_000548	1	0	0	50	1	0	0	5	0
TrH2_TrispH2_000549	0	0	0	5	0	0	0	1	0
TrH2_TrispH2_000550	1736	501	284	671	1496	1222	466	2605	1296
TrH2_TrispH2_000553	29	7	3	12	39	21	8	68	13
TrH2_TrispH2_000555	158	48	20	56	155	91	35	266	104
TrH2_TrispH2_000556	73	8	10	25	67	38	16	110	46
TrH2_TrispH2_000558	121	26	17	36	93	79	24	166	82
TrH2_TrispH2_000561	227	69	43	82	260	161	48	415	173
TrH2_TrispH2_000563	30	7	4	13	24	32	10	57	27
TrH2_orphan_19	2	0	0	0	1	1	1	0	2
TrH2_TrispH2_000565	161	49	27	51	140	103	43	262	120
TrH2_orphan_20	4	4	0	3	5	4	1	5	4
TrH2_TrispH2_000567	129	37	12	48	113	80	23	224	104
TrH2_orphan_21	1	0	0	2	1	7	0	6	2
TrH2_TrispH2_000569	12	2	1	8	12	18	4	33	24
TrH2_TrispH2_000570	8676	2059	1267	3159	7393	6313	2347	13011	6247
TrH2_TrispH2_000571	137	30	21	51	119	95	36	166	90
TrH2_hyp_clust5143	4	3	0	2	3	2	0	7	3
TrH2_TrispH2_000572	22	7	6	4	15	13	2	32	21
TrH2_TrispH2_000573	369	95	59	131	279	276	98	503	251
TrH2_TrispH2_000576	64	21	8	36	94	51	18	125	42
TrH2_TrispH2_000578	78	10	8	27	76	44	17	100	35
TrH2_TrispH2_000580	100	21	24	50	104	95	33	123	67
TrH2_TrispH2_000582	22	12	6	12	34	12	5	46	20
TrH2_orphan_22	2	1	0	0	1	1	0	3	0
TrH2_TrispH2_000584	220	91	25	56	264	108	44	381	109
TrH2_TrispH2_000585	183	49	24	78	169	147	55	270	147
TrH2_TrispH2_000588	0	0	0	4	1	1	0	4	0
TrH2_TrispH2_000589	42	7	6	38	30	27	9	74	29
TrH2_TrispH2_000591	32	7	8	11	30	28	10	64	22
TrH2_TrispH2_000593	87	28	15	29	87	48	13	155	55
TrH2_TrispH2_000594	63	9	5	27	58	34	17	79	42
TrH2_orphan_23	9	7	1	3	11	10	2	23	8
TrH2_TrispH2_000596	3536	1159	634	1638	3091	3028	1118	5393	2524
TrH2_TrispH2_000597	104	23	20	37	63	82	27	147	82
TrH2_TrispH2_000599	99	26	9	27	76	56	25	102	53
TrH2_TrispH2_000600	106	37	19	36	97	94	27	183	85
TrH2_TrispH2_000602	46	19	4	23	38	26	10	49	32
TrH2_TrispH2_000605	19	6	5	11	18	8	6	31	16
TrH2_TrispH2_000607	766	151	107	344	573	567	176	1205	565
TrH2_TrispH2_000609	73	24	9	22	50	38	16	89	48
TrH2_TrispH2_000610	144	31	25	54	104	97	29	211	104
TrH2_TrispH2_000611	11	12	1	5	18	4	1	27	3
TrH2_TrispH2_000613	26	8	2	12	27	20	9	52	14
TrH2_TrispH2_000616	35	7	1	9	35	27	17	45	26
TrH2_TrispH2_000619	98	29	6	40	86	63	18	125	66
TrH2_TrispH2_000621	143	50	16	63	156	109	44	245	96
TrH2_TrispH2_000623	645	157	116	269	557	530	174	1050	471
TrH2_TrispH2_000626	30	6	3	4	22	30	8	52	31
TrH2_TrispH2_000628	22	9	5	9	21	11	4	32	19
TrH2_TrispH2_000629	20	5	7	12	23	22	18	44	12
TrH2_orphan_24	4	0	0	0	0	4	0	4	3
TrH2_orphan_25	2	0	0	0	1	0	1	0	4
TrH2_TrispH2_000635	23	10	6	5	8	21	5	31	18
TrH2_TrispH2_000637	73	26	5	24	63	44	17	96	47
TrH2_TrispH2_000639	65	22	7	18	64	44	14	97	47
TrH2_TrispH2_000641	51	14	6	24	69	55	18	80	47
TrH2_TrispH2_000644	43	14	7	9	26	17	5	55	16
TrH2_TrispH2_000648	88	31	10	30	72	57	29	119	68
TrH2_TrispH2_000649	74	20	3	26	81	71	17	143	49
TrH2_TrispH2_000651	89	18	10	28	99	56	19	137	51
TrH2_TrispH2_000652	51	19	6	14	42	33	15	92	38
TrH2_TrispH2_000653	130	33	19	50	127	73	34	164	83
TrH2_TrispH2_000654	162	33	17	57	175	121	42	254	103
TrH2_TrispH2_000656	13	3	2	6	20	12	3	23	12
TrH2_TrispH2_000659	86	12	16	32	65	62	17	114	64
TrH2_TrispH2_000661	405	125	86	197	412	365	128	723	359
TrH2_TrispH2_000663	49	7	9	12	30	26	9	39	34
TrH2_TrispH2_000665	1102	344	169	466	984	806	326	1784	852
TrH2_orphan_26	6	0	0	2	2	0	1	6	5
TrH2_TrispH2_000669	80	15	15	29	64	53	17	91	56
TrH2_TrispH2_000670	14	4	5	5	12	15	8	20	15
TrH2_TrispH2_000671	70	18	15	29	75	49	24	97	54
TrH2_TrispH2_000672	27	7	1	12	16	18	11	32	12
TrH2_TrispH2_000673	32	1	3	10	11	16	20	37	13
TrH2_TrispH2_000674	478	153	63	179	573	344	114	758	304
TrH2_TrispH2_000679	204	53	53	77	188	141	80	345	155
TrH2_orphan_27	36	10	6	9	34	18	8	58	15
TrH2_orphan_28	18	1	0	1	18	7	4	21	8
TrH2_TrispH2_000689	47	21	10	24	64	36	9	104	39
TrH2_TrispH2_000691	339	104	59	131	323	277	83	546	272
TrH2_TrispH2_000692	197	88	42	62	276	157	57	339	137
TrH2_orphan_29	2	2	1	1	7	5	0	10	2
TrH2_orphan_30	2	5	0	3	5	6	1	11	6
TrH2_TrispH2_000694	416	186	97	156	481	330	144	784	314
TrH2_TrispH2_000695	2	0	0	0	2	0	0	2	0
TrH2_TrispH2_000696	7	2	0	2	13	7	2	7	4
TrH2_TrispH2_000698	33	7	4	11	26	23	8	47	27
TrH2_orphan_31	32	8	7	5	23	24	14	30	20
TrH2_TrispH2_000701	38	38	16	30	54	42	21	80	34
TrH2_TrispH2_000702	257	76	34	107	222	193	52	339	159
TrH2_TrispH2_000704	1024	236	148	382	767	756	267	1452	759
TrH2_TrispH2_000705	3213	943	524	1248	2850	2479	845	5062	2509
TrH2_TrispH2_000708	247	73	42	81	248	176	61	401	196
TrH2_TrispH2_000710	39	8	4	10	24	8	5	43	12
TrH2_TrispH2_000711	46	13	12	20	43	43	15	83	35
TrH2_TrispH2_000712	85	22	10	19	58	65	13	106	53
TrH2_TrispH2_000715	251	49	37	104	198	165	67	324	170
TrH2_TrispH2_000717	125	32	19	53	120	100	27	177	90
TrH2_TrispH2_000720	69	18	11	32	61	56	19	104	45
TrH2_TrispH2_000722	3906	970	579	1329	3610	2555	944	5418	2654
TrH2_TrispH2_000723	169	49	36	80	155	154	62	260	152
TrH2_TrispH2_000724	16	3	1	9	14	15	5	20	10
TrH2_TrispH2_000726	16	2	1	9	12	10	7	17	13
TrH2_TrispH2_000729	93	21	11	33	96	58	23	154	85
TrH2_TrispH2_000731	42	20	6	18	47	49	17	84	30
TrH2_TrispH2_000733	264	59	45	87	232	209	77	370	159
TrH2_TrispH2_000739	339	75	34	115	292	202	72	468	212
TrH2_TrispH2_000741	24	11	3	10	37	31	11	46	20
TrH2_TrispH2_000742	34	13	6	5	34	23	8	53	27
TrH2_TrispH2_000744	83	18	13	34	87	46	26	159	69
TrH2_TrispH2_000747	688	245	82	209	961	437	160	1117	423
TrH2_TrispH2_000750	2034	680	585	975	1861	1745	660	3109	1756
TrH2_TrispH2_000751	336	152	17	260	561	271	145	885	178
TrH2_TrispH2_000753	67	24	9	35	52	46	23	92	53
TrH2_TrispH2_000755	60	15	9	20	53	43	13	105	29
TrH2_TrispH2_000756	48	11	5	13	39	29	4	67	29
TrH2_TrispH2_000758	29	10	6	14	45	23	14	61	22
TrH2_TrispH2_000763	16	2	1	11	26	26	5	18	15
TrH2_TrispH2_000766	111	18	26	44	90	72	33	180	74
TrH2_TrispH2_000767	63	11	7	23	81	29	13	95	35
TrH2_TrispH2_000769	38	4	5	18	38	15	6	51	31
TrH2_TrispH2_000771	182	37	30	66	136	156	52	293	126
TrH2_TrispH2_000774	57	12	8	24	46	35	17	83	37
TrH2_TrispH2_000775	1083	308	162	431	1082	817	297	1700	769
TrH2_TrispH2_000776	451	126	83	163	381	343	111	665	350
TrH2_TrispH2_000779	240	85	46	90	231	173	64	394	170
TrH2_TrispH2_000781	87	50	11	38	130	46	26	143	53
TrH2_TrispH2_000783	117	47	19	44	112	94	25	169	73
TrH2_TrispH2_000785	235	10	17	127	179	221	47	386	130
TrH2_TrispH2_000788	49	23	10	22	60	37	10	82	27
TrH2_TrispH2_000790	238	69	56	108	215	186	53	356	193
TrH2_TrispH2_000791	345	139	49	110	435	201	79	551	260
TrH2_TrispH2_000793	68	15	8	31	85	47	11	94	46
TrH2_TrispH2_000799	76	22	13	28	61	54	24	111	54
TrH2_TrispH2_000801	145	42	15	63	161	99	39	243	117
TrH2_TrispH2_000803	92	36	15	35	94	77	17	137	67
TrH2_TrispH2_000805	57	23	3	26	61	43	6	86	40
TrH2_TrispH2_000807	355	117	21	86	569	191	54	508	195
TrH2_TrispH2_000809	37	22	4	4	68	27	5	78	29
TrH2_TrispH2_000811	31	10	8	10	29	34	12	42	28
TrH2_TrispH2_000812	36	4	5	12	14	33	8	39	10
TrH2_orphan_32	0	0	0	0	0	1	0	4	1
TrH2_TrispH2_000815	70	32	19	42	62	37	16	117	42
TrH2_orphan_33	13	6	1	7	13	13	6	25	17
TrH2_TrispH2_000816	30	11	3	14	36	27	9	77	23
TrH2_TrispH2_000817	38	4	6	9	34	28	8	35	14
TrH2_TrispH2_000818	32	20	5	11	60	20	5	72	19
TrH2_TrispH2_000820	117	39	26	49	119	71	28	188	70
TrH2_TrispH2_000822	717	217	103	243	708	470	183	1078	471
TrH2_TrispH2_000824	56	16	8	12	80	26	5	84	20
TrH2_TrispH2_000825	1032	297	151	379	950	684	283	1613	779
TrH2_orphan_34	6	0	0	1	4	0	0	10	0
TrH2_TrispH2_000828	10	12	3	5	29	14	2	30	6
TrH2_TrispH2_000829	2	1	0	0	1	2	1	5	1
TrH2_TrispH2_000830	202	58	33	105	187	129	41	276	157
TrH2_TrispH2_000832	727	197	119	298	772	576	181	1195	550
TrH2_TrispH2_000833	58	8	11	22	31	35	12	86	39
TrH2_TrispH2_000835	79	20	11	21	57	52	16	110	44
TrH2_TrispH2_000837	18	0	3	6	16	13	5	22	16
TrH2_TrispH2_000839	125	39	17	35	118	73	38	192	84
TrH2_TrispH2_000840	274	73	44	108	272	208	65	412	209
TrH2_orphan_35	1178	289	218	574	917	1001	365	1897	882
TrH2_TrispH2_000842	149	32	24	69	161	102	41	249	111
TrH2_TrispH2_000843	48	13	7	27	30	38	9	74	29
TrH2_TrispH2_000849	834	265	144	350	802	638	239	1307	575
TrH2_TrispH2_000853	166	48	24	67	140	143	51	261	140
TrH2_TrispH2_000854	21	6	6	9	7	14	7	35	18
TrH2_TrispH2_000855	63	27	18	24	72	54	20	119	50
TrH2_orphan_36	1	0	0	2	1	2	2	2	2
TrH2_TrispH2_000858	0	1	0	1	3	0	1	1	1
TrH2_TrispH2_000861	31	29	5	6	34	9	7	62	24
TrH2_TrispH2_000862	2	1	0	1	2	1	1	6	2
TrH2_TrispH2_000866	133	36	13	38	85	99	29	199	87
TrH2_TrispH2_000867	122	23	22	49	87	93	34	140	86
TrH2_orphan_37	1584	494	247	610	1567	1179	460	2467	1095
TrH2_TrispH2_000870	6	2	2	1	2	5	6	15	6
TrH2_TrispH2_000871	43	8	3	27	44	35	16	95	36
TrH2_TrispH2_000872	0	0	0	0	1	0	0	2	0
TrH2_TrispH2_000877	56	11	9	14	47	35	16	75	48
TrH2_TrispH2_000879	0	0	0	0	0	0	0	1	0
TrH2_TrispH2_000880	289	72	46	114	256	199	81	442	210
TrH2_TrispH2_000883	0	0	0	0	0	1	0	0	0
TrH2_orphan_40	2	4	0	0	4	0	0	10	1
TrH2_TrispH2_000884	1	0	0	0	0	0	0	0	0
TrH2_TrispH2_000885	0	1	0	0	0	0	0	1	0
TrH2_TrispH2_000888	0	0	0	0	5	1	0	5	0
TrH2_TrispH2_000683	20	0	1	9	12	6	3	12	8
TrH2_TrispH2_000684	5	3	0	2	11	0	3	15	3
TrH2_TrispH2_000685	15	3	0	6	8	4	3	7	5
TrH2_TrispH2_000686	43	10	3	15	40	27	2	65	27
TrH2_TrispH2_000687	50	20	8	15	73	40	11	106	31
TrH2_TrispH2_000688	179	54	20	51	137	113	53	254	149
TrH2_TrispH2_000690	48	23	10	23	93	53	13	107	44
TrH2_TrispH2_000693	403	201	56	144	637	279	96	674	236
TrH2_orphan_41	21	14	4	8	34	25	10	41	20
TrH2_orphan_42	30	16	6	11	54	29	2	59	37
TrH2_TrispH2_000697	147	57	17	49	147	90	31	248	106
TrH2_TrispH2_000699	33	19	3	13	44	27	14	86	34
TrH2_TrispH2_000700	38	13	8	7	30	17	8	50	25
TrH2_orphan_43	3	2	1	0	1	3	0	6	2
TrH2_TrispH2_000703	40	8	10	13	33	22	7	47	25
TrH2_TrispH2_000706	50	17	7	20	34	25	15	83	49
TrH2_TrispH2_000707	120	40	23	43	105	93	32	206	88
TrH2_TrispH2_000709	55	32	4	19	81	45	14	88	28
TrH2_TrispH2_000713	165	33	34	68	136	119	34	204	137
TrH2_TrispH2_000714	260	68	41	127	219	212	68	420	244
TrH2_TrispH2_000716	369	71	62	132	314	247	106	539	274
TrH2_TrispH2_000718	92	16	14	36	67	53	27	128	49
TrH2_TrispH2_000719	98	20	14	36	77	80	28	140	78
TrH2_TrispH2_000721	259	65	36	89	226	216	62	404	189
TrH2_TrispH2_000725	308	81	42	116	261	240	93	438	203
TrH2_TrispH2_000727	17	33	1	6	36	13	7	44	25
TrH2_TrispH2_000728	80	18	17	28	53	53	16	99	40
TrH2_TrispH2_000730	140	40	23	36	145	109	43	226	111
TrH2_TrispH2_000732	124	43	23	58	137	90	37	229	91
TrH2_TrispH2_000734	46	22	10	19	114	46	18	160	36
TrH2_TrispH2_000735	2707	600	566	1278	1812	2316	854	4235	2230
TrH2_TrispH2_000736	16	2	0	6	13	14	3	30	20
TrH2_TrispH2_000737	2217	826	308	1087	2096	1632	594	3548	2013
TrH2_TrispH2_000740	95	16	21	39	66	100	31	139	81
TrH2_TrispH2_000743	273	62	36	127	227	238	70	471	222
TrH2_TrispH2_000745	202	61	33	81	164	143	59	286	142
TrH2_TrispH2_000746	51	13	6	12	36	26	15	73	40
TrH2_TrispH2_000748	403	112	69	157	341	307	99	613	320
TrH2_TrispH2_000749	23	5	3	13	20	20	9	57	24
TrH2_orphan_44	1	0	0	1	3	4	1	4	1
TrH2_orphan_45	0	0	1	3	4	1	0	2	2
TrH2_TrispH2_000752	345	76	45	147	321	244	105	513	217
TrH2_TrispH2_000754	3	0	0	0	0	0	0	3	5
TrH2_TrispH2_000757	85	29	9	17	132	53	23	137	58
TrH2_TrispH2_000759	117	43	31	28	119	55	43	163	81
TrH2_TrispH2_000760	40	13	7	33	28	35	16	103	39
TrH2_TrispH2_000761	79	40	12	35	128	71	28	179	58
TrH2_TrispH2_000764	60	20	11	14	88	40	13	98	47
TrH2_TrispH2_000765	1103	243	174	377	947	777	285	1649	925
TrH2_TrispH2_000768	3340	924	558	1315	2698	2496	954	5085	2596
TrH2_TrispH2_000770	135	42	19	43	111	86	34	200	97
TrH2_orphan_46	6	1	1	0	5	5	2	6	1
TrH2_TrispH2_000772	16	5	3	5	24	18	4	28	7
TrH2_TrispH2_000773	44	24	5	26	63	41	24	101	39
TrH2_orphan_47	12	1	2	5	10	2	3	16	2
TrH2_TrispH2_000777	154	40	20	51	169	108	30	214	122
TrH2_TrispH2_000778	1047	724	128	310	708	1080	7	906	457
TrH2_TrispH2_000780	525	152	68	142	564	372	116	772	292
TrH2_orphan_48	1	0	1	1	5	2	1	8	4
TrH2_TrispH2_000782	5	1	2	3	2	2	1	8	2
TrH2_TrispH2_000784	73	11	6	30	53	53	20	88	49
TrH2_TrispH2_000786	5	1	0	0	7	0	0	9	1
TrH2_orphan_49	23	1	1	6	11	17	5	29	9
TrH2_TrispH2_000787	81	19	17	36	73	55	20	119	78
TrH2_TrispH2_000789	48	4	5	13	30	29	16	54	36
TrH2_TrispH2_000792	368	103	45	134	321	265	86	568	263
TrH2_TrispH2_000794	215	72	31	80	208	131	56	347	147
TrH2_TrispH2_000795	125	35	12	35	153	67	22	175	70
TrH2_TrispH2_000796	79	19	10	17	91	43	16	121	35
TrH2_TrispH2_000797	18	9	4	14	27	16	3	45	10
TrH2_TrispH2_000798	56	11	4	24	40	31	9	63	39
TrH2_TrispH2_000800	3710	1143	548	1471	3606	2710	1076	5805	2503
TrH2_TrispH2_000802	68	19	17	31	66	55	20	110	53
TrH2_orphan_50	3	0	0	2	1	2	1	14	2
TrH2_TrispH2_000806	504	192	25	103	815	265	90	663	245
TrH2_orphan_51	28	8	1	6	27	14	4	27	16
TrH2_TrispH2_000808	24	7	2	4	27	14	6	28	13
TrH2_TrispH2_000810	26	2	6	8	30	19	6	40	19
TrH2_TrispH2_000813	86	21	9	27	55	53	24	103	45
TrH2_TrispH2_000814	5431	1862	854	1982	5996	3647	1279	8732	3544
TrH2_orphan_52	2	2	0	1	2	5	0	5	2
TrH2_TrispH2_000819	69	26	5	13	69	36	13	108	43
