                                                   	OG_448              	OG_8302             	OG_8239             	OG_1685             	OG_965              	OG_5618             	OG_8699             	OG_695              	OG_1110             	OG_1098             	OG_2608             	OG_1491             	OG_804              	OG_345              	OG_5923             	OG_7535             	OG_2078             	OG_229              	OG_5300             	OG_8310             	OG_1410             	OG_27               	OG_1282             	OG_5720             	OG_5911             	OG_4110             	OG_2322             	OG_1751             	OG_8202             	OG_1742             	OG_350              	OG_343              	OG_2895             	OG_7769             	OG_2054             	OG_949              	OG_2457             	OG_3336             	OG_8603             	OG_1531             	OG_2569             	OG_8341             	OG_5970             	OG_776              	OG_238              	OG_2434             	OG_1616             	OG_754              	OG_5693             	OG_1902             	OG_4290             	OG_2149             	OG_1450             	OG_1200             	OG_535              	OG_8403             	OG_777              	OG_318              	OG_237              	OG_5257             	OG_8257             	OG_1335             	OG_2415             	OG_1790             	OG_1203             	OG_5895             	OG_4286             	OG_545              	OG_2125             	OG_355              	OG_2364             	OG_2962             	OG_3929             	OG_1787             	OG_406              	OG_1086             	OG_1355             	OG_5914             	OG_636              	OG_439              	OG_1391             	OG_5791             	OG_970              	OG_1839             	OG_1161             	OG_3955             	OG_1419             	OG_4184             	OG_8293             	OG_1206             	OG_1252             	OG_2018             	OG_60               	OG_4364             	OG_570              	OG_1769             	OG_3048             	OG_8282             	OG_2854             	OG_5664             	OG_2306             	OG_860              	OG_1231             	OG_1339             	OG_1107             	OG_128              	OG_5442             	OG_3028             	OG_1422             	OG_414              	OG_270              	OG_4580             	OG_4528             	OG_5043             	OG_3118             	OG_4674             	OG_4660             	OG_1984             	OG_4628             	OG_575              	OG_5412             	
Sanmal                                             	0.6064              	0.61215             	0.5094              	0.50525             	0.53095             	0.4476              	0.5248              	0.4616              	-1                  	0.49935             	0.50235             	0.48845             	0.427               	0.43375             	0.3904              	0.4769              	0.41635             	0.51455             	0.42985             	0.44765             	0.46055             	0.39765             	0.4566              	0.38715             	0.3811              	0.44755             	0.43885             	-1                  	0.4165              	0.3807              	0.36985             	0.37435             	0.35355             	0.4245              	0.41125             	0.3755              	0.3526              	0.3637              	0.4064              	0.3884              	0.4156              	0.34865             	0.41275             	0.3702              	0.42415             	0.3408              	0.38485             	0.4401              	0.35425             	-1                  	0.33765             	0.37105             	0.38245             	0.34365             	0.35305             	0.3632              	0.3291              	0.37265             	0.35155             	0.3212              	0.32835             	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	-1                  	0.3274              	0.29885             	0.3724              	0.3139              	0.3351              	0.3296              	0.3142              	0.32145             	0.32515             	0.36475             	0.31135             	0.33715             	0.39325             	0.3676              	0.30105             	0.3241              	0.3105              	0.3041              	0.3244              	0.35355             	0.3174              	0.34095             	0.32495             	0.34975             	0.31995             	0.39155             	0.29825             	0.31905             	0.289               	0.32005             	0.29445             	0.30205             	0.3238              	0.3103              	0.28615             	0.28975             	0.2971              	-1                  	0.3095              	0.28535             	0.2874              	0.3639              	0.2939              	0.28595             	-1                  	0.2748              	0.3392              	0.30115             	0.31855             	0.3229              	0.2878              	0.3221              	0.30795             	0.27635             	
Skow                                               	0.6064              	0.61215             	-1                  	0.50525             	0.53095             	0.4476              	0.5248              	0.4616              	0.4824              	0.49935             	0.50235             	0.48845             	-1                  	0.43375             	0.3904              	0.4769              	0.41635             	0.51455             	0.42985             	0.44765             	-1                  	0.39765             	0.4566              	0.38715             	0.3811              	0.44755             	0.43885             	0.44425             	0.4165              	0.3807              	0.36985             	0.37435             	0.35355             	0.4245              	0.41125             	0.3755              	0.3526              	0.3637              	0.4064              	0.3884              	0.4156              	0.34865             	0.41275             	0.3702              	-1                  	0.3408              	0.38485             	0.4401              	0.35425             	0.3782              	0.33765             	0.37105             	0.38245             	0.34365             	0.35305             	0.3632              	0.3291              	0.37265             	0.35155             	0.3212              	0.32835             	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	0.3681              	0.3274              	0.29885             	-1                  	0.3139              	-1                  	0.3296              	0.3142              	0.32145             	0.32515             	0.36475             	0.31135             	0.33715             	0.39325             	0.3676              	0.30105             	0.3241              	0.3105              	0.3041              	0.3244              	0.35355             	0.3174              	0.34095             	0.32495             	0.34975             	0.31995             	0.39155             	0.29825             	0.31905             	0.289               	0.32005             	0.29445             	0.30205             	0.3238              	0.3103              	0.28615             	0.28975             	0.2971              	-1                  	0.3095              	0.28535             	0.2874              	-1                  	0.2939              	0.28595             	0.3103              	0.2748              	0.3392              	0.30115             	0.31855             	0.3229              	0.2878              	0.3221              	0.30795             	0.27635             	
Hhon                                               	0.6064              	0.61215             	0.5094              	0.50525             	0.53095             	0.4476              	0.5248              	0.4616              	0.4824              	0.49935             	0.50235             	0.48845             	0.427               	0.43375             	0.3904              	0.4769              	0.41635             	0.51455             	0.42985             	0.44765             	0.46055             	0.39765             	0.4566              	0.38715             	0.3811              	0.44755             	0.43885             	0.44425             	0.4165              	0.3807              	0.36985             	0.37435             	0.35355             	0.4245              	0.41125             	0.3755              	0.3526              	0.3637              	-1                  	0.3884              	0.4156              	0.34865             	0.41275             	0.3702              	0.42415             	0.3408              	0.38485             	-1                  	0.35425             	0.3782              	0.33765             	0.37105             	0.38245             	0.34365             	-1                  	0.3632              	0.3291              	0.37265             	0.35155             	0.3212              	0.32835             	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	0.3681              	0.3274              	0.29885             	0.3724              	0.3139              	0.3351              	0.3296              	0.3142              	0.32145             	0.32515             	0.36475             	0.31135             	0.33715             	0.39325             	0.3676              	0.30105             	0.3241              	0.3105              	0.3041              	0.3244              	0.35355             	0.3174              	0.34095             	0.32495             	0.34975             	0.31995             	0.39155             	0.29825             	-1                  	0.289               	0.32005             	0.29445             	0.30205             	0.3238              	0.3103              	0.28615             	0.28975             	0.2971              	0.3255              	0.3095              	0.28535             	0.2874              	0.3639              	0.2939              	0.28595             	0.3103              	0.2748              	0.3392              	0.30115             	0.31855             	0.3229              	0.2878              	0.3221              	0.30795             	0.27635             	
Adig                                               	0.6064              	-1                  	0.5094              	0.50525             	0.53095             	0.4476              	0.5248              	0.4616              	0.4824              	0.49935             	0.50235             	0.48845             	0.427               	0.43375             	0.3904              	0.4769              	0.41635             	0.51455             	0.42985             	-1                  	-1                  	0.39765             	0.4566              	0.38715             	0.3811              	0.44755             	0.43885             	0.44425             	-1                  	0.3807              	0.36985             	0.37435             	0.35355             	-1                  	0.41125             	0.3755              	0.3526              	0.3637              	0.4064              	0.3884              	0.4156              	0.34865             	0.41275             	0.3702              	0.42415             	0.3408              	0.38485             	0.4401              	0.35425             	0.3782              	0.33765             	0.37105             	0.38245             	0.34365             	0.35305             	0.3632              	0.3291              	0.37265             	0.35155             	0.3212              	0.32835             	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	0.3681              	0.3274              	0.29885             	0.3724              	0.3139              	0.3351              	0.3296              	0.3142              	0.32145             	0.32515             	0.36475             	0.31135             	0.33715             	0.39325             	0.3676              	0.30105             	0.3241              	0.3105              	0.3041              	0.3244              	0.35355             	0.3174              	0.34095             	0.32495             	0.34975             	0.31995             	0.39155             	0.29825             	-1                  	0.289               	0.32005             	0.29445             	0.30205             	0.3238              	0.3103              	0.28615             	0.28975             	0.2971              	0.3255              	0.3095              	0.28535             	0.2874              	-1                  	0.2939              	0.28595             	0.3103              	0.2748              	0.3392              	0.30115             	0.31855             	0.3229              	0.2878              	0.3221              	0.30795             	0.27635             	
Ctel                                               	0.6064              	0.61215             	0.5094              	-1                  	0.53095             	-1                  	0.5248              	0.4616              	0.4824              	0.49935             	0.50235             	0.48845             	0.427               	0.43375             	0.3904              	0.4769              	0.41635             	0.51455             	0.42985             	0.44765             	0.46055             	0.39765             	0.4566              	0.38715             	0.3811              	0.44755             	0.43885             	0.44425             	0.4165              	0.3807              	0.36985             	0.37435             	0.35355             	0.4245              	-1                  	0.3755              	0.3526              	0.3637              	0.4064              	0.3884              	0.4156              	0.34865             	0.41275             	0.3702              	0.42415             	0.3408              	0.38485             	0.4401              	0.35425             	0.3782              	0.33765             	0.37105             	0.38245             	0.34365             	0.35305             	0.3632              	0.3291              	0.37265             	0.35155             	0.3212              	-1                  	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	0.3681              	0.3274              	0.29885             	0.3724              	0.3139              	0.3351              	0.3296              	0.3142              	0.32145             	0.32515             	0.36475             	0.31135             	0.33715             	0.39325             	0.3676              	0.30105             	0.3241              	0.3105              	0.3041              	-1                  	0.35355             	0.3174              	0.34095             	0.32495             	0.34975             	0.31995             	0.39155             	0.29825             	0.31905             	0.289               	0.32005             	0.29445             	0.30205             	0.3238              	0.3103              	0.28615             	0.28975             	0.2971              	0.3255              	0.3095              	0.28535             	0.2874              	-1                  	0.2939              	0.28595             	0.3103              	0.2748              	0.3392              	0.30115             	0.31855             	0.3229              	0.2878              	0.3221              	0.30795             	0.27635             	
Bralan                                             	-1                  	0.61215             	-1                  	-1                  	0.53095             	0.4476              	0.5248              	0.4616              	0.4824              	0.49935             	0.50235             	0.48845             	0.427               	0.43375             	0.3904              	0.4769              	0.41635             	0.51455             	-1                  	0.44765             	0.46055             	0.39765             	0.4566              	0.38715             	0.3811              	0.44755             	0.43885             	-1                  	0.4165              	0.3807              	0.36985             	0.37435             	0.35355             	0.4245              	0.41125             	-1                  	0.3526              	0.3637              	0.4064              	0.3884              	0.4156              	0.34865             	0.41275             	0.3702              	0.42415             	0.3408              	0.38485             	0.4401              	0.35425             	0.3782              	0.33765             	0.37105             	0.38245             	0.34365             	0.35305             	0.3632              	0.3291              	-1                  	0.35155             	0.3212              	0.32835             	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	0.3681              	0.3274              	0.29885             	-1                  	0.3139              	0.3351              	0.3296              	0.3142              	0.32145             	0.32515             	0.36475             	0.31135             	0.33715             	0.39325             	0.3676              	0.30105             	0.3241              	0.3105              	0.3041              	0.3244              	0.35355             	0.3174              	0.34095             	0.32495             	0.34975             	0.31995             	0.39155             	0.29825             	0.31905             	0.289               	0.32005             	0.29445             	0.30205             	0.3238              	0.3103              	0.28615             	0.28975             	0.2971              	0.3255              	0.3095              	0.28535             	0.2874              	0.3639              	0.2939              	0.28595             	0.3103              	0.2748              	0.3392              	0.30115             	0.31855             	0.3229              	0.2878              	0.3221              	0.30795             	0.27635             	
Horcal                                             	0.6064              	0.61215             	0.5094              	0.50525             	0.53095             	0.4476              	0.5248              	0.4616              	0.4824              	0.49935             	0.50235             	0.48845             	0.427               	0.43375             	0.3904              	-1                  	0.41635             	0.51455             	0.42985             	0.44765             	-1                  	0.39765             	0.4566              	0.38715             	0.3811              	0.44755             	0.43885             	0.44425             	-1                  	0.3807              	0.36985             	0.37435             	0.35355             	0.4245              	-1                  	0.3755              	0.3526              	0.3637              	0.4064              	0.3884              	0.4156              	0.34865             	0.41275             	0.3702              	0.42415             	0.3408              	0.38485             	0.4401              	0.35425             	0.3782              	0.33765             	0.37105             	-1                  	0.34365             	0.35305             	0.3632              	0.3291              	0.37265             	-1                  	0.3212              	0.32835             	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	0.3681              	0.3274              	0.29885             	0.3724              	0.3139              	0.3351              	0.3296              	0.3142              	0.32145             	0.32515             	0.36475             	0.31135             	-1                  	0.39325             	0.3676              	0.30105             	0.3241              	0.3105              	0.3041              	0.3244              	0.35355             	0.3174              	0.34095             	0.32495             	0.34975             	0.31995             	0.39155             	0.29825             	0.31905             	0.289               	0.32005             	0.29445             	0.30205             	0.3238              	0.3103              	0.28615             	0.28975             	0.2971              	0.3255              	0.3095              	0.28535             	0.2874              	0.3639              	0.2939              	0.28595             	0.3103              	0.2748              	0.3392              	0.30115             	0.31855             	0.3229              	0.2878              	0.3221              	0.30795             	0.27635             	
Lampan                                             	-1                  	0.61215             	0.5094              	0.50525             	0.53095             	0.4476              	0.5248              	0.4616              	0.4824              	0.49935             	0.50235             	0.48845             	0.427               	-1                  	0.3904              	0.4769              	0.41635             	0.51455             	0.42985             	0.44765             	0.46055             	0.39765             	0.4566              	0.38715             	0.3811              	0.44755             	0.43885             	0.44425             	0.4165              	0.3807              	-1                  	0.37435             	0.35355             	-1                  	0.41125             	0.3755              	0.3526              	0.3637              	0.4064              	0.3884              	0.4156              	0.34865             	0.41275             	0.3702              	0.42415             	0.3408              	0.38485             	0.4401              	0.35425             	0.3782              	0.33765             	0.37105             	0.38245             	0.34365             	0.35305             	0.3632              	0.3291              	0.37265             	0.35155             	0.3212              	0.32835             	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	0.3681              	0.3274              	0.29885             	0.3724              	0.3139              	0.3351              	0.3296              	0.3142              	0.32145             	0.32515             	0.36475             	0.31135             	-1                  	0.39325             	0.3676              	0.30105             	0.3241              	0.3105              	0.3041              	0.3244              	-1                  	0.3174              	0.34095             	0.32495             	0.34975             	0.31995             	0.39155             	-1                  	0.31905             	0.289               	0.32005             	0.29445             	0.30205             	0.3238              	0.3103              	0.28615             	0.28975             	0.2971              	0.3255              	0.3095              	0.28535             	0.2874              	0.3639              	0.2939              	0.28595             	0.3103              	0.2748              	0.3392              	0.30115             	0.31855             	0.3229              	0.2878              	0.3221              	0.30795             	0.27635             	
Aque                                               	0.6064              	0.61215             	0.5094              	0.50525             	-1                  	0.4476              	0.5248              	0.4616              	0.4824              	0.49935             	0.50235             	0.48845             	0.427               	0.43375             	0.3904              	0.4769              	0.41635             	0.51455             	0.42985             	0.44765             	0.46055             	0.39765             	0.4566              	0.38715             	0.3811              	0.44755             	0.43885             	0.44425             	0.4165              	0.3807              	0.36985             	0.37435             	0.35355             	0.4245              	0.41125             	0.3755              	0.3526              	0.3637              	0.4064              	0.3884              	0.4156              	0.34865             	-1                  	-1                  	0.42415             	0.3408              	0.38485             	0.4401              	0.35425             	0.3782              	0.33765             	0.37105             	-1                  	0.34365             	0.35305             	0.3632              	0.3291              	0.37265             	0.35155             	0.3212              	0.32835             	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	0.3681              	0.3274              	0.29885             	0.3724              	0.3139              	0.3351              	0.3296              	0.3142              	0.32145             	0.32515             	0.36475             	0.31135             	0.33715             	0.39325             	0.3676              	0.30105             	0.3241              	0.3105              	0.3041              	0.3244              	0.35355             	0.3174              	0.34095             	0.32495             	0.34975             	0.31995             	0.39155             	0.29825             	0.31905             	0.289               	0.32005             	0.29445             	0.30205             	-1                  	0.3103              	0.28615             	0.28975             	0.2971              	0.3255              	0.3095              	0.28535             	0.2874              	0.3639              	0.2939              	0.28595             	0.3103              	0.2748              	0.3392              	0.30115             	0.31855             	0.3229              	0.2878              	0.3221              	0.30795             	0.27635             	
HoiH06                                             	0.6064              	0.61215             	0.5094              	0.50525             	0.53095             	-1                  	0.5248              	0.4616              	0.4824              	0.49935             	0.50235             	0.48845             	0.427               	0.43375             	0.3904              	0.4769              	0.41635             	-1                  	0.42985             	0.44765             	0.46055             	0.39765             	0.4566              	0.38715             	0.3811              	0.44755             	0.43885             	0.44425             	0.4165              	0.3807              	0.36985             	0.37435             	0.35355             	0.4245              	0.41125             	0.3755              	0.3526              	0.3637              	0.4064              	0.3884              	0.4156              	0.34865             	0.41275             	0.3702              	0.42415             	0.3408              	0.38485             	0.4401              	0.35425             	0.3782              	0.33765             	0.37105             	0.38245             	0.34365             	0.35305             	-1                  	0.3291              	0.37265             	0.35155             	0.3212              	0.32835             	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	-1                  	0.3274              	0.29885             	-1                  	0.3139              	0.3351              	0.3296              	0.3142              	0.32145             	0.32515             	-1                  	-1                  	0.33715             	0.39325             	0.3676              	0.30105             	0.3241              	0.3105              	0.3041              	0.3244              	0.35355             	0.3174              	0.34095             	0.32495             	0.34975             	0.31995             	0.39155             	0.29825             	0.31905             	0.289               	0.32005             	0.29445             	0.30205             	-1                  	0.3103              	0.28615             	0.28975             	0.2971              	-1                  	0.3095              	0.28535             	0.2874              	0.3639              	0.2939              	0.28595             	0.3103              	0.2748              	0.3392              	0.30115             	0.31855             	0.3229              	0.2878              	0.3221              	0.30795             	0.27635             	
Spolac                                             	0.6064              	0.61215             	0.5094              	0.50525             	-1                  	0.4476              	0.5248              	0.4616              	0.4824              	0.49935             	0.50235             	-1                  	0.427               	0.43375             	0.3904              	0.4769              	-1                  	0.51455             	0.42985             	0.44765             	0.46055             	0.39765             	-1                  	0.38715             	0.3811              	0.44755             	0.43885             	0.44425             	0.4165              	0.3807              	0.36985             	0.37435             	0.35355             	0.4245              	0.41125             	0.3755              	0.3526              	0.3637              	0.4064              	0.3884              	0.4156              	0.34865             	-1                  	0.3702              	0.42415             	0.3408              	0.38485             	0.4401              	0.35425             	0.3782              	0.33765             	0.37105             	-1                  	0.34365             	0.35305             	0.3632              	0.3291              	0.37265             	0.35155             	0.3212              	0.32835             	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	0.3681              	0.3274              	0.29885             	0.3724              	0.3139              	0.3351              	0.3296              	0.3142              	0.32145             	0.32515             	0.36475             	0.31135             	0.33715             	0.39325             	-1                  	0.30105             	0.3241              	0.3105              	0.3041              	0.3244              	0.35355             	0.3174              	0.34095             	0.32495             	0.34975             	0.31995             	0.39155             	0.29825             	0.31905             	0.289               	-1                  	0.29445             	0.30205             	-1                  	0.3103              	0.28615             	0.28975             	0.2971              	0.3255              	0.3095              	0.28535             	0.2874              	0.3639              	0.2939              	0.28595             	-1                  	0.2748              	0.3392              	0.30115             	0.31855             	0.3229              	0.2878              	0.3221              	0.30795             	0.27635             	
Morvir                                             	0.6064              	0.61215             	0.5094              	0.50525             	0.53095             	0.4476              	0.5248              	0.4616              	0.4824              	0.49935             	0.50235             	-1                  	0.427               	0.43375             	0.3904              	0.4769              	0.41635             	0.51455             	0.42985             	0.44765             	0.46055             	0.39765             	0.4566              	0.38715             	0.3811              	-1                  	-1                  	-1                  	0.4165              	0.3807              	0.36985             	0.37435             	0.35355             	0.4245              	-1                  	0.3755              	0.3526              	0.3637              	0.4064              	0.3884              	0.4156              	0.34865             	0.41275             	0.3702              	0.42415             	0.3408              	0.38485             	0.4401              	0.35425             	0.3782              	0.33765             	0.37105             	0.38245             	0.34365             	0.35305             	0.3632              	0.3291              	0.37265             	0.35155             	0.3212              	0.32835             	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	-1                  	0.3274              	0.29885             	0.3724              	0.3139              	0.3351              	0.3296              	0.3142              	0.32145             	0.32515             	0.36475             	0.31135             	0.33715             	-1                  	0.3676              	0.30105             	0.3241              	0.3105              	0.3041              	0.3244              	-1                  	0.3174              	0.34095             	0.32495             	0.34975             	0.31995             	0.39155             	0.29825             	-1                  	0.289               	0.32005             	0.29445             	0.30205             	0.3238              	0.3103              	0.28615             	0.28975             	0.2971              	0.3255              	0.3095              	0.28535             	0.2874              	0.3639              	0.2939              	0.28595             	-1                  	0.2748              	-1                  	0.30115             	0.31855             	0.3229              	0.2878              	0.3221              	0.30795             	0.27635             	
Pbac                                               	0.6064              	0.61215             	0.5094              	0.50525             	0.53095             	0.4476              	0.5248              	0.4616              	0.4824              	0.49935             	0.50235             	0.48845             	0.427               	0.43375             	0.3904              	-1                  	0.41635             	0.51455             	0.42985             	0.44765             	-1                  	0.39765             	0.4566              	0.38715             	0.3811              	0.44755             	0.43885             	-1                  	-1                  	0.3807              	0.36985             	0.37435             	0.35355             	0.4245              	-1                  	0.3755              	0.3526              	0.3637              	0.4064              	0.3884              	0.4156              	0.34865             	0.41275             	0.3702              	0.42415             	0.3408              	0.38485             	0.4401              	0.35425             	0.3782              	0.33765             	0.37105             	0.38245             	0.34365             	0.35305             	0.3632              	0.3291              	0.37265             	-1                  	0.3212              	0.32835             	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	0.3681              	0.3274              	0.29885             	0.3724              	0.3139              	0.3351              	0.3296              	0.3142              	0.32145             	0.32515             	-1                  	0.31135             	-1                  	0.39325             	0.3676              	0.30105             	0.3241              	0.3105              	0.3041              	0.3244              	0.35355             	0.3174              	0.34095             	-1                  	0.34975             	0.31995             	-1                  	0.29825             	0.31905             	0.289               	0.32005             	0.29445             	0.30205             	0.3238              	0.3103              	0.28615             	0.28975             	0.2971              	0.3255              	0.3095              	0.28535             	0.2874              	0.3639              	0.2939              	0.28595             	0.3103              	0.2748              	0.3392              	0.30115             	0.31855             	0.3229              	0.2878              	0.3221              	0.30795             	0.27635             	
Amil                                               	0.6064              	0.61215             	0.5094              	0.50525             	0.53095             	0.4476              	0.5248              	0.4616              	0.4824              	0.49935             	0.50235             	0.48845             	0.427               	0.43375             	0.3904              	0.4769              	0.41635             	0.51455             	0.42985             	0.44765             	0.46055             	0.39765             	0.4566              	0.38715             	0.3811              	0.44755             	0.43885             	0.44425             	0.4165              	0.3807              	0.36985             	0.37435             	0.35355             	0.4245              	0.41125             	0.3755              	0.3526              	-1                  	-1                  	0.3884              	0.4156              	0.34865             	0.41275             	0.3702              	0.42415             	0.3408              	0.38485             	0.4401              	0.35425             	0.3782              	0.33765             	0.37105             	0.38245             	0.34365             	0.35305             	0.3632              	0.3291              	0.37265             	0.35155             	0.3212              	0.32835             	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	0.3681              	0.3274              	0.29885             	0.3724              	0.3139              	0.3351              	0.3296              	-1                  	-1                  	0.32515             	0.36475             	0.31135             	0.33715             	0.39325             	-1                  	0.30105             	0.3241              	-1                  	0.3041              	0.3244              	0.35355             	0.3174              	0.34095             	0.32495             	0.34975             	0.31995             	0.39155             	0.29825             	0.31905             	0.289               	0.32005             	0.29445             	0.30205             	0.3238              	0.3103              	0.28615             	0.28975             	0.2971              	0.3255              	0.3095              	0.28535             	0.2874              	0.3639              	-1                  	0.28595             	0.3103              	0.2748              	0.3392              	0.30115             	0.31855             	0.3229              	0.2878              	0.3221              	-1                  	0.27635             	
Hvul                                               	0.6064              	0.61215             	0.5094              	0.50525             	0.53095             	0.4476              	0.5248              	0.4616              	0.4824              	0.49935             	0.50235             	0.48845             	0.427               	0.43375             	0.3904              	0.4769              	0.41635             	0.51455             	0.42985             	-1                  	0.46055             	0.39765             	0.4566              	0.38715             	0.3811              	0.44755             	0.43885             	-1                  	0.4165              	0.3807              	0.36985             	0.37435             	0.35355             	0.4245              	0.41125             	0.3755              	0.3526              	0.3637              	0.4064              	0.3884              	0.4156              	0.34865             	0.41275             	0.3702              	-1                  	0.3408              	0.38485             	-1                  	0.35425             	0.3782              	0.33765             	0.37105             	0.38245             	0.34365             	0.35305             	0.3632              	0.3291              	-1                  	0.35155             	0.3212              	0.32835             	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	-1                  	0.3274              	0.29885             	-1                  	0.3139              	0.3351              	0.3296              	0.3142              	0.32145             	0.32515             	0.36475             	0.31135             	0.33715             	0.39325             	0.3676              	0.30105             	0.3241              	0.3105              	0.3041              	0.3244              	0.35355             	0.3174              	0.34095             	-1                  	0.34975             	0.31995             	0.39155             	0.29825             	0.31905             	0.289               	0.32005             	0.29445             	0.30205             	0.3238              	0.3103              	0.28615             	0.28975             	-1                  	0.3255              	0.3095              	0.28535             	0.2874              	-1                  	0.2939              	0.28595             	0.3103              	0.2748              	0.3392              	0.30115             	0.31855             	0.3229              	0.2878              	0.3221              	0.30795             	0.27635             	
Gracom                                             	0.6064              	0.61215             	0.5094              	0.50525             	-1                  	0.4476              	0.5248              	0.4616              	0.4824              	0.49935             	-1                  	0.48845             	0.427               	0.43375             	0.3904              	0.4769              	0.41635             	0.51455             	0.42985             	0.44765             	0.46055             	0.39765             	0.4566              	0.38715             	0.3811              	0.44755             	0.43885             	0.44425             	0.4165              	0.3807              	0.36985             	0.37435             	0.35355             	0.4245              	0.41125             	0.3755              	0.3526              	0.3637              	0.4064              	0.3884              	0.4156              	0.34865             	0.41275             	0.3702              	0.42415             	0.3408              	0.38485             	0.4401              	-1                  	0.3782              	0.33765             	0.37105             	0.38245             	0.34365             	0.35305             	0.3632              	0.3291              	0.37265             	0.35155             	0.3212              	0.32835             	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	0.3681              	0.3274              	0.29885             	0.3724              	0.3139              	-1                  	0.3296              	0.3142              	0.32145             	0.32515             	-1                  	0.31135             	0.33715             	-1                  	-1                  	0.30105             	0.3241              	0.3105              	0.3041              	0.3244              	-1                  	0.3174              	0.34095             	0.32495             	0.34975             	0.31995             	0.39155             	0.29825             	0.31905             	0.289               	0.32005             	0.29445             	0.30205             	0.3238              	-1                  	0.28615             	0.28975             	0.2971              	0.3255              	0.3095              	0.28535             	0.2874              	0.3639              	0.2939              	0.28595             	0.3103              	0.2748              	0.3392              	0.30115             	0.31855             	0.3229              	-1                  	0.3221              	0.30795             	0.27635             	
Coemet                                             	0.6064              	0.61215             	0.5094              	-1                  	0.53095             	0.4476              	-1                  	0.4616              	0.4824              	0.49935             	0.50235             	0.48845             	0.427               	-1                  	0.3904              	-1                  	0.41635             	-1                  	0.42985             	0.44765             	0.46055             	0.39765             	0.4566              	0.38715             	0.3811              	-1                  	-1                  	0.44425             	-1                  	0.3807              	0.36985             	0.37435             	0.35355             	0.4245              	-1                  	0.3755              	0.3526              	0.3637              	0.4064              	0.3884              	-1                  	-1                  	0.41275             	0.3702              	0.42415             	0.3408              	0.38485             	0.4401              	-1                  	0.3782              	0.33765             	0.37105             	0.38245             	0.34365             	0.35305             	0.3632              	0.3291              	0.37265             	0.35155             	0.3212              	0.32835             	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	0.3681              	0.3274              	0.29885             	0.3724              	0.3139              	-1                  	0.3296              	0.3142              	0.32145             	0.32515             	0.36475             	-1                  	0.33715             	0.39325             	0.3676              	0.30105             	0.3241              	0.3105              	0.3041              	-1                  	-1                  	0.3174              	0.34095             	0.32495             	0.34975             	0.31995             	0.39155             	0.29825             	0.31905             	-1                  	0.32005             	0.29445             	0.30205             	0.3238              	0.3103              	0.28615             	0.28975             	0.2971              	0.3255              	0.3095              	0.28535             	0.2874              	0.3639              	0.2939              	0.28595             	0.3103              	0.2748              	0.3392              	0.30115             	0.31855             	0.3229              	0.2878              	0.3221              	0.30795             	0.27635             	
Salmac                                             	0.6064              	0.61215             	0.5094              	0.50525             	0.53095             	0.4476              	0.5248              	0.4616              	0.4824              	0.49935             	0.50235             	0.48845             	0.427               	0.43375             	0.3904              	0.4769              	0.41635             	0.51455             	0.42985             	0.44765             	-1                  	0.39765             	0.4566              	0.38715             	0.3811              	0.44755             	0.43885             	0.44425             	0.4165              	0.3807              	0.36985             	0.37435             	0.35355             	0.4245              	0.41125             	0.3755              	0.3526              	0.3637              	0.4064              	0.3884              	0.4156              	0.34865             	0.41275             	0.3702              	-1                  	0.3408              	0.38485             	-1                  	0.35425             	0.3782              	0.33765             	0.37105             	0.38245             	0.34365             	0.35305             	0.3632              	0.3291              	0.37265             	0.35155             	0.3212              	-1                  	0.3418              	0.3195              	0.3436              	0.32085             	0.3527              	0.3681              	0.3274              	0.29885             	-1                  	0.3139              	0.3351              	0.3296              	0.3142              	0.32145             	-1                  	0.36475             	0.31135             	0.33715             	0.39325             	0.3676              	0.30105             	0.3241              	0.3105              	0.3041              	0.3244              	0.35355             	0.3174              	0.34095             	0.32495             	0.34975             	0.31995             	0.39155             	0.29825             	0.31905             	0.289               	0.32005             	0.29445             	0.30205             	0.3238              	0.3103              	0.28615             	0.28975             	0.2971              	0.3255              	0.3095              	0.28535             	0.2874              	0.3639              	0.2939              	0.28595             	0.3103              	0.2748              	-1                  	-1                  	0.31855             	0.3229              	0.2878              	-1                  	0.30795             	0.27635             	
