#OG_name	Emue.fasta	Lcom.fasta	Aque.fasta	Bralan.fasta	Tetwil.fasta	Spur.fasta	Morvir.fasta	Spis.fasta	Gasp.fasta	Acagra.fasta	Fspp.fasta	Hsap.fasta	Cgig.fasta	Dgig.fasta	Hvul.fasta	Bolinf.fasta	Horcal.fasta	Amil.fasta	Pbac.fasta	Exapal.fasta	Cscu.fasta	Pocdam.fasta	Adig.fasta	Xesp.fasta	Nemnom.fasta	Skow.fasta	Opea.fasta	Spolac.fasta	Gfas.fasta	Nvec.fasta	Sanmal.fasta	Mertsp.fasta	Codhol.fasta	Coeast.fasta	Rhoesc.fasta	Stycar.fasta	Ctel.fasta	Xestes.fasta	Acaspe.fasta	Eupdun.fasta	Salurc.fasta	Stedip.fasta	Beraby.fasta	Plajan.fasta	Saldol.fasta	Chem.fasta	Helnan.fasta	Halamb.fasta	Gracom.fasta	Aaur.fasta	Tcas.fasta	HoiH23.fasta	TrH2.fasta	Salkve.fasta	Hhon.fasta	Drygla.fasta	Diagra.fasta	Didcos.fasta	Salmac.fasta	Dpul.fasta	Scil.fasta	HoiH04.fasta	Mylflu.fasta	Coemet.fasta	Leuniv.fasta	Salinf.fasta	Mlei.fasta	Microa.fasta	Sros.fasta	Chofle.fasta	Plespi.fasta	Choper.fasta	Vmul.fasta	Tadh.fasta	HoiH06.fasta	Lampan.fasta	Salpun.fasta	Mbre.fasta	Ocar.fasta	Clacor.fasta	HoiH11.fasta
OG_11	5	0	3	0	3	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	8	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OG_12	4	2	1	1	2	2	1	1	1	1	6	1	1	1	1	1	1	1	0	1	1	0	2	1	1	1	1	2	1	1	1	2	1	2	1	4	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
OG_13	3	5	0	1	2	1	1	1	1	1	1	1	1	1	1	0	3	2	1	1	2	1	1	1	1	1	2	1	1	3	1	0	4	2	1	1	1	1	1	0	1	2	2	2	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0
OG_14	1708	116	152	39	207	160	167	122	10	139	5	2	104	60	59	56	15	195	32	43	27	2	73	2	112	38	49	125	3	5	20	74	10	38	13	17	21	7	3	69	2	0	6	55	3	29	0	44	34	79	55	0	4	1	3	14	0	0	2	0	47	0	7	12	60	1	31	3	12	2	82	3	17	12	0	14	1	0	27	13	0
OG_15	2	2	1	1	1	1	1	2	1	1	1	1	7	1	1	1	2	1	2	1	0	0	2	2	1	1	1	1	1	2	1	2	1	1	1	1	2	9	1	0	1	2	0	3	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
OG_16	1	4	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	4	1	4	1	2	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	0	1	1	0	1	1	1	0	1	2	1	1	1	2	1	0	1	1
OG_17	3	2	1	1	1	1	1	1	1	1	2	1	1	1	1	6	1	2	1	1	1	1	1	1	1	1	1	2	1	2	1	3	3	2	1	1	1	2	0	2	1	2	3	1	1	1	0	1	1	1	2	1	1	1	0	7	1	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	3	1	1	1	1	1	1	1	1
OG_18	1	1	1	1	2	2	1	1	2	2	2	1	1	1	0	0	5	1	3	1	1	1	2	1	0	1	1	2	1	1	0	0	1	0	0	5	1	1	2	5	1	1	1	2	1	1	1	1	1	0	0	1	1	1	1	0	3	0	2	0	0	1	1	2	2	1	1	1	1	2	4	1	1	1	1	1	2	1	0	1	0
OG_19	2	2	1	1	3	1	1	1	1	1	2	1	1	1	4	0	1	1	2	1	1	1	1	4	1	2	1	2	1	2	2	0	1	1	3	2	1	1	0	0	1	1	2	2	1	2	0	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	0	0	0	2	0	1	1	1	1	1	0	1	2	0
OG_20	112	3	14	1	4	0	0	2	0	1	1	0	1	1	1	0	4	1	1	1	0	1	1	2	0	1	1	17	2	0	0	0	0	0	1	6	0	2	0	1	0	0	4	2	0	0	0	11	2	1	0	1	1	0	0	4	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	2	0
OG_21	1	1	1	1	1	2	1	1	1	1	0	1	1	1	0	4	1	1	2	1	1	1	1	1	1	3	1	0	1	1	1	7	0	0	1	1	2	1	0	8	0	0	2	1	1	0	0	1	1	1	1	1	1	0	1	4	0	0	0	0	1	1	2	2	1	0	2	0	0	0	1	0	2	1	1	2	0	0	1	1	1
OG_22	1	2	3	1	1	1	1	2	3	2	2	1	2	1	1	0	1	2	3	2	1	2	2	1	1	3	1	1	2	2	1	0	0	0	1	3	1	1	0	0	0	0	2	2	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	2	0	0	1	0	0	0	1	0
OG_23	1	6	2	1	1	2	1	1	1	1	1	2	1	1	1	6	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	3	1	1	1	1	3	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	2	1
OG_24	146	0	4	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG_25	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	3	6	2	2	2	1	1	1	0	1	0	0	2	0	4	1	0	1	0	1	1	1	1	0	1	6	0	0	0	1	1	1	0	1	2	3	1	0	0	0	0	0	2	1	1	1	0	0	1	1	1
OG_26	83	47	223	13	45	15	10	20	17	3	20	12	4	15	12	32	11	13	7	15	14	14	19	7	7	8	17	18	20	22	16	4	3	7	8	49	4	26	0	25	2	0	12	6	1	7	0	41	15	7	7	7	9	0	8	8	1	0	0	21	7	5	1	5	14	1	4	6	1	1	5	1	5	6	3	4	0	1	9	14	2
OG_27	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	2	1	0	1	0	2	1	1	1	1	1	1	0	1	0	1	1	1	2	1	3	1	1	1	1	0	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
OG_28	5	2	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	10	1	1	1	1	1	1	0	1	1	0	1	3	1	1	0	1	1	1	1	1	1	1	1	3	0	0	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	2	1	1	2	0
OG_29	2	2	1	1	1	1	2	1	1	1	1	5	1	1	2	2	1	1	1	1	2	2	1	1	1	1	1	3	1	1	1	2	0	2	1	2	2	0	0	2	0	0	1	2	0	1	0	0	1	1	1	1	1	0	1	2	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	2	1	1	1	0	0	1	1	0
OG_30	2	2	2	1	1	1	1	1	1	1	1	0	1	1	0	2	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	4	0	0	1	0	1	0	1	0	1	1	0	0	1	1	1	1	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	2	1	0	1	0	0	0	1	1	1	1
OG_31	59	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG_32	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	0	0	1	0	2	1	1	2	2	1	0	2	2	2	1	0	0	0	2	1	2	1	1	0	0	0	0	0	1	1	2	0	1	1	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	0	2	1	1	1	3	1	1	2	1	0	1	0	1	0	0	0
OG_33	1	1	1	1	1	1	2	1	1	5	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	3	2	3	1	1	1	0	5	0	2	1	1	1	1	0	3	1	0	1	3	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	0	0	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
OG_34	1	0	3	1	2	2	1	1	1	2	1	1	1	1	2	2	2	1	1	1	0	1	1	1	1	1	1	3	1	3	1	0	0	1	1	1	1	1	0	0	0	0	3	1	1	1	0	0	0	1	0	1	1	0	1	2	0	0	0	1	0	1	0	1	0	0	2	0	0	0	1	0	1	1	1	1	1	0	0	1	1
OG_35	5	0	4	1	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OG_36	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	2	1	0	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	0	0	1
OG_37	1	3	2	5	4	2	6	2	4	2	2	2	2	1	1	0	1	3	2	2	2	3	3	1	2	2	1	2	3	3	1	0	2	1	2	1	2	2	0	1	1	0	1	0	1	2	0	2	2	4	1	1	1	4	1	1	0	0	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	0	1	1	0
OG_38	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	4	1	2	1	2	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	2	2	0	1	1	2	1	0	1
OG_39	1	1	1	1	1	2	1	1	1	1	2	0	1	1	0	0	1	0	1	2	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	3	0	3	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	1	1	3	0	0	2	0	1	2	0	0	0	0	1	0	0	1	3	0	0	0	1	1	1	1	0	0	0
OG_40	3	2	1	1	2	1	1	2	2	1	4	1	1	1	1	2	1	2	3	1	1	1	2	1	1	1	1	1	3	2	1	4	2	1	1	3	1	2	0	0	1	0	2	3	4	1	1	1	1	2	0	1	1	2	1	1	0	0	1	0	1	1	1	2	1	1	0	1	1	1	1	2	2	1	1	1	1	1	2	1	1
OG_41	1	2	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	2	1	1	1	1	1	1	1	3	3	1	1	1	0	3	1	1	2	1	0	1	0	2	1	2	0	1	1	1	1	0	1	1	1	1	3	1	1	1	1	1	2	0	1	1	1	1	1	0	1	1	3	0	1	2	1	1	1	4	1	0	2	1
OG_42	4	2	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	2	1	3	2	1	1	7	1	2	6	1	3	2	1	0	4	2	5	2	1	1	1	0	2	1	1	0	1	1	1	1	3	0	1	1	0	1	3	1	0	0	1	1	1	0	1	2	0	1	0	0	0	1	0	1	2	1	2	0	0	1	1	1
OG_43	1	3	1	1	1	1	1	1	1	5	1	1	2	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	1	1	0	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
OG_44	1	4	1	1	1	1	1	1	1	3	1	1	1	1	3	10	0	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	2	1	2	2	2	1	0	1	0	0	1	1	1	1	1	1	3	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
OG_45	1	1	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
OG_46	1	2	1	1	0	1	0	1	1	4	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	2	0	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	2	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1	2	1	0	2	0	1	1	1	0	1	0	0	1	0	0	1	0
OG_47	5	5	4	1	1	2	1	3	1	1	3	2	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	6	1	1	2	4	1	2	1	5	6	1	1	0	1	1	1	3	1	1	0	2	2	1	1	2	3	1	2	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	4	2	1	1	1	1	2	1
OG_48	442	39	53	0	23	0	8	27	22	0	9	0	0	1	1	128	102	11	83	1	0	0	10	1	9	0	4	67	8	10	0	153	0	23	0	67	1	13	0	55	0	0	5	15	0	28	0	22	19	0	0	0	0	0	0	27	0	0	1	0	33	0	5	2	34	0	7	0	1	0	2	0	9	0	0	7	0	0	1	22	0
OG_49	1	3	1	1	2	1	1	1	1	1	1	1	1	1	1	0	4	1	2	1	1	1	2	1	1	1	4	3	1	2	1	0	1	3	1	3	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	3	1	3	1	1	1	1	1	2	1	1	1	1	2	0	2	0	1	1	1	1	1	2	1	1
OG_50	2	1	3	1	3	1	2	1	2	2	1	1	1	1	2	10	1	1	5	1	3	1	2	1	4	1	2	1	2	2	1	4	2	3	1	1	1	0	1	26	2	1	2	1	1	1	1	3	1	4	1	1	1	1	1	3	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	3	1	1	1	2	1	1	2	1
OG_51	1	1	1	1	2	1	1	1	1	1	1	3	2	1	1	3	2	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	19	1	1	1	1	1	1	1	1	2	1	2	0	0	1	1	1	2	1	1	1	1	1	2	2	1
OG_52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	2	1	0	1	1	1	1	1	1	1	2	2	1	9	1	3	1	1	1	7	1	1	3	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0
OG_53	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	0	2	1	1	1	1	0	6	0	0	4	1	0	1	0	1	1	1	1	1	1	0	1	2	0	0	0	2	1	1	1	3	1	0	1	0	0	0	0	0	1	1	1	1	0	0	1	1	1
OG_54	17	1	1	1	1	1	0	1	1	1	1	2	1	1	2	3	1	1	1	1	2	1	2	0	1	1	1	2	2	1	1	2	0	3	1	1	1	0	0	1	1	0	1	2	2	2	0	1	1	3	1	1	1	1	1	17	0	0	1	1	2	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1
OG_55	4	4	3	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OG_56	1	6	1	1	1	2	1	1	1	1	1	1	1	1	3	7	1	1	2	2	1	1	1	1	1	1	1	5	1	1	1	1	1	2	1	7	2	1	1	1	1	1	4	1	2	2	1	0	1	1	1	1	1	1	1	1	2	1	2	6	1	1	1	1	4	1	1	1	1	1	2	1	2	1	1	1	2	1	0	1	1
OG_57	1	1	1	0	1	1	1	1	2	1	1	3	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	2	1	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	4	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	0	1
OG_58	31	0	0	0	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OG_59	37	0	6	0	14	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	6	0	2	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
OG_60	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	0	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	0	1	2	1	0	0	0	0	1	1	1	1	0	0	1	1
OG_61	9	2	2	1	1	1	1	1	1	5	1	1	1	1	1	3	1	1	2	2	2	1	1	1	1	1	1	3	1	1	1	2	2	1	1	1	1	1	1	1	2	2	0	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	0	1	0
OG_62	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0
OG_63	15	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG_64	2	2	1	1	1	2	2	1	1	1	1	1	1	1	2	3	2	0	1	1	0	1	1	2	1	2	1	3	1	1	2	4	1	1	1	1	0	1	1	2	2	0	3	1	1	2	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1	2	0	1	0	1	1	1	0	1	0
OG_65	7	5	1	1	1	2	1	5	4	2	2	1	1	2	1	4	1	2	3	1	1	1	2	1	1	1	1	4	3	2	1	3	0	5	1	1	1	3	1	3	1	1	3	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	0	1	1	2	0	0	1	1	1	2	2	2	0	0	1	0	1	1	1	0
OG_66	1	3	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	0	1	2	2	1	1	0	1	0	1	1	1	1	1	1	1	2	1	3	1	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG_67	1	3	1	2	0	1	1	1	1	1	1	1	2	1	1	0	0	1	0	1	0	1	1	1	1	0	1	2	1	2	1	0	2	0	1	3	1	0	1	0	1	0	0	0	2	1	1	1	2	1	1	1	1	5	1	0	2	0	1	1	1	1	0	0	2	1	0	0	0	1	0	2	0	1	1	0	2	0	1	1	1
OG_68	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	0	1	1	1	0	0	2	2	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	2	1	1	1	1	1	0	2	0	1	1	1	1	1	1	0	0	1	0
OG_69	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	0	2	1	3	1	1	1	1	1	1	1	1	4	1	1	1	0	2	1	1	1	1	1	1	0	1	4	1	1	4	1	1	1	1	2	1	1	1	4	1	3	1	3	3	1	1	1	1	1	1	1	0	1	1	2	0	2	1	2	1	1	1	1	1	1	1
OG_70	7	6	5	1	2	6	1	2	2	1	2	1	2	1	1	0	1	3	1	2	1	2	2	2	1	1	2	9	2	3	1	0	0	0	1	4	1	1	0	0	1	0	0	4	1	0	0	3	2	1	1	5	7	1	4	0	0	0	0	1	1	6	1	0	3	0	0	0	0	0	2	0	0	0	4	1	0	0	2	1	0
OG_71	2	0	1	1	1	1	0	0	0	2	0	2	1	0	0	1	3	0	1	0	3	0	0	0	0	0	2	2	0	0	0	0	0	4	0	0	1	1	0	0	0	0	4	2	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0
OG_72	1	4	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	3	1	1	0	2	1	2	2	3	1	1	1	1	1	1	1	1	1	2	0	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0
OG_73	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0
OG_74	105	1	187	2	45	2	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	1	2	33	0	3	0	0	0	0	0	63	0	12	1	0	0	0	0	1	2	1	0	15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
