#species_file	protein_name	nb_OG_fused	list_fused_OGs
Mlei.fasta	Mlei_ML3140.g3.i1	2	OG_1311 OG_1514
Mlei.fasta	Mlei_ML1439.g6.i1	2	OG_1460 OG_2819
Hvul.fasta	Hvul_g11219_1	2	OG_235 OG_1124
Hvul.fasta	Hvul_g14116_1	2	OG_43 OG_1496
Hvul.fasta	Hvul_g25225_1	2	OG_9 OG_1332
Hvul.fasta	Hvul_g26667_1	2	OG_1184 OG_1678
Nvec.fasta	Nvec_v1g197947	2	OG_664 OG_3497
Hhon.fasta	Hhon_g03107.t1	2	OG_2074 OG_4977
Hvul.fasta	Hvul_g29128_1	2	OG_1858 OG_2164
Nvec.fasta	Nvec_v1g197956	2	OG_278 OG_1049
Hvul.fasta	Hvul_g21283_1	2	OG_270 OG_285
Hvul.fasta	Hvul_g30933_1	2	OG_2978 OG_3734
Hvul.fasta	Hvul_g35_1	2	OG_344 OG_1995
Mlei.fasta	Mlei_ML0181.g1.i1	2	OG_716 OG_1459
Hvul.fasta	Hvul_g29440_1	2	OG_489 OG_1325
Hvul.fasta	Hvul_g21584_1	2	OG_96 OG_4819
Aque.fasta	Aque_Aqu2.1.43775_001	2	OG_3043 OG_5077
Hvul.fasta	Hvul_g29456_1	2	OG_466 OG_2037
Mmus.fasta	Mmus_ENSMUST00000208156	2	OG_1968 OG_2765
Dmel.fasta	Dmel_FBtr0079545	2	OG_2142 OG_4423
Hvul.fasta	Hvul_g23543_1	2	OG_266 OG_1375
Nvec.fasta	Nvec_v1g106903	2	OG_2108 OG_4382
Hhon.fasta	Hhon_g07304.t1	2	OG_830 OG_2158
Hvul.fasta	Hvul_g29711_1	2	OG_3171 OG_4572
Hvul.fasta	Hvul_g20505_1	2	OG_151 OG_1000
Hvul.fasta	Hvul_g23580_1	2	OG_3210 OG_4301
Nvec.fasta	Nvec_v1g126398	2	OG_1869 OG_2128
Aque.fasta	Aque_Aqu2.1.25865_001	2	OG_11 OG_785
Hvul.fasta	Hvul_g29740_1	2	OG_378 OG_438
Spis.fasta	Spis_XP_022782476_1	2	OG_1068 OG_1981
Hvul.fasta	Hvul_g29744_1	2	OG_727 OG_3237
Mlei.fasta	Mlei_ML3295.g19.i1	2	OG_1651 OG_4451
Mlei.fasta	Mlei_ML1485.g23.i1	2	OG_1232 OG_2021
Mlei.fasta	Mlei_ML0029.g3.i1	2	OG_1835 OG_2665
Hvul.fasta	Hvul_g29760_1	2	OG_1540 OG_1688
Hvul.fasta	Hvul_g8369_1	2	OG_775 OG_1705
Hvul.fasta	Hvul_g8371_1	2	OG_525 OG_1705
Nvec.fasta	Nvec_v1g118934	2	OG_157 OG_1447
Spis.fasta	Spis_XP_022779637_1	2	OG_1683 OG_4382
Hvul.fasta	Hvul_g20575_1	2	OG_1750 OG_2082
Hvul.fasta	Hvul_g3480_1	2	OG_983 OG_2952
Mlei.fasta	Mlei_ML0453.g1.i1	2	OG_277 OG_2041
Mlei.fasta	Mlei_ML0032.g26.i1	2	OG_526 OG_3761
Hhon.fasta	Hhon_g05363.t1	2	OG_650 OG_4336
Hvul.fasta	Hvul_g30496_1	2	OG_1382 OG_4460
Hhon.fasta	Hhon_g03317.t1	2	OG_1629 OG_2176
Mlei.fasta	Mlei_ML0461.g2.i1	2	OG_2072 OG_2151
Aque.fasta	Aque_Aqu2.1.40932_001	2	OG_157 OG_1447
Hhon.fasta	Hhon_g11513.t1	2	OG_228 OG_613
Spolac.fasta	Spolac_c104698_g3_i1_m.42544c104698-g3	2	OG_3376 OG_5077
Aque.fasta	Aque_Aqu2.1.40951_001	2	OG_1473 OG_2079
Hvul.fasta	Hvul_g4955_1	2	OG_505 OG_3746
Mlei.fasta	Mlei_ML1496.g10.i1	2	OG_762 OG_4812
Hhon.fasta	Hhon_g09494.t1	2	OG_371 OG_4568
Tadh.fasta	Tadh_TriadT62134	3	OG_915 OG_4238 OG_4267
Aque.fasta	Aque_Aqu2.1.24548_001	2	OG_4508 OG_4698
HoiH23.fasta	HoiH23_PlH23_005002-RA	2	OG_2758 OG_2966
HoiH23.fasta	HoiH23_PlH23_004239-RA	2	OG_125 OG_4132
Hvul.fasta	Hvul_g9897_1	2	OG_567 OG_1588
Hvul.fasta	Hvul_g16538_1	2	OG_723 OG_4002
Nvec.fasta	Nvec_v1g218651	2	OG_1112 OG_4549
Aque.fasta	Aque_Aqu2.1.40608_001	2	OG_2037 OG_4129
Hhon.fasta	Hhon_g07518.t1	2	OG_4217 OG_5576
Hhon.fasta	Hhon_g05476.t1	2	OG_193 OG_791
Hvul.fasta	Hvul_g31063_1	2	OG_142 OG_4359
Dmel.fasta	Dmel_FBtr0076835	2	OG_157 OG_1447
Mlei.fasta	Mlei_ML1043.g17.i1	2	OG_170 OG_3569
Mlei.fasta	Mlei_ML2189.g40.i1	2	OG_141 OG_1827
Mlei.fasta	Mlei_ML1043.g32.i1	2	OG_596 OG_1068
Mlei.fasta	Mlei_ML1509.g13.i1	2	OG_2132 OG_3590
Spolac.fasta	Spolac_c104730_g4_i2_m.42848c100720-g2	2	OG_613 OG_930
Mlei.fasta	Mlei_ML0732.g80.i1	2	OG_2120 OG_3139
Spis.fasta	Spis_Spis24716_1	2	OG_2679 OG_2701
Hhon.fasta	Hhon_g09624.t1	2	OG_974 OG_4435
Hvul.fasta	Hvul_g23224_1	2	OG_1241 OG_2472
Mlei.fasta	Mlei_ML0734.g3.i1	2	OG_1581 OG_3868
Aque.fasta	Aque_Aqu2.1.27305_001	2	OG_2300 OG_3644
Hvul.fasta	Hvul_g17186_1	2	OG_1302 OG_4878
Hvul.fasta	Hvul_g15230_1	2	OG_701 OG_4714
Aque.fasta	Aque_Aqu2.1.13756_001	2	OG_482 OG_1918
Spolac.fasta	Spolac_c103069_g2_i1_m.32303c103069-g2	2	OG_111 OG_3077
Spis.fasta	Spis_XP_022805349_1	2	OG_1313 OG_1864
Spis.fasta	Spis_XP_022782888_1	2	OG_3509 OG_4044
Hhon.fasta	Hhon_g07616.t1	2	OG_1160 OG_3049
Hhon.fasta	Hhon_g03529.t1	2	OG_1955 OG_4906
Mlei.fasta	Mlei_ML0224.g8.i1	2	OG_94 OG_1091
Hvul.fasta	Hvul_g10424_1	2	OG_959 OG_3144
Hhon.fasta	Hhon_g07663.t1	2	OG_1648 OG_3952
Aque.fasta	Aque_Aqu2.1.44301_001	2	OG_389 OG_4437
Hvul.fasta	Hvul_g13218_1	2	OG_1189 OG_1279
Mmus.fasta	Mmus_ENSMUST00000177456	2	OG_2745 OG_4709
Aque.fasta	Aque_Aqu2.1.23572_001	2	OG_1080 OG_2985
Hvul.fasta	Hvul_g31403_1	2	OG_553 OG_2752
Hvul.fasta	Hvul_g12217_1	2	OG_934 OG_4704
Hvul.fasta	Hvul_g6231_1	2	OG_34 OG_1081
Nvec.fasta	Nvec_v1g156386	2	OG_899 OG_2422
Spis.fasta	Spis_XP_022777610_1	2	OG_4299 OG_5039
Mlei.fasta	Mlei_ML0745.g5.i1	2	OG_2038 OG_2421
Nvec.fasta	Nvec_v1g240936	2	OG_2433 OG_2843
Hvul.fasta	Hvul_g14851_1	2	OG_416 OG_1441
Hvul.fasta	Hvul_g14300_1	2	OG_1615 OG_3331
TrH2.fasta	TrH2_TrispH2_008010-RA	2	OG_3424 OG_4903
Hvul.fasta	Hvul_g24176_1	2	OG_120 OG_1207
Hvul.fasta	Hvul_g15698_1	2	OG_30 OG_4410
Aque.fasta	Aque_Aqu2.1.20337_001	2	OG_1207 OG_3246
Hvul.fasta	Hvul_g20585_1	2	OG_1222 OG_1524
Hvul.fasta	Hvul_g22616_1	2	OG_569 OG_923
Mlei.fasta	Mlei_ML2267.g9.i1	2	OG_2673 OG_3905
Mlei.fasta	Mlei_ML2267.g14.i1	2	OG_56 OG_3905
Hvul.fasta	Hvul_g26268_1	2	OG_817 OG_1243
Hvul.fasta	Hvul_g26287_1	2	OG_280 OG_1359
Hvul.fasta	Hvul_g18063_1	2	OG_1766 OG_2404
Hvul.fasta	Hvul_g2392_1	2	OG_34 OG_1081
Mlei.fasta	Mlei_ML2306.g6.i1	2	OG_521 OG_4572
Aque.fasta	Aque_Aqu2.1.20674_001	2	OG_1307 OG_1697
Hvul.fasta	Hvul_g21010_1	2	OG_1797 OG_2226
Mlei.fasta	Mlei_ML2318.g3.i1	2	OG_502 OG_4016
Nvec.fasta	Nvec_v1g247070	2	OG_536 OG_1752
Aque.fasta	Aque_Aqu2.1.11056_001	3	OG_431 OG_1607 OG_4442
Mmus.fasta	Mmus_ENSMUST00000137826	2	OG_637 OG_665
Mmus.fasta	Mmus_ENSMUST00000094398	2	OG_927 OG_2696
Hvul.fasta	Hvul_g24321_1	2	OG_844 OG_4789
Mlei.fasta	Mlei_ML0504.g9.i1	2	OG_1235 OG_3877
Mlei.fasta	Mlei_ML2331.g11.i1	2	OG_1793 OG_4431
Nvec.fasta	Nvec_NVE23187	2	OG_3607 OG_3722
Aque.fasta	Aque_Aqu2.1.14406_001	2	OG_1011 OG_1432
Mlei.fasta	Mlei_ML1154.g2.i1	2	OG_331 OG_1517
Aque.fasta	Aque_Aqu2.1.27809_001	2	OG_1988 OG_3448
Hvul.fasta	Hvul_g29619_1	2	OG_1115 OG_4437
Hvul.fasta	Hvul_g24101_1	2	OG_99 OG_2958
Aque.fasta	Aque_Aqu2.1.36263_001	2	OG_301 OG_2572
HoiH23.fasta	HoiH23_PlH23_001106-RA	2	OG_1280 OG_4322
Hhon.fasta	Hhon_g01821.t1	2	OG_337 OG_5567
Spis.fasta	Spis_XP_022777904_1	2	OG_144 OG_236
Nvec.fasta	Nvec_NVE8979	2	OG_123 OG_3037
Mlei.fasta	Mlei_ML0073.g4.i1	2	OG_896 OG_3450
Mlei.fasta	Mlei_ML0280.g6.i1	2	OG_294 OG_663
Mlei.fasta	Mlei_ML0073.g34.i1	2	OG_1260 OG_2658
Nvec.fasta	Nvec_v1g244559	2	OG_2545 OG_3155
Aque.fasta	Aque_Aqu2.1.22832_001	2	OG_69 OG_4467
Hhon.fasta	Hhon_g01895.t1	2	OG_2032 OG_2310
Hvul.fasta	Hvul_g18370_1	2	OG_633 OG_1292
Hhon.fasta	Hhon_g03951.t1	2	OG_4291 OG_4368
Hvul.fasta	Hvul_g26615_1	2	OG_1721 OG_3010
Hvul.fasta	Hvul_g32827_1	2	OG_665 OG_1751
Tadh.fasta	Tadh_TriadT57133	2	OG_2758 OG_2966
Hvul.fasta	Hvul_g32837_1	2	OG_570 OG_2701
Mmus.fasta	Mmus_ENSMUST00000073116	2	OG_3043 OG_5077
Mlei.fasta	Mlei_ML4186.g2.i1	2	OG_1071 OG_1417
Spis.fasta	Spis_XP_022789210_1	2	OG_3043 OG_5077
Hvul.fasta	Hvul_g27161_1	2	OG_517 OG_806
Hvul.fasta	Hvul_g29891_1	2	OG_402 OG_1405
Hvul.fasta	Hvul_g16069_1	2	OG_1945 OG_3517
Hvul.fasta	Hvul_g13450_1	2	OG_3835 OG_4666
Hvul.fasta	Hvul_g16071_1	2	OG_1848 OG_4630
Hvul.fasta	Hvul_g32183_1	2	OG_1186 OG_2074
Mmus.fasta	Mmus_ENSMUST00000130871	2	OG_4001 OG_5181
Hhon.fasta	Hhon_g01997.t1	2	OG_4003 OG_5717
Hvul.fasta	Hvul_g414_1	2	OG_444 OG_3897
Hvul.fasta	Hvul_g31645_1	2	OG_1041 OG_4107
Hhon.fasta	Hhon_g04091.t1	2	OG_1167 OG_2509
HoiH23.fasta	HoiH23_PlH23_001213-RA	2	OG_2658 OG_2969
Mlei.fasta	Mlei_ML4358.g26.i1	2	OG_385 OG_2509
Hvul.fasta	Hvul_g32265_1	2	OG_651 OG_659
Mlei.fasta	Mlei_ML0305.g14.i1	2	OG_566 OG_928
Aque.fasta	Aque_Aqu2.1.37101_001	2	OG_2789 OG_4627
Mmus.fasta	Mmus_ENSMUST00000105786	2	OG_2598 OG_4588
Hhon.fasta	Hhon_g06178.t1	2	OG_636 OG_1902
Aque.fasta	Aque_Aqu2.1.22080_001	2	OG_2467 OG_4713
Hvul.fasta	Hvul_g4489_1	2	OG_1727 OG_2424
Mlei.fasta	Mlei_ML0549.g11.i1	2	OG_4578 OG_4683
Aque.fasta	Aque_Aqu2.1.28689_001	2	OG_605 OG_689
Hvul.fasta	Hvul_g10887_1	2	OG_782 OG_1653
Hhon.fasta	Hhon_g06215.t1	2	OG_4432 OG_5066
Aque.fasta	Aque_Aqu2.1.27415_001	2	OG_2373 OG_3343
TrH2.fasta	TrH2_TrispH2_004423-RA	2	OG_125 OG_4132
Nvec.fasta	Nvec_v1g134156	2	OG_109 OG_1185
Mmus.fasta	Mmus_ENSMUST00000173584	2	OG_3905 OG_4183
Mlei.fasta	Mlei_ML0559.g1.i1	2	OG_1162 OG_1670
Mlei.fasta	Mlei_ML1242.g40.i1	2	OG_3327 OG_3761
Hvul.fasta	Hvul_g17493_1	2	OG_1262 OG_5151
Mlei.fasta	Mlei_ML0322.g3.i1	2	OG_1971 OG_3887
Hhon.fasta	Hhon_g02184.t1	2	OG_89 OG_3910
Mlei.fasta	Mlei_ML0837.g5.i1	2	OG_805 OG_5158
Aque.fasta	Aque_Aqu2.1.35284_001	2	OG_2796 OG_3510
HoiH23.fasta	HoiH23_PlH23_002573-RA	2	OG_89 OG_3910
Hhon.fasta	Hhon_g06300.t1	2	OG_2426 OG_2729
Aque.fasta	Aque_Aqu2.1.19262_001	2	OG_2786 OG_3285
Dmel.fasta	Dmel_FBtr0078122	2	OG_2598 OG_4588
Hhon.fasta	Hhon_g00165.t1	2	OG_2584 OG_5014
Hvul.fasta	Hvul_g22311_1	2	OG_467 OG_1469
Mlei.fasta	Mlei_ML2635.g24.i1	2	OG_4274 OG_4718
Nvec.fasta	Nvec_v1g213216	2	OG_478 OG_4264
Mmus.fasta	Mmus_ENSMUST00000107259	2	OG_676 OG_4492
Hvul.fasta	Hvul_g3155_1	2	OG_102 OG_2482
Hhon.fasta	Hhon_g00195.t1	2	OG_389 OG_4846
Aque.fasta	Aque_Aqu2.1.32257_001	2	OG_559 OG_2707
Hvul.fasta	Hvul_g5521_1	2	OG_1343 OG_4003
Hvul.fasta	Hvul_g28309_1	2	OG_95 OG_1578
Aque.fasta	Aque_Aqu2.1.39655_001	2	OG_828 OG_2479
Tadh.fasta	Tadh_TriadT56575	2	OG_478 OG_721
Mlei.fasta	Mlei_ML0850.g28.i1	2	OG_101 OG_3855
Hvul.fasta	Hvul_g33170_1	2	OG_914 OG_2652
Hvul.fasta	Hvul_g33171_1	2	OG_1964 OG_2652
Mlei.fasta	Mlei_ML0852.g6.i1	2	OG_397 OG_1974
Hvul.fasta	Hvul_g21686_1	2	OG_1924 OG_3758
Hhon.fasta	Hhon_g08478.t1	2	OG_3601 OG_4926
TrH2.fasta	TrH2_TrispH2_000649-RA	2	OG_4789 OG_5079
Mlei.fasta	Mlei_ML0109.g6.i1	2	OG_1323 OG_4635
Mmus.fasta	Mmus_ENSMUST00000190734	2	OG_28 OG_40
Hvul.fasta	Hvul_g30041_1	2	OG_3813 OG_3959
Mlei.fasta	Mlei_ML0590.g12.i1	2	OG_203 OG_578
Hvul.fasta	Hvul_g24901_1	2	OG_492 OG_1322
Hvul.fasta	Hvul_g27826_1	2	OG_1370 OG_2378
Hvul.fasta	Hvul_g29680_1	2	OG_2598 OG_4588
Hvul.fasta	Hvul_g15077_1	2	OG_383 OG_4265
Nvec.fasta	Nvec_v1g217587	2	OG_777 OG_1503
Nvec.fasta	Nvec_v1g207364	2	OG_2197 OG_2731
Aque.fasta	Aque_Aqu2.1.31956_001	2	OG_457 OG_2841
TrH2.fasta	TrH2_TrispH2_010076-RA	3	OG_915 OG_4238 OG_4267
Mlei.fasta	Mlei_ML0864.g7.i1	2	OG_568 OG_3067
Aque.fasta	Aque_Aqu2.1.43982_001	2	OG_5852 OG_5854
Hhon.fasta	Hhon_g08628.t1	2	OG_5865 OG_5866
Hvul.fasta	Hvul_g29152_1	2	OG_5887 OG_5888
Hvul.fasta	Hvul_g22596_1	2	OG_5897 OG_5898
Mlei.fasta	Mlei_ML1295.g5.i1	2	OG_5918 OG_5919
Hvul.fasta	Hvul_g5049_1	2	OG_5945 OG_5946
Hhon.fasta	Hhon_g08105.t1	2	OG_5951 OG_5952
Mlei.fasta	Mlei_ML0254.g1.i1	2	OG_5973 OG_5974
TrH2.fasta	TrH2_TrispH2_011326-RA	2	OG_6039 OG_6041
Aque.fasta	Aque_Aqu2.1.15848_001	2	OG_6091 OG_6092
Hvul.fasta	Hvul_g16437_1	2	OG_6100 OG_6101
Hvul.fasta	Hvul_g30281_1	2	OG_6124 OG_6125
Hvul.fasta	Hvul_g25569_1	2	OG_6142 OG_6143
Hvul.fasta	Hvul_g24363_1	2	OG_6147 OG_6148
Mlei.fasta	Mlei_ML0483.g1.i1	2	OG_6183 OG_6184
Mlei.fasta	Mlei_ML0380.g26.i1	2	OG_6190 OG_6191
Mlei.fasta	Mlei_ML2856.g10.i1	2	OG_6203 OG_6204
Hvul.fasta	Hvul_g10182_1	2	OG_6211 OG_6212
Hvul.fasta	Hvul_g29107_1	2	OG_6228 OG_6231
Aque.fasta	Aque_Aqu2.1.37493_001	2	OG_6255 OG_6256
Hvul.fasta	Hvul_g29385_1	2	OG_6269 OG_6270
Dmel.fasta	Dmel_FBtr0084782	2	OG_6268 OG_6270
Hhon.fasta	Hhon_g08014.t1	2	OG_6280 OG_6281
Mlei.fasta	Mlei_ML3588.g19.i1	2	OG_6311 OG_6312
Hvul.fasta	Hvul_g28899_1	2	OG_6320 OG_6321
Hvul.fasta	Hvul_g2105_1	2	OG_6333 OG_6334
Dmel.fasta	Dmel_FBtr0299516	2	OG_6336 OG_6337
HoiH23.fasta	HoiH23_PlH23_008296-RA	2	OG_6363 OG_6364
Mlei.fasta	Mlei_ML0926.g2.i1	2	OG_6374 OG_6375
Hvul.fasta	Hvul_g7994_1	2	OG_6403 OG_6404
Hvul.fasta	Hvul_g30515_1	2	OG_6412 OG_6414
Hhon.fasta	Hhon_g04168.t1	2	OG_6456 OG_6457
TrH2.fasta	TrH2_TrispH2_000060-RA	2	OG_6597 OG_6598
Hhon.fasta	Hhon_g02438.t1	2	OG_6645 OG_6646
Hvul.fasta	Hvul_g32346_1	2	OG_6680 OG_6681
TrH2.fasta	TrH2_TrispH2_008563-RA	2	OG_6690 OG_6692
Hvul.fasta	Hvul_g1712_1	2	OG_6706 OG_6707
Hvul.fasta	Hvul_g17852_1	2	OG_6765 OG_6766
Nvec.fasta	Nvec_NVE7581	2	OG_6804 OG_6805
Hvul.fasta	Hvul_g13153_1	2	OG_6820 OG_6821
TrH2.fasta	TrH2_TrispH2_006834-RA	2	OG_6948 OG_6949
Hvul.fasta	Hvul_g1768_1	2	OG_6959 OG_6962
Mlei.fasta	Mlei_ML0681.g32.i1	2	OG_6975 OG_6976
Aque.fasta	Aque_Aqu2.1.37816_001	2	OG_7213 OG_7214
Hhon.fasta	Hhon_g05890.t1	2	OG_7214 OG_7216
Mmus.fasta	Mmus_ENSMUST00000182839	2	OG_7372 OG_7373
Hhon.fasta	Hhon_g08910.t1	2	OG_7416 OG_7417
Hvul.fasta	Hvul_g23691_1	2	OG_7473 OG_7474
Hvul.fasta	Hvul_g21762_1	2	OG_7806 OG_7810
Hvul.fasta	Hvul_g2782_1	2	OG_7815 OG_7816
TrH2.fasta	TrH2_TrispH2_001327-RA	2	OG_7859 OG_7860
Tadh.fasta	Tadh_TriadT60961	2	OG_8057 OG_8058
TrH2.fasta	TrH2_TrispH2_005950-RA	2	OG_8094 OG_8095
Spolac.fasta	Spolac_c102655_g1_i1_m.30394c102655-g1	2	OG_8099 OG_8102
Spolac.fasta	Spolac_c102655_g1_i2_m.30396c102655-g1	2	OG_8099 OG_8102
Hvul.fasta	Hvul_g32305_1	2	OG_8110 OG_8111
Mlei.fasta	Mlei_ML2835.g2.i1	2	OG_8134 OG_8135
Hvul.fasta	Hvul_g13370_1	2	OG_8141 OG_8142
Spis.fasta	Spis_XP_022796382_1	2	OG_8146 OG_8147
Mmus.fasta	Mmus_ENSMUST00000159295	2	OG_8145 OG_8146
Hhon.fasta	Hhon_g00360.t1	2	OG_8199 OG_8200
Aque.fasta	Aque_Aqu2.1.43352_001	2	OG_8340 OG_8341
Mlei.fasta	Mlei_ML0180.g36.i1	2	OG_8347 OG_8348
TrH2.fasta	TrH2_TrispH2_006867-RA	2	OG_8368 OG_8369
HoiH23.fasta	HoiH23_PlH23_009655-RA	2	OG_8433 OG_8434
Hvul.fasta	Hvul_g31220_1	2	OG_8477 OG_8478
Hvul.fasta	Hvul_g8464_1	2	OG_8482 OG_8484
Hhon.fasta	Hhon_g07658.t1	2	OG_8541 OG_8542
Hvul.fasta	Hvul_g26399_1	2	OG_8567 OG_8568
Mlei.fasta	Mlei_ML0191.g31.i1	2	OG_8639 OG_8640
Hvul.fasta	Hvul_g26266_1	2	OG_8691 OG_8692
Hvul.fasta	Hvul_g17846_1	2	OG_8731 OG_8732
HoiH23.fasta	HoiH23_PlH23_003863-RA	2	OG_8747 OG_8748
Aque.fasta	Aque_Aqu2.1.38124_001	2	OG_8822 OG_8823
Mlei.fasta	Mlei_ML0317.g10.i1	2	OG_9159 OG_9160
Mlei.fasta	Mlei_ML3259.g1.i1	2	OG_9256 OG_9257
Hvul.fasta	Hvul_g6496_1	2	OG_9320 OG_9321
Hvul.fasta	Hvul_g25798_1	2	OG_9368 OG_9369
Aque.fasta	Aque_Aqu2.1.37946_001	2	OG_9411 OG_9412
