Tadh_TriadG50246	Tadh_TriadT50246
Tadh_TriadG63461	Tadh_TriadT63461
Tadh_TriadG8383	Tadh_TriadT8383
Tadh_TriadG58143	Tadh_TriadT58143
Tadh_TriadG63547	Tadh_TriadT63547
Tadh_TriadG55656	Tadh_TriadT55656
Tadh_hyp_clust8233	Tadh_hyp_clust8233.t1
Tadh_TriadG37081	Tadh_TriadT37081
Tadh_TriadG50469	Tadh_TriadT50469
Tadh_TriadG63961	Tadh_TriadT63961
Tadh_TriadG58155	Tadh_TriadT58155
Tadh_TriadG37427	Tadh_TriadT37427
Tadh_TriadG64407	Tadh_TriadT64407
Tadh_TriadG50216	Tadh_TriadT50216
Tadh_TriadG38158	Tadh_TriadT38158
Tadh_TriadG62521	Tadh_TriadT62521
Tadh_TriadG59590	Tadh_TriadT59590
Tadh_TriadG63506	Tadh_TriadT63506
Tadh_TriadG60775	Tadh_TriadT60775
Tadh_TriadG20245	Tadh_TriadT20245
Tadh_TriadG22918	Tadh_TriadT22918
Tadh_TriadG56247	Tadh_TriadT56247
Tadh_TriadG63713	Tadh_TriadT63713
Tadh_TriadG49712	Tadh_TriadT49712
Tadh_orphan_612	Tadh_orphan_612
Tadh_TriadG63188	Tadh_TriadT63188
Tadh_TriadG22290	Tadh_TriadT22290
Tadh_TriadG17646	Tadh_TriadT17646
Tadh_TriadG29352	Tadh_TriadT29352
Tadh_TriadG55364	Tadh_TriadT55364
Tadh_TriadG52564	Tadh_TriadT52564
Tadh_TriadG64359	Tadh_TriadT64359
Tadh_TriadG60963	Tadh_TriadT60963
Tadh_orphan_408	Tadh_orphan_408
Tadh_TriadG61179	Tadh_TriadT61179
Tadh_TriadG50586	Tadh_TriadT50586
Tadh_TriadG54395	Tadh_TriadT54395
Tadh_wf_g2876	Tadh_wf_g2876.t1
Tadh_TriadG59086	Tadh_TriadT59086
Tadh_TriadG25488	Tadh_TriadT25488
Tadh_TriadG25999	Tadh_TriadT25999
Tadh_TriadG32115	Tadh_TriadT32115
Tadh_TriadG59522	Tadh_TriadT59522
Tadh_TriadG63737	Tadh_TriadT63737
Tadh_TriadG58518	Tadh_TriadT58518
Tadh_TriadG63390	Tadh_TriadT63390
Tadh_TriadG63943	Tadh_TriadT63943
Tadh_TriadG63313	Tadh_TriadT63313
Tadh_TriadG59815	Tadh_TriadT59815
Tadh_TriadG28962	Tadh_TriadT28962
Tadh_TriadG63947	Tadh_TriadT63947
Tadh_TriadG61182	Tadh_TriadT61182
Tadh_TriadG51058	Tadh_TriadT51058
Tadh_TriadG63540	Tadh_TriadT63540
Tadh_TriadG23781	Tadh_TriadT23781
Tadh_TriadG64063	Tadh_TriadT64063
Tadh_orphan_1274	Tadh_orphan_1274
Tadh_TriadG55145	Tadh_TriadT55145
Tadh_TriadG22356	Tadh_TriadT22356
Tadh_orphan_70	Tadh_orphan_70
Tadh_TriadG30483	Tadh_TriadT30483
Tadh_TriadG63278	Tadh_TriadT63278
Tadh_TriadG38462	Tadh_TriadT38462
Tadh_TriadG54658	Tadh_TriadT54658
Tadh_TriadG62353	Tadh_TriadT62353
Tadh_TriadG55285	Tadh_TriadT55285
Tadh_TriadG36034	Tadh_TriadT36034
Tadh_TriadG55611	Tadh_TriadT55611
Tadh_wf_g9540	Tadh_wf_g9540.t1
Tadh_TriadG55308	Tadh_TriadT55308
Tadh_TriadG37528	Tadh_TriadT37528
Tadh_orphan_2774	Tadh_orphan_2774
Tadh_TriadG31849	Tadh_TriadT31849
Tadh_TriadG61456	Tadh_TriadT61456
Tadh_TriadG61447	Tadh_TriadT61447
Tadh_TriadG61187	Tadh_TriadT61187
Tadh_TriadG28664	Tadh_TriadT28664
Tadh_TriadG56166	Tadh_TriadT56166
Tadh_TriadG60386	Tadh_TriadT60386
Tadh_TriadG59891	Tadh_TriadT59891
Tadh_TriadG55495	Tadh_TriadT55495
Tadh_TriadG54343	Tadh_TriadT54343
Tadh_TriadG58626	Tadh_TriadT58626
Tadh_TriadG51428	Tadh_TriadT51428
Tadh_TriadG1842	Tadh_TriadT1842
Tadh_TriadG5705	Tadh_TriadT5705
Tadh_TriadG53964	Tadh_TriadT53964
Tadh_TriadG56942	Tadh_TriadT56942
Tadh_TriadG59251	Tadh_TriadT59251
Tadh_TriadG58625	Tadh_TriadT58625
Tadh_TriadG63801	Tadh_TriadT63801
Tadh_TriadG38507	Tadh_TriadT38507
Tadh_TriadG63757	Tadh_TriadT63757
Tadh_TriadG54524	Tadh_TriadT54524
Tadh_TriadG63196	Tadh_TriadT63196
Tadh_TriadG27938	Tadh_TriadT27938
Tadh_wf_g6127	Tadh_wf_g6127.t1
Tadh_TriadG63940	Tadh_TriadT63940
Tadh_TriadG11420	Tadh_TriadT11420
Tadh_orphan_690	Tadh_orphan_690
Tadh_TriadG58574	Tadh_TriadT58574
Tadh_orphan_1111	Tadh_orphan_1111
Tadh_TriadG64164	Tadh_TriadT64164
Tadh_orphan_391	Tadh_orphan_391
Tadh_TriadG33900	Tadh_TriadT33900
Tadh_TriadG24909	Tadh_TriadT24909
Tadh_wf_g5177	Tadh_wf_g5177.t1
Tadh_TriadG56276	Tadh_TriadT56276
Tadh_wf_g9391	Tadh_wf_g9391.t1
Tadh_orphan_1281	Tadh_orphan_1281
Tadh_TriadG54554	Tadh_TriadT54554
Tadh_TriadG63767	Tadh_TriadT63767
Tadh_TriadG61347	Tadh_TriadT61347
Tadh_orphan_1900	Tadh_orphan_1900
Tadh_TriadG37376	Tadh_TriadT37376
Tadh_TriadG9345	Tadh_TriadT9345
Tadh_TriadG52964	Tadh_TriadT52964
Tadh_wf_g3240	Tadh_wf_g3240.t1
Tadh_TriadG55857	Tadh_TriadT55857
Tadh_TriadG57215	Tadh_TriadT57215
Tadh_TriadG63107	Tadh_TriadT63107
Tadh_TriadG52223	Tadh_TriadT52223
Tadh_TriadG50632	Tadh_TriadT50632
Tadh_hyp_clust5993	Tadh_hyp_clust5993.t1
Tadh_TriadG50933	Tadh_TriadT50933
Tadh_TriadG59917	Tadh_TriadT59917
Tadh_TriadG29260	Tadh_TriadT29260
Tadh_TriadG35761	Tadh_TriadT35761
Tadh_TriadG60361	Tadh_TriadT60361
Tadh_TriadG59083	Tadh_TriadT59083
Tadh_TriadG56266	Tadh_TriadT56266
Tadh_TriadG56094	Tadh_TriadT56094
Tadh_TriadG16229	Tadh_TriadT16229
Tadh_orphan_1532	Tadh_orphan_1532
Tadh_TriadG58314	Tadh_TriadT58314
Tadh_TriadG59665	Tadh_TriadT59665
Tadh_TriadG33117	Tadh_TriadT33117
Tadh_TriadG60363	Tadh_TriadT60363
Tadh_wf_g3828	Tadh_wf_g3828.t1
Tadh_TriadG38509	Tadh_TriadT38509
Tadh_TriadG55780	Tadh_TriadT55780
Tadh_TriadG56055	Tadh_TriadT56055
Tadh_TriadG54906	Tadh_TriadT54906
Tadh_TriadG63752	Tadh_TriadT63752
Tadh_orphan_2440	Tadh_orphan_2440
Tadh_TriadG35792	Tadh_TriadT35792
Tadh_TriadG31445	Tadh_TriadT31445
Tadh_TriadG55163	Tadh_TriadT55163
Tadh_TriadG35747	Tadh_TriadT35747
Tadh_TriadG28587	Tadh_TriadT28587
Tadh_TriadG61873	Tadh_TriadT61873
Tadh_TriadG31628	Tadh_TriadT31628
Tadh_TriadG63944	Tadh_TriadT63944
Tadh_TriadG55521	Tadh_TriadT55521
Tadh_TriadG56275	Tadh_TriadT56275
Tadh_TriadG25971	Tadh_TriadT25971
Tadh_TriadG19282	Tadh_TriadT19282
Tadh_TriadG63863	Tadh_TriadT63863
Tadh_TriadG8916	Tadh_TriadT8916
Tadh_TriadG58544	Tadh_TriadT58544
Tadh_TriadG59964	Tadh_TriadT59964
Tadh_TriadG53076	Tadh_TriadT53076
Tadh_wf_g8716	Tadh_wf_g8716.t1
Tadh_TriadG60294	Tadh_TriadT60294
Tadh_TriadG17368	Tadh_TriadT17368
Tadh_TriadG36122	Tadh_TriadT36122
Tadh_TriadG57963	Tadh_TriadT57963
Tadh_TriadG58791	Tadh_TriadT58791
Tadh_TriadG60698	Tadh_TriadT60698
Tadh_TriadG19479	Tadh_TriadT19479
Tadh_TriadG52373	Tadh_TriadT52373
Tadh_TriadG34046	Tadh_TriadT34046
Tadh_orphan_10	Tadh_orphan_10
Tadh_TriadG29621	Tadh_TriadT29621
Tadh_TriadG52253	Tadh_TriadT52253
Tadh_TriadG15472	Tadh_TriadT15472
Tadh_TriadG50611	Tadh_TriadT50611
Tadh_TriadG55848	Tadh_TriadT55848
Tadh_TriadG20194	Tadh_TriadT20194
Tadh_TriadG2392	Tadh_TriadT2392
Tadh_orphan_266	Tadh_orphan_266
Tadh_TriadG22236	Tadh_TriadT22236
Tadh_TriadG52070	Tadh_TriadT52070
Tadh_TriadG64181	Tadh_TriadT64181
Tadh_TriadG60436	Tadh_TriadT60436
Tadh_TriadG22230	Tadh_TriadT22230
Tadh_TriadG58506	Tadh_TriadT58506
Tadh_orphan_23	Tadh_orphan_23
Tadh_TriadG22681	Tadh_TriadT22681
Tadh_TriadG22177	Tadh_TriadT22177
Tadh_TriadG62183	Tadh_TriadT62183
Tadh_orphan_652	Tadh_orphan_652
Tadh_TriadG61103	Tadh_TriadT61103
Tadh_orphan_104	Tadh_orphan_104
Tadh_TriadG60595	Tadh_TriadT60595
Tadh_TriadG55215	Tadh_TriadT55215
Tadh_orphan_195	Tadh_orphan_195
Tadh_TriadG61129	Tadh_TriadT61129
Tadh_TriadG13000	Tadh_TriadT13000
Tadh_TriadG58187	Tadh_TriadT58187
Tadh_TriadG61075	Tadh_TriadT61075
Tadh_TriadG62593	Tadh_TriadT62593
Tadh_TriadG55307	Tadh_TriadT55307
Tadh_TriadG64114	Tadh_TriadT64114
Tadh_TriadG6376	Tadh_TriadT6376
Tadh_TriadG27180	Tadh_TriadT27180
Tadh_TriadG36979	Tadh_TriadT36979
Tadh_TriadG54668	Tadh_TriadT54668
Tadh_TriadG64020	Tadh_TriadT64020
Tadh_TriadG56235	Tadh_TriadT56235
Tadh_TriadG37496	Tadh_TriadT37496
Tadh_TriadG54615	Tadh_TriadT54615
Tadh_TriadG49844	Tadh_TriadT49844
Tadh_TriadG63329	Tadh_TriadT63329
Tadh_TriadG33396	Tadh_TriadT33396
Tadh_hyp_clust7827	Tadh_hyp_clust7827.t1
Tadh_TriadG54551	Tadh_TriadT54551
Tadh_TriadG58586	Tadh_TriadT58586
Tadh_TriadG55400	Tadh_TriadT55400
Tadh_TriadG20253	Tadh_TriadT20253
Tadh_TriadG55724	Tadh_TriadT55724
Tadh_TriadG13672	Tadh_TriadT13672
Tadh_TriadG27037	Tadh_TriadT27037
Tadh_TriadG34632	Tadh_TriadT34632
Tadh_TriadG22947	Tadh_TriadT22947
Tadh_TriadG63295	Tadh_TriadT63295
Tadh_TriadG56014	Tadh_TriadT56014
Tadh_TriadG61604	Tadh_TriadT61604
Tadh_TriadG56541	Tadh_TriadT56541
Tadh_TriadG55957	Tadh_TriadT55957
Tadh_orphan_1009	Tadh_orphan_1009
Tadh_TriadG57906	Tadh_TriadT57906
Tadh_TriadG57403	Tadh_TriadT57403
Tadh_TriadG24589	Tadh_TriadT24589
Tadh_orphan_2682	Tadh_orphan_2682
Tadh_TriadG56532	Tadh_TriadT56532
Tadh_TriadG62153	Tadh_TriadT62153
Tadh_TriadG60448	Tadh_TriadT60448
Tadh_TriadG58040	Tadh_TriadT58040
Tadh_TriadG5463	Tadh_TriadT5463
Tadh_TriadG55139	Tadh_TriadT55139
Tadh_wf_g29	Tadh_wf_g29.t1
Tadh_TriadG59202	Tadh_TriadT59202
Tadh_TriadG56615	Tadh_TriadT56615
Tadh_TriadG38001	Tadh_TriadT38001
Tadh_TriadG25309	Tadh_TriadT25309
Tadh_TriadG22596	Tadh_TriadT22596
Tadh_TriadG55204	Tadh_TriadT55204
Tadh_TriadG32318	Tadh_TriadT32318
Tadh_TriadG55390	Tadh_TriadT55390
Tadh_TriadG33397	Tadh_TriadT33397
Tadh_TriadG33710	Tadh_TriadT33710
Tadh_TriadG19929	Tadh_TriadT19929
Tadh_TriadG35852	Tadh_TriadT35852
Tadh_orphan_1049	Tadh_orphan_1049
Tadh_TriadG56301	Tadh_TriadT56301
Tadh_TriadG50898	Tadh_TriadT50898
Tadh_orphan_1461	Tadh_orphan_1461
Tadh_TriadG62243	Tadh_TriadT62243
Tadh_TriadG60139	Tadh_TriadT60139
Tadh_orphan_2657	Tadh_orphan_2657
Tadh_TriadG26061	Tadh_TriadT26061
Tadh_wf_g9291	Tadh_wf_g9291.t1
Tadh_TriadG35608	Tadh_TriadT35608
Tadh_orphan_754	Tadh_orphan_754
Tadh_TriadG60212	Tadh_TriadT60212
Tadh_TriadG50623	Tadh_TriadT50623
Tadh_orphan_624	Tadh_orphan_624
Tadh_orphan_390	Tadh_orphan_390
Tadh_TriadG5385	Tadh_TriadT5385
Tadh_orphan_2680	Tadh_orphan_2680
Tadh_TriadG51941	Tadh_TriadT51941
Tadh_TriadG24535	Tadh_TriadT24535
Tadh_TriadG21381	Tadh_TriadT21381
Tadh_TriadG56159	Tadh_TriadT56159
Tadh_TriadG62425	Tadh_TriadT62425
Tadh_TriadG38221	Tadh_TriadT38221
Tadh_TriadG57517	Tadh_TriadT57517
Tadh_TriadG59077	Tadh_TriadT59077
Tadh_TriadG55484	Tadh_TriadT55484
Tadh_TriadG19851	Tadh_TriadT19851
Tadh_TriadG951	Tadh_TriadT951
Tadh_orphan_2116	Tadh_orphan_2116
Tadh_TriadG59449	Tadh_TriadT59449
Tadh_TriadG55970	Tadh_TriadT55970
Tadh_TriadG64149	Tadh_TriadT64149
Tadh_TriadG55113	Tadh_TriadT55113
Tadh_TriadG51652	Tadh_TriadT51652
Tadh_TriadG58888	Tadh_TriadT58888
Tadh_hyp_clust8295	Tadh_hyp_clust8295.t1
Tadh_TriadG27912	Tadh_TriadT27912
Tadh_TriadG51882	Tadh_TriadT51882
Tadh_TriadG62079	Tadh_TriadT62079
Tadh_TriadG5345	Tadh_TriadT5345
Tadh_TriadG55299	Tadh_TriadT55299
Tadh_TriadG60854	Tadh_TriadT60854
Tadh_TriadG22466	Tadh_TriadT22466
Tadh_TriadG52504	Tadh_TriadT52504
Tadh_TriadG64069	Tadh_TriadT64069
Tadh_TriadG60045	Tadh_TriadT60045
Tadh_TriadG28370	Tadh_TriadT28370
Tadh_TriadG55399	Tadh_TriadT55399
Tadh_TriadG32954	Tadh_TriadT32954
Tadh_TriadG15044	Tadh_TriadT15044
Tadh_TriadG55816	Tadh_TriadT55816
Tadh_TriadG55223	Tadh_TriadT55223
Tadh_TriadG38307	Tadh_TriadT38307
Tadh_TriadG61081	Tadh_TriadT61081
Tadh_TriadG50452	Tadh_TriadT50452
Tadh_orphan_515	Tadh_orphan_515
Tadh_TriadG49810	Tadh_TriadT49810
Tadh_TriadG31316	Tadh_TriadT31316
Tadh_TriadG55207	Tadh_TriadT55207
Tadh_TriadG20308	Tadh_TriadT20308
Tadh_TriadG27850	Tadh_TriadT27850
Tadh_TriadG58332	Tadh_TriadT58332
Tadh_TriadG59074	Tadh_TriadT59074
Tadh_orphan_2324	Tadh_orphan_2324
Tadh_TriadG30079	Tadh_TriadT30079
Tadh_TriadG24240	Tadh_TriadT24240
Tadh_TriadG60962	Tadh_TriadT60962
Tadh_TriadG16656	Tadh_TriadT16656
Tadh_TriadG63748	Tadh_TriadT63748
Tadh_TriadG28036	Tadh_TriadT28036
Tadh_orphan_1412	Tadh_orphan_1412
Tadh_orphan_1456	Tadh_orphan_1456
Tadh_orphan_2985	Tadh_orphan_2985
Tadh_orphan_2773	Tadh_orphan_2773
Tadh_TriadG56400	Tadh_TriadT56400
Tadh_TriadG53974	Tadh_TriadT53974
Tadh_TriadG37807	Tadh_TriadT37807
Tadh_orphan_1779	Tadh_orphan_1779
Tadh_orphan_97	Tadh_orphan_97
Tadh_TriadG55540	Tadh_TriadT55540
Tadh_TriadG51262	Tadh_TriadT51262
Tadh_TriadG24643	Tadh_TriadT24643
Tadh_TriadG52899	Tadh_TriadT52899
Tadh_TriadG2519	Tadh_TriadT2519
Tadh_TriadG61518	Tadh_TriadT61518
Tadh_TriadG28052	Tadh_TriadT28052
Tadh_TriadG28229	Tadh_TriadT28229
Tadh_TriadG59417	Tadh_TriadT59417
Tadh_TriadG57840	Tadh_TriadT57840
Tadh_TriadG28957	Tadh_TriadT28957
Tadh_TriadG59976	Tadh_TriadT59976
Tadh_TriadG38236	Tadh_TriadT38236
Tadh_TriadG32195	Tadh_TriadT32195
Tadh_TriadG50972	Tadh_TriadT50972
Tadh_TriadG60099	Tadh_TriadT60099
Tadh_TriadG64264	Tadh_TriadT64264
Tadh_wf_g7394	Tadh_wf_g7394.t1
Tadh_TriadG29056	Tadh_TriadT29056
Tadh_TriadG24973	Tadh_TriadT24973
Tadh_TriadG50847	Tadh_TriadT50847
Tadh_TriadG63739	Tadh_TriadT63739
Tadh_orphan_753	Tadh_orphan_753
Tadh_TriadG56357	Tadh_TriadT56357
Tadh_TriadG54919	Tadh_TriadT54919
Tadh_TriadG61065	Tadh_TriadT61065
Tadh_TriadG49690	Tadh_TriadT49690
Tadh_TriadG62361	Tadh_TriadT62361
Tadh_TriadG58170	Tadh_TriadT58170
Tadh_TriadG61619	Tadh_TriadT61619
Tadh_TriadG52645	Tadh_TriadT52645
Tadh_TriadG55214	Tadh_TriadT55214
Tadh_TriadG27663	Tadh_TriadT27663
Tadh_TriadG26639	Tadh_TriadT26639
Tadh_TriadG33901	Tadh_TriadT33901
Tadh_TriadG64004	Tadh_TriadT64004
Tadh_orphan_2384	Tadh_orphan_2384
Tadh_TriadG22771	Tadh_TriadT22771
Tadh_wf_g5406	Tadh_wf_g5406.t1
Tadh_TriadG61957	Tadh_TriadT61957
Tadh_TriadG60795	Tadh_TriadT60795
Tadh_TriadG22026	Tadh_TriadT22026
Tadh_TriadG52533	Tadh_TriadT52533
Tadh_TriadG20691	Tadh_TriadT20691
Tadh_wf_g8174	Tadh_wf_g8174.t1
Tadh_TriadG26710	Tadh_TriadT26710
Tadh_TriadG51955	Tadh_TriadT51955
Tadh_TriadG19190	Tadh_TriadT19190
Tadh_TriadG52216	Tadh_TriadT52216
Tadh_TriadG63717	Tadh_TriadT63717
Tadh_orphan_819	Tadh_orphan_819
Tadh_TriadG58546	Tadh_TriadT58546
Tadh_TriadG38520	Tadh_TriadT38520
Tadh_TriadG59957	Tadh_TriadT59957
Tadh_TriadG61888	Tadh_TriadT61888
Tadh_TriadG59624	Tadh_TriadT59624
Tadh_TriadG54544	Tadh_TriadT54544
Tadh_TriadG19721	Tadh_TriadT19721
Tadh_TriadG63308	Tadh_TriadT63308
Tadh_TriadG62264	Tadh_TriadT62264
Tadh_wf_g1053	Tadh_wf_g1053.t1
Tadh_TriadG62049	Tadh_TriadT62049
Tadh_TriadG54331	Tadh_TriadT54331
Tadh_TriadG55300	Tadh_TriadT55300
Tadh_TriadG50795	Tadh_TriadT50795
Tadh_TriadG56669	Tadh_TriadT56669
Tadh_wf_g6953	Tadh_wf_g6953.t1
Tadh_orphan_2547	Tadh_orphan_2547
Tadh_TriadG33689	Tadh_TriadT33689
Tadh_TriadG17909	Tadh_TriadT17909
Tadh_TriadG32597	Tadh_TriadT32597
Tadh_TriadG55734	Tadh_TriadT55734
Tadh_TriadG56527	Tadh_TriadT56527
Tadh_TriadG57463	Tadh_TriadT57463
Tadh_TriadG61285	Tadh_TriadT61285
Tadh_orphan_1146	Tadh_orphan_1146
Tadh_TriadG61193	Tadh_TriadT61193
Tadh_TriadG13360	Tadh_TriadT13360
Tadh_orphan_2837	Tadh_orphan_2837
Tadh_TriadG15925	Tadh_TriadT15925
Tadh_orphan_2675	Tadh_orphan_2675
Tadh_orphan_641	Tadh_orphan_641
Tadh_TriadG56783	Tadh_TriadT56783
Tadh_TriadG30150	Tadh_TriadT30150
Tadh_TriadG26044	Tadh_TriadT26044
Tadh_TriadG61408	Tadh_TriadT61408
Tadh_TriadG1749	Tadh_TriadT1749
Tadh_TriadG26603	Tadh_TriadT26603
Tadh_orphan_637	Tadh_orphan_637
Tadh_TriadG28708	Tadh_TriadT28708
Tadh_TriadG56068	Tadh_TriadT56068
Tadh_orphan_3026	Tadh_orphan_3026
Tadh_TriadG38449	Tadh_TriadT38449
Tadh_TriadG29334	Tadh_TriadT29334
Tadh_TriadG58326	Tadh_TriadT58326
Tadh_TriadG61807	Tadh_TriadT61807
Tadh_TriadG54433	Tadh_TriadT54433
Tadh_TriadG9023	Tadh_TriadT9023
Tadh_TriadG52793	Tadh_TriadT52793
Tadh_TriadG61960	Tadh_TriadT61960
Tadh_TriadG63611	Tadh_TriadT63611
Tadh_TriadG24039	Tadh_TriadT24039
Tadh_TriadG60899	Tadh_TriadT60899
Tadh_TriadG64331	Tadh_TriadT64331
Tadh_TriadG37956	Tadh_TriadT37956
Tadh_TriadG35443	Tadh_TriadT35443
Tadh_TriadG55435	Tadh_TriadT55435
Tadh_TriadG32617	Tadh_TriadT32617
Tadh_TriadG27135	Tadh_TriadT27135
Tadh_TriadG64258	Tadh_TriadT64258
Tadh_TriadG18006	Tadh_TriadT18006
Tadh_wf_g5215	Tadh_wf_g5215.t1
Tadh_TriadG28950	Tadh_TriadT28950
Tadh_TriadG34769	Tadh_TriadT34769
Tadh_TriadG57527	Tadh_TriadT57527
Tadh_TriadG29518	Tadh_TriadT29518
Tadh_TriadG24566	Tadh_TriadT24566
Tadh_TriadG22031	Tadh_TriadT22031
Tadh_TriadG15859	Tadh_TriadT15859
Tadh_TriadG31132	Tadh_TriadT31132
Tadh_orphan_2642	Tadh_orphan_2642
Tadh_TriadG29701	Tadh_TriadT29701
Tadh_TriadG57264	Tadh_TriadT57264
Tadh_TriadG55525	Tadh_TriadT55525
Tadh_TriadG63745	Tadh_TriadT63745
Tadh_orphan_2290	Tadh_orphan_2290
Tadh_orphan_851	Tadh_orphan_851
Tadh_TriadG25805	Tadh_TriadT25805
Tadh_TriadG33664	Tadh_TriadT33664
Tadh_TriadG50677	Tadh_TriadT50677
Tadh_TriadG54810	Tadh_TriadT54810
Tadh_TriadG24994	Tadh_TriadT24994
Tadh_TriadG20666	Tadh_TriadT20666
Tadh_TriadG49770	Tadh_TriadT49770
Tadh_TriadG50697	Tadh_TriadT50697
Tadh_TriadG26843	Tadh_TriadT26843
Tadh_TriadG25370	Tadh_TriadT25370
Tadh_TriadG55336	Tadh_TriadT55336
Tadh_TriadG63937	Tadh_TriadT63937
Tadh_TriadG22420	Tadh_TriadT22420
Tadh_TriadG63189	Tadh_TriadT63189
Tadh_TriadG57289	Tadh_TriadT57289
Tadh_TriadG3973	Tadh_TriadT3973
Tadh_TriadG57699	Tadh_TriadT57699
Tadh_TriadG36784	Tadh_TriadT36784
Tadh_TriadG64271	Tadh_TriadT64271
Tadh_TriadG37628	Tadh_TriadT37628
Tadh_TriadG55815	Tadh_TriadT55815
Tadh_TriadG63110	Tadh_TriadT63110
Tadh_TriadG37449	Tadh_TriadT37449
Tadh_TriadG60356	Tadh_TriadT60356
Tadh_TriadG61514	Tadh_TriadT61514
Tadh_TriadG52755	Tadh_TriadT52755
Tadh_TriadG49711	Tadh_TriadT49711
Tadh_TriadG25969	Tadh_TriadT25969
Tadh_TriadG54015	Tadh_TriadT54015
Tadh_TriadG64378	Tadh_TriadT64378
Tadh_TriadG30551	Tadh_TriadT30551
Tadh_TriadG59769	Tadh_TriadT59769
Tadh_TriadG50549	Tadh_TriadT50549
Tadh_TriadG31655	Tadh_TriadT31655
Tadh_TriadG37495	Tadh_TriadT37495
Tadh_TriadG63552	Tadh_TriadT63552
Tadh_TriadG35221	Tadh_TriadT35221
Tadh_TriadG57137	Tadh_TriadT57137
Tadh_TriadG60225	Tadh_TriadT60225
Tadh_TriadG50996	Tadh_TriadT50996
Tadh_TriadG57314	Tadh_TriadT57314
Tadh_TriadG60151	Tadh_TriadT60151
Tadh_TriadG64226	Tadh_TriadT64226
Tadh_TriadG50610	Tadh_TriadT50610
Tadh_TriadG37485	Tadh_TriadT37485
Tadh_TriadG63365	Tadh_TriadT63365
Tadh_TriadG31742	Tadh_TriadT31742
Tadh_TriadG63743	Tadh_TriadT63743
Tadh_TriadG54353	Tadh_TriadT54353
Tadh_TriadG57265	Tadh_TriadT57265
Tadh_TriadG58627	Tadh_TriadT58627
Tadh_wf_g5949	Tadh_wf_g5949.t1
Tadh_TriadG50073	Tadh_TriadT50073
Tadh_TriadG37718	Tadh_TriadT37718
Tadh_TriadG23710	Tadh_TriadT23710
Tadh_TriadG49733	Tadh_TriadT49733
Tadh_TriadG24239	Tadh_TriadT24239
Tadh_TriadG58079	Tadh_TriadT58079
Tadh_TriadG19171	Tadh_TriadT19171
Tadh_TriadG63551	Tadh_TriadT63551
Tadh_TriadG59858	Tadh_TriadT59858
Tadh_TriadG27010	Tadh_TriadT27010
Tadh_TriadG54064	Tadh_TriadT54064
