gene	orthogroup	species
HoiH23_PlH23_007206-RA	OG_91	HoiH23
Nvec_v1g85009	OG_91	Nvec
Mlei_ML0224.g11.i1	OG_98	Mlei
Tadh_TriadT54404	OG_100	Tadh
TrH2_TrispH2_006036-RA	OG_100	TrH2
Hhon_g02436.t1	OG_100	Hhon
HoiH23_PlH23_002196-RA	OG_100	HoiH23
Tadh_TriadT53974	OG_108	Tadh
TrH2_TrispH2_009611-RA	OG_108	TrH2
Hhon_g00314.t1	OG_108	Hhon
HoiH23_PlH23_010100-RA	OG_108	HoiH23
Hhon_g09057.t1	OG_109	Hhon
Mmus_ENSMUST00000026297	OG_116	Mmus
Tadh_TriadT24138	OG_120	Tadh
Mmus_ENSMUST00000088373	OG_121	Mmus
HoiH23_PlH23_004228-RA	OG_123	HoiH23
Tadh_TriadT59344	OG_124	Tadh
Tadh_TriadT60118	OG_124	Tadh
Tadh_TriadT33101	OG_124	Tadh
Tadh_TriadT33541	OG_124	Tadh
Tadh_TriadT55994	OG_124	Tadh
Tadh_TriadT58102	OG_124	Tadh
TrH2_TrispH2_000572-RA	OG_124	TrH2
TrH2_TrispH2_004358-RA	OG_124	TrH2
TrH2_TrispH2_007565-RA	OG_124	TrH2
TrH2_TrispH2_005655-RA	OG_124	TrH2
TrH2_TrispH2_010091-RA	OG_124	TrH2
TrH2_TrispH2_010223-RA	OG_124	TrH2
TrH2_TrispH2_011841-RA	OG_124	TrH2
Hhon_g00116.t1	OG_124	Hhon
Hhon_g06052.t1	OG_124	Hhon
Hhon_g06053.t1	OG_124	Hhon
Hhon_g06506.t1	OG_124	Hhon
Hhon_g08000.t1	OG_124	Hhon
Hhon_g10982.t1	OG_124	Hhon
HoiH23_PlH23_005510-RA	OG_124	HoiH23
HoiH23_PlH23_004487-RA	OG_124	HoiH23
Mmus_ENSMUST00000090558	OG_124	Mmus
Mmus_ENSMUST00000042035	OG_124	Mmus
Mmus_ENSMUST00000152978	OG_124	Mmus
Mmus_ENSMUST00000030571	OG_124	Mmus
Mmus_ENSMUST00000041838	OG_124	Mmus
Dmel_FBtr0335509	OG_124	Dmel
Dmel_FBtr0308565	OG_124	Dmel
Dmel_FBtr0330601	OG_124	Dmel
Spis_XP_022777580_1	OG_124	Spis
Spis_XP_022777824_1	OG_124	Spis
Spis_XP_022793691_1	OG_124	Spis
Spis_XP_022794206_1	OG_124	Spis
Spis_XP_022794346_1	OG_124	Spis
Spis_XP_022796716_1	OG_124	Spis
Spis_XP_022800065_1	OG_124	Spis
Spis_XP_022803005_1	OG_124	Spis
Spis_XP_022803150_1	OG_124	Spis
Spis_XP_022805245_1	OG_124	Spis
Spis_XP_022808784_1	OG_124	Spis
Spis_XP_022808992_1	OG_124	Spis
Spis_XP_022809186_1	OG_124	Spis
Spis_XP_022809611_1	OG_124	Spis
Mlei_ML0151.g6.i1	OG_124	Mlei
Mlei_ML0350.g8.i1	OG_124	Mlei
Mlei_ML0894.g1.i1	OG_124	Mlei
Mlei_ML0943.g12.i1	OG_124	Mlei
Mlei_ML1932.g3.i1	OG_124	Mlei
Mlei_ML3372.g2.i1	OG_124	Mlei
Mlei_ML3382.g4.i1	OG_124	Mlei
Mlei_ML3759.g26.i1	OG_124	Mlei
TrH2_TrispH2_004423-RA	OG_125	TrH2
Tadh_TriadT55524	OG_128	Tadh
TrH2_TrispH2_004455-RA	OG_128	TrH2
Hhon_g10299.t1	OG_128	Hhon
HoiH23_PlH23_001725-RA	OG_128	HoiH23
Tadh_TriadT54943	OG_137	Tadh
Mmus_ENSMUST00000022057	OG_137	Mmus
Dmel_FBtr0331181	OG_137	Dmel
Hvul_g30231_1	OG_137	Hvul
Tadh_TriadT23778	OG_146	Tadh
TrH2_TrispH2_001515-RA	OG_146	TrH2
TrH2_TrispH2_001552-RA	OG_154	TrH2
Tadh_TriadT55153	OG_155	Tadh
TrH2_TrispH2_010723-RA	OG_155	TrH2
TrH2_TrispH2_010836-RA	OG_155	TrH2
Hhon_g01764.t1	OG_155	Hhon
Hhon_g02249.t1	OG_155	Hhon
Hhon_g07188.t1	OG_155	Hhon
HoiH23_PlH23_004846-RA	OG_155	HoiH23
HoiH23_PlH23_004391-RA	OG_155	HoiH23
HoiH23_PlH23_003284-RA	OG_155	HoiH23
Spis_XP_022781073_1	OG_159	Spis
Hvul_g6124_1	OG_161	Hvul
Dmel_FBtr0077418	OG_162	Dmel
Mlei_ML2189.g14.i1	OG_162	Mlei
Tadh_TriadT1344	OG_166	Tadh
TrH2_TrispH2_003924-RA	OG_166	TrH2
Hhon_g02391.t1	OG_166	Hhon
Mlei_ML0930.g35.i1	OG_166	Mlei
Mmus_ENSMUST00000062601	OG_170	Mmus
Tadh_TriadT29141	OG_171	Tadh
Tadh_hyp_clust7915.t1	OG_190	Tadh
Tadh_TriadT51368	OG_190	Tadh
TrH2_TrispH2_004559-RA	OG_190	TrH2
TrH2_TrispH2_005647-RA	OG_190	TrH2
TrH2_TrispH2_007838-RA	OG_190	TrH2
TrH2_TrispH2_008353-RA	OG_190	TrH2
TrH2_TrispH2_011343-RA	OG_190	TrH2
Hhon_g03227.t1	OG_190	Hhon
Hhon_g04219.t1	OG_190	Hhon
HoiH23_PlH23_010055-RA	OG_190	HoiH23
HoiH23_PlH23_002321-RA	OG_190	HoiH23
Mmus_ENSMUST00000229933	OG_190	Mmus
Dmel_FBtr0076805	OG_190	Dmel
Dmel_FBtr0302153	OG_190	Dmel
HoiH23_PlH23_010222-RA	OG_193	HoiH23
Mmus_ENSMUST00000030651	OG_193	Mmus
Mlei_ML0732.g41.i1	OG_193	Mlei
Nvec_v1g243714	OG_197	Nvec
Nvec_v1g189628	OG_198	Nvec
Hhon_g05400.t1	OG_199	Hhon
Tadh_TriadT64227	OG_200	Tadh
Tadh_TriadT55875	OG_200	Tadh
TrH2_TrispH2_006684-RA	OG_200	TrH2
TrH2_TrispH2_010944-RA	OG_200	TrH2
HoiH23_PlH23_006798-RA	OG_200	HoiH23
Tadh_TriadT31364	OG_216	Tadh
Tadh_TriadT58343	OG_216	Tadh
TrH2_TrispH2_002868-RA	OG_216	TrH2
TrH2_TrispH2_010415-RA	OG_216	TrH2
Hhon_g05110.t1	OG_216	Hhon
Hhon_g08857.t1	OG_216	Hhon
HoiH23_PlH23_007373-RA	OG_216	HoiH23
Mmus_ENSMUST00000043725	OG_216	Mmus
Mmus_ENSMUST00000103109	OG_216	Mmus
Mmus_ENSMUST00000114641	OG_216	Mmus
Dmel_FBtr0087209	OG_216	Dmel
Dmel_FBtr0306206	OG_216	Dmel
Hvul_g16574_1	OG_216	Hvul
Hvul_g6164_1	OG_216	Hvul
Spis_XP_022778030_1	OG_216	Spis
Mlei_ML1103.g2.i1	OG_216	Mlei
Mmus_ENSMUST00000045604	OG_219	Mmus
Mmus_ENSMUST00000200758	OG_228	Mmus
Tadh_TriadT56103	OG_229	Tadh
Tadh_TriadT60817	OG_230	Tadh
Mmus_ENSMUST00000238916	OG_236	Mmus
Tadh_TriadT26904	OG_238	Tadh
Hhon_g08263.t1	OG_238	Hhon
Mmus_ENSMUST00000163701	OG_250	Mmus
Spis_XP_022790498_1	OG_251	Spis
Mmus_ENSMUST00000028758	OG_258	Mmus
Hvul_g3974_1	OG_265	Hvul
Mmus_ENSMUST00000000594	OG_267	Mmus
Tadh_TriadT52557	OG_270	Tadh
Hvul_g32758_1	OG_277	Hvul
Dmel_FBtr0082125	OG_279	Dmel
TrH2_TrispH2_006347-RA	OG_283	TrH2
Hhon_g05711.t1	OG_283	Hhon
HoiH23_PlH23_002260-RA	OG_283	HoiH23
Tadh_TriadT57353	OG_290	Tadh
TrH2_TrispH2_005086-RA	OG_290	TrH2
HoiH23_PlH23_001376-RA	OG_290	HoiH23
Dmel_FBtr0071661	OG_291	Dmel
Hvul_g25774_1	OG_291	Hvul
Hhon_g05061.t1	OG_295	Hhon
Mmus_ENSMUST00000032477	OG_295	Mmus
Tadh_wf_g9184.t1	OG_297	Tadh
Dmel_FBtr0113074	OG_298	Dmel
Nvec_v1g85254	OG_298	Nvec
Tadh_TriadT30620	OG_302	Tadh
Tadh_TriadT24043	OG_302	Tadh
TrH2_TrispH2_000812-RA	OG_302	TrH2
TrH2_TrispH2_004318-RA	OG_302	TrH2
Hhon_g06357.t1	OG_302	Hhon
HoiH23_PlH23_011290-RA	OG_302	HoiH23
HoiH23_PlH23_005055-RA	OG_302	HoiH23
Dmel_FBtr0070379	OG_303	Dmel
Tadh_TriadT54794	OG_304	Tadh
Tadh_TriadT57424	OG_304	Tadh
Tadh_TriadT57425	OG_304	Tadh
Tadh_wf_g6287.t1	OG_304	Tadh
Tadh_TriadT57516	OG_304	Tadh
TrH2_TrispH2_004529-RA	OG_304	TrH2
TrH2_TrispH2_005445-RA	OG_304	TrH2
TrH2_TrispH2_010077-RA	OG_304	TrH2
Hhon_g01812.t1	OG_304	Hhon
Hhon_g01954.t1	OG_304	Hhon
Hhon_g01955.t1	OG_304	Hhon
Hhon_g09503.t1	OG_304	Hhon
HoiH23_PlH23_005798-RA	OG_304	HoiH23
HoiH23_PlH23_007959-RA	OG_304	HoiH23
HoiH23_PlH23_007960-RA	OG_304	HoiH23
HoiH23_PlH23_007967-RA	OG_304	HoiH23
HoiH23_PlH23_007896-RA	OG_304	HoiH23
HoiH23_PlH23_007897-RA	OG_304	HoiH23
TrH2_TrispH2_009138-RA	OG_307	TrH2
Hhon_g01922.t1	OG_307	Hhon
HoiH23_PlH23_001486-RA	OG_307	HoiH23
Mmus_ENSMUST00000032214	OG_309	Mmus
Hhon_g04071.t1	OG_321	Hhon
HoiH23_PlH23_000811-RA	OG_321	HoiH23
TrH2_TrispH2_004569-RA	OG_326	TrH2
HoiH23_PlH23_010287-RA	OG_327	HoiH23
HoiH23_PlH23_006839-RA	OG_330	HoiH23
Mmus_ENSMUST00000036854	OG_330	Mmus
Mmus_ENSMUST00000029256	OG_336	Mmus
Tadh_TriadT57652	OG_337	Tadh
TrH2_TrispH2_004636-RA	OG_337	TrH2
Hhon_g01821.t1	OG_337	Hhon
Nvec_v1g79192	OG_340	Nvec
Hvul_g2356_1	OG_340	Hvul
Spis_XP_022788369_1	OG_340	Spis
Tadh_TriadT55088	OG_341	Tadh
Tadh_wf_g11093.t1	OG_341	Tadh
Tadh_TriadT56157	OG_341	Tadh
TrH2_TrispH2_005469-RA	OG_341	TrH2
TrH2_TrispH2_008409-RA	OG_341	TrH2
TrH2_TrispH2_008421-RA	OG_341	TrH2
TrH2_TrispH2_008576-RA	OG_341	TrH2
TrH2_TrispH2_010761-RA	OG_341	TrH2
TrH2_TrispH2_011090-RA	OG_341	TrH2
Hhon_g02864.t1	OG_341	Hhon
Hhon_g08396.t1	OG_341	Hhon
Hhon_g08892.t1	OG_341	Hhon
Hhon_g09589.t1	OG_341	Hhon
HoiH23_PlH23_005655-RA	OG_341	HoiH23
HoiH23_PlH23_005657-RA	OG_341	HoiH23
HoiH23_PlH23_004971-RA	OG_341	HoiH23
HoiH23_PlH23_007113-RA	OG_341	HoiH23
Mmus_ENSMUST00000187861	OG_341	Mmus
Mmus_ENSMUST00000020939	OG_341	Mmus
Mmus_ENSMUST00000000109	OG_341	Mmus
Mmus_ENSMUST00000066905	OG_341	Mmus
Mmus_ENSMUST00000102871	OG_341	Mmus
Dmel_FBtr0305914	OG_341	Dmel
Hvul_g29099_1	OG_341	Hvul
Spis_XP_022802317_1	OG_341	Spis
Mlei_ML0245.g12.i1	OG_341	Mlei
Mlei_ML0871.g15.i1	OG_341	Mlei
Mmus_ENSMUST00000019931	OG_342	Mmus
Nvec_v1g86017	OG_347	Nvec
Mmus_ENSMUST00000108661	OG_350	Mmus
Mmus_ENSMUST00000030775	OG_350	Mmus
Spolac_c103850_g1	OG_356	Spolac
Tadh_TriadT27686	OG_360	Tadh
Dmel_FBtr0343995	OG_362	Dmel
Mmus_ENSMUST00000034244	OG_364	Mmus
Tadh_TriadT27651	OG_368	Tadh
Mlei_ML4539.g2.i1	OG_368	Mlei
Tadh_TriadT57859	OG_370	Tadh
TrH2_TrispH2_001404-RA	OG_370	TrH2
HoiH23_PlH23_001541-RA	OG_370	HoiH23
Tadh_TriadT57929	OG_379	Tadh
TrH2_TrispH2_001471-RA	OG_379	TrH2
Hhon_g00281.t1	OG_379	Hhon
Mlei_ML0649.g40.i1	OG_380	Mlei
Hhon_g00195.t1	OG_389	Hhon
TrH2_TrispH2_000643-RA	OG_405	TrH2
Hhon_g00048.t1	OG_405	Hhon
HoiH23_PlH23_005220-RA	OG_405	HoiH23
HoiH23_PlH23_001098-RA	OG_409	HoiH23
Mmus_ENSMUST00000066285	OG_409	Mmus
TrH2_TrispH2_000666-RA	OG_411	TrH2
Hhon_g00025.t1	OG_411	Hhon
HoiH23_PlH23_008516-RA	OG_411	HoiH23
Mmus_ENSMUST00000071093	OG_411	Mmus
Dmel_FBtr0305016	OG_411	Dmel
Nvec_v1g99757	OG_411	Nvec
Hvul_g19508_1	OG_411	Hvul
Spis_XP_022806315_1	OG_411	Spis
Mmus_ENSMUST00000030125	OG_412	Mmus
Hhon_g03637.t1	OG_415	Hhon
HoiH23_PlH23_005155-RA	OG_415	HoiH23
Nvec_v1g217424	OG_415	Nvec
Hvul_g11925_1	OG_415	Hvul
Dmel_FBtr0304001	OG_418	Dmel
Hhon_g07432.t1	OG_424	Hhon
HoiH23_PlH23_005569-RA	OG_424	HoiH23
Tadh_TriadT58279	OG_429	Tadh
TrH2_TrispH2_004519-RA	OG_429	TrH2
Spis_XP_022792747_1	OG_432	Spis
Tadh_TriadT60721	OG_437	Tadh
TrH2_TrispH2_010797-RA	OG_437	TrH2
Mmus_ENSMUST00000026009	OG_437	Mmus
Dmel_FBtr0084151	OG_437	Dmel
TrH2_TrispH2_004993-RA	OG_440	TrH2
Hhon_g06667.t1	OG_445	Hhon
Dmel_FBtr0329957	OG_449	Dmel
Hvul_g29456_1	OG_466	Hvul
TrH2_TrispH2_006570-RA	OG_472	TrH2
Mmus_ENSMUST00000043138	OG_472	Mmus
Dmel_FBtr0072364	OG_476	Dmel
Mmus_ENSMUST00000033133	OG_484	Mmus
Mmus_ENSMUST00000029845	OG_487	Mmus
Hvul_g32823_1	OG_489	Hvul
TrH2_TrispH2_010288-RA	OG_495	TrH2
HoiH23_PlH23_007522-RA	OG_495	HoiH23
Mmus_ENSMUST00000022694	OG_495	Mmus
Mlei_ML3342.g11.i1	OG_495	Mlei
Dmel_FBtr0070843	OG_499	Dmel
Tadh_TriadT50617	OG_500	Tadh
Mmus_ENSMUST00000057934	OG_507	Mmus
Tadh_TriadT28582	OG_512	Tadh
TrH2_TrispH2_008088-RA	OG_512	TrH2
Hhon_g06857.t1	OG_512	Hhon
Tadh_TriadT58829	OG_513	Tadh
Tadh_TriadT28500	OG_513	Tadh
TrH2_TrispH2_008102-RA	OG_513	TrH2
Hhon_g06843.t1	OG_513	Hhon
HoiH23_PlH23_008365-RA	OG_513	HoiH23
Dmel_FBtr0082687	OG_513	Dmel
Dmel_FBtr0082689	OG_513	Dmel
Hvul_g79_1	OG_516	Hvul
Mmus_ENSMUST00000010348	OG_521	Mmus
Hhon_g11282.t1	OG_524	Hhon
Dmel_FBtr0089367	OG_527	Dmel
Dmel_FBtr0306693	OG_531	Dmel
Nvec_v1g234558	OG_532	Nvec
Mmus_ENSMUST00000001402	OG_534	Mmus
Mmus_ENSMUST00000021614	OG_538	Mmus
Mmus_ENSMUST00000101509	OG_539	Mmus
Hvul_g14055_1	OG_542	Hvul
Mlei_ML0943.g26.i1	OG_542	Mlei
HoiH23_PlH23_006964-RA	OG_544	HoiH23
Mmus_ENSMUST00000111668	OG_544	Mmus
Dmel_FBtr0333914	OG_544	Dmel
Hvul_g9899_1	OG_544	Hvul
Mlei_ML1893.g22.i1	OG_544	Mlei
Mmus_ENSMUST00000055438	OG_545	Mmus
Tadh_TriadT64156	OG_550	Tadh
TrH2_TrispH2_005911-RA	OG_550	TrH2
Hhon_g02695.t1	OG_550	Hhon
HoiH23_PlH23_009840-RA	OG_550	HoiH23
Mlei_ML0821.g20.i1	OG_556	Mlei
Hhon_g07949.t1	OG_557	Hhon
Dmel_FBtr0083671	OG_557	Dmel
HoiH23_PlH23_000647-RA	OG_566	HoiH23
Dmel_FBtr0113427	OG_566	Dmel
Dmel_FBtr0084881	OG_566	Dmel
Mlei_ML1051.g5.i1	OG_575	Mlei
Mmus_ENSMUST00000034834	OG_577	Mmus
Mmus_ENSMUST00000021522	OG_589	Mmus
HoiH23_PlH23_006813-RA	OG_591	HoiH23
Tadh_TriadT29059	OG_607	Tadh
Hhon_g00767.t1	OG_607	Hhon
HoiH23_PlH23_008634-RA	OG_607	HoiH23
Mmus_ENSMUST00000106882	OG_610	Mmus
HoiH23_PlH23_007256-RA	OG_612	HoiH23
Mmus_ENSMUST00000051937	OG_612	Mmus
Hvul_g18200_1	OG_612	Hvul
Mmus_ENSMUST00000239015	OG_614	Mmus
Mmus_ENSMUST00000132734	OG_617	Mmus
Hvul_g29389_1	OG_619	Hvul
Hvul_g9693_1	OG_619	Hvul
Tadh_wf_g8472.t1	OG_622	Tadh
TrH2_TrispH2_010103-RA	OG_622	TrH2
Hhon_g10392.t1	OG_622	Hhon
Hhon_g10385.t1	OG_623	Hhon
HoiH23_PlH23_006310-RA	OG_624	HoiH23
Dmel_FBtr0273247	OG_632	Dmel
Spolac_c101081_g1	OG_641	Spolac
Mlei_ML0224.g6.i1	OG_642	Mlei
Mlei_ML3055.g20.i1	OG_643	Mlei
Tadh_TriadT56655	OG_644	Tadh
TrH2_TrispH2_007978-RA	OG_644	TrH2
HoiH23_PlH23_006985-RA	OG_644	HoiH23
TrH2_TrispH2_000285-RA	OG_646	TrH2
Tadh_TriadT11844	OG_648	Tadh
Hhon_g02812.t1	OG_648	Hhon
Hhon_g02813.t1	OG_648	Hhon
Hhon_g02815.t1	OG_648	Hhon
Dmel_FBtr0087112	OG_648	Dmel
Mmus_ENSMUST00000093165	OG_649	Mmus
Dmel_FBtr0074771	OG_653	Dmel
Tadh_TriadT59753	OG_657	Tadh
TrH2_TrispH2_000333-RA	OG_657	TrH2
Hhon_g06969.t1	OG_657	Hhon
HoiH23_PlH23_000389-RA	OG_657	HoiH23
Dmel_FBtr0331162	OG_657	Dmel
Mlei_ML4584.g4.i1	OG_657	Mlei
Mmus_ENSMUST00000008088	OG_660	Mmus
Mmus_ENSMUST00000108589	OG_662	Mmus
Mmus_ENSMUST00000231777	OG_662	Mmus
Dmel_FBtr0301288	OG_662	Dmel
TrH2_TrispH2_000421-RA	OG_672	TrH2
Hhon_g05763.t1	OG_672	Hhon
HoiH23_PlH23_009713-RA	OG_672	HoiH23
Dmel_FBtr0301066	OG_674	Dmel
Tadh_TriadT59966	OG_684	Tadh
Tadh_TriadT30365	OG_684	Tadh
TrH2_TrispH2_007054-RA	OG_684	TrH2
TrH2_TrispH2_008402-RA	OG_684	TrH2
Hhon_g01947.t1	OG_684	Hhon
Hhon_g10422.t1	OG_684	Hhon
HoiH23_PlH23_006926-RA	OG_684	HoiH23
Dmel_FBtr0331692	OG_684	Dmel
Mlei_ML0061.g14.i1	OG_684	Mlei
Mlei_ML0151.g5.i1	OG_684	Mlei
Mlei_ML0517.g7.i1	OG_684	Mlei
Mlei_ML0671.g4.i1	OG_684	Mlei
Tadh_TriadT52578	OG_693	Tadh
Tadh_TriadT30267	OG_693	Tadh
Tadh_TriadT30374	OG_693	Tadh
Tadh_TriadT54957	OG_693	Tadh
Tadh_TriadT61926	OG_693	Tadh
Tadh_TriadT55428	OG_693	Tadh
Tadh_TriadT55429	OG_693	Tadh
Tadh_TriadT56610	OG_693	Tadh
Tadh_TriadT56611	OG_693	Tadh
Tadh_TriadT57193	OG_693	Tadh
Tadh_TriadT64091	OG_693	Tadh
Tadh_TriadT58938	OG_693	Tadh
Tadh_TriadT59025	OG_693	Tadh
Tadh_TriadT28568	OG_693	Tadh
Tadh_TriadT28937	OG_693	Tadh
TrH2_TrispH2_003379-RA	OG_693	TrH2
TrH2_TrispH2_003275-RA	OG_693	TrH2
TrH2_TrispH2_004737-RA	OG_693	TrH2
TrH2_TrispH2_005881-RA	OG_693	TrH2
TrH2_TrispH2_005882-RA	OG_693	TrH2
TrH2_TrispH2_005747-RA	OG_693	TrH2
TrH2_TrispH2_006904-RA	OG_693	TrH2
TrH2_TrispH2_006905-RA	OG_693	TrH2
TrH2_TrispH2_006906-RA	OG_693	TrH2
TrH2_TrispH2_008289-RA	OG_693	TrH2
TrH2_TrispH2_010138-RA	OG_693	TrH2
TrH2_TrispH2_011116-RA	OG_693	TrH2
TrH2_TrispH2_011580-RA	OG_693	TrH2
TrH2_TrispH2_012100-RA	OG_693	TrH2
Hhon_g02704.t1	OG_693	Hhon
Hhon_g02706.t1	OG_693	Hhon
Hhon_g04629.t1	OG_693	Hhon
Hhon_g05295.t1	OG_693	Hhon
Hhon_g05296.t1	OG_693	Hhon
Hhon_g07295.t1	OG_693	Hhon
Hhon_g07557.t1	OG_693	Hhon
Hhon_g07690.t1	OG_693	Hhon
Hhon_g07966.t1	OG_693	Hhon
Hhon_g07967.t1	OG_693	Hhon
Hhon_g08692.t1	OG_693	Hhon
Hhon_g08729.t1	OG_693	Hhon
Hhon_g09351.t1	OG_693	Hhon
Hhon_g10740.t1	OG_693	Hhon
Hhon_g11451.t1	OG_693	Hhon
HoiH23_PlH23_000719-RA	OG_693	HoiH23
HoiH23_PlH23_005343-RA	OG_693	HoiH23
HoiH23_PlH23_001275-RA	OG_693	HoiH23
HoiH23_PlH23_010039-RA	OG_693	HoiH23
HoiH23_PlH23_009277-RA	OG_693	HoiH23
HoiH23_PlH23_008392-RA	OG_693	HoiH23
HoiH23_PlH23_008285-RA	OG_693	HoiH23
HoiH23_PlH23_003984-RA	OG_693	HoiH23
HoiH23_PlH23_010902-RA	OG_693	HoiH23
HoiH23_PlH23_011144-RA	OG_693	HoiH23
HoiH23_PlH23_011145-RA	OG_693	HoiH23
HoiH23_PlH23_003839-RA	OG_693	HoiH23
HoiH23_PlH23_003840-RA	OG_693	HoiH23
HoiH23_PlH23_011312-RA	OG_693	HoiH23
HoiH23_PlH23_011313-RA	OG_693	HoiH23
Mmus_ENSMUST00000025338	OG_693	Mmus
Mmus_ENSMUST00000107749	OG_693	Mmus
Dmel_FBtr0304731	OG_693	Dmel
Dmel_FBtr0339154	OG_693	Dmel
Dmel_FBtr0078001	OG_693	Dmel
Nvec_v1g206093	OG_693	Nvec
Nvec_v1g210496	OG_693	Nvec
Spis_XP_022787445_1	OG_693	Spis
Spis_XP_022804409_1	OG_693	Spis
Tadh_TriadT60036	OG_695	Tadh
Hhon_g09668.t1	OG_695	Hhon
Tadh_TriadT63571	OG_698	Tadh
Dmel_FBtr0305011	OG_699	Dmel
Mmus_ENSMUST00000054990	OG_700	Mmus
Dmel_FBtr0474151	OG_700	Dmel
Dmel_FBtr0300080	OG_700	Dmel
Nvec_v1g238127	OG_700	Nvec
Hvul_g1692_1	OG_700	Hvul
Mmus_ENSMUST00000002588	OG_707	Mmus
Dmel_FBtr0330123	OG_707	Dmel
Hvul_g27078_1	OG_707	Hvul
Dmel_FBtr0112657	OG_710	Dmel
Hvul_g18872_1	OG_715	Hvul
Hhon_g04962.t1	OG_716	Hhon
Mlei_ML0181.g1.i1	OG_716	Mlei
Tadh_TriadT64255	OG_717	Tadh
TrH2_TrispH2_000779-RA	OG_717	TrH2
Hhon_g04953.t1	OG_717	Hhon
HoiH23_PlH23_003849-RA	OG_717	HoiH23
Mlei_ML0479.g26.i1	OG_717	Mlei
Dmel_FBtr0310205	OG_729	Dmel
Mmus_ENSMUST00000023225	OG_738	Mmus
Mmus_ENSMUST00000023750	OG_738	Mmus
Tadh_TriadT63821	OG_741	Tadh
TrH2_TrispH2_001719-RA	OG_741	TrH2
Hhon_g06711.t1	OG_741	Hhon
HoiH23_PlH23_008536-RA	OG_741	HoiH23
Mmus_ENSMUST00000239207	OG_744	Mmus
TrH2_TrispH2_010892-RA	OG_749	TrH2
Mmus_ENSMUST00000107659	OG_749	Mmus
HoiH23_PlH23_004521-RA	OG_751	HoiH23
TrH2_TrispH2_009673-RA	OG_754	TrH2
Hhon_g10096.t1	OG_754	Hhon
Hvul_g31268_1	OG_757	Hvul
TrH2_TrispH2_005654-RA	OG_762	TrH2
Dmel_FBtr0086590	OG_766	Dmel
Mmus_ENSMUST00000054055	OG_767	Mmus
Nvec_v1g91324	OG_769	Nvec
Mmus_ENSMUST00000081165	OG_781	Mmus
Nvec_v1g136532	OG_781	Nvec
Spis_XP_022804335_1	OG_781	Spis
TrH2_TrispH2_009021-RA	OG_785	TrH2
Spolac_c101482_g1	OG_791	Spolac
Mmus_ENSMUST00000010520	OG_793	Mmus
Dmel_FBtr0080884	OG_794	Dmel
Tadh_TriadT59533	OG_802	Tadh
Tadh_TriadT59539	OG_802	Tadh
Tadh_TriadT60138	OG_802	Tadh
Tadh_TriadT31670	OG_802	Tadh
Tadh_TriadT53973	OG_802	Tadh
Tadh_TriadT54003	OG_802	Tadh
