gene	orthogroup	species
Spolac_c103196_g1	OG_13	Spolac
Tadh_TriadT58971	OG_15	Tadh
Tadh_TriadT52298	OG_15	Tadh
Tadh_TriadT56535	OG_15	Tadh
TrH2_TrispH2_005778-RA	OG_15	TrH2
TrH2_TrispH2_008658-RA	OG_15	TrH2
TrH2_TrispH2_005268-RA	OG_15	TrH2
TrH2_TrispH2_001894-RA	OG_15	TrH2
Hhon_g07935.t1	OG_15	Hhon
Hhon_g04073.t1	OG_15	Hhon
Hhon_g08063.t1	OG_15	Hhon
Hhon_g11465.t1	OG_15	Hhon
Hhon_g02070.t1	OG_15	Hhon
Hhon_g07012.t1	OG_15	Hhon
Hhon_g11540.t1	OG_15	Hhon
HoiH23_PlH23_003571-RA	OG_15	HoiH23
HoiH23_PlH23_000809-RA	OG_15	HoiH23
HoiH23_PlH23_004660-RA	OG_15	HoiH23
Mmus_ENSMUST00000101551	OG_15	Mmus
Mmus_ENSMUST00000062182	OG_15	Mmus
Mmus_ENSMUST00000085319	OG_15	Mmus
Mmus_ENSMUST00000080135	OG_15	Mmus
Mmus_ENSMUST00000049577	OG_15	Mmus
Mmus_ENSMUST00000063317	OG_15	Mmus
Mmus_ENSMUST00000053086	OG_15	Mmus
Mmus_ENSMUST00000066814	OG_15	Mmus
Mmus_ENSMUST00000051614	OG_15	Mmus
Mmus_ENSMUST00000056023	OG_15	Mmus
Mmus_ENSMUST00000056331	OG_15	Mmus
Mmus_ENSMUST00000053441	OG_15	Mmus
Mmus_ENSMUST00000096663	OG_15	Mmus
Mmus_ENSMUST00000008582	OG_15	Mmus
Dmel_FBtr0085460	OG_15	Dmel
Dmel_FBtr0085551	OG_15	Dmel
Dmel_FBtr0080509	OG_15	Dmel
Nvec_NVE25873	OG_15	Nvec
Nvec_NVE25874	OG_15	Nvec
Nvec_v1g20904	OG_15	Nvec
Nvec_v1g91360	OG_15	Nvec
Nvec_v1g175837	OG_15	Nvec
Nvec_v1g6627	OG_15	Nvec
Hvul_g17289_1	OG_15	Hvul
Hvul_g8435_1	OG_15	Hvul
Spis_XP_022788159_1	OG_15	Spis
Mlei_ML3061.g23.i1	OG_15	Mlei
Mlei_ML1740.g9.i1	OG_15	Mlei
Mlei_ML0295.g19.i1	OG_15	Mlei
Mlei_ML1740.g8.i1	OG_15	Mlei
Mlei_ML0101.g17.i1	OG_15	Mlei
Mlei_ML0305.g4.i1	OG_15	Mlei
Mlei_ML0211.g21.i1	OG_15	Mlei
Mlei_ML1740.g11.i1	OG_15	Mlei
Spolac_c104168_g1	OG_15	Spolac
Tadh_TriadT25329	OG_16	Tadh
Tadh_wf_g10658.t1	OG_16	Tadh
Tadh_TriadT62566	OG_16	Tadh
Tadh_TriadT62868	OG_16	Tadh
Tadh_TriadT56794	OG_16	Tadh
Tadh_TriadT2795	OG_16	Tadh
Tadh_TriadT51767	OG_16	Tadh
Tadh_TriadT52919	OG_16	Tadh
Tadh_TriadT25895	OG_16	Tadh
Tadh_TriadT56806	OG_16	Tadh
Tadh_wf_g10657.t1	OG_16	Tadh
Tadh_wf_g5671.t1	OG_16	Tadh
Tadh_wf_g2291.t1	OG_16	Tadh
Tadh_TriadT60887	OG_16	Tadh
Tadh_wf_g1341.t1	OG_16	Tadh
Tadh_wf_g2295.t1	OG_16	Tadh
Tadh_TriadT53529	OG_16	Tadh
Tadh_TriadT6735	OG_16	Tadh
Tadh_wf_g1760.t1	OG_16	Tadh
Tadh_wf_g2289.t1	OG_16	Tadh
Tadh_wf_g1664.t1	OG_16	Tadh
Tadh_wf_g1668.t1	OG_16	Tadh
Tadh_wf_g2298.t1	OG_16	Tadh
Tadh_wf_g2465.t1	OG_16	Tadh
Tadh_wf_g1841.t1	OG_16	Tadh
Tadh_TriadT25305	OG_16	Tadh
Tadh_wf_g1667.t1	OG_16	Tadh
Tadh_wf_g1758.t1	OG_16	Tadh
Tadh_TriadT53538	OG_16	Tadh
Tadh_wf_g2466.t1	OG_16	Tadh
Tadh_wf_g9612.t1	OG_16	Tadh
Tadh_wf_g2299.t1	OG_16	Tadh
Tadh_TriadT24774	OG_16	Tadh
Tadh_wf_g9611.t1	OG_16	Tadh
Tadh_TriadT53924	OG_16	Tadh
Tadh_wf_g2467.t1	OG_16	Tadh
Tadh_wf_g2294.t1	OG_16	Tadh
Tadh_wf_g2693.t1	OG_16	Tadh
Tadh_TriadT19385	OG_16	Tadh
Tadh_wf_g5678.t1	OG_16	Tadh
Tadh_TriadT53526	OG_16	Tadh
Tadh_TriadT56791	OG_16	Tadh
Tadh_wf_g5674.t1	OG_16	Tadh
Tadh_TriadT53926	OG_16	Tadh
Tadh_wf_g2690.t1	OG_16	Tadh
Tadh_TriadT20645	OG_16	Tadh
Tadh_TriadT21522	OG_16	Tadh
Tadh_wf_g5673.t1	OG_16	Tadh
Tadh_wf_g1761.t1	OG_16	Tadh
Tadh_wf_g2686.t1	OG_16	Tadh
Tadh_TriadT26100	OG_16	Tadh
Tadh_hyp_clust4917.t1	OG_16	Tadh
Tadh_wf_g2688.t1	OG_16	Tadh
Tadh_hyp_clust4664.t1	OG_16	Tadh
Tadh_TriadT52356	OG_16	Tadh
Tadh_hyp_clust4917b.t1	OG_16	Tadh
Tadh_hyp_clust4566.t1	OG_16	Tadh
Tadh_TriadT25626	OG_16	Tadh
Tadh_TriadT56800	OG_16	Tadh
Tadh_hyp_clust7696.t1	OG_16	Tadh
Tadh_TriadT52913	OG_16	Tadh
Tadh_TriadT53001	OG_16	Tadh
TrH2_TrispH2_006114-RA	OG_16	TrH2
TrH2_TrispH2_005676-RA	OG_16	TrH2
TrH2_TrispH2_010651-RA	OG_16	TrH2
TrH2_TrispH2_010137-RA	OG_16	TrH2
TrH2_TrispH2_011852-RA	OG_16	TrH2
TrH2_TrispH2_005648-RA	OG_16	TrH2
TrH2_TrispH2_008213-RA	OG_16	TrH2
TrH2_TrispH2_008674-RA	OG_16	TrH2
TrH2_TrispH2_010650-RA	OG_16	TrH2
TrH2_TrispH2_008215-RA	OG_16	TrH2
TrH2_TrispH2_006106-RA	OG_16	TrH2
TrH2_TrispH2_003411-RA	OG_16	TrH2
TrH2_TrispH2_003421-RA	OG_16	TrH2
TrH2_TrispH2_008209-RA	OG_16	TrH2
TrH2_TrispH2_009281-RA	OG_16	TrH2
TrH2_TrispH2_011891-RA	OG_16	TrH2
TrH2_TrispH2_006013-RA	OG_16	TrH2
TrH2_TrispH2_008218-RA	OG_16	TrH2
TrH2_TrispH2_005678-RA	OG_16	TrH2
TrH2_TrispH2_003422-RA	OG_16	TrH2
TrH2_TrispH2_005679-RA	OG_16	TrH2
TrH2_TrispH2_008222-RA	OG_16	TrH2
TrH2_TrispH2_004225-RA	OG_16	TrH2
TrH2_TrispH2_003499-RA	OG_16	TrH2
TrH2_TrispH2_005677-RA	OG_16	TrH2
TrH2_TrispH2_006014-RA	OG_16	TrH2
TrH2_TrispH2_008211-RA	OG_16	TrH2
TrH2_TrispH2_008214-RA	OG_16	TrH2
TrH2_TrispH2_008221-RA	OG_16	TrH2
TrH2_TrispH2_008223-RA	OG_16	TrH2
TrH2_TrispH2_010802-RA	OG_16	TrH2
TrH2_TrispH2_006110-RA	OG_16	TrH2
TrH2_TrispH2_008671-RA	OG_16	TrH2
TrH2_TrispH2_006117-RA	OG_16	TrH2
TrH2_TrispH2_004224-RA	OG_16	TrH2
TrH2_TrispH2_006107-RA	OG_16	TrH2
TrH2_TrispH2_004226-RA	OG_16	TrH2
TrH2_TrispH2_008673-RA	OG_16	TrH2
TrH2_TrispH2_005358-RA	OG_16	TrH2
TrH2_TrispH2_005810-RA	OG_16	TrH2
TrH2_TrispH2_004223-RA	OG_16	TrH2
TrH2_TrispH2_006015-RA	OG_16	TrH2
TrH2_TrispH2_008212-RA	OG_16	TrH2
TrH2_TrispH2_006115-RA	OG_16	TrH2
TrH2_TrispH2_011864-RA	OG_16	TrH2
TrH2_TrispH2_006118-RA	OG_16	TrH2
TrH2_TrispH2_008216-RA	OG_16	TrH2
TrH2_TrispH2_006361-RA	OG_16	TrH2
TrH2_TrispH2_006108-RA	OG_16	TrH2
TrH2_TrispH2_008853-RA	OG_16	TrH2
TrH2_TrispH2_003423-RA	OG_16	TrH2
TrH2_TrispH2_006116-RA	OG_16	TrH2
TrH2_TrispH2_006109-RA	OG_16	TrH2
TrH2_TrispH2_002645-RA	OG_16	TrH2
TrH2_TrispH2_008220-RA	OG_16	TrH2
TrH2_TrispH2_005674-RA	OG_16	TrH2
TrH2_TrispH2_006112-RA	OG_16	TrH2
Hhon_g01623.t1	OG_16	Hhon
Hhon_g01626.t1	OG_16	Hhon
Hhon_g03849.t1	OG_16	Hhon
Hhon_g00367.t1	OG_16	Hhon
Hhon_g03476.t1	OG_16	Hhon
Hhon_g09824.t1	OG_16	Hhon
Hhon_g03848.t1	OG_16	Hhon
Hhon_g05518.t1	OG_16	Hhon
Hhon_g05517.t1	OG_16	Hhon
Hhon_g03477.t1	OG_16	Hhon
Hhon_g00365.t1	OG_16	Hhon
Hhon_g01625.t1	OG_16	Hhon
Hhon_g10169.t1	OG_16	Hhon
Hhon_g03479.t1	OG_16	Hhon
Hhon_g03761.t1	OG_16	Hhon
Hhon_g09135.t1	OG_16	Hhon
Hhon_g07771.t1	OG_16	Hhon
Hhon_g01432.t1	OG_16	Hhon
Hhon_g01430.t1	OG_16	Hhon
Hhon_g01622.t1	OG_16	Hhon
Hhon_g05514.t1	OG_16	Hhon
Hhon_g00364.t1	OG_16	Hhon
Hhon_g01624.t1	OG_16	Hhon
Hhon_g01631.t1	OG_16	Hhon
Hhon_g01627.t1	OG_16	Hhon
Hhon_g03478.t1	OG_16	Hhon
Hhon_g00369.t1	OG_16	Hhon
Hhon_g03847.t1	OG_16	Hhon
Hhon_g01630.t1	OG_16	Hhon
Hhon_g00953.t1	OG_16	Hhon
Hhon_g03846.t1	OG_16	Hhon
Hhon_g05520.t1	OG_16	Hhon
Hhon_g05519.t1	OG_16	Hhon
Hhon_g01431.t1	OG_16	Hhon
Hhon_g03845.t1	OG_16	Hhon
Hhon_g05511.t1	OG_16	Hhon
Hhon_g00366.t1	OG_16	Hhon
Hhon_g06059.t1	OG_16	Hhon
Hhon_g05521.t1	OG_16	Hhon
Hhon_g05516.t1	OG_16	Hhon
Hhon_g01628.t1	OG_16	Hhon
Hhon_g10824.t1	OG_16	Hhon
Hhon_g05515.t1	OG_16	Hhon
Hhon_g05512.t1	OG_16	Hhon
Hhon_g00363.t1	OG_16	Hhon
Hhon_g01551.t1	OG_16	Hhon
Hhon_g11118.t1	OG_16	Hhon
HoiH23_PlH23_000161-RA	OG_16	HoiH23
HoiH23_PlH23_000154-RA	OG_16	HoiH23
HoiH23_PlH23_002867-RA	OG_16	HoiH23
HoiH23_PlH23_009192-RA	OG_16	HoiH23
HoiH23_PlH23_000982-RA	OG_16	HoiH23
HoiH23_PlH23_004481-RA	OG_16	HoiH23
HoiH23_PlH23_000164-RA	OG_16	HoiH23
HoiH23_PlH23_007361-RA	OG_16	HoiH23
HoiH23_PlH23_002868-RA	OG_16	HoiH23
HoiH23_PlH23_007362-RA	OG_16	HoiH23
HoiH23_PlH23_002918-RA	OG_16	HoiH23
HoiH23_PlH23_009055-RA	OG_16	HoiH23
HoiH23_PlH23_002869-RA	OG_16	HoiH23
HoiH23_PlH23_000981-RA	OG_16	HoiH23
HoiH23_PlH23_002870-RA	OG_16	HoiH23
HoiH23_PlH23_000163-RA	OG_16	HoiH23
HoiH23_PlH23_002864-RA	OG_16	HoiH23
HoiH23_PlH23_007357-RA	OG_16	HoiH23
HoiH23_PlH23_000157-RA	OG_16	HoiH23
HoiH23_PlH23_007359-RA	OG_16	HoiH23
HoiH23_PlH23_007358-RA	OG_16	HoiH23
HoiH23_PlH23_003721-RA	OG_16	HoiH23
HoiH23_PlH23_002865-RA	OG_16	HoiH23
HoiH23_PlH23_009094-RA	OG_16	HoiH23
HoiH23_PlH23_000159-RA	OG_16	HoiH23
HoiH23_PlH23_003720-RA	OG_16	HoiH23
HoiH23_PlH23_004509-RA	OG_16	HoiH23
HoiH23_PlH23_007360-RA	OG_16	HoiH23
HoiH23_PlH23_007849-RA	OG_16	HoiH23
HoiH23_PlH23_007363-RA	OG_16	HoiH23
HoiH23_PlH23_009690-RA	OG_16	HoiH23
HoiH23_PlH23_000162-RA	OG_16	HoiH23
HoiH23_PlH23_000166-RA	OG_16	HoiH23
HoiH23_PlH23_000979-RA	OG_16	HoiH23
HoiH23_PlH23_003719-RA	OG_16	HoiH23
HoiH23_PlH23_000158-RA	OG_16	HoiH23
HoiH23_PlH23_002917-RA	OG_16	HoiH23
HoiH23_PlH23_009692-RA	OG_16	HoiH23
HoiH23_PlH23_004158-RA	OG_16	HoiH23
HoiH23_PlH23_004033-RA	OG_16	HoiH23
HoiH23_PlH23_002916-RA	OG_16	HoiH23
HoiH23_PlH23_003718-RA	OG_16	HoiH23
HoiH23_PlH23_000165-RA	OG_16	HoiH23
HoiH23_PlH23_003722-RA	OG_16	HoiH23
HoiH23_PlH23_010504-RA	OG_16	HoiH23
HoiH23_PlH23_009691-RA	OG_16	HoiH23
HoiH23_PlH23_003245-RA	OG_16	HoiH23
HoiH23_PlH23_004511-RA	OG_16	HoiH23
HoiH23_PlH23_009689-RA	OG_16	HoiH23
HoiH23_PlH23_009097-RA	OG_16	HoiH23
HoiH23_PlH23_004508-RA	OG_16	HoiH23
HoiH23_PlH23_004510-RA	OG_16	HoiH23
HoiH23_PlH23_007356-RA	OG_16	HoiH23
HoiH23_PlH23_009098-RA	OG_16	HoiH23
HoiH23_PlH23_009096-RA	OG_16	HoiH23
HoiH23_PlH23_010503-RA	OG_16	HoiH23
HoiH23_PlH23_000156-RA	OG_16	HoiH23
HoiH23_PlH23_009095-RA	OG_16	HoiH23
HoiH23_PlH23_001658-RA	OG_16	HoiH23
HoiH23_PlH23_002542-RA	OG_16	HoiH23
HoiH23_PlH23_003716-RA	OG_16	HoiH23
HoiH23_PlH23_000160-RA	OG_16	HoiH23
HoiH23_PlH23_000153-RA	OG_16	HoiH23
HoiH23_PlH23_004512-RA	OG_16	HoiH23
HoiH23_PlH23_000070-RA	OG_16	HoiH23
HoiH23_PlH23_000155-RA	OG_16	HoiH23
HoiH23_PlH23_002866-RA	OG_16	HoiH23
Mmus_ENSMUST00000209669	OG_16	Mmus
Mmus_ENSMUST00000207359	OG_16	Mmus
Mmus_ENSMUST00000041447	OG_16	Mmus
Mmus_ENSMUST00000028113	OG_16	Mmus
Mmus_ENSMUST00000022275	OG_16	Mmus
Mmus_ENSMUST00000147147	OG_16	Mmus
Mmus_ENSMUST00000053499	OG_16	Mmus
Mmus_ENSMUST00000081321	OG_16	Mmus
Mmus_ENSMUST00000030029	OG_16	Mmus
Mmus_ENSMUST00000033929	OG_16	Mmus
Mmus_ENSMUST00000014642	OG_16	Mmus
Mmus_ENSMUST00000025729	OG_16	Mmus
Mmus_ENSMUST00000090337	OG_16	Mmus
Mmus_ENSMUST00000028577	OG_16	Mmus
Mmus_ENSMUST00000021413	OG_16	Mmus
Mmus_ENSMUST00000015612	OG_16	Mmus
Mmus_ENSMUST00000087723	OG_16	Mmus
Mmus_ENSMUST00000042288	OG_16	Mmus
Mmus_ENSMUST00000086209	OG_16	Mmus
Mmus_ENSMUST00000115396	OG_16	Mmus
Mmus_ENSMUST00000041726	OG_16	Mmus
Mmus_ENSMUST00000056108	OG_16	Mmus
Mmus_ENSMUST00000013931	OG_16	Mmus
Mmus_ENSMUST00000079812	OG_16	Mmus
Mmus_ENSMUST00000155998	OG_16	Mmus
Mmus_ENSMUST00000025686	OG_16	Mmus
Mmus_ENSMUST00000203878	OG_16	Mmus
Mmus_ENSMUST00000033918	OG_16	Mmus
Mmus_ENSMUST00000036467	OG_16	Mmus
Mmus_ENSMUST00000110717	OG_16	Mmus
Mmus_ENSMUST00000028288	OG_16	Mmus
Mmus_ENSMUST00000080085	OG_16	Mmus
Mmus_ENSMUST00000031696	OG_16	Mmus
Dmel_FBtr0081753	OG_16	Dmel
Dmel_FBtr0072524	OG_16	Dmel
Dmel_FBtr0072417	OG_16	Dmel
Dmel_FBtr0300898	OG_16	Dmel
Dmel_FBtr0331823	OG_16	Dmel
Dmel_FBtr0070507	OG_16	Dmel
Dmel_FBtr0330161	OG_16	Dmel
Dmel_FBtr0083414	OG_16	Dmel
Dmel_FBtr0343178	OG_16	Dmel
Dmel_FBtr0079891	OG_16	Dmel
Dmel_FBtr0088789	OG_16	Dmel
Dmel_FBtr0332992	OG_16	Dmel
Dmel_FBtr0079032	OG_16	Dmel
Dmel_FBtr0086306	OG_16	Dmel
Nvec_v1g213316	OG_16	Nvec
Nvec_v1g188066	OG_16	Nvec
Nvec_v1g224166	OG_16	Nvec
Nvec_NVE6214	OG_16	Nvec
Nvec_NVE1852	OG_16	Nvec
Nvec_NVE25611	OG_16	Nvec
Nvec_NVE7487	OG_16	Nvec
Nvec_NVE16114	OG_16	Nvec
Nvec_v1g217023	OG_16	Nvec
Nvec_v1g209953	OG_16	Nvec
Nvec_v1g88076	OG_16	Nvec
Nvec_NVE25441	OG_16	Nvec
Nvec_v1g125002	OG_16	Nvec
Nvec_NVE2483	OG_16	Nvec
Nvec_NVE1299	OG_16	Nvec
Nvec_v1g207068	OG_16	Nvec
Nvec_NVE13672	OG_16	Nvec
Nvec_v1g209554	OG_16	Nvec
Nvec_NVE16115	OG_16	Nvec
Nvec_v1g232009	OG_16	Nvec
Nvec_NVE7488	OG_16	Nvec
Nvec_v1g118115	OG_16	Nvec
Nvec_v1g63580	OG_16	Nvec
Nvec_NVE16554	OG_16	Nvec
Nvec_v1g105217	OG_16	Nvec
Nvec_NVE6260	OG_16	Nvec
Nvec_v1g74783	OG_16	Nvec
Nvec_v1g46956	OG_16	Nvec
Nvec_v1g209555	OG_16	Nvec
Nvec_v1g112845	OG_16	Nvec
Nvec_NVE9611	OG_16	Nvec
Nvec_v1g72810	OG_16	Nvec
Nvec_NVE4943	OG_16	Nvec
Nvec_NVE2484	OG_16	Nvec
Nvec_NVE23101	OG_16	Nvec
Nvec_NVE5579	OG_16	Nvec
Nvec_v1g200085	OG_16	Nvec
Nvec_v1g105388	OG_16	Nvec
Nvec_NVE3824	OG_16	Nvec
Nvec_NVE14586	OG_16	Nvec
Nvec_NVE23441	OG_16	Nvec
Nvec_NVE15636	OG_16	Nvec
Nvec_v1g224460	OG_16	Nvec
Hvul_g17606_1	OG_16	Hvul
Hvul_g17607_1	OG_16	Hvul
Hvul_g17637_1	OG_16	Hvul
Hvul_g18695_1	OG_16	Hvul
Hvul_g17212_1	OG_16	Hvul
Hvul_g17635_1	OG_16	Hvul
Hvul_g17666_1	OG_16	Hvul
Hvul_g30926_1	OG_16	Hvul
Hvul_g18692_1	OG_16	Hvul
Hvul_g30923_1	OG_16	Hvul
Hvul_g17604_1	OG_16	Hvul
Hvul_g2335_1	OG_16	Hvul
Hvul_g18690_1	OG_16	Hvul
Hvul_g17646_1	OG_16	Hvul
Hvul_g17650_1	OG_16	Hvul
Hvul_g17658_1	OG_16	Hvul
Hvul_g30924_1	OG_16	Hvul
Hvul_g17653_1	OG_16	Hvul
Hvul_g17636_1	OG_16	Hvul
Hvul_g32339_1	OG_16	Hvul
Hvul_g29936_1	OG_16	Hvul
Hvul_g13197_1	OG_16	Hvul
Hvul_g18691_1	OG_16	Hvul
Hvul_g17641_1	OG_16	Hvul
Hvul_g28880_1	OG_16	Hvul
Hvul_g21558_1	OG_16	Hvul
Hvul_g14997_1	OG_16	Hvul
Hvul_g30925_1	OG_16	Hvul
Hvul_g17655_1	OG_16	Hvul
Hvul_g8130_1	OG_16	Hvul
Hvul_g30551_1	OG_16	Hvul
Hvul_g19771_1	OG_16	Hvul
Hvul_g2338_1	OG_16	Hvul
Hvul_g6277_1	OG_16	Hvul
Hvul_g7539_1	OG_16	Hvul
Hvul_g1705_1	OG_16	Hvul
Hvul_g21219_1	OG_16	Hvul
Hvul_g7186_1	OG_16	Hvul
Hvul_g30540_1	OG_16	Hvul
Spis_XP_022785522_1	OG_16	Spis
Spis_XP_022785516_1	OG_16	Spis
Spis_XP_022804425_1	OG_16	Spis
Spis_XP_022804431_1	OG_16	Spis
Spis_XP_022785535_1	OG_16	Spis
Spis_XP_022785534_1	OG_16	Spis
Spis_XP_022785514_1	OG_16	Spis
Spis_XP_022785555_1	OG_16	Spis
Spis_XP_022781533_1	OG_16	Spis
Spis_XP_022786608_1	OG_16	Spis
Spis_XP_022786603_1	OG_16	Spis
Spis_XP_022785531_1	OG_16	Spis
Spis_XP_022785554_1	OG_16	Spis
Spis_XP_022786584_1	OG_16	Spis
Spis_XP_022804398_1	OG_16	Spis
Spis_XP_022802858_1	OG_16	Spis
Spis_XP_022798566_1	OG_16	Spis
Spis_XP_022785470_1	OG_16	Spis
Spis_XP_022785077_1	OG_16	Spis
Spis_XP_022804427_1	OG_16	Spis
Spis_XP_022786602_1	OG_16	Spis
