AP-2	TrH2_TrispH2_002814-RA	TF_AP-2
HMGbox_Sox	TrH2_TrispH2_009959-RA	WD40 WD40 ANAPC4_WD40 Mcl1_mid HMG_box
HMGbox_Sox	TrH2_TrispH2_009979-RA	HMG_box
HMGbox_Sox	TrH2_TrispH2_011376-RA	HMG_box
Homeodomains	TrH2_TrispH2_000258-RA	PAX Homeodomain
Homeodomains	TrH2_TrispH2_000429-RA	Meis_PKNOX_N Homeobox_KN
Homeodomains	TrH2_TrispH2_000435-RA	Homeodomain
Homeodomains	TrH2_TrispH2_001098-RA	Pou Homeodomain
Homeodomains	TrH2_TrispH2_001686-RA	Meis_PKNOX_N Homeobox_KN
Homeodomains	TrH2_TrispH2_001728-RA	Homeodomain
Homeodomains	TrH2_TrispH2_001732-RA	Homeodomain
Homeodomains	TrH2_TrispH2_001875-RA	Pou Homeodomain
Homeodomains	TrH2_TrispH2_002076-RA	PAX Homeodomain
Homeodomains	TrH2_TrispH2_002361-RA	Homeodomain
Homeodomains	TrH2_TrispH2_002605-RA	PBC Homeodomain
Homeodomains	TrH2_TrispH2_002625-RA	LIM LIM Homeodomain
Homeodomains	TrH2_TrispH2_002999-RA	LIM LIM Homeodomain
Homeodomains	TrH2_TrispH2_003009-RA	Homeodomain OAR
Homeodomains	TrH2_TrispH2_003010-RA	Homeodomain
Homeodomains	TrH2_TrispH2_003377-RA	Homeodomain
Homeodomains	TrH2_TrispH2_003382-RA	Homeodomain
Homeodomains	TrH2_TrispH2_003383-RA	Homeodomain
Homeodomains	TrH2_TrispH2_003384-RA	Homeodomain
Homeodomains	TrH2_TrispH2_003385-RA	Homeodomain
Homeodomains	TrH2_TrispH2_003519-RA	Homeodomain
Homeodomains	TrH2_TrispH2_005000-RA	Homeodomain
Homeodomains	TrH2_TrispH2_005001-RA	Homeodomain
Homeodomains	TrH2_TrispH2_005002-RA	Homeodomain
Homeodomains	TrH2_TrispH2_005003-RA	Homeodomain
Homeodomains	TrH2_TrispH2_005279-RA	Homeodomain
Homeodomains	TrH2_TrispH2_005337-RA	Homeobox_KN
Homeodomains	TrH2_TrispH2_005947-RA	HNF-1_N
Homeodomains	TrH2_TrispH2_006100-RA	SIX1_SD Homeodomain
Homeodomains	TrH2_TrispH2_006101-RA	SIX1_SD Homeodomain
Homeodomains	TrH2_TrispH2_006838-RA	Homeodomain
Homeodomains	TrH2_TrispH2_007346-RA	Homeodomain OAR
Homeodomains	TrH2_TrispH2_008414-RA	Homeodomain
Homeodomains	TrH2_TrispH2_009336-RA	LIM LIM Homeodomain
Homeodomains	TrH2_TrispH2_009338-RA	LIM LIM Homeodomain
Homeodomains	TrH2_TrispH2_010700-RA	Homeodomain
Homeodomains	TrH2_TrispH2_010885-RA	Homeodomain
Homeodomains	TrH2_TrispH2_011890-RA	Homeodomain
HSF	TrH2_TrispH2_002183-RA	HSF_DNA-bind
HSF	TrH2_TrispH2_004437-RA	HSF_DNA-bind
IRF	TrH2_TrispH2_001644-RA	IRF
IRF	TrH2_TrispH2_003387-RA	IRF
IRF	TrH2_TrispH2_009842-RA	IRF ZU5 ZU5
LAG1_CSL	TrH2_TrispH2_009810-RA	LAG1-DNAbind BTD
MADS-box_SRF	TrH2_TrispH2_000398-RA	SRF-TF
MADS-box_SRF	TrH2_TrispH2_000399-RA	SRF-TF
MADS-box_SRF	TrH2_TrispH2_002099-RA	SRF-TF HJURP_C
MBD	TrH2_TrispH2_006268-RA	MBD DDT WHIM1 WSD WSD PHD PHD Bromodomain
mTERF	TrH2_TrispH2_003199-RA	mTERF mTERF
mTERF	TrH2_TrispH2_009090-RA	mTERF mTERF
mTERF	TrH2_TrispH2_009357-RA	mTERF
mTERF	TrH2_TrispH2_009532-RA	mTERF mTERF
mTERF	TrH2_TrispH2_009533-RA	mTERF mTERF
Myb	TrH2_TrispH2_000041-RA	DnaJ RAC_head Myb_DNA-binding
Myb	TrH2_TrispH2_001043-RA	Myb_DNA-binding Myb_DNA-bind_6 Myb_DNA-binding Myb_DNA-binding
Myb	TrH2_TrispH2_001312-RA	Myb_DNA-bind_4
Myb	TrH2_TrispH2_001391-RA	Myb_DNA-binding SWIRM JAB
Myb	TrH2_TrispH2_003060-RA	Myb_DNA-binding ZZ
Myb	TrH2_TrispH2_003069-RA	Myb_DNA-binding
Myb	TrH2_TrispH2_003292-RA	Myb_DNA-binding
Myb	TrH2_TrispH2_004206-RA	MADF_DNA_bdg
Myb	TrH2_TrispH2_004277-RA	Myb_DNA-bind_6 Myb_Cef
Myb	TrH2_TrispH2_005735-RA	DnaJ Myb_DNA-binding
Myb	TrH2_TrispH2_006388-RA	MADF_DNA_bdg
Myb	TrH2_TrispH2_007244-RA	MADF_DNA_bdg
Myb	TrH2_TrispH2_007365-RA	SANT_DAMP1_like DMAP1
Myb	TrH2_TrispH2_008384-RA	ELM2 Myb_DNA-binding
Myb	TrH2_TrispH2_008627-RA	Myb_DNA-binding SWIRM
Myb	TrH2_TrispH2_008641-RA	GPS2_interact Myb_DNA-binding Myb_DNA-binding
Myb	TrH2_TrispH2_009077-RA	MADF_DNA_bdg
Myb	TrH2_TrispH2_009433-RA	SWIRM-assoc_2 SWIRM Myb_DNA-binding SWIRM-assoc_3 SWIRM-assoc_1
Myb	TrH2_TrispH2_009471-RA	Myb_DNA-bind_7
Myb	TrH2_TrispH2_009480-RA	Myb_DNA-binding Myb_DNA-binding Myb_DNA-binding Cmyb_C
Myb	TrH2_TrispH2_009855-RA	BRCT_2 Myb_DNA-bind_2
Myb	TrH2_TrispH2_010234-RA	Myb_DNA-binding
Ndt80_PhoG	TrH2_TrispH2_006336-RA	NDT80_PhoG Peptidase_S74 MRF_C1 MRF_C2
NFX1_ZF	TrH2_TrispH2_005702-RA	zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 R3H
NFX1_ZF	TrH2_TrispH2_010844-RA	zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1
NFYA	TrH2_TrispH2_007096-RA	CBFB_NFYA
NFYB_NFYC	TrH2_TrispH2_002518-RA	CBFD_NFYB_HMF
NFYB_NFYC	TrH2_TrispH2_003697-RA	CBFD_NFYB_HMF
NFYB_NFYC	TrH2_TrispH2_004524-RA	CBFD_NFYB_HMF
NFYB_NFYC	TrH2_TrispH2_005489-RA	CBFD_NFYB_HMF
NFYB_NFYC	TrH2_TrispH2_005767-RA	CBFD_NFYB_HMF
NFYB_NFYC	TrH2_TrispH2_009775-RA	CBFD_NFYB_HMF
NRF1	TrH2_TrispH2_004915-RA	Nrf1_DNA-bind
NRF1	TrH2_TrispH2_007058-RA	Nrf1_DNA-bind
P53	TrH2_TrispH2_004573-RA	P53 P53_tetramer SAM_2
Pipsqueak	TrH2_TrispH2_011078-RA	HTH_psq DDE_1
RFX	TrH2_TrispH2_002188-RA	ARID RFX_DNA_binding
RFX	TrH2_TrispH2_003328-RA	RFX_DNA_binding
RFX	TrH2_TrispH2_007702-RA	RFX_DNA_binding
RFX	TrH2_TrispH2_008141-RA	RFX_DNA_binding
RFX	TrH2_TrispH2_009805-RA	RFX_DNA_binding
RHD_Rel	TrH2_TrispH2_003410-RA	RHD_DNA_bind
Runt_Runx	TrH2_TrispH2_001872-RA	Runt
SAND	TrH2_TrispH2_003889-RA	SAND
SAND	TrH2_TrispH2_004676-RA	SAND SAM_1
SMAD_MH1	TrH2_TrispH2_000024-RA	MH1 MH2
SMAD_MH1	TrH2_TrispH2_000036-RA	MH1 MH2
SMAD_MH1	TrH2_TrispH2_000839-RA	MH1 MH2
SMAD_MH1	TrH2_TrispH2_001195-RA	MH1 MH2
STAT	TrH2_TrispH2_000093-RA	STAT_int STAT_alpha STAT_bind SH2
STAT	TrH2_TrispH2_005672-RA	STAT_int STAT_alpha STAT_bind SH2
STAT	TrH2_TrispH2_005675-RA	STAT_int STAT_bind
T-box	TrH2_TrispH2_000333-RA	T-box
T-box	TrH2_TrispH2_000334-RA	T-box
T-box	TrH2_TrispH2_001083-RA	T-box
T-box	TrH2_TrispH2_003578-RA	T-box
T-box	TrH2_TrispH2_004167-RA	T-box
TBP	TrH2_TrispH2_001111-RA	TBP-binding DUF3591 zf-CCHC_6 Bromodomain Bromodomain
TBP	TrH2_TrispH2_002434-RA	TBP TBP
TBP	TrH2_TrispH2_006020-RA	TBP TBP
TEA	TrH2_TrispH2_002116-RA	TEA YBD
Tesmin_TSO1-like	TrH2_TrispH2_000270-RA	TCR TCR
TFIIA	TrH2_TrispH2_004950-RA	TFIIA TFIIA
TFIIB	TrH2_TrispH2_002651-RA	TF_Zn_Ribbon TFIIB TFIIB
TFIIB	TrH2_TrispH2_008755-RA	TF_Zn_Ribbon TFIIB TFIIB BRF1
THAP_finger	TrH2_TrispH2_002945-RA	THAP
Tub	TrH2_TrispH2_007638-RA	Tub
YL1	TrH2_TrispH2_007871-RA	YL1 YL1_C
zf-BED	TrH2_TrispH2_002937-RA	zf-BED DUF659 Dimer_Tnp_hAT
zf-C4_Nuclear_receptors	TrH2_hyp_clust9682.t1	zf-C4
zf-C4_Nuclear_receptors	TrH2_TrispH2_002694-RA	zf-C4 Hormone_recep
zf-C4_Nuclear_receptors	TrH2_TrispH2_003482-RA	zf-C4 Hormone_recep
zf-C4_Nuclear_receptors	TrH2_TrispH2_006096-RA	zf-C4 Hormone_recep
zf-C4_Nuclear_receptors	TrH2_TrispH2_008032-RA	zf-C4 Hormone_recep
zf-met	TrH2_TrispH2_001252-RA	zf-met zf-met DZF
zf-met	TrH2_TrispH2_001533-RA	zf-C2H2 zf-met zf-C2H2_6 zf-C2H2 zf-C2H2_6 zf-C2H2
zf-met	TrH2_TrispH2_003002-RA	SCAPER_N zf-met
zf-met	TrH2_TrispH2_003156-RA	zf-met
zf-met	TrH2_TrispH2_003189-RA	zf-met SF3A2
zf-met	TrH2_TrispH2_004908-RA	zf-C2H2_2 zf-met
zf-met	TrH2_TrispH2_007272-RA	zf-met TUTase PAP_assoc
zf-met	TrH2_TrispH2_010539-RA	zf-met WD40 WD40
zf-MIZ	TrH2_TrispH2_003901-RA	PINIT zf-MIZ
zf-C2H2	TrH2_TrispH2_000208-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_000209-RA	zf-C2H2 zf-C2H2_6 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_001201-RA	zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_001533-RA	zf-C2H2 zf-met zf-C2H2_6 zf-C2H2 zf-C2H2_6 zf-C2H2
zf-C2H2	TrH2_TrispH2_002326-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-H2C2_2
zf-C2H2	TrH2_TrispH2_002327-RA	zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_002328-RA	zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_002329-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_002330-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_002456-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_002621-RA	SET zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_002671-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_002955-RA	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_002967-RA	zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_003178-RA	zf-C2H2_jaz zf-C2H2_2
zf-C2H2	TrH2_TrispH2_004332-RA	zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_004521-RA	zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_004908-RA	zf-C2H2_2 zf-met
zf-C2H2	TrH2_TrispH2_005049-RA	zf-C2H2 ELM2 zf-C2H2_6
zf-C2H2	TrH2_TrispH2_005118-RA	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_006817-RA	zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_007264-RA	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_007301-RA	zf-C2H2 zf-C2H2 zf-C2H2_4
zf-C2H2	TrH2_TrispH2_007413-RA	zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_007654-RA	zf-C2H2
zf-C2H2	TrH2_TrispH2_007742-RA	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_007749-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2_6 zf-C2H2
zf-C2H2	TrH2_TrispH2_007826-RA	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_008151-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_008834-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_008926-RA	zf_ZIC zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_009018-RA	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_009099-RA	zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_009159-RA	zf-C2H2_2 zf-C2H2_2 zf-C2H2_2
zf-C2H2	TrH2_TrispH2_009470-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_010029-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_010354-RA	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	TrH2_TrispH2_010499-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-CXXC	TrH2_TrispH2_000142-RA	zf-CXXC Tet_JBP
zf-CXXC	TrH2_TrispH2_004072-RA	JmjC JHD zf-CXXC PHD_4
zf-CXXC	TrH2_TrispH2_005054-RA	PHD zf-CXXC zf-CpG_bind_C
