Cript	Tadh_wf_g8733.t1	Cript
PDZ	Tadh_TriadT60291	PDZ PDZ PDZ SH3_2 Guanylate_kin ZU5
PDZ	Tadh_TriadT61629	L27 PDZ
PDZ	Tadh_TriadT62108	PDZ RGS-like C1_1 RhoGEF PH_16
PDZ	Tadh_TriadT62142	RA DIL PDZ
PDZ	Tadh_TriadT63520	PDZ PDZ PDZ SH3_1 Guanylate_kin
PDZ	Tadh_TriadT63748	L27 PDZ SH3_1 Guanylate_kin
PDZ	Tadh_TriadT64065	PDZ
PDZ	Tadh_TriadT64201	FERM_N FERM_M FERM_C PDZ PDZ PDZ PDZ Y_phosphatase
PDZ	Tadh_TriadT64242	PDZ WW
PDZ	Tadh_wf_g4045.t1	PDZ PDZ
ANF_receptor	Tadh_TriadT10902	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT11098	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT11108	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_TriadT11320	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT11427	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_TriadT11614	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_TriadT13829	ANF_receptor
ANF_receptor	Tadh_TriadT16484	ANF_receptor
ANF_receptor	Tadh_TriadT17317	ANF_receptor
ANF_receptor	Tadh_TriadT17318	ANF_receptor
ANF_receptor	Tadh_TriadT18816	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT19351	ANF_receptor
ANF_receptor	Tadh_TriadT20304	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT24350	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT25328	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_TriadT25549	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_TriadT26726	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT28568	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT28937	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT29555	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT29561	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_TriadT29604	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_TriadT29631	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_TriadT29698	ANF_receptor
ANF_receptor	Tadh_TriadT30267	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT30655	ANF_receptor Pkinase_Tyr HNOBA Guanylate_cyc
ANF_receptor	Tadh_TriadT51324	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT51325	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT51330	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT51333	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT51358	ANF_receptor ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT51773	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT51774	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT51775	ANF_receptor 7tm_3 7tm_3
ANF_receptor	Tadh_TriadT51777	ANF_receptor
ANF_receptor	Tadh_TriadT51953	ANF_receptor
ANF_receptor	Tadh_TriadT52576	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT52577	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT52578	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT52579	ANF_receptor ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT52580	ANF_receptor
ANF_receptor	Tadh_TriadT52582	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT52983	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT54290	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_TriadT54955	ANF_receptor
ANF_receptor	Tadh_TriadT54956	ANF_receptor
ANF_receptor	Tadh_TriadT54957	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT55165	ANF_receptor Lig_chan-Glu_bd Lig_chan
ANF_receptor	Tadh_TriadT55249	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT55385	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT55387	ANF_receptor
ANF_receptor	Tadh_TriadT55425	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT55426	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT55427	ANF_receptor
ANF_receptor	Tadh_TriadT55428	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT55429	ANF_receptor
ANF_receptor	Tadh_TriadT55500	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT56251	ANF_receptor
ANF_receptor	Tadh_TriadT56610	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT56611	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT56856	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_TriadT57193	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT58048	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_TriadT58932	ANF_receptor
ANF_receptor	Tadh_TriadT58938	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT58939	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT58979	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT59024	ANF_receptor ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT59025	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT59259	ANF_receptor
ANF_receptor	Tadh_TriadT59554	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT59557	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_TriadT59558	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_TriadT59560	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_TriadT59563	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT59566	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT59571	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_TriadT60050	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT60055	ANF_receptor
ANF_receptor	Tadh_TriadT61397	ANF_receptor
ANF_receptor	Tadh_TriadT61926	ANF_receptor
ANF_receptor	Tadh_TriadT62672	ANF_receptor
ANF_receptor	Tadh_TriadT62740	ANF_receptor
ANF_receptor	Tadh_TriadT62741	ANF_receptor
ANF_receptor	Tadh_TriadT64091	ANF_receptor 7tm_3
ANF_receptor	Tadh_TriadT816	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_TriadT9633	ANF_receptor
ANF_receptor	Tadh_wf_g10200.t1	ANF_receptor 7tm_3
ANF_receptor	Tadh_wf_g11781.t1	ANF_receptor
ANF_receptor	Tadh_wf_g11837.t1	ANF_receptor
ANF_receptor	Tadh_wf_g3864.t1	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_wf_g4030.t1	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_wf_g4031.t1	ANF_receptor
ANF_receptor	Tadh_wf_g4033.t1	ANF_receptor 7tm_3
ANF_receptor	Tadh_wf_g7079.t1	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_wf_g7102.t1	ANF_receptor
ANF_receptor	Tadh_wf_g964.t1	ANF_receptor NCD3G 7tm_3
ANF_receptor	Tadh_wf_g965.t1	ANF_receptor NCD3G 7tm_3
CaMKII	Tadh_TriadT50756	Pkinase CaMKII_AD
Syntaxin	Tadh_TriadT26532	Syntaxin SNARE
Syntaxin	Tadh_TriadT28648	Syntaxin SNARE
Syntaxin	Tadh_TriadT28962	Syntaxin SNARE
Syntaxin	Tadh_TriadT52504	Syntaxin
Syntaxin	Tadh_TriadT59128	Syntaxin SNARE
Syntaxin	Tadh_TriadT60762	Syntaxin-18_N
Syntaxin	Tadh_TriadT63630	Syntaxin-6_N
MARVEL	Tadh_TriadT52445	MARVEL
MARVEL	Tadh_TriadT56946	MARVEL
MARVEL	Tadh_TriadT62635	MARVEL
MARVEL	Tadh_TriadT63679	MARVEL
MARVEL	Tadh_TriadT63863	MARVEL
Citron	Tadh_TriadT27763	PH CNH
Citron	Tadh_TriadT51772	Pkinase CNH
Citron	Tadh_TriadT52079	CNH Vps39_1 Vps39_2
Citron	Tadh_TriadT52207	Pkinase CNH
Citron	Tadh_TriadT53303	Rap_GAP CNH
Citron	Tadh_TriadT56465	CNH
Citron	Tadh_TriadT61902	CNH Vps39_1 Vps39_2
FERM_M	Tadh_TriadT18577	FERM_N FERM_M
FERM_M	Tadh_TriadT19795	FERM_f0 FERM_M IRS Talin_middle I_LWEQ VBS I_LWEQ
FERM_M	Tadh_TriadT23231	FERM_M
FERM_M	Tadh_TriadT25177	FERM_N FERM_M FERM_C ERM
FERM_M	Tadh_TriadT29123	FERM_M FERM_C
FERM_M	Tadh_TriadT33394	Kindlin_2_N FERM_M PH
FERM_M	Tadh_TriadT33842	PH MyTH4 FERM_M
FERM_M	Tadh_TriadT52032	FERM_M
FERM_M	Tadh_TriadT54062	SH3_19 Myosin_head Myosin_head PH PH MyTH4 FERM_M
FERM_M	Tadh_TriadT55017	FERM_N FERM_M FERM_C
FERM_M	Tadh_TriadT56920	FERM_M FERM_C CUPID
FERM_M	Tadh_TriadT59851	Myosin_head Myosin_head IQ MyTH4 FERM_M MyTH4 FERM_M
FERM_M	Tadh_TriadT61918	FERM_M Y_phosphatase
FERM_M	Tadh_TriadT61967	Myosin_head IQ MyTH4 FERM_M SH3_2 MyTH4 FERM_M
FERM_M	Tadh_TriadT63802	FERM_N FERM_M FERM_C Y_phosphatase Y_phosphatase
FERM_M	Tadh_TriadT64069	FERM_N FERM_M FERM_C FA
FERM_M	Tadh_TriadT64201	FERM_N FERM_M FERM_C PDZ PDZ PDZ PDZ Y_phosphatase
GKAP	Tadh_TriadT57926	GKAP
GKAP	Tadh_TriadT60595	GKAP
COesterase	Tadh_TriadT13189	COesterase
COesterase	Tadh_TriadT1836	COesterase
COesterase	Tadh_TriadT19080	COesterase
COesterase	Tadh_TriadT1914	COesterase
COesterase	Tadh_TriadT19242	COesterase
COesterase	Tadh_TriadT2392	COesterase
COesterase	Tadh_TriadT31923	COesterase
COesterase	Tadh_TriadT31933	COesterase
COesterase	Tadh_TriadT31975	COesterase
COesterase	Tadh_TriadT32031	COesterase
COesterase	Tadh_TriadT32071	COesterase
COesterase	Tadh_TriadT32073	COesterase
COesterase	Tadh_TriadT32085	COesterase
COesterase	Tadh_TriadT32115	COesterase
COesterase	Tadh_TriadT34708	COesterase
COesterase	Tadh_TriadT34819	COesterase
COesterase	Tadh_TriadT52793	COesterase
COesterase	Tadh_TriadT61104	COesterase
COesterase	Tadh_TriadT61106	COesterase
COesterase	Tadh_TriadT61115	COesterase
COesterase	Tadh_TriadT61120	COesterase
COesterase	Tadh_TriadT61121	COesterase
COesterase	Tadh_TriadT62092	COesterase
COesterase	Tadh_TriadT64430	COesterase
NO_synthase	Tadh_TriadT18893	NO_synthase Flavodoxin_1 FAD_binding_1 NAD_binding_1
NO_synthase	Tadh_TriadT19964	NO_synthase Flavodoxin_1 FAD_binding_1 NAD_binding_1
NO_synthase	Tadh_TriadT31504	NO_synthase Flavodoxin_1 FAD_binding_1 NAD_binding_1
PMCA	Tadh_TriadT19369	Cation_ATPase_N E1-E2_ATPase Hydrolase Cation_ATPase_C
PMCA	Tadh_TriadT25320	Cation_ATPase_N E1-E2_ATPase E1-E2_ATPase Cation_ATPase Hydrolase Cation_ATPase_C
PMCA	Tadh_TriadT28963	Cation_ATPase_N E1-E2_ATPase Cation_ATPase Cation_ATPase_C
PMCA	Tadh_TriadT63163	Cation_ATPase_N E1-E2_ATPase Cation_ATPase Hydrolase Cation_ATPase_C
RasGAP	Tadh_TriadT21224	RasGAP
RasGAP	Tadh_TriadT37304	CH IQ IQ IQ RasGAP RasGAP_C
RasGAP	Tadh_TriadT55233	RasGAP RasGAP_C
RasGAP	Tadh_TriadT59057	RasGAP RasGAP CRAL_TRIO_2
RasGAP	Tadh_TriadT63821	C2 C2 RasGAP RasGAP PH BTK
RasGAP	Tadh_wf_g1897.t1	C2 RasGAP DUF3498
RasGAP	Tadh_wf_g3134.t1	SH2 SH2 PH C2 RasGAP RasGAP
Caps	Tadh_TriadT22095	C1_1 C2 DUF1041 Membr_traf_MHD C2
Caps	Tadh_TriadT23934	PH DUF1041
SSF	Tadh_wf_g12492.t1	SSF
Synaphin	Tadh_wf_g9757.t1	Synaphin
Y_phosphatase	Tadh_TriadT27423	Y_phosphatase Y_phosphatase
Y_phosphatase	Tadh_TriadT27501	Y_phosphatase Y_phosphatase
Y_phosphatase	Tadh_TriadT34519	Y_phosphatase
Y_phosphatase	Tadh_TriadT51484	Y_phosphatase
Y_phosphatase	Tadh_TriadT52495	Y_phosphatase
Y_phosphatase	Tadh_TriadT54170	CRAL_TRIO Y_phosphatase
Y_phosphatase	Tadh_TriadT54505	Y_phosphatase PTEN_C2 SH2
Y_phosphatase	Tadh_TriadT55016	Y_phosphatase
Y_phosphatase	Tadh_TriadT55048	Y_phosphatase
Y_phosphatase	Tadh_TriadT57823	Y_phosphatase Y_phosphatase
Y_phosphatase	Tadh_TriadT60390	BRO1 BRO1 ALIX_LYPXL_bnd Y_phosphatase
Y_phosphatase	Tadh_TriadT60483	Y_phosphatase
Y_phosphatase	Tadh_TriadT61918	FERM_M Y_phosphatase
Y_phosphatase	Tadh_TriadT63802	FERM_N FERM_M FERM_C Y_phosphatase Y_phosphatase
Y_phosphatase	Tadh_TriadT64052	fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 fn3 Y_phosphatase
Y_phosphatase	Tadh_TriadT64201	FERM_N FERM_M FERM_C PDZ PDZ PDZ PDZ Y_phosphatase
Y_phosphatase	Tadh_TriadT7563	Y_phosphatase
Y_phosphatase	Tadh_wf_g1014.t1	Y_phosphatase Y_phosphatase
Y_phosphatase	Tadh_wf_g6284.t1	SH2 SH2 Y_phosphatase
Y_phosphatase	Tadh_wf_g9225.t1	IgGFc_binding Ig_3 I-set Ig_3 Ig_3 I-set I-set I-set Ig_3 I-set fn3 fn3 fn3 Ig_3 I-set Ig_3 Ig_3 Ig_3 fn3 fn3 fn3 Ig_3 HRM GAIN GPS 7tm_2 Y_phosphatase Y_phosphatase
PID	Tadh_TriadT19677	PID
PID	Tadh_TriadT21193	PID DUF3694 RabGAP-TBC
PID	Tadh_TriadT23199	PID PDZ PDZ
PID	Tadh_TriadT54315	SH3_9 PID
PID	Tadh_TriadT56270	PID
PID	Tadh_TriadT57901	PID
PID	Tadh_TriadT58883	PID
RabphilinRIM	Tadh_TriadT56436	FYVE_2
RabphilinRIM	Tadh_TriadT58069	FYVE_2 C2 C2
RabphilinRIM	Tadh_TriadT59690	FYVE_2 C2 C2
Sugar_tr	Tadh_TriadT19863	Sugar_tr MFS_1
Sugar_tr	Tadh_TriadT27661	Sugar_tr
Sugar_tr	Tadh_TriadT28017	Sugar_tr
Sugar_tr	Tadh_TriadT31239	Sugar_tr
Sugar_tr	Tadh_TriadT31425	Sugar_tr
Sugar_tr	Tadh_TriadT31909	Sugar_tr
Sugar_tr	Tadh_TriadT32030	Sugar_tr
Sugar_tr	Tadh_TriadT32044	Sugar_tr
Sugar_tr	Tadh_TriadT33661	Sugar_tr
Sugar_tr	Tadh_TriadT38377	Sugar_tr
Sugar_tr	Tadh_TriadT58068	Sugar_tr Sugar_tr
Sugar_tr	Tadh_TriadT58298	Sugar_tr
Sugar_tr	Tadh_TriadT58334	Sugar_tr
Sugar_tr	Tadh_TriadT58337	Sugar_tr
Sugar_tr	Tadh_TriadT60671	MFS_1 Sugar_tr
Sugar_tr	Tadh_TriadT61087	Sugar_tr
Sugar_tr	Tadh_TriadT61088	Sugar_tr
Sugar_tr	Tadh_TriadT62146	Sugar_tr
Sugar_tr	Tadh_TriadT62149	Sugar_tr Sugar_tr
Sugar_tr	Tadh_TriadT64243	Sugar_tr
Sugar_tr	Tadh_wf_g111.t1	Sugar_tr
Unc13	Tadh_TriadT22095	C1_1 C2 DUF1041 Membr_traf_MHD C2
