AP-2	Hhon_g07610.t1	TF_AP-2
Homeodomains	Hhon_g07292.t1	Homeodomain
Homeodomains	Hhon_g07297.t1	Homeodomain
Homeodomains	Hhon_g07457.t1	Homeodomain
Homeodomains	Hhon_g08608.t1	Homeodomain
Homeodomains	Hhon_g08887.t1	Homeodomain
Homeodomains	Hhon_g09022.t1	Homeodomain OAR
Homeodomains	Hhon_g09133.t1	Homeodomain
Homeodomains	Hhon_g09134.t1	Homeodomain
Homeodomains	Hhon_g09266.t1	PAX Homeodomain
Homeodomains	Hhon_g09380.t1	LIM LIM Homeodomain
Homeodomains	Hhon_g10555.t1	Homeodomain
Homeodomains	Hhon_g10567.t1	Meis_PKNOX_N Homeobox_KN
Homeodomains	Hhon_g10818.t1	Homeodomain
Homeodomains	Hhon_g11175.t1	SIX1_SD Homeodomain
HSF	Hhon_g04724.t1	HSF_DNA-bind
HSF	Hhon_g08360.t1	HSF_DNA-bind
IRF	Hhon_g01017.t1	IRF
IRF	Hhon_g04527.t1	LRR_8 LRR_8 IRF ZU5 ZU5
IRF	Hhon_g07681.t1	IRF
IRF	Hhon_g07682.t1	IRF
IRF	Hhon_g07683.t1	IRF
IRF	Hhon_g07684.t1	IRF
LAG1_CSL	Hhon_g05183.t1	LAG1-DNAbind BTD
MADS-box_SRF	Hhon_g05787.t1	SRF-TF
MADS-box_SRF	Hhon_g05788.t1	SRF-TF
MADS-box_SRF	Hhon_g11366.t1	SRF-TF HJURP_C
MBD	Hhon_g04767.t1	MBD DDT WHIM1 WSD WSD PHD PHD Bromodomain
MBD	Hhon_g05556.t1	TUDOR_5 Tudor_4 MBD Pre-SET SET
mTERF	Hhon_g03666.t1	mTERF
mTERF	Hhon_g04892.t1	mTERF
mTERF	Hhon_g08621.t1	mTERF mTERF
mTERF	Hhon_g09713.t1	mTERF mTERF
mTERF	Hhon_g09714.t1	mTERF mTERF
Myb	Hhon_g01256.t1	Myb_DNA-binding
Myb	Hhon_g01563.t1	Myb_DNA-bind_4
Myb	Hhon_g01966.t1	ELM2 Myb_DNA-binding
Myb	Hhon_g02066.t1	MADF_DNA_bdg
Myb	Hhon_g02157.t1	Myb_DNA-binding Myb_DNA-binding
Myb	Hhon_g02236.t1	Myb_DNA-binding
Myb	Hhon_g02879.t1	IgGFc_binding fn3 Myb_DNA-binding Myb_DNA-binding Myb_DNA-binding Myb_DNA-binding
Myb	Hhon_g03461.t1	MADF_DNA_bdg
Myb	Hhon_g03592.t1	zf-C2H2 ELM2 Myb_DNA-binding zf-C2H2_6
Myb	Hhon_g04004.t1	DnaJ RAC_head Myb_DNA-binding
Myb	Hhon_g04646.t1	Myb_DNA-binding
Myb	Hhon_g05900.t1	Myb_DNA-bind_4
Myb	Hhon_g05939.t1	Myb_DNA-binding PAH
Myb	Hhon_g06099.t1	SANT_DAMP1_like DMAP1
Myb	Hhon_g06117.t1	MADF_DNA_bdg
Myb	Hhon_g06443.t1	Myb_DNA-bind_6 Myb_Cef
Myb	Hhon_g07010.t1	SWIRM-assoc_2 SWIRM Myb_DNA-binding SWIRM-assoc_3 SWIRM-assoc_1
Myb	Hhon_g08962.t1	GPS2_interact Myb_DNA-binding Myb_DNA-binding
Myb	Hhon_g08977.t1	Myb_DNA-binding SWIRM
Myb	Hhon_g09423.t1	Myb_DNA-binding
Myb	Hhon_g10138.t1	Myb_DNA-binding SWIRM JAB
Myb	Hhon_g10654.t1	MADF_DNA_bdg
Myb	Hhon_g10894.t1	MADF_DNA_bdg
Myb	Hhon_g11198.t1	MADF_DNA_bdg
Ndt80_PhoG	Hhon_g05724.t1	NDT80_PhoG Peptidase_S74 MRF_C1 MRF_C2
NFX1_ZF	Hhon_g06302.t1	zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 R3H
NFYA	Hhon_g04409.t1	CBFB_NFYA
NFYB_NFYC	Hhon_g02746.t1	CBFD_NFYB_HMF
NFYB_NFYC	Hhon_g03028.t1	CBFD_NFYB_HMF
NFYB_NFYC	Hhon_g07246.t1	CBFD_NFYB_HMF
NFYB_NFYC	Hhon_g07697.t1	CBFD_NFYB_HMF
NFYB_NFYC	Hhon_g07946.t1	CBFD_NFYB_HMF
NFYB_NFYC	Hhon_g09698.t1	CBFD_NFYB_HMF
NRF1	Hhon_g02205.t1	Nrf1_DNA-bind
P53	Hhon_g06904.t1	P53 P53_tetramer SAM_2
Pipsqueak	Hhon_g05433.t1	HTH_psq DDE_1
Pipsqueak	Hhon_g10806.t1	HTH_psq DDE_1
RFX	Hhon_g00515.t1	RFX_DNA_binding
RFX	Hhon_g04244.t1	RFX_DNA_binding
RFX	Hhon_g04246.t1	RFX_DNA_binding
RFX	Hhon_g04729.t1	ARID RFX_DNA_binding
RFX	Hhon_g04829.t1	RFX_DNA_binding
RFX	Hhon_g05189.t1	RFX_DNA_binding
RHD_Rel	Hhon_g02740.t1	RHD_DNA_bind
Runt_Runx	Hhon_g05881.t1	Runt
SAND	Hhon_g01781.t1	SAND SAM_1
SAND	Hhon_g02354.t1	SAND
SMAD_MH1	Hhon_g04010.t1	MH1 MH2
SMAD_MH1	Hhon_g05417.t1	MH1 MH2
SMAD_MH1	Hhon_g06533.t1	MH1 MH2
SMAD_MH1	Hhon_g08109.t1	MH1 MH2
SMAD_MH1	Hhon_g11830.t1	MH1 MH2
STAT	Hhon_g00368.t1	STAT_bind
STAT	Hhon_g00370.t1	STAT_int STAT_alpha STAT_bind SH2
STAT	Hhon_g09955.t1	STAT_int STAT_alpha STAT_bind SH2
T-box	Hhon_g05098.t1	T-box
T-box	Hhon_g06968.t1	T-box
T-box	Hhon_g06969.t1	T-box
T-box	Hhon_g09180.t1	T-box
T-box	Hhon_g09703.t1	T-box
T-box	Hhon_g10591.t1	T-box
TBP	Hhon_g02419.t1	TBP TBP
TBP	Hhon_g04310.t1	TBP-binding AIRS_C GATase_5
TBP	Hhon_g08248.t1	TBP TBP
TEA	Hhon_g08923.t1	TEA YBD
Tesmin_TSO1-like	Hhon_g05974.t1	TCR TCR
TFIIA	Hhon_g06564.t1	TFIIA TFIIA
TFIIB	Hhon_g01556.t1	TF_Zn_Ribbon TFIIB TFIIB
TFIIB	Hhon_g03092.t1	TF_Zn_Ribbon TFIIB TFIIB BRF1
TFIIB	Hhon_g09608.t1	TFIIB
TFIIB	Hhon_g09610.t1	TFIIB
THAP_finger	Hhon_g02943.t1	THAP HTH_Tnp_4 DDE_Tnp_4
THAP_finger	Hhon_g04943.t1	THAP
THAP_finger	Hhon_g08451.t1	THAP
THAP_finger	Hhon_g09520.t1	THAP
THAP_finger	Hhon_g11013.t1	THAP
Tub	Hhon_g03356.t1	Tub
YL1	Hhon_g03249.t1	YL1 YL1_C
zf-BED	Hhon_g07379.t1	zf-BED DUF659 Dimer_Tnp_hAT
zf-C4_Nuclear_receptors	Hhon_g01603.t1	zf-C4 Hormone_recep
zf-C4_Nuclear_receptors	Hhon_g03777.t1	zf-C4 Hormone_recep
zf-C4_Nuclear_receptors	Hhon_g09981.t1	zf-C4 Hormone_recep
zf-C4_Nuclear_receptors	Hhon_g11170.t1	zf-C4 Hormone_recep
zf-C4_Nuclear_receptors	Hhon_g11356.t1	zf-C4 Hormone_recep
zf-met	Hhon_g02200.t1	zf-met zf-C2H2_jaz
zf-met	Hhon_g02569.t1	zf-C2H2 zf-met zf-C2H2_6 zf-C2H2 zf-C2H2_6 zf-C2H2_6
zf-met	Hhon_g03562.t1	IPPT zf-met
zf-met	Hhon_g03676.t1	zf-met SF3A2
zf-met	Hhon_g03909.t1	SCAPER_N zf-met
zf-met	Hhon_g04092.t1	zf-met TUTase PAP_assoc
zf-met	Hhon_g04500.t1	zf-met zf-C2H2 zf-C2H2 zf-C2H2
zf-met	Hhon_g09564.t1	zf-met zf-C2H2_jaz DZF
zf-MIZ	Hhon_g02368.t1	PINIT zf-MIZ
zf-C2H2	Hhon_g00690.t1	zf-C2H2
zf-C2H2	Hhon_g01509.t1	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g01510.t1	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g01512.t1	zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g01513.t1	zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g01514.t1	zf-C2H2 zf-C2H2 zf-C2H2 zf-H2C2_2
zf-C2H2	Hhon_g01580.t1	zf-C2H2 zf-C2H2_6 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g01841.t1	zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g01986.t1	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g02092.t1	zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g02289.t1	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g02569.t1	zf-C2H2 zf-met zf-C2H2_6 zf-C2H2 zf-C2H2_6 zf-C2H2_6
zf-C2H2	Hhon_g02945.t1	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2_6 zf-C2H2
zf-C2H2	Hhon_g02953.t1	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g03333.t1	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g03592.t1	zf-C2H2 ELM2 Myb_DNA-binding zf-C2H2_6
zf-C2H2	Hhon_g03605.t1	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g03688.t1	zf-C2H2_jaz zf-C2H2_2
zf-C2H2	Hhon_g04085.t1	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g04119.t1	zf-C2H2 zf-C2H2 zf-C2H2_4
zf-C2H2	Hhon_g04500.t1	zf-met zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g04501.t1	zf-C2H2 zf-C2H2_6 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g05326.t1	SET zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g05411.t1	zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g05462.t1	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g05956.t1	zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g06255.t1	zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g07395.t1	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g07404.t1	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g08283.t1	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g08564.t1	zf_ZIC zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g09473.t1	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g09513.t1	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g09796.t1	zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g10457.t1	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	Hhon_g10515.t1	zf-C2H2_2 zf-C2H2_2 zf-C2H2_2
zf-C2H2	Hhon_g11340.t1	zf-C2H2 zf-C2H2
zf-CXXC	Hhon_g03587.t1	PHD zf-CXXC zf-CpG_bind_C
zf-CXXC	Hhon_g03944.t1	JmjC JHD zf-CXXC PHD_4
zf-CXXC	Hhon_g06185.t1	zf-CXXC Tet_JBP
