AP-2	HoiH23_PlH23_003808-RA	TF_AP-2
Forkhead	HoiH23_PlH23_000554-RA	Forkhead
Forkhead	HoiH23_PlH23_002310-RA	Forkhead
Forkhead	HoiH23_PlH23_002403-RA	Forkhead
Forkhead	HoiH23_PlH23_002591-RA	FOXP-CC Forkhead
Forkhead	HoiH23_PlH23_003776-RA	Forkhead
Forkhead	HoiH23_PlH23_004570-RA	Forkhead
Forkhead	HoiH23_PlH23_005230-RA	Forkhead
Forkhead	HoiH23_PlH23_005233-RA	Forkhead
Forkhead	HoiH23_PlH23_006379-RA	Forkhead
Forkhead	HoiH23_PlH23_007770-RA	Forkhead
Forkhead	HoiH23_PlH23_008008-RA	Forkhead
Forkhead	HoiH23_PlH23_009379-RA	Forkhead
Forkhead	HoiH23_PlH23_009380-RA	Forkhead
Forkhead	HoiH23_PlH23_009381-RA	Forkhead
Forkhead	HoiH23_PlH23_009490-RA	FHA Forkhead
Forkhead	HoiH23_PlH23_009830-RA	Forkhead
Forkhead	HoiH23_PlH23_010243-RA	Forkhead
GATA	HoiH23_PlH23_000224-RA	GATA GATA
GATA	HoiH23_PlH23_000356-RA	GATA GATA
HLH	HoiH23_PlH23_000286-RA	HLH PAS PAS_11
HLH	HoiH23_PlH23_000401-RA	HLH
HLH	HoiH23_PlH23_000541-RA	HLH PAS PAS_11
HLH	HoiH23_PlH23_000690-RA	HLH
HLH	HoiH23_PlH23_000957-RA	HLH
HLH	HoiH23_PlH23_000958-RA	HLH
HLH	HoiH23_PlH23_000959-RA	HLH
HLH	HoiH23_PlH23_000960-RA	HLH
HLH	HoiH23_PlH23_001017-RA	HLH
HLH	HoiH23_PlH23_001081-RA	Myc_N HLH
HLH	HoiH23_PlH23_001303-RA	HLH
HLH	HoiH23_PlH23_001374-RA	HLH Hairy_orange
HLH	HoiH23_PlH23_002456-RA	HLH
HLH	HoiH23_PlH23_002459-RA	HLH
HLH	HoiH23_PlH23_004867-RA	HLH
HLH	HoiH23_PlH23_005488-RA	Pkinase HLH
HLH	HoiH23_PlH23_005930-RA	HLH
HLH	HoiH23_PlH23_006074-RA	HLH
HLH	HoiH23_PlH23_007465-RA	HLH Hairy_orange
HLH	HoiH23_PlH23_007499-RA	HLH
HLH	HoiH23_PlH23_007623-RA	COE1_DBD TIG COE1_HLH
HLH	HoiH23_PlH23_007692-RA	HLH
HLH	HoiH23_PlH23_008074-RA	HLH
HLH	HoiH23_PlH23_009346-RA	HLH
HLH	HoiH23_PlH23_009412-RA	HLH
HLH	HoiH23_PlH23_009413-RA	HLH
HLH	HoiH23_PlH23_009447-RA	HLH
HLH	HoiH23_PlH23_009657-RA	HLH
HLH	HoiH23_PlH23_010122-RA	HLH
HLH	HoiH23_PlH23_010483-RA	HLH
HLH	HoiH23_PlH23_010554-RA	HLH
HMGbox_Sox	HoiH23_PlH23_000249-RA	HMG_box HMG_box
HMGbox_Sox	HoiH23_PlH23_001010-RA	HMG_box
HMGbox_Sox	HoiH23_PlH23_002366-RA	HMG_box
HMGbox_Sox	HoiH23_PlH23_002896-RA	HMG_box
HMGbox_Sox	HoiH23_PlH23_004435-RA	HMG_box
HMGbox_Sox	HoiH23_PlH23_005195-RA	HMG_box_2
HMGbox_Sox	HoiH23_PlH23_006133-RA	HMG_box
HMGbox_Sox	HoiH23_PlH23_006522-RA	WD40 WD40 ANAPC4_WD40 Mcl1_mid HMG_box
HMGbox_Sox	HoiH23_PlH23_007040-RA	HMG_box
HMGbox_Sox	HoiH23_PlH23_007440-RA	HMG_box SOXp
HMGbox_Sox	HoiH23_PlH23_007590-RA	AXH HMG_box
HMGbox_Sox	HoiH23_PlH23_008345-RA	HMG_box
HMGbox_Sox	HoiH23_PlH23_008463-RA	HMG_box
HMGbox_Sox	HoiH23_PlH23_009206-RA	HMG_box
HMGbox_Sox	HoiH23_PlH23_009837-RA	POB3_N SSrecog Rtt106 HMG_box
HMGbox_Sox	HoiH23_PlH23_009935-RA	HMG_box HMG_box
HMGbox_Sox	HoiH23_PlH23_010696-RA	HMG_box
HMGbox_Sox	HoiH23_PlH23_011060-RA	HMG_box SOXp
HMGbox_Sox	HoiH23_PlH23_011077-RA	HMG_box_2
Homeodomains	HoiH23_PlH23_000637-RA	Homeodomain
Homeodomains	HoiH23_PlH23_000679-RA	HNF-1_N
Homeodomains	HoiH23_PlH23_001639-RA	Homeobox_KN
Homeodomains	HoiH23_PlH23_002679-RA	Pou Homeodomain
Homeodomains	HoiH23_PlH23_002938-RA	Homeodomain
Homeodomains	HoiH23_PlH23_003100-RA	PAX Homeodomain
Homeodomains	HoiH23_PlH23_003125-RA	Pou Homeodomain
Homeodomains	HoiH23_PlH23_004506-RA	Homeodomain
Homeodomains	HoiH23_PlH23_004536-RA	Meis_PKNOX_N Homeobox_KN
Homeodomains	HoiH23_PlH23_004726-RA	Homeodomain
Homeodomains	HoiH23_PlH23_004895-RA	LIM LIM Homeodomain
Homeodomains	HoiH23_PlH23_004900-RA	Homeodomain OAR
Homeodomains	HoiH23_PlH23_004901-RA	Homeodomain
Homeodomains	HoiH23_PlH23_004933-RA	Homeodomain
Homeodomains	HoiH23_PlH23_005936-RA	PAX Homeodomain
Homeodomains	HoiH23_PlH23_006561-RA	LIM LIM Homeodomain
Homeodomains	HoiH23_PlH23_006563-RA	LIM LIM Homeodomain
Homeodomains	HoiH23_PlH23_007654-RA	Homeodomain OAR
Homeodomains	HoiH23_PlH23_007693-RA	Homeodomain
Homeodomains	HoiH23_PlH23_008099-RA	Homeodomain
Homeodomains	HoiH23_PlH23_008308-RA	LIM LIM Homeodomain
Homeodomains	HoiH23_PlH23_008320-RA	PBC Homeodomain
Homeodomains	HoiH23_PlH23_008331-RA	LIM LIM Homeodomain
Homeodomains	HoiH23_PlH23_008404-RA	Homeodomain
Homeodomains	HoiH23_PlH23_009302-RA	SIX1_SD Homeodomain
Homeodomains	HoiH23_PlH23_009303-RA	SIX1_SD Homeodomain
Homeodomains	HoiH23_PlH23_009446-RA	Homeodomain
Homeodomains	HoiH23_PlH23_009723-RA	Homeobox_KN
Homeodomains	HoiH23_PlH23_010042-RA	Homeodomain
Homeodomains	HoiH23_PlH23_010043-RA	Homeodomain
Homeodomains	HoiH23_PlH23_010044-RA	Homeodomain
Homeodomains	HoiH23_PlH23_010045-RA	Homeodomain
Homeodomains	HoiH23_PlH23_010816-RA	Homeodomain
Homeodomains	HoiH23_PlH23_010820-RA	Homeodomain
Homeodomains	HoiH23_PlH23_010987-RA	Homeodomain
Homeodomains	HoiH23_PlH23_010988-RA	Homeodomain
Homeodomains	HoiH23_PlH23_010989-RA	Homeodomain
HSF	HoiH23_PlH23_001744-RA	HSF_DNA-bind
HSF	HoiH23_PlH23_002167-RA	HSF_DNA-bind
IRF	HoiH23_PlH23_008602-RA	IRF ZU5 ZU5
IRF	HoiH23_PlH23_010047-RA	IRF
IRF	HoiH23_PlH23_010048-RA	IRF
IRF	HoiH23_PlH23_010049-RA	IRF
IRF	HoiH23_PlH23_010547-RA	IRF
LAG1_CSL	HoiH23_PlH23_001259-RA	LAG1-DNAbind BTD
MADS-box_SRF	HoiH23_PlH23_000452-RA	SRF-TF
MADS-box_SRF	HoiH23_PlH23_000453-RA	SRF-TF
MADS-box_SRF	HoiH23_PlH23_010027-RA	SRF-TF HJURP_C
mTERF	HoiH23_PlH23_002068-RA	mTERF mTERF
mTERF	HoiH23_PlH23_004738-RA	mTERF
mTERF	HoiH23_PlH23_007271-RA	mTERF
mTERF	HoiH23_PlH23_007272-RA	mTERF mTERF
mTERF	HoiH23_PlH23_008995-RA	mTERF
Myb	HoiH23_PlH23_000017-RA	Myb_DNA-binding
Myb	HoiH23_PlH23_000543-RA	Myb_DNA-bind_4
Myb	HoiH23_PlH23_000582-RA	Myb_DNA-binding PAH
Myb	HoiH23_PlH23_001413-RA	zf-C2H2 ELM2 Myb_DNA-binding zf-C2H2_6
Myb	HoiH23_PlH23_001528-RA	Myb_DNA-binding SWIRM JAB
Myb	HoiH23_PlH23_002451-RA	DnaJ Myb_DNA-binding
Myb	HoiH23_PlH23_002592-RA	Myb_DNA-binding
Myb	HoiH23_PlH23_002883-RA	MADF_DNA_bdg
Myb	HoiH23_PlH23_003485-RA	Myb_DNA-binding
Myb	HoiH23_PlH23_003546-RA	Myb_DNA-binding Myb_DNA-bind_6 Cmyb_C
Myb	HoiH23_PlH23_003555-RA	Myb_DNA-bind_7
Myb	HoiH23_PlH23_004866-RA	ELM2 Myb_DNA-binding
Myb	HoiH23_PlH23_005515-RA	Myb_DNA-binding
Myb	HoiH23_PlH23_005813-RA	GPS2_interact Myb_DNA-binding Myb_DNA-binding
Myb	HoiH23_PlH23_005827-RA	Myb_DNA-binding
Myb	HoiH23_PlH23_007672-RA	MADF_DNA_bdg
Myb	HoiH23_PlH23_008294-RA	Myb_DNA-binding Myb_DNA-binding Myb_DNA-binding Myb_DNA-binding
Myb	HoiH23_PlH23_009583-RA	SWIRM-assoc_2 SWIRM Myb_DNA-binding SWIRM-assoc_3 SWIRM-assoc_1
Myb	HoiH23_PlH23_009978-RA	MADF_DNA_bdg
Myb	HoiH23_PlH23_010006-RA	MADF_DNA_bdg
Myb	HoiH23_PlH23_010118-RA	SANT_DAMP1_like DMAP1
Myb	HoiH23_PlH23_010148-RA	Myb_DNA-bind_6 Myb_Cef
Myb	HoiH23_PlH23_010497-RA	BRCT_2 Myb_DNA-bind_2
Myb	HoiH23_PlH23_010545-RA	Myb_DNA-binding
Myb	HoiH23_PlH23_010626-RA	DnaJ RAC_head Myb_DNA-binding
Ndt80_PhoG	HoiH23_PlH23_002272-RA	NDT80_PhoG Peptidase_S74 MRF_C1 MRF_C2
NFX1_ZF	HoiH23_PlH23_001331-RA	ECH_1 3HCDH_N 3HCDH 3HCDH zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 R3H
NFX1_ZF	HoiH23_PlH23_010258-RA	zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1 zf-NF-X1
NFYA	HoiH23_PlH23_010543-RA	CBFB_NFYA
NFYB_NFYC	HoiH23_PlH23_001179-RA	CBFD_NFYB_HMF
NFYB_NFYC	HoiH23_PlH23_003580-RA	CBFD_NFYB_HMF
NFYB_NFYC	HoiH23_PlH23_003612-RA	CBFD_NFYB_HMF
NFYB_NFYC	HoiH23_PlH23_003832-RA	CBFD_NFYB_HMF
NFYB_NFYC	HoiH23_PlH23_009510-RA	CBFD_NFYB_HMF
NFYB_NFYC	HoiH23_PlH23_010470-RA	CBFD_NFYB_HMF
NRF1	HoiH23_PlH23_002554-RA	Nrf1_DNA-bind
NRF1	HoiH23_PlH23_010355-RA	Nrf1_DNA-bind
P53	HoiH23_PlH23_009944-RA	P53 P53_tetramer
RFX	HoiH23_PlH23_001264-RA	RFX_DNA_binding
RFX	HoiH23_PlH23_002172-RA	ARID RFX_DNA_binding
RFX	HoiH23_PlH23_004136-RA	RFX_DNA_binding
RFX	HoiH23_PlH23_008508-RA	RFX_DNA_binding
RFX	HoiH23_PlH23_009624-RA	RFX_DNA_binding
RHD_Rel	HoiH23_PlH23_004034-RA	RHD_DNA_bind
Runt_Runx	HoiH23_PlH23_002676-RA	Runt
SAND	HoiH23_PlH23_004830-RA	SAND SAM_1
SAND	HoiH23_PlH23_011039-RA	SAND
SMAD_MH1	HoiH23_PlH23_000268-RA	MH1 MH2
SMAD_MH1	HoiH23_PlH23_000874-RA	MH1 MH2
SMAD_MH1	HoiH23_PlH23_002604-RA	MH1 MH2
SMAD_MH1	HoiH23_PlH23_005678-RA	MH1 MH2
STAT	HoiH23_PlH23_001912-RA	STAT_int STAT_alpha STAT_bind SH2
STAT	HoiH23_PlH23_003715-RA	STAT_int STAT_alpha STAT_bind SH2
T-box	HoiH23_PlH23_000389-RA	T-box
T-box	HoiH23_PlH23_000390-RA	T-box
T-box	HoiH23_PlH23_003143-RA	T-box
T-box	HoiH23_PlH23_003607-RA	T-box
T-box	HoiH23_PlH23_004194-RA	T-box
T-box	HoiH23_PlH23_009767-RA	T-box
TBP	HoiH23_PlH23_002211-RA	TBP TBP
TBP	HoiH23_PlH23_003225-RA	TBP TBP
TBP	HoiH23_PlH23_010473-RA	TBP-binding DUF3591 zf-CCHC_6 Bromodomain Bromodomain
TEA	HoiH23_PlH23_006058-RA	TEA YBD
Tesmin_TSO1-like	HoiH23_PlH23_003089-RA	TCR TCR
TFIIA	HoiH23_PlH23_001840-RA	TFIIA TFIIA
TFIIB	HoiH23_PlH23_002536-RA	TF_Zn_Ribbon TFIIB TFIIB
TFIIB	HoiH23_PlH23_009005-RA	TF_Zn_Ribbon TFIIB TFIIB BRF1
THAP_finger	HoiH23_PlH23_003424-RA	THAP
THAP_finger	HoiH23_PlH23_008747-RA	THAP
THAP_finger	HoiH23_PlH23_008749-RA	THAP
THAP_finger	HoiH23_PlH23_010601-RA	THAP
THAP_finger	HoiH23_PlH23_010731-RA	THAP DDE_Tnp_4
Tub	HoiH23_PlH23_007135-RA	Tub
YL1	HoiH23_PlH23_002006-RA	YL1 YL1_C
zf-BED	HoiH23_PlH23_003431-RA	zf-BED DUF659 Dimer_Tnp_hAT
zf-C4_Nuclear_receptors	HoiH23_PlH23_000088-RA	zf-C4 Hormone_recep
zf-C4_Nuclear_receptors	HoiH23_PlH23_002491-RA	zf-C4 Hormone_recep
zf-C4_Nuclear_receptors	HoiH23_PlH23_005607-RA	zf-C4 Hormone_recep
zf-C4_Nuclear_receptors	HoiH23_PlH23_006228-RA	zf-C4 Hormone_recep
zf-C4_Nuclear_receptors	HoiH23_PlH23_009307-RA	zf-C4 Hormone_recep
zf-met	HoiH23_PlH23_001080-RA	IPPT zf-met
zf-met	HoiH23_PlH23_002559-RA	zf-C2H2_jaz zf-met
zf-met	HoiH23_PlH23_003303-RA	zf-C2H2 zf-met zf-C2H2 zf-C2H2_6 zf-C2H2_6
zf-met	HoiH23_PlH23_004898-RA	SCAPER_N zf-met
zf-met	HoiH23_PlH23_007791-RA	zf-met zf-C2H2_jaz DZF
zf-MIZ	HoiH23_PlH23_009359-RA	PINIT zf-MIZ
zf-C2H2	HoiH23_PlH23_000274-RA	zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_000744-RA	zf-C2H2 zf-C2H2_6 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_001413-RA	zf-C2H2 ELM2 Myb_DNA-binding zf-C2H2_6
zf-C2H2	HoiH23_PlH23_001423-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_001933-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-H2C2_2
zf-C2H2	HoiH23_PlH23_001934-RA	zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_001935-RA	zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_001936-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_001937-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_002090-RA	zf-C2H2_jaz zf-C2H2_2
zf-C2H2	HoiH23_PlH23_002369-RA	zf_ZIC zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_002514-RA	zf-C2H2 zf-C2H2_6 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_003047-RA	zf-C2H2 zf-C2H2 zf-C2H2_4
zf-C2H2	HoiH23_PlH23_003303-RA	zf-C2H2 zf-met zf-C2H2 zf-C2H2_6 zf-C2H2_6
zf-C2H2	HoiH23_PlH23_003415-RA	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_003661-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_003745-RA	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_003771-RA	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_005349-RA	zf-C2H2_2 zf-C2H2_2
zf-C2H2	HoiH23_PlH23_005435-RA	zf-C2H2
zf-C2H2	HoiH23_PlH23_005981-RA	zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_006716-RA	zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_007461-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_007882-RA	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_008047-RA	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_008115-RA	zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_008203-RA	zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_008327-RA	SET zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_008766-RA	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_008786-RA	zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_008899-RA	zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_010430-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_010552-RA	zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_010906-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2_6 zf-C2H2
zf-C2H2	HoiH23_PlH23_010995-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_011079-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-C2H2	HoiH23_PlH23_011683-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
zf-CXXC	HoiH23_PlH23_001408-RA	PHD zf-CXXC zf-CpG_bind_C
zf-CXXC	HoiH23_PlH23_001869-RA	zf-CXXC Tet_JBP
zf-CXXC	HoiH23_PlH23_004249-RA	JmjC JHD zf-CXXC PHD_4
