TrH2_hyp_clust10124.t1	DDE_Tnp_4
TrH2_TrispH2_000064-RA	Glyco_hydro_63N Glyco_hydro_63
TrH2_TrispH2_000065-RA	DUF667
TrH2_TrispH2_000067-RA	RRM_1
TrH2_TrispH2_000068-RA	RAP
TrH2_TrispH2_000069-RA	Armet
TrH2_TrispH2_000070-RA	RabGAP-TBC
TrH2_TrispH2_000071-RA	
TrH2_TrispH2_000072-RA	ING
TrH2_TrispH2_000073-RA	fn3 fn3 Y_phosphatase Y_phosphatase
TrH2_TrispH2_000074-RA	
TrH2_TrispH2_000075-RA	TPT
TrH2_TrispH2_000076-RA	LRR_8 LRR_8 LRR_8 LRR_8 I-set I-set
TrH2_TrispH2_000077-RA	JmjC JHD
TrH2_TrispH2_000078-RA	Muskelin_N Kelch_4 Kelch_5
TrH2_TrispH2_000079-RA	Peptidase_M16 Peptidase_M16_C
TrH2_TrispH2_000080-RA	Pkinase
TrH2_TrispH2_000081-RA	Ion_trans Ion_trans Ion_trans Ion_trans GPHH Ca_chan_IQ
TrH2_TrispH2_000082-RA	Pepdidase_M14_N Peptidase_M14
TrH2_TrispH2_000083-RA	Pkinase
TrH2_TrispH2_000084-RA	DUF4551 DUF4551
TrH2_TrispH2_000085-RA	LAMTOR5
TrH2_TrispH2_000086-RA	RtcB
TrH2_TrispH2_000087-RA	RNA_polI_A34
TrH2_TrispH2_000088-RA	Pkinase
TrH2_TrispH2_000089-RA	DUF2013
TrH2_TrispH2_000090-RA	BicD BicD
TrH2_TrispH2_000091-RA	DUF4200
TrH2_TrispH2_000092-RA	Pkinase
TrH2_TrispH2_000093-RA	STAT_int STAT_alpha STAT_bind SH2
TrH2_TrispH2_000094-RA	Ras
TrH2_TrispH2_000095-RA	Death
TrH2_TrispH2_000096-RA	ESSS
TrH2_TrispH2_000097-RA	
TrH2_TrispH2_000098-RA	mRNA_decap_C
TrH2_TrispH2_000099-RA	Pex26
TrH2_TrispH2_000100-RA	MARVEL
TrH2_TrispH2_000101-RA	tRNA-synt_1_2 tRNA-synt_1 tRNA-synt_1 Anticodon_1
TrH2_TrispH2_000102-RA	Cytochrom_B558a
TrH2_TrispH2_000103-RA	tRNA_Me_trans
TrH2_TrispH2_000104-RA	
TrH2_TrispH2_000105-RA	DUF4486
TrH2_TrispH2_000106-RA	Arf
TrH2_TrispH2_000107-RA	CRIM SIN1_PH
TrH2_TrispH2_000108-RA	DEAD Helicase_C
TrH2_TrispH2_000109-RA	Dynamin_N Dynamin_M GED
TrH2_TrispH2_000110-RA	WD40 WD40 WD40 WD40 WD40 Katanin_con80
TrH2_TrispH2_000111-RA	CBF_beta
TrH2_TrispH2_000112-RA	
TrH2_TrispH2_000113-RA	CortBP2 Ank_2 Ank_4
TrH2_TrispH2_000114-RA	Ribosomal_L18A
TrH2_TrispH2_000115-RA	Ras
TrH2_TrispH2_000116-RA	DCB Sec7_N DUF1981 Mon2_C Mon2_C
TrH2_TrispH2_000117-RA	Glyco_transf_90
TrH2_TrispH2_000118-RA	SCA7
TrH2_TrispH2_000119-RA	Myotub-related
TrH2_TrispH2_000120-RA	EF-hand_7
TrH2_TrispH2_000121-RA	
TrH2_TrispH2_000122-RA	Sec7 IQ_SEC7_PH
TrH2_TrispH2_000123-RA	Peptidase_C48
TrH2_TrispH2_000124-RA	eIF-6
TrH2_TrispH2_000125-RA	RMP
TrH2_TrispH2_000126-RA	SQS_PSY
TrH2_TrispH2_000127-RA	CDO_I
TrH2_TrispH2_000128-RA	DHO_dh
TrH2_TrispH2_000129-RA	Proteasome_A_N Proteasome
TrH2_TrispH2_000130-RA	
TrH2_TrispH2_000131-RA	RTP1_C1 RTP1_C2
TrH2_TrispH2_000132-RA	Ribosomal_L13e
TrH2_TrispH2_000133-RA	NAGPA EGF_2
TrH2_TrispH2_000134-RA	Cactin_mid CactinC_cactus
TrH2_TrispH2_000135-RA	COX7C
TrH2_TrispH2_000136-RA	Phosphodiest PigN
TrH2_TrispH2_000137-RA	EnY2
TrH2_TrispH2_000138-RA	Beach WD40 WD40 WD40 WD40
TrH2_TrispH2_000139-RA	FA_desaturase
TrH2_TrispH2_000140-RA	Motile_Sperm
TrH2_TrispH2_000141-RA	Na_H_Exchanger
TrH2_TrispH2_000142-RA	zf-CXXC Tet_JBP
TrH2_TrispH2_000143-RA	
TrH2_TrispH2_000144-RA	wnt
TrH2_TrispH2_000145-RA	DLIC DLIC
TrH2_TrispH2_000146-RA	ATP-synt_C
TrH2_TrispH2_000147-RA	Mannosyl_trans
TrH2_TrispH2_000148-RA	Rsm22
TrH2_TrispH2_000149-RA	Alg6_Alg8
TrH2_TrispH2_000150-RA	Y_phosphatase
TrH2_TrispH2_000151-RA	PEPCK_N PEPCK_GTP
TrH2_TrispH2_000152-RA	AC_N Guanylate_cyc DUF1053 Guanylate_cyc
TrH2_TrispH2_000153-RA	Aminotran_1_2
TrH2_TrispH2_000154-RA	Tmemb_170
TrH2_TrispH2_000155-RA	SH3_9 Serine_rich CAS_C
TrH2_TrispH2_000156-RA	BCNT
TrH2_TrispH2_000157-RA	CS
TrH2_TrispH2_000158-RA	PIN_6 NOB1_Zn_bind
TrH2_TrispH2_000159-RA	Pyr_redox_3
TrH2_TrispH2_000160-RA	Syntaxin
TrH2_TrispH2_000161-RA	Thioredoxin Thioredoxin_6
TrH2_TrispH2_000162-RA	DUF4505
TrH2_TrispH2_000163-RA	UQ_con
TrH2_TrispH2_000164-RA	
TrH2_TrispH2_000165-RA	
TrH2_TrispH2_000166-RA	DEAD Helicase_C
TrH2_TrispH2_000167-RA	PX PB1
TrH2_TrispH2_000168-RA	UPF0183
TrH2_TrispH2_000169-RA	7tm_1
TrH2_TrispH2_000170-RA	F-box-like WD40 WD40 WD40 WD40 WD40 WD40
TrH2_TrispH2_000171-RA	Glyco_hydro_47
TrH2_TrispH2_000172-RA	Inositol_P
TrH2_TrispH2_000173-RA	
TrH2_TrispH2_000174-RA	CTNNBL
TrH2_TrispH2_000175-RA	FACT-Spt16_Nlob Peptidase_M24 SPT16 Rtt106
TrH2_TrispH2_000176-RA	PUB zf-C3HC4 E3_UbLigase_RBR
TrH2_TrispH2_000177-RA	SH2 SH2
TrH2_TrispH2_000178-RA	PIG-U
TrH2_TrispH2_000179-RA	
TrH2_TrispH2_000180-RA	
TrH2_TrispH2_000181-RA	Pyr_redox_2 Pyr_redox_dim
TrH2_TrispH2_000182-RA	HVSL
TrH2_TrispH2_000183-RA	ARL2_Bind_BART
TrH2_TrispH2_000184-RA	Nic96
TrH2_TrispH2_000185-RA	
TrH2_TrispH2_000186-RA	
TrH2_TrispH2_000187-RA	TPR_16 TPR_8 TPR_8 TPR_8
TrH2_TrispH2_000188-RA	AAA
TrH2_TrispH2_000189-RA	TPT
TrH2_TrispH2_000190-RA	Hydrolase_4 Hydrolase_4
TrH2_TrispH2_000191-RA	Aa_trans
TrH2_TrispH2_000192-RA	Pdase_M17_N2 Peptidase_M17
TrH2_TrispH2_000193-RA	CID CREPT
TrH2_TrispH2_000194-RA	Bromodomain DUF3512
TrH2_TrispH2_000195-RA	4HBT
TrH2_TrispH2_000196-RA	CEP76-C2
TrH2_TrispH2_000197-RA	7tm_1
TrH2_TrispH2_000198-RA	7tm_1
TrH2_TrispH2_000199-RA	MatE MatE
TrH2_TrispH2_000200-RA	Ank_2 Ank
TrH2_TrispH2_000201-RA	AAT
TrH2_TrispH2_000202-RA	adh_short MaoC_dehydratas SCP2
TrH2_TrispH2_000203-RA	Peptidase_S8
TrH2_TrispH2_000204-RA	Acetyltransf_1
TrH2_TrispH2_000205-RA	MIT AAA AAA_lid_3 Vps4_C
TrH2_TrispH2_000206-RA	vATP-synt_AC39
TrH2_TrispH2_000207-RA	adh_short
TrH2_TrispH2_000208-RA	zf-C2H2 zf-C2H2 zf-C2H2 zf-C2H2
TrH2_TrispH2_000209-RA	zf-C2H2 zf-C2H2_6 zf-C2H2 zf-C2H2 zf-C2H2
TrH2_TrispH2_000210-RA	7tm_1
TrH2_TrispH2_000211-RA	MCM_N MCM_OB MCM MCM_lid
TrH2_TrispH2_000212-RA	PGI
TrH2_TrispH2_000213-RA	TSNAXIP1_N
TrH2_TrispH2_000214-RA	AIG2_2
TrH2_TrispH2_000215-RA	
TrH2_TrispH2_000216-RA	RTTN_N
TrH2_TrispH2_000217-RA	FtsH_ext AAA AAA_lid_3 Peptidase_M41
TrH2_TrispH2_000218-RA	FSH1
TrH2_TrispH2_000219-RA	WD40 WD40 WD40 WD40
TrH2_TrispH2_000220-RA	
TrH2_TrispH2_000221-RA	Complex1_30kDa
TrH2_TrispH2_000222-RA	PCI CSN4_RPN5_eIF3a
TrH2_TrispH2_000223-RA	
TrH2_TrispH2_000224-RA	Ank_2
TrH2_TrispH2_000225-RA	Ank_2
TrH2_TrispH2_000226-RA	Acyltransferase EF-hand_5 EF-hand_7
TrH2_TrispH2_000227-RA	VCBS
TrH2_TrispH2_000228-RA	Acyltransferase EF-hand_4
TrH2_TrispH2_000229-RA	Glyco_hydro_15
TrH2_TrispH2_000230-RA	DUF1604 G-patch
TrH2_TrispH2_000231-RA	zf-RING_UBOX zf-B_box Filamin NHL NHL NHL NHL NHL NHL
TrH2_TrispH2_000232-RA	
TrH2_TrispH2_000233-RA	ANF_receptor 7tm_3
TrH2_TrispH2_000234-RA	ANF_receptor
TrH2_TrispH2_000235-RA	TMEM72
TrH2_TrispH2_000236-RA	Tetraspanin
TrH2_TrispH2_000237-RA	Leo1
TrH2_TrispH2_000241-RA	ubiquitin zf-AN1
TrH2_TrispH2_000242-RA	Metallophos
TrH2_TrispH2_000243-RA	Longin Synaptobrevin
TrH2_TrispH2_000244-RA	DUF3719 DUF3719
TrH2_TrispH2_000245-RA	FERM_N FERM_M FERM_C PDZ PDZ PDZ PDZ PDZ PDZ Y_phosphatase
TrH2_TrispH2_000246-RA	WD40
TrH2_TrispH2_000247-RA	Pkinase CaMKII_AD
TrH2_TrispH2_000248-RA	eIF_4EBP
TrH2_TrispH2_000249-RA	Band_7
TrH2_TrispH2_000250-RA	OST3_OST6
TrH2_TrispH2_000251-RA	F-box-like WD40 WD40 WD40 WD40 WD40 WD40 WD40
TrH2_TrispH2_000252-RA	LRR_8 Exo_endo_phos
TrH2_TrispH2_000253-RA	
TrH2_TrispH2_000254-RA	TIP49 TIP49_C
TrH2_TrispH2_000255-RA	
TrH2_TrispH2_000256-RA	
TrH2_TrispH2_000257-RA	UQ_con
TrH2_TrispH2_000258-RA	PAX Homeodomain
TrH2_TrispH2_000259-RA	
TrH2_TrispH2_000260-RA	cNMP_binding cNMP_binding Pkinase
TrH2_TrispH2_000261-RA	
TrH2_TrispH2_000262-RA	
TrH2_TrispH2_000263-RA	SapB_2 SapB_1 SapB_2 SapB_1 SapB_2 SapA
TrH2_TrispH2_000264-RA	ARPC4
TrH2_TrispH2_000265-RA	7tm_1
TrH2_TrispH2_000266-RA	Metallophos
TrH2_TrispH2_000267-RA	zf-Sec23_Sec24 Sec23_trunk Sec23_BS Sec23_helical Gelsolin
TrH2_TrispH2_000268-RA	COMM_domain
TrH2_TrispH2_000269-RA	
TrH2_TrispH2_000270-RA	TCR TCR
TrH2_TrispH2_000271-RA	Porin_3
TrH2_TrispH2_000272-RA	cNMP_binding Pkinase
TrH2_TrispH2_000273-RA	PTPlike_phytase PTPlike_phytase
TrH2_TrispH2_000274-RA	COX6A
TrH2_TrispH2_000275-RA	RRM_1 RRM_1 RRM_1 RRM_1 RRM_1 RRM_1
TrH2_TrispH2_000276-RA	AA_permease SLC12
TrH2_TrispH2_000277-RA	SpoIIE
TrH2_TrispH2_000278-RA	FYVE_2 C2 C2
TrH2_TrispH2_000279-RA	DUF1899 WD40 WD40 WD40 WD40_4
TrH2_TrispH2_000280-RA	Adaptin_N AP3D1
TrH2_TrispH2_000281-RA	FAD_binding_2 GIDA GIDA_assoc
TrH2_TrispH2_000282-RA	Telomerase_RBD RVT_1
TrH2_TrispH2_000283-RA	
TrH2_TrispH2_000284-RA	Sds3
TrH2_TrispH2_000285-RA	WD40 WD40 ANAPC4_WD40
TrH2_TrispH2_000286-RA	Tetraspanin
TrH2_TrispH2_000287-RA	NCBP3
TrH2_TrispH2_000288-RA	Lyase_1 ASL_C2
TrH2_TrispH2_000289-RA	F-box-like LRR_6 LRR_6
TrH2_TrispH2_000290-RA	Kinesin
TrH2_TrispH2_000291-RA	DUF3342
TrH2_TrispH2_000292-RA	TAFII55_N
TrH2_TrispH2_000293-RA	NIT Guanylate_cyc
TrH2_TrispH2_000294-RA	SpoU_methylase
TrH2_TrispH2_000295-RA	NUDIX
TrH2_TrispH2_000296-RA	Diphthamide_syn
TrH2_TrispH2_000297-RA	Smoothelin CH
TrH2_TrispH2_000298-RA	LRR_8
TrH2_TrispH2_000299-RA	Ribosomal_L23eN Ribosomal_L23
TrH2_TrispH2_000300-RA	DUF3161
TrH2_TrispH2_000301-RA	GATA GATA
TrH2_TrispH2_000302-RA	SAM_KSR1 C1_1 Pkinase_Tyr
TrH2_TrispH2_000303-RA	DUF4209
TrH2_TrispH2_000304-RA	
TrH2_TrispH2_000305-RA	Pyr_redox_2 Pyr_redox_dim
TrH2_TrispH2_000306-RA	
TrH2_TrispH2_000307-RA	WD40 WD40
TrH2_TrispH2_000308-RA	HSCB_C
TrH2_TrispH2_000309-RA	Rieske Pyr_redox_2 Reductase_C
TrH2_TrispH2_000310-RA	zf-C3HC4_3
TrH2_TrispH2_000311-RA	FmiP_Thoc5
TrH2_TrispH2_000312-RA	SAM_2 RA RA
TrH2_TrispH2_000313-RA	Roc
TrH2_TrispH2_000314-RA	Pkinase
TrH2_TrispH2_000315-RA	
TrH2_TrispH2_000316-RA	Metallophos_2
TrH2_TrispH2_000317-RA	Myotub-related FYVE
TrH2_TrispH2_000318-RA	Thioredoxin
TrH2_TrispH2_000319-RA	DER1
TrH2_TrispH2_000320-RA	GLE1
TrH2_TrispH2_000321-RA	PSP
TrH2_TrispH2_000322-RA	zf-C3HC4
TrH2_TrispH2_000323-RA	CAP_GLY CAP_GLY CLIP1_ZNF
TrH2_TrispH2_000324-RA	RNA_pol_L_2
TrH2_TrispH2_000325-RA	EMG1
TrH2_TrispH2_000326-RA	
TrH2_TrispH2_000327-RA	MFS_2
TrH2_TrispH2_000328-RA	Foie-gras_1 Gryzun-like
TrH2_TrispH2_000329-RA	LRR_8 LRR_8 LRR_8 LRR_8 LRR_8 LRR_8
TrH2_TrispH2_000330-RA	Ocular_alb
TrH2_TrispH2_000331-RA	
TrH2_TrispH2_000332-RA	DEAD_2 Helicase_C_2
TrH2_TrispH2_000333-RA	T-box
TrH2_TrispH2_000334-RA	T-box
TrH2_TrispH2_000335-RA	
TrH2_TrispH2_000336-RA	
TrH2_TrispH2_000337-RA	
TrH2_TrispH2_000338-RA	BCAS3
TrH2_TrispH2_000339-RA	TANGO2
TrH2_TrispH2_000340-RA	Lactamase_B_6 Beta-Casp RMMBL CPSF100_C
TrH2_TrispH2_000341-RA	DNA_pol_B_exo1 DNA_pol_B DUF1744
TrH2_TrispH2_000342-RA	
TrH2_TrispH2_000343-RA	Ras
TrH2_TrispH2_000344-RA	HATPase_c_3 MutL_C
TrH2_TrispH2_000345-RA	Phosphorylase
TrH2_TrispH2_000346-RA	Ribosomal_S5 Ribosomal_S5_C
TrH2_TrispH2_000347-RA	COX16
TrH2_TrispH2_000348-RA	HLH
TrH2_TrispH2_000349-RA	Actin Actin
TrH2_TrispH2_000350-RA	CBF
TrH2_TrispH2_000351-RA	DUF4735
TrH2_TrispH2_000352-RA	
TrH2_TrispH2_000353-RA	EMP24_GP25L
TrH2_TrispH2_000354-RA	PfkB
TrH2_TrispH2_000355-RA	GBP GBP_C
TrH2_TrispH2_000356-RA	TPR_9
TrH2_TrispH2_000357-RA	CCSAP
TrH2_TrispH2_000358-RA	
TrH2_TrispH2_000359-RA	PPR_long PRORP
TrH2_TrispH2_000360-RA	DUF4497
TrH2_TrispH2_000361-RA	Img2
TrH2_TrispH2_000362-RA	
TrH2_TrispH2_000363-RA	Methyltransf_31
TrH2_TrispH2_000364-RA	Cript
TrH2_TrispH2_000365-RA	FIBP
TrH2_TrispH2_000366-RA	Rod_C
TrH2_TrispH2_000367-RA	
TrH2_TrispH2_000368-RA	Biotin_carb_N CPSase_L_D2 Biotin_carb_C HMGL-like PYC_OADA Biotin_lipoyl
TrH2_TrispH2_000369-RA	Aquarius_N AAA_11 AAA_12
TrH2_TrispH2_000370-RA	Aha1_N AHSA1
TrH2_TrispH2_000371-RA	COX7a
TrH2_TrispH2_000372-RA	RPN6_N PCI RPN6_C_helix
TrH2_TrispH2_000373-RA	TRAPP
TrH2_TrispH2_000374-RA	
TrH2_TrispH2_000375-RA	Churchill
TrH2_TrispH2_000376-RA	Gcd10p Gcd10p
TrH2_TrispH2_000377-RA	
TrH2_TrispH2_000378-RA	Pinin_SDK_N Pinin_SDK_memA
TrH2_TrispH2_000379-RA	Peptidase_M14
TrH2_TrispH2_000380-RA	GCD14
TrH2_TrispH2_000381-RA	NRDE-2
TrH2_TrispH2_000382-RA	LRR_6 LRR_6 LRR_6
TrH2_TrispH2_000383-RA	
TrH2_TrispH2_000384-RA	zf-C3HC4_3
TrH2_TrispH2_000385-RA	FANCL_d1 FANCL_d2 FANCL_d3 FANCL_C
TrH2_TrispH2_000386-RA	eIF-1a
TrH2_TrispH2_000387-RA	BAF
TrH2_TrispH2_000388-RA	Sds3
TrH2_TrispH2_000389-RA	Pyr_redox_2
TrH2_TrispH2_000390-RA	DEAD Helicase_C DUF4217
TrH2_TrispH2_000391-RA	14-3-3
TrH2_TrispH2_000392-RA	
TrH2_TrispH2_000393-RA	FtsJ DUF3381 Spb1_C
TrH2_TrispH2_000394-RA	UCH
TrH2_TrispH2_000395-RA	STPPase_N Metallophos
TrH2_TrispH2_000396-RA	DUF1168
TrH2_TrispH2_000397-RA	
TrH2_TrispH2_000398-RA	SRF-TF
TrH2_TrispH2_000399-RA	SRF-TF
TrH2_TrispH2_000400-RA	zf-RING_2
TrH2_TrispH2_000401-RA	TMPIT
TrH2_TrispH2_000402-RA	Malectin FBA
TrH2_TrispH2_000403-RA	Spectrin Spectrin Spectrin Spectrin Spectrin Spectrin Spectrin Spectrin Spectrin SH3_9 Spectrin Spectrin Spectrin Spectrin Spectrin Spectrin Spectrin Spectrin Spectrin Spectrin Spectrin EF-hand_7 EFhand_Ca_insen
TrH2_TrispH2_000404-RA	P2X_receptor
TrH2_TrispH2_000405-RA	3HCDH_N zf-C3HC4_3
TrH2_TrispH2_000406-RA	Mito_carr Mito_carr Mito_carr
TrH2_TrispH2_000407-RA	Inositol_P
TrH2_TrispH2_000408-RA	Pkinase
TrH2_TrispH2_000409-RA	
TrH2_TrispH2_000410-RA	Sde2_N_Ubi
TrH2_TrispH2_000411-RA	
TrH2_TrispH2_000412-RA	CCDC32
TrH2_TrispH2_000413-RA	Hydrolase_4
TrH2_TrispH2_000414-RA	Sld5
TrH2_TrispH2_000415-RA	PMT MIR PMT_4TMC
TrH2_TrispH2_000416-RA	Aminotran_1_2
TrH2_TrispH2_000417-RA	Globin
TrH2_TrispH2_000418-RA	Aldo_ket_red
TrH2_TrispH2_000419-RA	PPPI_inhib
TrH2_TrispH2_000420-RA	Asparaginase Asparaginase_C Ank_2 Ank_5
TrH2_TrispH2_000421-RA	C1_1 Pkinase
TrH2_TrispH2_000422-RA	MNNL DSL EGF EGF EGF EGF EGF hEGF hEGF hEGF
TrH2_TrispH2_000423-RA	C1_1 Pkinase_C
TrH2_TrispH2_000424-RA	
TrH2_TrispH2_000425-RA	Mitoc_mL59
TrH2_TrispH2_000426-RA	WD40
TrH2_TrispH2_000427-RA	TPD
TrH2_TrispH2_000429-RA	Meis_PKNOX_N Homeobox_KN
TrH2_TrispH2_000430-RA	WD40 WD40
TrH2_TrispH2_000431-RA	Aminotran_5 ATP_bind_3
TrH2_TrispH2_000432-RA	2-Hacid_dh 2-Hacid_dh_C
TrH2_TrispH2_000433-RA	LIM
TrH2_TrispH2_000434-RA	LIM
TrH2_TrispH2_000435-RA	Homeodomain
TrH2_TrispH2_000436-RA	Codanin-1_C
TrH2_TrispH2_000437-RA	DUF4203
TrH2_TrispH2_000438-RA	Myosin_head Myosin_head IQ MyTH4 FERM_M MyTH4 FERM_M
TrH2_TrispH2_000439-RA	PAP_central NTP_transf_2 PAP_RNA-bind PAP_RNA-bind
TrH2_TrispH2_000440-RA	SH2 VPS9
TrH2_TrispH2_000441-RA	Filamin HECT
TrH2_TrispH2_000442-RA	SprT-like
TrH2_TrispH2_000443-RA	FMN_dh
TrH2_TrispH2_000444-RA	Metallophos
TrH2_TrispH2_000445-RA	HMG_box_2
TrH2_TrispH2_000446-RA	DUF3452 RB_A RB_B
TrH2_TrispH2_000447-RA	DUF563
TrH2_TrispH2_000448-RA	FtsH_ext AAA AAA_lid_3 Peptidase_M41
TrH2_TrispH2_000449-RA	PRMT5_TIM PRMT5 PRMT5_C
TrH2_TrispH2_000450-RA	Ribosomal_L16
TrH2_TrispH2_000451-RA	PUF PUF PUF
TrH2_TrispH2_000452-RA	Proteasome_A_N Proteasome
TrH2_TrispH2_000453-RA	NTF2
TrH2_TrispH2_000454-RA	LSM14 FDF
TrH2_TrispH2_000455-RA	SSXT
TrH2_TrispH2_000456-RA	TAFH TAF4
TrH2_TrispH2_000457-RA	SPRY zf-C3HC4_3
TrH2_TrispH2_000458-RA	BROMI
TrH2_TrispH2_000459-RA	Topoisom_I_N Topoisom_I Topo_C_assoc
TrH2_TrispH2_000460-RA	
TrH2_TrispH2_000461-RA	
TrH2_TrispH2_000462-RA	
TrH2_TrispH2_000463-RA	
TrH2_TrispH2_000464-RA	
TrH2_TrispH2_000465-RA	SH3_1
TrH2_TrispH2_000466-RA	SH3_1 SH2 Pkinase_Tyr
TrH2_TrispH2_000467-RA	SH3_1 SH2 Pkinase_Tyr
TrH2_TrispH2_000468-RA	
TrH2_TrispH2_000469-RA	CLAMP
TrH2_TrispH2_000470-RA	
TrH2_TrispH2_000471-RA	WD40 NUC153
TrH2_TrispH2_000472-RA	TPR_16 TPR_8
TrH2_TrispH2_000473-RA	Metallophos Metallophos
TrH2_TrispH2_000474-RA	
TrH2_TrispH2_000475-RA	GST_N GST_C_3
TrH2_TrispH2_000476-RA	GST_N GST_C_3
TrH2_TrispH2_000477-RA	GST_N GST_C_3
TrH2_TrispH2_000478-RA	MutS_IV MutS_V
TrH2_TrispH2_000479-RA	Rhodanese
TrH2_TrispH2_000480-RA	NTP_transferase Hexapep
TrH2_TrispH2_000481-RA	Peptidase_M28
TrH2_TrispH2_000482-RA	TRAPP
TrH2_TrispH2_000483-RA	
TrH2_TrispH2_000484-RA	PfkB
TrH2_TrispH2_000485-RA	RICTOR_N RICTOR_M RasGEF_N_2 RICTOR_V
TrH2_TrispH2_000486-RA	ANAPC4_WD40 WD40 WD40 WD40
TrH2_TrispH2_000487-RA	Acetyltransf_1
TrH2_TrispH2_000488-RA	Glycos_transf_2
TrH2_TrispH2_000489-RA	DUF2228
TrH2_TrispH2_000490-RA	Synaptobrevin
TrH2_TrispH2_000491-RA	Ldl_recept_a Ldl_recept_a Ldl_recept_a Ldl_recept_a Ldl_recept_a Ldl_recept_a Ldl_recept_a cEGF Ldl_recept_b Ldl_recept_b Ldl_recept_b
TrH2_TrispH2_000492-RA	Ldl_recept_a
TrH2_TrispH2_000493-RA	DSPn DSPn DSPc
TrH2_TrispH2_000494-RA	AhpC-TSA_2
TrH2_TrispH2_000495-RA	AhpC-TSA_2
TrH2_TrispH2_000496-RA	PDZ RhoGAP
TrH2_TrispH2_000497-RA	BTB BACK
