TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	Hhon_cell_type	Hhon_color	Hhon_leiden_clusters	batch	species	metacell;metacell_mapping_scores	X_umap1	X_umap2
epithelia_dorsal_like	mediumorchid4	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_173	1.6080186	12.467321
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_69	12.192163	-3.1562433
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_82	12.4018135	-3.3894467
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_59	12.048386	-3.3485816
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	11.991581	-3.291595
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_75	12.950251	-3.4590328
trans_lipophil_1_fibre	gray90	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	12.140695	-2.864741
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_177	1.6183099	12.288789
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	1.5331553	12.755863
epithelia_dorsal	mediumorchid3	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_190	2.3549845	12.752678
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_178	4.002256	13.2111225
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_63	12.014959	-3.406871
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	5.912078	10.04322
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_63	11.967904	-3.3381033
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	1.8770974	11.412249
trans_lipophil_1_fibre	gray90	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	12.493343	-2.322434
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	1.6939754	11.988682
trans_epithelia_ventral_peptidergic	gray60	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_158	5.9471707	10.036545
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	1.4634082	12.913783
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_68	11.8759165	-3.22532
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	1.7221004	11.869352
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_153	6.1890936	10.015758
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	1.7385818	11.859003
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_77	11.077679	-1.6604303
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_16	-10.837854	3.624384
trans_epithelia_dorsal_ventral	gray95	49	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	2.1503866	10.714295
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_78	11.206778	-1.9234647
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_10	-11.658208	4.5710497
trans_fibre_epithelia	gray85	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	12.199882	-3.164547
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_61	11.091459	-1.6547595
epithelia_ventral	orchid1	41	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_139	15.95528	-7.9301615
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_171	1.7114551	11.860404
trans_lipophil_1_gland	gray75	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_39	-1.7544222	2.154113
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	13.341798	-3.2863538
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_64	12.415875	-3.4643354
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_71	12.281851	-3.1519265
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_98	-0.40625498	1.1993992
epithelia_dorsal	mediumorchid3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_180	-1.7535098	1.5082594
unknown_2.1	darkolivegreen3	33	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_46	6.4523606	16.152838
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_160	3.3664107	11.721573
unknown_2.2	darkolivegreen3	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_47	5.772473	10.816913
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	1.506167	12.767391
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_170	2.1385458	11.004422
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	12.042825	-3.3030126
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	12.706168	-3.4890416
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_72	13.79277	-2.8936806
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_64	11.972057	-3.1109226
peptidergic_eta	royalblue1	35	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_203	2.1623824	-7.694537
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	1.7766852	11.723809
epithelia_dorsal_like	mediumorchid4	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	12.413194	-3.2841434
trans_epithelia_dorsal_ventral	gray95	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	2.6604726	11.549167
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_81	12.592298	-3.321222
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_3	-11.857733	3.4789548
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_71	12.004198	-3.253127
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	6.216937	10.142622
trans_epithelia_dorsal_ventral	gray95	0	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_161	7.122113	9.470631
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	12.366881	-2.48852
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_69	12.459948	-3.4124641
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	1.4732716	12.721027
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	1.7370038	11.857146
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_171	1.7445117	11.875726
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_76	10.921544	-1.3657994
trans_fibre_epithelia	gray85	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	11.029082	-1.6118151
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	7.684869	-4.4564037
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	11.914701	-3.2993639
epithelia_ventral	orchid1	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_146	10.336471	23.438969
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_75	13.312109	-3.216134
trans_epithelia_dorsal_ventral	gray95	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	2.788969	11.52361
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_63	12.157133	-3.3229804
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_76	11.07755	-1.4701664
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_2	-11.459343	3.4212422
fibre	chartreuse3	44	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_60	-7.6513357	10.307453
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_64	12.048908	-3.3457215
trans_lipophil_1_gland	gray75	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_39	-1.082172	1.8404903
epithelia_ventral	orchid1	30	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_133	4.8498816	6.8560014
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_81	12.05716	-3.3356721
epithelia_dorsal_like	mediumorchid4	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_169	2.0180128	12.670353
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_70	12.151001	-3.325165
trans_lipophil_1_gland	gray75	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_39	-1.0926545	0.74108136
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_160	3.949549	11.388082
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_153	6.071342	10.003806
trans_fibre_epithelia	gray85	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	11.252774	-1.981351
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	12.257222	-2.2494252
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_178	4.213545	12.988121
epithelia_ventral	orchid1	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_155	12.196854	-3.305359
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_176	2.9402614	12.3392105
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_179	4.6777534	12.976132
peptidergic_theta	royalblue3	54	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_205	-5.966676	-7.033562
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	6.06079	10.022793
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	12.205451	-3.3277767
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_153	6.092776	9.986753
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_61	11.135581	-1.8506408
fibre	chartreuse3	36	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_70	11.363175	19.365387
trans_epithelia_dorsal_ventral	gray95	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	1.9796472	10.473405
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	1.8150593	11.610217
fibre	chartreuse3	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_60	10.992388	4.7535315
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_155	8.677217	9.377823
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_64	12.054361	-3.4476564
lipophil	khaki2	28	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_3	-12.070625	3.4369712
trans_epithelia_dorsal_ventral	gray95	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	2.7236419	11.569978
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_167	1.6793568	10.204671
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_156	6.501615	10.039249
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_64	11.908983	-3.3549645
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_82	12.128464	-3.268927
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	12.047684	-3.2178142
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_77	11.049803	-1.6600953
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_75	13.026221	-3.331589
lipophil	khaki2	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_11	-10.452076	4.5415735
epithelia_dorsal	mediumorchid3	17	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_190	1.8006932	12.609914
epithelia_dorsal_like	mediumorchid4	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_166	12.535894	-3.1643531
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_92	12.960053	-1.9384037
epithelia_ventral	orchid1	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_155	12.578601	-2.1477242
epithelia_dorsal_like	mediumorchid4	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_164	12.387316	-3.309822
epithelia_dorsal_like	mediumorchid4	38	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	21.89618	-3.0397038
trans_lipophil_1_fibre	gray90	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	13.588783	-3.1083734
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_153	6.054105	10.069917
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_76	13.422771	-3.2500463
trans_epithelia_dorsal_ventral	gray95	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_160	3.4636157	11.9398985
trans_epithelia_ventral_peptidergic	gray60	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_158	5.872961	10.080582
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_9	-11.555323	3.2728608
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_140	7.6622286	9.59165
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_62	11.092127	-1.5084474
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_60	12.018666	-3.2169788
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_80	12.240055	-2.5917659
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	12.322431	-3.216344
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_72	13.304627	-3.3332925
epithelia_ventral	orchid1	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_131	13.10965	-2.2111833
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	12.791754	-3.454867
epithelia_dorsal_like	mediumorchid4	16	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_171	1.5086918	12.0884
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_62	10.990834	-1.6019315
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_4	-11.660682	3.3876998
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_171	1.7032815	11.953886
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_70	12.000372	-3.3403544
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_76	10.931009	-1.4139127
trans_epithelia_dorsal_ventral	gray95	49	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_161	7.4635835	10.079875
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_177	1.7040954	11.956528
epithelia_dorsal	mediumorchid3	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_178	4.091279	12.684735
trans_epithelia_dorsal_ventral	gray95	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	12.698922	-3.0316515
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	1.7758003	11.807139
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	1.6341846	10.160413
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_72	13.348481	-3.2853994
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_1	-11.655054	3.1983948
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_9	-12.240894	3.0935287
trans_lipophil_1_fibre	gray90	5	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	-11.219828	4.3944874
epithelia_ventral	orchid1	34	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_153	-1.7773038	-8.133701
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_80	12.172929	-3.2581463
epithelia_dorsal_like	mediumorchid4	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_169	12.284299	-2.7539663
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_76	10.980495	-1.4764512
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_176	1.9146944	11.7511425
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	1.9115388	11.593022
lipophil	khaki2	10	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_12	-12.598618	3.6643288
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_155	6.4378753	9.826985
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_92	12.487382	-3.1365032
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_77	11.294238	-1.9450161
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_67	12.051457	-3.3025556
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	1.6297188	12.333976
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_61	11.032286	-1.6725532
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_75	13.367566	-3.3263347
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_70	12.281425	-3.4418812
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_60	12.333416	-3.568906
trans_lipophil_1_fibre	gray90	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	11.078053	-1.5886762
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_153	6.0704484	9.95849
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_61	10.965673	-1.5938447
epithelia_dorsal_like	mediumorchid4	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_169	2.0349548	11.412401
lipophil	khaki2	2	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_10	-11.157327	4.528125
gland_1	darkorange3	7	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_98	-1.6141207	0.92179275
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_69	11.97763	-3.2679174
epithelia_dorsal_like	mediumorchid4	38	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_175	4.1568203	11.981058
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_169	1.803059	10.717864
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	6.075817	9.951081
trans_epithelia_dorsal_ventral	gray95	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_160	3.6465497	11.714867
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_164	1.6481487	10.240802
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_103	-0.45660654	2.3026714
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_80	12.004577	-3.2734056
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	11.881669	-3.3171756
trans_epithelia_dorsal_ventral	gray95	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	2.2966523	11.16223
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_61	11.023091	-1.6694992
fibre	chartreuse3	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_75	13.313153	-3.2736835
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_176	1.5702707	12.778036
fibre	chartreuse3	24	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_76	12.453648	-1.9971389
peptidergic_beta	dodgerblue3	31	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_197	10.230514	23.363424
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	2.2781603	11.2963085
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_98	8.835008	9.13911
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_60	12.203706	-3.1762488
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_80	11.913854	-3.2291162
trans_lipophil_1_fibre	gray90	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_37	12.638165	-2.6531634
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_62	10.987985	-1.5913144
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	1.9736567	11.604322
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	1.65382	10.236528
gland_1	darkorange3	20	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_117	-1.5652968	1.3601704
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_71	12.177784	-3.021333
trans_epithelia_dorsal_ventral	gray95	49	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_159	-3.4568527	13.741915
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	5.961917	10.067008
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_71	12.211967	-3.297915
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_171	1.7809372	11.771393
fibre	chartreuse3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_62	10.953309	-1.5347177
epithelia_dorsal_like	mediumorchid4	11	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_168	3.5702126	12.340829
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	12.41009	-2.7104912
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_60	12.599881	-3.3835397
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_67	11.987855	-3.238077
epithelia_dorsal_like	mediumorchid4	23	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_169	1.6825386	10.4523735
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_67	12.10872	-3.353656
gland_1	darkorange3	22	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_119	10.929605	-1.5283238
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_66	12.742345	-3.4153833
epithelia_dorsal_like	mediumorchid4	9	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_172	2.1738007	10.947453
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_92	13.5149765	-3.1906848
epithelia_ventral	orchid1	48	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_155	5.772488	-14.395031
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	5.9041166	10.032007
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_82	12.031546	-3.2822585
fibre	chartreuse3	1	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_71	12.147018	-3.0500295
lipophil	khaki2	6	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_4	-12.110136	3.4975321
trans_fibre_epithelia	gray85	13	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_93	12.733315	-3.2746773
epithelia_ventral	orchid1	14	unassigned	unassigned	unassigned	batch1	TrH2	TrH2_154	6.104501	10.048117
