	Tadh_epithelia_dorsal	Tadh_epithelia_gland_like	Tadh_epithelia_unknown_1	Tadh_epithelia_unknown_2	Tadh_epithelia_unknown_3	Tadh_epithelia_ventral	Tadh_fibre	Tadh_gland_1	Tadh_lipophil	Tadh_peptidergic_alpha	Tadh_peptidergic_beta	Tadh_peptidergic_delta	Tadh_peptidergic_epsilon	Tadh_peptidergic_eta	Tadh_peptidergic_gamma	Tadh_peptidergic_gamma_like	Tadh_peptidergic_iota	Tadh_peptidergic_kappa	Tadh_peptidergic_lambda	Tadh_peptidergic_mu	Tadh_peptidergic_mu_like	Tadh_peptidergic_nu	Tadh_peptidergic_omicron	Tadh_peptidergic_progenitors	Tadh_peptidergic_theta	Tadh_peptidergic_zeta	Tadh_trans_epithelia_dorsal_ventral	Tadh_trans_fibre_gland	Tadh_trans_gland_epithelia	Tadh_trans_lipophil_1_epithelia	Tadh_trans_lipophil_1_gland	Tadh_unknown_2.1	Tadh_unknown_2.2	TrH2_epithelia_dorsal	TrH2_epithelia_dorsal_like	TrH2_epithelia_gland_like	TrH2_epithelia_unknown_1	TrH2_epithelia_ventral	TrH2_fibre	TrH2_gland_1	TrH2_lipophil	TrH2_peptidergic_alpha	TrH2_peptidergic_beta	TrH2_peptidergic_delta	TrH2_peptidergic_epsilon	TrH2_peptidergic_eta	TrH2_peptidergic_gamma	TrH2_peptidergic_gamma_like	TrH2_peptidergic_iota	TrH2_peptidergic_iota_like	TrH2_peptidergic_kappa	TrH2_peptidergic_lambda	TrH2_peptidergic_mu	TrH2_peptidergic_mu_like	TrH2_peptidergic_nu	TrH2_peptidergic_omicron	TrH2_peptidergic_progenitors	TrH2_peptidergic_theta	TrH2_peptidergic_zeta	TrH2_trans_epithelia_dorsal_ventral	TrH2_trans_epithelia_ventral_peptidergic	TrH2_trans_fibre_epithelia	TrH2_trans_fibre_gland	TrH2_trans_lipophil_1_epithelia	TrH2_trans_lipophil_1_fibre	TrH2_trans_lipophil_1_gland	TrH2_unknown_1	TrH2_unknown_2.1	TrH2_unknown_2.2	TrH2_unknown_2.3	TrH2_unknown_2.4
Tadh_peptidergic_beta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003357131857191353	0.0008700218918076498	0.001121373892432061	0.040209229906011404	0.03754784410308028	0.0020210620119631047	0.00031629660332860483	0.0007182702524667775	0.0	0.9675215124693028	0.0	0.013157706566905982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04171269084433826	0.0	0.0172421088893324	0.0	0.0	0.0	0.0	0.0	0.013459356329920288	0.0	0.0	0.01776093673787326	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008245873690178901	3.387321831683163e-05	0.014212715938756112	0.0033826473764116335	0.0005739129950479009	0.0	0.0	0.0	0.0	0.9358841527794622	0.0005671051786025984	0.0	0.0	0.0	0.0	0.0	0.011494280359625238	0.0	0.0	0.0	0.021056637118210424	0.0	0.008693681681377078	0.0	0.0	0.0	0.009794802140062165	0.0	0.0	0.000537570033108457	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_epsilon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00957626855818452	0.0	0.012921078662709464	0.0	0.0004985502563698817	0.0	0.0	0.0	0.0	0.8296791490842821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006320890471448973	0.0	0.043931945780222206	0.0	0.0	0.0	0.0	0.0531363043318133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_eta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003535715216860551	0.002306597982604907	0.0	0.0014386236016445415	0.0006064242295019389	0.00035978542169443035	0.0	0.0	0.0	0.0	0.0	0.9205410784985695	0.0	0.0	0.0	0.0018634252331194152	0.0	0.0	0.0	0.0	0.0	0.0	0.04351653514219662	0.08062786369820571	0.0	0.009934806450085537	0.061645636803819216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_gamma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002013912988186887	0.0	0.0	0.0	0.0	0.0009840086111764204	0.0003119882424177893	0.00038496549143111154	0.0	0.0	0.0	0.0	0.0	0.9688645546592058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0030783821394093852	0.0	0.0	0.00290320660758282	0.0	0.0
Tadh_peptidergic_gamma_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007229373648063398	0.0	0.022171676085993706	0.0010502081406164935	0.003217099926943944	0.0034554359197757774	0.0010261457797749627	0.0	0.0	0.0	0.0	0.0	0.03340166850127467	0.9936342391153661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004659912045257433	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_iota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017739555318834782	0.0014931693893897612	0.0	0.0	0.0021291655189629873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9912234320122894	0.0	0.0	0.0	0.0	0.003940184594993573	0.0	0.0	0.0	0.0	0.0	0.004664241091067342	0.08130610955978845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00209176943800165
Tadh_peptidergic_kappa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009904935711202109	0.0014081484025166532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003440098933548473	0.0	0.0	0.0	0.0	0.0	0.9836183641976662	0.0	0.0	0.0	0.0	0.0	0.0007750032964522359	0.0	0.0	0.002839596897498407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002872388494647164	0.0	0.0
Tadh_peptidergic_lambda	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004450406204671953	0.0064958125780362076	0.004015600545391814	0.0	0.004080885610100267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9653084876257545	0.0	0.0	0.0	0.0	0.006829464783684977	0.0	0.012470300175842514	0.001180120614914912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023040365918689486	0.0	0.0
Tadh_peptidergic_mu	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020649462101211637	0.0003969823225487252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9869248008282266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_mu_like	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007844848299665612	4.502885625902513e-05	0.012625033670363472	0.0027224786860065705	0.0049662455348933095	0.0008394901109052453	0.0666987349949876	0.003794565134814077	0.0	0.0	0.018080805226726275	0.0007784649263426411	0.0	0.0	0.0	0.0	0.25024578361216376	0.0	0.0	0.016143661280354504	0.926874195712139	0.020234451353079157	0.0	0.0	0.0	0.0	0.0	0.0016542643631737494	0.0	0.0	0.0024106421178280916	0.0	0.0	0.0	0.0	0.0	0.0	0.004130626579397808
Tadh_peptidergic_nu	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041881052968228485	0.0	0.001534286034308926	0.00029536055015027575	0.0007216364630953389	0.0	0.0	0.0	0.0	0.018139461113141964	0.0	0.0	0.0	0.0	0.6884660148584653	0.0	0.0	0.0	0.000283552867590494	0.8179135237704045	0.0	0.0	0.0	0.0	0.0017159686553494806	0.047484415648501324	0.0	0.0	0.01651150379291265	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_omicron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014268753550636948	0.005105325409821044	0.0	0.0	0.0003377640460122622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.948768166971145	0.018913016614733	0.0	0.0	0.00984537956969272	0.016887858319259715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_progenitors	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006136352930602102	0.004611046459321339	0.003276050309301603	0.0011134211183902118	0.1008480726620691	0.0001609878462100493	0.0012042717205760385	0.0	0.01812498288853179	0.01822060029118925	0.0	0.10333595242330887	0.17553716493862587	0.009231167527092878	0.0	0.003998347988275897	0.014020059980059252	0.002160854921491022	0.007068304832307591	0.01613122096370268	0.017746044087552502	0.02598182474754728	0.02064678675576221	0.18594949290903745	0.015458240947956125	0.0132446711397601	0.010278188083503944	0.05628446754374551	0.0	0.0	0.0006690739870357126	0.0	0.0	0.0006173455441543648	0.0	0.0	0.0	0.002109355613920518
Tadh_peptidergic_theta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003986112288358957	0.0	0.0	0.0006734395129827842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024307905839959253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9126911167505893	0.0	0.0036106752636647457	0.0066343030414430775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_peptidergic_zeta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003944865111394467	0.012447533305403494	0.0	0.0	3.507040648459467e-05	0.0006658212626576127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9784347914473063	0.004130005526380854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tadh_trans_epithelia_dorsal_ventral	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19540094715500916	0.01885886041333868	0.002457012035253274	0.0006527854266213399	0.4999296232389515	0.04247563211450503	0.0036915866621733038	7.872163060311781e-05	0.0	0.0028605142386881593	0.0	0.0	0.0	0.0	0.001876139636882549	0.0	0.0	0.0	0.0018828031905809227	0.0	0.0	0.0	0.0	0.06312722457439016	0.0	0.0	0.3610505271924583	0.1531010829562456	0.0003666900548929473	0.0	6.146876649798789e-05	0.0	0.0	0.0	0.0	0.0007379717165262728	0.000638581615918264	0.00017517192560350092
Tadh_trans_fibre_gland	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001071511091843417	0.0024972830372353197	0.0	0.0	0.0012275171041965147	0.929026122022252	0.004797380804269648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00027921457124911926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003942672164796388	0.0	0.07123708057890607	0.08889135301637742	0.0	0.030853437602625218	0.0	0.00036452263349940234	0.0	0.0	0.0	0.00011036175732870337
Tadh_trans_gland_epithelia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02891455887369594	0.01375248447089486	0.0394877850011003	0.0010458489461716927	0.03409841041756671	0.0003528776410826037	0.7293323244769867	0.0	0.0	0.016704588114020254	0.0	0.0	0.0	0.0	0.0	0.0	0.003930235924648023	0.0	0.0	0.0	0.0015366370868451866	0.0	0.0	0.0	0.0	0.0	0.000171361888469449	0.0	0.0	0.026649442322584854	0.0006161110961500297	0.0	0.004815226315832755	0.0	0.0	0.0	0.0	0.0
Tadh_trans_lipophil_1_epithelia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01381016731212244	0.01759451391004881	0.0	0.08253924731067107	3.829829572798165e-05	0.0013651892224325957	0.6173981285930574	0.0	0.0	0.0	0.0	0.0	0.0	0.008454113065033835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00985090711711976	0.005282366840350434	0.0	0.0	0.08826912616415158	0.000269353689615211	0.0005244786165553465	0.0	0.0	0.0	0.0	0.0
Tadh_trans_lipophil_1_gland	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047592302470662335	0.0	0.0	0.0034138761790436832	0.000764825014497278	0.10092533523782858	0.538581645557441	0.0	0.0	0.0	0.0	0.0	0.005633231654025103	0.017177700090929213	0.0	0.013838919800203738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005920068099717568	0.0	0.0	0.0010065643768587926	0.0194335548512559	0.003270489638002254	0.27740894607927147	0.0	0.0	0.0	0.0	0.0
Tadh_unknown_2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005150224903156882	0.0	0.0	0.0	0.0	0.0004690226232760826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9589374056204237	0.013299538661188331	0.15675794569136936	0.671450709269615
