Tadh_cell_type	Tadh_color	Tadh_leiden_clusters	TrH2_cell_type	TrH2_color	TrH2_leiden_clusters	batch	species	metacell;metacell_mapping_scores	X_umap1	X_umap2
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_144	8.603451	9.197914
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_95	11.454424	2.5810194
trans_gland_epithelia	gray45	36	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_76	13.101719	18.846766
trans_gland_epithelia	gray45	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_77	-12.660327	0.56460893
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_46	-12.018636	0.34940723
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	-12.949376	0.3095519
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	-11.025074	-0.27877328
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_105	13.266713	3.3222342
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_179	-8.11529	13.848188
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_28	4.4101753	23.42387
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_27	4.4871197	23.500114
peptidergic_mu	cyan3	32	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_183	1.8609221	-10.066725
peptidergic_beta	dodgerblue3	36	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_167	13.117047	18.867058
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	11.477002	1.9219031
trans_epithelia_dorsal_ventral	gray95	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_135	9.582632	6.2195516
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_18	4.5234914	-3.0276625
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	3.7031803	-3.9350522
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_105	12.992997	3.3233366
trans_epithelia_dorsal_ventral	gray95	44	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_141	13.5312805	19.348864
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_46	-12.936937	0.35915416
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	-12.014511	-0.2280036
gland_1	darkorange3	34	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_51	-11.656959	-0.7711859
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_114	9.141273	5.3452754
trans_epithelia_dorsal_ventral	gray95	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_135	9.644897	6.301823
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_27	4.493014	23.506962
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_105	13.069178	3.3782296
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	3.8586943	-3.8730118
epithelia_unknown_2	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_101	10.332862	5.142265
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_16	3.8949637	-3.6841066
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_102	7.2317553	8.15479
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_126	9.956134	6.1394114
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_97	7.2268696	8.037444
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_27	4.548118	23.561886
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	-11.733894	0.21421574
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_16	3.7643464	-3.6917317
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_48	-11.240602	0.75926393
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_130	9.8458185	4.922422
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_156	7.074402	11.582254
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	11.360106	1.9222339
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_179	-8.191066	13.930047
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_16	3.8356586	-3.813382
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_157	8.130754	9.3040085
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_72	8.119248	2.6127322
peptidergic_nu	cyan4	50	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_188	19.124777	-3.455447
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	-12.459625	0.33626667
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_105	13.416779	3.321164
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_114	8.953448	4.7761
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_129	10.164132	5.168527
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_19	4.1269884	-3.62545
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	-13.137604	0.20395042
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	-11.496913	-0.862074
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	3.5543592	-3.590479
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_162	8.480891	9.215771
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_46	-11.731422	0.332771
trans_epithelia_dorsal_ventral	gray95	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_141	8.308027	9.507515
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_126	10.134756	5.4384613
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	11.405813	1.997656
epithelia_unknown_3	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_105	10.173718	6.0953693
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_48	-12.854123	0.4905915
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_116	9.00422	4.9478025
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	-11.381967	-0.181009
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	11.494934	1.9498937
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_127	10.606097	2.3796458
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_101	11.052911	3.074527
peptidergic_mu_like	cyan3	27	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_185	-3.2450912	3.1579552
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_158	7.41759	11.100506
trans_epithelia_dorsal_ventral	gray95	24	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_135	9.791557	7.118251
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_16	3.2183943	-3.0800226
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_126	9.374127	5.9441395
peptidergic_gamma	skyblue1	35	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_168	22.22124	4.324008
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_114	9.39134	4.935324
peptidergic_delta	skyblue3	45	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_170	16.582127	-8.845053
peptidergic_eta	royalblue1	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_174	-4.4037533	5.8832674
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_159	8.660683	9.284986
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_159	8.201197	9.322562
epithelia_unknown_2	plum3	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_101	9.555546	5.1139007
trans_epithelia_dorsal_ventral	gray95	24	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_137	8.346814	8.687568
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	11.410008	1.9168639
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_114	9.372434	5.407673
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_156	6.85795	11.064744
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	-11.775718	0.18186171
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_132	9.622178	5.8347664
trans_epithelia_dorsal_ventral	gray95	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_136	9.634436	6.421687
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_16	3.66584	-3.924789
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_48	-12.845038	0.7214201
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_27	4.3959403	23.40011
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_148	8.148088	9.572277
epithelia_unknown_2	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_101	10.483006	4.743913
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_103	13.229297	3.2664301
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_159	8.640551	9.312211
epithelia_ventral	orchid1	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_113	8.898025	3.2924423
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_46	-13.097797	0.37802792
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_19	4.17075	-2.0695128
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_48	-11.79774	1.0641208
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	-11.780394	-0.005426765
lipophil	khaki2	1	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_19	4.8230796	-2.4034786
peptidergic_eta	royalblue1	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_175	4.763792	-8.299174
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	3.3001285	-3.9720407
peptidergic_mu_like	cyan3	27	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_186	-3.3959968	3.1271746
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_96	11.288395	2.6278658
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_107	13.407978	3.2811768
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_132	9.754857	6.14523
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_144	8.732855	9.772688
peptidergic_mu_like	cyan3	27	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_186	-3.630668	2.9817734
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_143	8.868947	9.7882805
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_43	-11.5565195	1.0528125
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_45	-12.954844	0.21534039
peptidergic_delta	skyblue3	48	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_170	9.496936	23.324543
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_46	-12.817452	0.53155506
epithelia_unknown_3	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_105	12.609699	3.756144
peptidergic_lambda	cyan2	51	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_182	7.393838	-9.107632
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_144	8.71374	9.220108
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_16	3.9487357	-3.907016
peptidergic_epsilon	steelblue1	33	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_171	15.679023	11.120286
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_18	4.3904757	-3.2395349
trans_gland_epithelia	gray45	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_77	-11.485104	1.0459485
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	-12.892076	0.25205487
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_132	9.462011	5.8706326
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_162	9.023524	9.451623
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_145	8.612127	9.857047
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_114	9.014952	5.0567613
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_28	4.274605	23.264263
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	3.5776732	-3.824462
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_156	8.794777	9.929375
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_31	-1.1595137	15.753729
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	-12.562084	0.2854535
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_114	9.502492	4.8670073
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	-13.229603	0.23558632
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_156	7.6851335	10.925914
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	11.447538	1.8372401
peptidergic_eta	royalblue1	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_175	4.801992	-8.210519
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_103	13.405771	3.297317
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_107	13.441185	3.32275
epithelia_dorsal	mediumorchid3	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_144	8.804391	9.524959
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_125	10.056163	6.61841
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_48	-12.174755	1.235257
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_33	0.8486758	16.480293
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_179	-8.150648	13.835495
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_43	-12.769573	0.58811665
epithelia_ventral	orchid1	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_113	8.868598	3.525701
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_17	3.8252423	-3.8808477
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	-12.37178	-0.8204275
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_102	13.433094	3.3399935
peptidergic_eta	royalblue1	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_175	4.658498	-8.484399
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_114	8.850714	4.8545756
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_50	-10.57708	0.45342225
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_42	-11.770734	-0.065684184
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_50	-10.4658985	0.6158807
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_48	-11.573839	1.029815
epithelia_ventral	orchid1	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_111	11.5572405	3.0280309
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_114	9.335261	4.9762826
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_31	-0.7704691	15.779293
epithelia_ventral	orchid1	15	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_114	9.5159645	5.710928
gland_1	darkorange3	12	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_48	-11.424673	0.855347
peptidergic_beta	dodgerblue3	36	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_167	13.1767845	18.922947
peptidergic_mu	cyan3	32	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_183	1.8440858	-10.084004
peptidergic_nu	cyan4	50	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_188	19.14799	-3.435622
epithelia_ventral	orchid1	20	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_129	10.0151825	4.910027
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_96	11.309822	2.7129781
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_18	4.352115	-3.2717516
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_19	4.624378	-2.8046112
peptidergic_mu_like	cyan3	39	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_187	5.060851	-13.498669
peptidergic_mu_like	cyan3	27	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_186	-3.7165828	2.939551
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_18	4.365479	-3.225513
peptidergic_lambda	cyan2	41	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_181	20.17899	15.483141
epithelia_unknown_3	plum3	11	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_102	7.3019643	8.235066
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_50	-12.959519	0.43127885
trans_lipophil_1_gland	gray75	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_21	4.725916	-2.8685317
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_96	11.284971	2.6449058
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_125	9.93894	6.451621
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_179	-8.128133	13.772144
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	-13.021566	0.23680067
trans_epithelia_dorsal_ventral	gray95	9	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_136	8.771439	9.671462
lipophil	khaki2	18	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_16	4.043971	-3.6789246
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_37	0.9198881	16.696268
unknown_2.1	darkolivegreen3	52	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_26	-2.5237923	10.279711
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_96	11.354821	2.2474825
epithelia_unknown_2	plum3	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_101	10.393209	4.776215
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_46	-12.968064	0.4671393
epithelia_unknown_1	plum3	43	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_91	-7.6616874	20.507162
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_95	11.469825	2.8886185
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_44	-12.888858	0.31704572
epithelia_gland_like	orange	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_89	8.174269	2.8587446
epithelia_unknown_2	plum3	29	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	10.002405	3.5067093
peptidergic_beta	dodgerblue3	44	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_167	13.576997	19.398659
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_132	9.751277	6.4424586
trans_lipophil_1_gland	gray75	42	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_22	-11.46219	-2.244138
epithelia_unknown_2	plum3	19	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_99	8.576799	3.325056
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	11.432547	1.8249866
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_95	11.529422	2.7010612
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_95	10.733902	2.3805006
gland_1	darkorange3	13	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_46	-12.027584	0.45266438
trans_gland_epithelia	gray45	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_77	-11.621432	1.0726676
peptidergic_zeta	steelblue3	30	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_173	-10.13782	8.915772
peptidergic_eta	royalblue1	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_174	-4.402811	5.891727
fibre	chartreuse3	0	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_34	0.5068002	16.736704
unknown_2.2	darkolivegreen3	28	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_27	4.576156	23.590359
peptidergic_theta	royalblue3	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_176	-4.559585	6.2728624
epithelia_ventral	orchid1	21	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_111	8.625614	5.450596
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	11.541303	1.8684906
epithelia_ventral	orchid1	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_132	9.877658	6.1858516
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	11.448016	2.297677
epithelia_dorsal	mediumorchid3	25	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_144	8.271546	9.202308
peptidergic_eta	royalblue1	23	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_175	4.6221066	-8.54887
trans_epithelia_dorsal_ventral	gray95	5	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_138	9.808284	6.867818
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_179	-8.293419	13.837326
peptidergic_delta	skyblue3	45	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_170	16.57888	-8.841467
epithelia_dorsal	mediumorchid3	8	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_156	7.0133333	10.793631
epithelia_dorsal	mediumorchid3	24	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_158	7.269629	8.301574
epithelia_dorsal	mediumorchid3	6	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_157	8.61758	9.709903
peptidergic_iota	deepskyblue1	22	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_179	-7.913479	14.00913
epithelia_unknown_2	plum3	4	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_93	11.393748	1.8214568
gland_1	darkorange3	3	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_46	-12.48232	0.5988503
gland_1	darkorange3	2	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_50	-10.463192	0.6187151
epithelia_unknown_1	plum3	43	unassigned	unassigned	unassigned	batch1	Tadh	Tadh_91	-7.692525	20.538054
